ax: -0.00630188 | ay: -0.0238342 | az: -0.0492401
ax: 0.00619507 | ay: -0.113953 | az: -0.0269775
ax: -0.00610352 | ay: -0.122894 | az: -0.0598145
ax: -0.00968933 | ay: -0.0916748 | az: -0.0727844
ax: -0.00782776 | ay: -0.0769043 | az: -0.0297394
ax: -0.0157776 | ay: -0.0560455 | az: -0.04422
ax: -0.0102844 | ay: -0.0989685 | az: -0.0189972
ax: 0.00796509 | ay: -0.0953369 | az: -0.0149841
ax: -0.00462341 | ay: -0.0840149 | az: -0.0389404
ax: -0.0256042 | ay: -0.0333862 | az: -0.0308228
ax: -0.0186615 | ay: -0.103409 | az: -0.0449677
ax: 0.00639343 | ay: -0.100052 | az: -0.0311737
ax: 0.00210571 | ay: -0.108002 | az: -0.028244
ax: 0.0119171 | ay: -0.102371 | az: -0.0211334
ax: 0.0294342 | ay: -0.10202 | az: -0.0268707
ax: 0.0170746 | ay: -0.0733337 | az: -0.0147552
ax: -0.0193024 | ay: -0.085907 | az: -0.0350647
ax: -0.00152588 | ay: -0.100006 | az: -0.016037
ax: 0.0137024 | ay: -0.0974579 | az: -0.0153809
ax: -0.0190125 | ay: -0.0612335 | az: -0.00370789
ax: -0.0366974 | ay: -0.0138855 | az: -0.00947571
ax: -0.0579987 | ay: 0.0153351 | az: -0.017868
ax: -0.0790253 | ay: -0.000656128 | az: 0.000457764
ax: -0.134888 | ay: 0.0232239 | az: 0.0356598
ax: -0.168518 | ay: 0.0864563 | az: 0.0106049
ax: -0.212143 | ay: 0.014801 | az: 0.0071106
ax: -0.23645 | ay: 0.107574 | az: -0.0265961
ax: -0.208786 | ay: 0.261826 | az: -0.0254364
ax: -0.0771332 | ay: 0.337601 | az: -0.0218353
ax: 0.0641937 | ay: 0.323761 | az: 0.0956879
ax: 0.172211 | ay: 0.458572 | az: 0.126389
ax: 0.177216 | ay: 0.552597 | az: 0.182648
ax: 0.184052 | ay: 0.492218 | az: 0.225754
ax: 0.16864 | ay: 0.381104 | az: 0.249969
ax: 0.0960236 | ay: 0.292114 | az: 0.250671
ax: 0.0234222 | ay: 0.21933 | az: 0.196472
ax: -0.0270386 | ay: 0.161926 | az: 0.107971
ax: -0.0767059 | ay: 0.089859 | az: 0.0514832
ax: -0.157852 | ay: -0.0522614 | az: -0.00758362
ax: -0.235214 | ay: -0.1716 | az: -0.0904388
ax: -0.273315 | ay: -0.261154 | az: -0.13118
ax: -0.290436 | ay: -0.369843 | az: -0.246246
ax: -0.243317 | ay: -0.420685 | az: -0.344757
ax: -0.199188 | ay: -0.544189 | az: -0.343246
ax: -0.188614 | ay: -0.680038 | az: -0.293243
ax: -0.139771 | ay: -0.562042 | az: -0.198624
ax: -0.132614 | ay: -0.711029 | az: -0.173691
ax: -0.0540771 | ay: -0.66127 | az: -0.224838
ax: -0.0414886 | ay: -0.888733 | az: -0.343155
ax: -0.0228119 | ay: -0.923203 | az: -0.340561
time: 1
[20210722073326.161]
> sum ax: -2.45825 | sum ay: -4.1731 | sum az: -1.92175
>> avg ax: -0.049165 | avg ay: -0.0834619 | avg az: -0.0384351
>>> vx: -0.240909 | vy: -0.408963 | vz: -0.188332
>>> sx: -0.0662562 | sy: -0.0536205 | sz: -0.0333912
>>> a: 0.104213
>>> v: 0.510644
>>> s: 0.0915424

ax: -0.0384216 | ay: -0.789505 | az: -0.3302
ax: -0.0764771 | ay: -0.700302 | az: -0.360474
ax: 0.219284 | ay: 0.0588989 | az: -0.0996399
ax: -0.0737305 | ay: 0.589661 | az: 0.217453
ax: -0.123795 | ay: 0.165054 | az: 0.376099
ax: -0.185593 | ay: -0.170715 | az: 0.262466
ax: -0.255173 | ay: -0.0285645 | az: 0.281677
ax: -0.170197 | ay: -0.124695 | az: 0.0883179
ax: -0.0401459 | ay: 0.0431976 | az: -0.223404
ax: 0.0477448 | ay: 0.0587463 | az: -0.220779
ax: 0.14975 | ay: 0.0442505 | az: -0.398056
ax: -0.0562744 | ay: -0.240067 | az: -0.116333
ax: -0.179718 | ay: -0.39473 | az: 0.103622
ax: -0.153931 | ay: -0.175171 | az: 0.0205078
ax: -0.075531 | ay: -0.0703278 | az: -0.0906982
ax: -0.0454712 | ay: -0.0103302 | az: 0.013443
ax: -0.0317841 | ay: 0.0458527 | az: -0.0153809
ax: 0.0115204 | ay: 0.0858765 | az: -0.0804596
ax: 0.00927734 | ay: 0.0726624 | az: -0.0791473
ax: 0.0098877 | ay: 0.0631104 | az: 0.0179291
ax: 0.0281067 | ay: 0.0433502 | az: 0.087738
ax: 0.0317841 | ay: 0.0443115 | az: 0.0661774
ax: 0.0410156 | ay: 0.0403595 | az: 0.0171814
ax: 0.00588989 | ay: 0.0346985 | az: -0.00358582
ax: 0.0100403 | ay: 0.0384521 | az: -0.0205536
ax: -0.0121155 | ay: 0.0591888 | az: 0.00512695
ax: -0.011261 | ay: 0.0544586 | az: 0.0339355
ax: 0.00216675 | ay: 0.0288544 | az: 0.0440369
ax: 0.00831604 | ay: 0.0556946 | az: 0.0215302
ax: 0.00961304 | ay: 0.0732269 | az: 0.00163269
ax: -0.00593567 | ay: 0.0683746 | az: 0.00108337
ax: -0.0293884 | ay: 0.0839691 | az: 0.0177307
ax: -0.0352936 | ay: 0.118912 | az: 0.0444489
ax: -0.0260468 | ay: 0.108826 | az: 0.0596466
ax: -0.0404053 | ay: 0.164291 | az: 0.0627899
ax: -0.0735321 | ay: 0.0557251 | az: 0.0537109
ax: -0.104172 | ay: 0.0261078 | az: 0.0405426
ax: -0.146149 | ay: 0.0382233 | az: -0.00465393
ax: -0.293488 | ay: 0.189774 | az: -0.00752258
ax: -0.287628 | ay: 0.119492 | az: -0.0149078
ax: -0.489227 | ay: 0.143539 | az: 0.10759
ax: -0.690994 | ay: 0.0820618 | az: 0.131149
ax: -1.00064 | ay: 0.170319 | az: 0.187424
ax: -1.07114 | ay: 0.756805 | az: 0.211777
ax: -0.81076 | ay: 0.774979 | az: 0.259521
ax: -0.855789 | ay: 0.439651 | az: 0.256409
ax: -0.461273 | ay: 1.03748 | az: -0.0645905
ax: -0.314133 | ay: 0.529251 | az: -0.156418
ax: 0.360901 | ay: 0.37912 | az: -0.0307617
ax: 0.136856 | ay: -0.163513 | az: -0.187729
time: 2
[20210722073327.166]
> sum ax: -7.18346 | sum ay: 4.11888 | sum az: 0.587402
>> avg ax: -0.143669 | avg ay: 0.0823776 | avg az: 0.011748
>>> vx: -0.703979 | vy: 0.40365 | vz: 0.0575654
>>> sx: -0.180529 | sy: -0.0397381 | sz: -0.0144634
>>> a: 0.166027
>>> v: 0.813532
>>> s: 0.185416

ax: 0.0982513 | ay: 0.163376 | az: 0.229492
ax: 0.447647 | ay: 0.551514 | az: 0.318207
ax: 0.530716 | ay: 0.674789 | az: 0.310791
ax: 0.473633 | ay: 0.528931 | az: 0.319901
ax: 0.485977 | ay: 0.435471 | az: 0.292084
ax: 0.481949 | ay: 0.343079 | az: 0.269974
ax: 0.433243 | ay: 0.323441 | az: 0.248322
ax: 0.386658 | ay: 0.237366 | az: 0.183182
ax: 0.321442 | ay: 0.117386 | az: 0.140839
ax: 0.19751 | ay: 0.000686646 | az: 0.0918579
ax: 0.012146 | ay: -0.103424 | az: 0.0658112
ax: -0.291763 | ay: -0.105179 | az: 0.107574
ax: -0.638809 | ay: -0.435547 | az: -0.0449677
ax: -0.987167 | ay: -0.532715 | az: -0.326385
ax: -1.05925 | ay: -0.853455 | az: -0.435776
ax: -0.963623 | ay: -1.01659 | az: -0.623657
ax: -0.778702 | ay: -1.27667 | az: -0.64595
ax: -0.558243 | ay: -1.23068 | az: -0.573868
ax: -0.390579 | ay: -1.42107 | az: -0.642548
ax: -0.179184 | ay: -1.59895 | az: -0.858932
ax: -0.0767822 | ay: -1.23703 | az: -0.776367
ax: -0.136261 | ay: -0.856873 | az: -0.518829
ax: 0.0671997 | ay: -0.100067 | az: -0.135239
ax: -0.200394 | ay: 0.566116 | az: 0.804245
ax: -0.30246 | ay: -0.0413513 | az: 0.276505
ax: -0.577286 | ay: -0.360611 | az: 0.0150146
ax: -0.157547 | ay: -0.115707 | az: -0.179199
ax: 0.00370789 | ay: -0.0609589 | az: -0.688293
ax: -0.148636 | ay: -0.272888 | az: -0.33754
ax: -0.112885 | ay: -0.364716 | az: 0.0677338
ax: -0.0494537 | ay: -0.127731 | az: -0.0193329
ax: -0.00364685 | ay: 0.0729675 | az: -0.0741577
ax: -0.0547791 | ay: 0.0327911 | az: 0.0170135
ax: -0.0476837 | ay: 0.033432 | az: 0.066452
ax: 0.0148773 | ay: 0.0780334 | az: 0.0406952
ax: 0.0168152 | ay: 0.10791 | az: -0.085022
ax: 0.0440063 | ay: 0.0633087 | az: -0.0230255
ax: 0.0252686 | ay: 0.0397339 | az: 0.0841827
ax: 0.00743103 | ay: 0.0258942 | az: 0.099823
ax: 0.0184631 | ay: 0.0628815 | az: 0.0501862
ax: 0.00180054 | ay: 0.0339813 | az: -0.0171509
ax: 0.00291443 | ay: 0.0632935 | az: -0.00830078
ax: 0.00175476 | ay: 0.0987854 | az: 0.039917
ax: -0.0156708 | ay: 0.076828 | az: 0.0356293
ax: -0.0204468 | ay: 0.0284729 | az: -0.00590515
ax: 0.00718689 | ay: 0.0692902 | az: 0.00315857
ax: 0.015976 | ay: 0.0588531 | az: 0.00790405
