>>> sx: 1.99703 | sy: 1.57402 | sz: -0.0167879
>>> a: 0.299979
>>> v: 2.93979
>>> s: 2.54282

ax: -0.479965 | ay: -0.256577 | az: 0.0930939
ax: -0.34346 | ay: -0.133484 | az: 0.128204
ax: -0.170654 | ay: -0.035553 | az: 0.122467
ax: 0.208435 | ay: 0.163132 | az: 0.0719604
ax: 0.560226 | ay: 0.467819 | az: 0.239838
ax: 1.09647 | ay: 0.999283 | az: -0.0346527
ax: 1.16035 | ay: 1.69077 | az: 0.0169678
ax: 1.21956 | ay: 2.36734 | az: 0.268188
ax: 1.215 | ay: 2.63875 | az: -0.492783
ax: 0.806198 | ay: 2.65245 | az: 0.304352
ax: 1.24515 | ay: 2.61479 | az: -0.310059
ax: -0.430328 | ay: -1.43645 | az: -1.21654
ax: 0.887482 | ay: 0.301651 | az: 1.22133
ax: 1.16618 | ay: 1.15379 | az: 0.834656
ax: 0.5392 | ay: 0.947693 | az: -0.0866241
ax: 0.780212 | ay: 1.36545 | az: -0.208496
ax: -0.118469 | ay: 0.167908 | az: -0.067749
ax: 0.104889 | ay: 0.434326 | az: 0.00715637
ax: -0.0848846 | ay: 0.0914001 | az: -0.215286
ax: 0.0244446 | ay: 0.0797729 | az: -0.0234375
ax: 0.0106659 | ay: -0.136673 | az: -0.047287
ax: 0.0457764 | ay: -0.0435944 | az: 0.0153656
ax: -0.00848389 | ay: 0.0639496 | az: -0.0177002
ax: -0.0115967 | ay: 0.172729 | az: 0.0127563
ax: 0.0339813 | ay: 0.112381 | az: -0.0356903
ax: 0.0305176 | ay: 0.0506439 | az: 0.0310822
ax: -0.0190582 | ay: -0.119003 | az: 0.0618286
ax: -0.0287323 | ay: -0.27124 | az: -0.0670929
ax: 0.0521088 | ay: -0.162704 | az: -0.119354
ax: 0.160263 | ay: 0.00642395 | az: -0.0199432
ax: 0.182327 | ay: -0.0115662 | az: 0.0101013
ax: 0.152588 | ay: -0.146088 | az: 0.103638
ax: 0.228149 | ay: -0.23053 | az: 0.0336151
ax: 0.455292 | ay: -0.297333 | az: -0.00337219
ax: 0.594818 | ay: -0.307968 | az: 0.216919
ax: 0.607376 | ay: -0.489304 | az: 0.255432
ax: 0.718491 | ay: -0.606827 | az: 0.00149536
ax: 1.05324 | ay: -0.882355 | az: -0.177353
ax: 1.06763 | ay: -2.20076 | az: -0.157684
ax: 1.08533 | ay: -1.36465 | az: 0.551666
ax: 1.11569 | ay: -1.65254 | az: -1.02985
ax: 0.621201 | ay: -1.33224 | az: -1.08281
ax: 0.222092 | ay: -0.862427 | az: -0.45491
ax: 0.0527344 | ay: 1.02118 | az: -0.325745
ax: 0.0715179 | ay: -0.479401 | az: 0.0589905
ax: -0.642044 | ay: -0.86615 | az: 0.142731
ax: -0.688614 | ay: -0.66069 | az: 0.0889282
ax: -0.763046 | ay: -0.688171 | az: -0.0152283
ax: -0.687943 | ay: -0.539627 | az: -0.181015
ax: -0.667419 | ay: -0.320358 | az: -0.390121
time: 3
[20201117140441.399]
> sum ax: 14.4309 | sum ay: 3.02936 | sum az: -1.88802
