ax: 1.24352 | ay: -2.65376 | az: -1.98538
ax: 1.20464 | ay: -2.6057 | az: -1.97932
ax: 1.19881 | ay: 1.40257 | az: -0.435638
ax: -0.50618 | ay: 1.32236 | az: -0.539383
ax: 1.33421 | ay: -2.02492 | az: -0.509018
ax: 1.44577 | ay: -1.06958 | az: -1.15102
ax: 1.57806 | ay: -0.833588 | az: -1.46437
ax: 1.69847 | ay: -2.64137 | az: -1.05255
ax: 1.80258 | ay: -2.78615 | az: -0.916794
ax: 1.87883 | ay: -2.95467 | az: -1.29556
ax: 1.08949 | ay: -2.83267 | az: -0.764694
ax: -1.05594 | ay: -1.62677 | az: -1.03912
ax: -2.15184 | ay: -0.496948 | az: -1.10895
ax: -1.25191 | ay: 0.314194 | az: -1.14058
ax: -0.200745 | ay: -0.30484 | az: -1.46758
ax: 0.650055 | ay: -0.197845 | az: -0.906097
ax: -0.178925 | ay: -0.343277 | az: -0.236557
ax: -1.33968 | ay: -0.251968 | az: 0.406525
ax: -1.48492 | ay: 0.785812 | az: 1.14288
ax: -0.980988 | ay: 1.41721 | az: 2.31491
ax: 1.1505 | ay: 1.93974 | az: 2.52405
ax: 1.20605 | ay: 2.03224 | az: 2.60707
ax: 1.24538 | ay: 2.12317 | az: 2.64444
ax: 1.19057 | ay: 2.12225 | az: 2.35196
ax: 0.759979 | ay: 2.0294 | az: 2.45302
ax: 0.522232 | ay: 1.15854 | az: 2.55899
ax: 1.14857 | ay: 1.81369 | az: -1.1821
ax: 1.13472 | ay: -2.27231 | az: -1.57916
ax: 1.15372 | ay: -1.41794 | az: 2.33932
ax: 0.87912 | ay: 1.38998 | az: -0.178558
ax: 1.21164 | ay: 1.41377 | az: -1.07028
ax: 1.24854 | ay: 0.246033 | az: -1.02109
ax: 1.25192 | ay: -2.65724 | az: -1.90883
ax: 1.22287 | ay: -2.62639 | az: -1.93982
ax: 1.22189 | ay: 1.37358 | az: 0.619186
ax: 0.411163 | ay: 1.30066 | az: -0.599716
ax: 1.35362 | ay: -2.45074 | az: -1.39397
ax: 1.45523 | ay: -2.3941 | az: -1.42529
ax: 1.58145 | ay: -0.967239 | az: -1.50591
ax: 1.70187 | ay: -2.42845 | az: -1.42862
ax: 1.80878 | ay: -2.97015 | az: -1.47824
ax: 1.90578 | ay: -2.96466 | az: -1.49289
ax: 1.97665 | ay: -2.95053 | az: -1.18942
ax: 1.2446 | ay: -2.31099 | az: -1.04109
ax: -1.25294 | ay: -1.53906 | az: -1.66653
ax: -1.89395 | ay: -0.030838 | az: -1.16093
ax: -0.706619 | ay: 0.399612 | az: -1.68503
ax: 0.139679 | ay: 0.067276 | az: -1.24783
ax: 0.653046 | ay: -0.32811 | az: -1.21523
ax: -0.431244 | ay: -0.417114 | az: -0.449875
3: [20200927211341.527]
> sum ax: 32.4681 | sum ay: -29.6978 | sum az: -23.8907
>> avg ax: 0.649363 | avg ay: -0.593957 | avg az: -0.477813
>>> vx: 6.36375 | vy: -5.82078 | vz: -4.68257
>>> sx: 3.28828 | sy: -2.88182 | sz: -1.95583
>>> a: 1.00138
>>> v: 9.81352
>>> s: 4.78988

ax: -1.37398 | ay: -0.374939 | az: 0.111893
ax: -1.08044 | ay: 1.37938 | az: 0.782654
ax: -0.38295 | ay: 1.90253 | az: 1.90454
ax: 1.17564 | ay: 2.02985 | az: 2.11899
ax: 1.2326 | ay: 2.1429 | az: 2.62498
ax: 1.26126 | ay: 2.20474 | az: 2.64207
ax: 0.740952 | ay: 2.17191 | az: 2.35211
ax: 0.662613 | ay: 2.06081 | az: 2.61252
ax: 1.17256 | ay: 1.91743 | az: -1.44456
ax: 1.15106 | ay: -2.17847 | az: -1.50258
ax: -1.06662 | ay: -1.68031 | az: 2.41634
ax: 1.17822 | ay: 1.53856 | az: -1.66574
ax: 1.21466 | ay: 1.46037 | az: -0.906128
ax: 1.2464 | ay: 0.533981 | az: -0.733368
ax: 1.2571 | ay: -2.63518 | az: -1.78897
ax: 1.23344 | ay: -2.61542 | az: -1.81679
ax: 1.23094 | ay: 1.38309 | az: 0.24675
ax: 0.0321503 | ay: 1.29111 | az: -0.363449
ax: 1.36923 | ay: -2.37418 | az: -1.29456
ax: 1.46686 | ay: -2.00446 | az: -0.827118
ax: 1.58794 | ay: -0.259567 | az: -1.06662
ax: 1.70964 | ay: -2.4064 | az: -1.25647
ax: 1.81779 | ay: -2.98285 | az: -1.09615
ax: 1.92252 | ay: -2.98712 | az: -1.15703
ax: 2.01103 | ay: -2.97922 | az: -0.637741
ax: 1.1944 | ay: -2.65381 | az: -0.751022
ax: -1.45895 | ay: -1.70955 | az: -1.54515
ax: -1.99944 | ay: -0.829361 | az: -0.585388
ax: -0.388672 | ay: -0.590973 | az: -1.25766
ax: 0.789215 | ay: -0.803467 | az: -1.08319
ax: 0.991074 | ay: -0.270126 | az: -0.857437
ax: -0.0463104 | ay: -0.69194 | az: -0.669983
ax: -1.47826 | ay: -0.88797 | az: 0.547287
ax: -1.33434 | ay: 0.458054 | az: 1.0192
ax: -0.319321 | ay: 1.8387 | az: 2.46761
ax: 1.25763 | ay: 1.96088 | az: 2.62196
ax: 1.3186 | ay: 2.08972 | az: 2.72633
ax: 1.34727 | ay: 2.15421 | az: 2.74167
ax: 0.798203 | ay: 2.12213 | az: 2.58493
ax: 0.936325 | ay: 2.03848 | az: 2.68678
ax: 1.21628 | ay: 1.92751 | az: -1.07993
ax: 1.17273 | ay: -2.16151 | az: -1.46193
ax: 1.13052 | ay: 0.123077 | az: 2.48958
ax: 1.19086 | ay: 1.31897 | az: 0.264618
ax: 1.21567 | ay: 1.49231 | az: -1.24998
ax: 1.24821 | ay: 0.248413 | az: -1.16786
ax: 1.25725 | ay: -2.60971 | az: -1.72346
ax: 1.24014 | ay: -2.24461 | az: -1.47664
ax: 1.25658 | ay: 1.36423 | az: 0.800873
ax: 1.3324 | ay: 1.26375 | az: -1.52568
4: [20200927211342.519]
> sum ax: 36.6387 | sum ay: 1.48593 | sum az: 4.7711
>> avg ax: 0.732774 | avg ay: 0.0297186 | avg az: 0.0954221
>>> vx: 7.18118 | vy: 0.291242 | vz: 0.935136
>>> sx: 3.20299 | sy: 0.433809 | sz: 1.00604
>>> a: 0.739558
>>> v: 7.24767
>>> s: 3.38518

ax: 1.39189 | ay: -2.08586 | az: -1.08371
ax: 1.49237 | ay: -1.39069 | az: -0.822037
ax: 1.61635 | ay: -0.658081 | az: -1.29814
ax: 1.73831 | ay: -2.36443 | az: -1.48361
ax: 1.8533 | ay: -2.98859 | az: -1.20296
ax: 1.96811 | ay: -2.99071 | az: -1.35001
ax: 2.06049 | ay: -2.98071 | az: -0.923248
ax: 1.66071 | ay: -2.97404 | az: -1.30853
ax: 0.18573 | ay: -1.45203 | az: -1.52104
ax: -1.92299 | ay: -1.97162 | az: -0.578323
ax: -0.980118 | ay: -0.654556 | az: -0.952942
ax: 1.60484 | ay: -0.293686 | az: -1.22958
ax: 1.05035 | ay: 0.142685 | az: -1.63606
ax: 0.378296 | ay: -0.0704651 | az: -0.258865
ax: -0.657074 | ay: -0.939484 | az: -0.0667572
ax: -0.663849 | ay: -0.591064 | az: 0.174255
ax: 0.0115204 | ay: 1.76546 | az: 1.53023
ax: 1.29532 | ay: 2.07379 | az: 2.17247
ax: 1.40346 | ay: 2.20914 | az: 2.7748
ax: 1.46713 | ay: 2.24149 | az: 2.81096
ax: 1.12955 | ay: 2.13977 | az: 2.82648
ax: 1.38503 | ay: 1.53688 | az: 2.78929
ax: -0.714828 | ay: -0.99321 | az: 2.25813
ax: 1.25864 | ay: 1.92239 | az: 2.66655
ax: 1.19949 | ay: 1.87979 | az: -1.41286
ax: 1.19469 | ay: -1.24997 | az: 2.53842
ax: 0.73999 | ay: 1.65408 | az: 0.466614
ax: 1.21169 | ay: 1.07759 | az: -0.876541
ax: 1.23323 | ay: -2.01201 | az: -1.32983
ax: 1.22807 | ay: -2.52168 | az: -1.63683
ax: 1.2332 | ay: 0.73735 | az: 0.0467987
ax: 0.020752 | ay: 1.37306 | az: 1.18571
ax: 1.32471 | ay: -2.01813 | az: -0.946487
ax: 1.39308 | ay: -2.12894 | az: -0.699631
ax: 1.48706 | ay: -0.576904 | az: -0.971649
ax: 1.58621 | ay: -2.12541 | az: -1.20793
ax: 1.67863 | ay: -2.94258 | az: -1.11197
ax: 1.7677 | ay: -2.97154 | az: -1.54395
ax: 1.83897 | ay: -2.97786 | az: -1.11308
ax: 1.37085 | ay: -2.97794 | az: -0.839523
ax: -0.618027 | ay: -1.65237 | az: -0.933014
ax: -2.18269 | ay: -1.13016 | az: -0.635635
ax: -1.31094 | ay: 0.203308 | az: -1.19876
ax: 0.641968 | ay: -0.544724 | az: -1.29256
ax: 0.931503 | ay: 0.142532 | az: -0.889297
ax: -0.220673 | ay: -0.0342712 | az: -0.533615
ax: -1.23761 | ay: -0.156754 | az: 0.252853
ax: -1.29509 | ay: 1.00372 | az: 0.773758
ax: -0.084671 | ay: 1.96916 | az: 1.82256
ax: 1.36543 | ay: 2.07172 | az: 2.76947
5: [20200927211343.515]
> sum ax: 36.5101 | sum ay: -27.2765 | sum az: -5.02963
>> avg ax: 0.730201 | avg ay: -0.545531 | avg az: -0.100593
>>> vx: 7.15597 | vy: -5.3462 | vz: -0.985808
>>> sx: 4.49717 | sy: -3.65315 | sz: -1.00279
>>> a: 0.917015
>>> v: 8.98674
>>> s: 5.88011

ax: 1.44336 | ay: 2.18382 | az: 2.8101
ax: 1.47699 | ay: 2.23199 | az: 2.82008
ax: 1.11563 | ay: 2.18199 | az: 2.81378
ax: 1.08992 | ay: 2.07851 | az: 2.7829
ax: 1.2865 | ay: -2.01428 | az: -1.2995
ax: -1.58762 | ay: 1.82748 | az: 2.60233
ax: 0.488708 | ay: 1.6953 | az: -0.253494
ax: 1.26117 | ay: 1.60083 | az: -0.984421
ax: 1.29794 | ay: 0.733292 | az: 0.275024
ax: 1.32318 | ay: -1.58328 | az: -0.638855
ax: 1.30763 | ay: -2.60406 | az: -1.60548
ax: 1.28609 | ay: -0.486435 | az: -1.619
ax: 0.673477 | ay: 1.4171 | az: -1.43858
ax: 1.33173 | ay: -1.70929 | az: -0.477661
ax: 1.36409 | ay: -1.37093 | az: -0.410019
ax: 1.43297 | ay: -0.925537 | az: -0.649902
ax: 1.52155 | ay: -0.669785 | az: -0.982758
ax: 1.60275 | ay: -2.88994 | az: -1.05164
ax: 1.6834 | ay: -2.94507 | az: -1.38199
ax: 1.75838 | ay: -2.97018 | az: -0.884827
ax: 1.72226 | ay: -2.97971 | az: -0.482086
ax: 0.662903 | ay: -1.87384 | az: -0.553665
ax: -1.909 | ay: -1.35309 | az: -1.37965
ax: -2.30637 | ay: -0.29422 | az: -0.504761
ax: -0.278595 | ay: -0.215302 | az: -0.951736
ax: 0.566727 | ay: -0.526108 | az: -1.13327
ax: 0.515732 | ay: -0.0638123 | az: -0.465515
ax: -0.105011 | ay: -0.582031 | az: 0.235062
ax: -0.280136 | ay: -0.402802 | az: 0.452713
ax: -0.0570374 | ay: 0.825882 | az: 1.22267
ax: 1.09924 | ay: 1.92345 | az: 2.79071
ax: 1.50394 | ay: 1.99184 | az: 2.85019
ax: 1.58865 | ay: 2.11684 | az: 2.9039
ax: 1.217 | ay: 2.16719 | az: 2.58235
ax: 1.03728 | ay: 2.09991 | az: 2.92163
ax: 0.838943 | ay: 1.20387 | az: 2.90923
ax: 0.257889 | ay: 0.638657 | az: 2.58464
ax: 1.44455 | ay: 1.91974 | az: -1.17233
ax: 1.34428 | ay: -2.06961 | az: -1.24821
ax: 1.32147 | ay: -2.1814 | az: 2.71176
ax: 0.181686 | ay: 0.103409 | az: 0.538544
ax: 1.26685 | ay: 0.30748 | az: -0.0294189
ax: 1.27954 | ay: -1.06548 | az: -1.16458
ax: 1.28864 | ay: -2.47023 | az: -1.47772
ax: 1.2934 | ay: -2.51234 | az: -1.07207
