> sum ax: -12.7038 | sum ay: -2.54466 | sum az: -2.04108
>> avg ax: -0.254076 | avg ay: -0.0508933 | avg az: -0.0408215
>>> vx: -1.24497 | vy: -0.249377 | vz: -0.200026
>>> sx: -0.514119 | sy: -0.622306 | sz: -0.307988
>>> a: 0.262319
>>> v: 1.28536
>>> s: 0.863967

ax: -0.519699 | ay: 0.924622 | az: -0.0778046
ax: 0.343185 | ay: 0.892044 | az: -0.0078125
ax: -0.117264 | ay: -0.237534 | az: -0.254852
ax: 0.0688782 | ay: 0.103409 | az: 0.155548
ax: 0.406219 | ay: 0.686096 | az: 0.348419
ax: 0.502686 | ay: 0.858826 | az: 0.310867
ax: 0.510986 | ay: 0.720337 | az: 0.249512
ax: 0.494965 | ay: 0.655518 | az: 0.246628
ax: 0.445923 | ay: 0.474411 | az: 0.225464
ax: 0.441788 | ay: 0.406723 | az: 0.174255
ax: 0.448074 | ay: 0.394684 | az: 0.109451
ax: 0.345169 | ay: 0.329147 | az: 0.0907745
ax: 0.227768 | ay: 0.216461 | az: 0.0671082
ax: 0.0203094 | ay: 0.00819397 | az: -0.0748138
ax: -0.245377 | ay: -0.139038 | az: -0.161926
ax: -0.632339 | ay: -0.444138 | az: -0.36409
ax: -1.03745 | ay: -0.721695 | az: -0.588058
ax: -1.07178 | ay: -1.35361 | az: -0.765457
ax: -1.10664 | ay: -1.78978 | az: -0.801575
ax: -0.742798 | ay: -1.57072 | az: -1.07153
ax: -0.451279 | ay: -2.0699 | az: -0.903839
ax: -0.230453 | ay: -2.26154 | az: -0.495865
ax: -0.554916 | ay: -0.762772 | az: -0.230255
ax: 0.0994568 | ay: 0.287338 | az: -0.0344086
ax: -0.102646 | ay: 1.1138 | az: 0.762817
ax: -0.687607 | ay: -0.750351 | az: 0.463074
ax: -0.689941 | ay: -0.683807 | az: 0.0817871
ax: -0.378128 | ay: -0.334167 | az: -0.123611
ax: -0.0206909 | ay: -0.190414 | az: -0.289154
ax: -0.137604 | ay: -0.289215 | az: -0.274719
ax: 0.0704956 | ay: -0.234528 | az: -0.129547
ax: -0.110306 | ay: -0.157776 | az: -0.0144653
ax: -0.0913849 | ay: -0.022171 | az: -0.00338745
ax: 0.00553894 | ay: 0.00791931 | az: -0.0859833
ax: -0.0237579 | ay: 0.0080719 | az: -0.0444031
ax: 0.0193939 | ay: 0.0932007 | az: -0.0994568
ax: 0.0336914 | ay: 0.131042 | az: -0.0414581
ax: 0.0105591 | ay: -0.0276642 | az: 0.02771
ax: 0.019455 | ay: -0.0142975 | az: 0.0353546
ax: 0.0166168 | ay: 0.0337372 | az: 0.00958252
ax: 0.0171356 | ay: 0.0831757 | az: -0.00328064
ax: 0.0124359 | ay: 0.0608978 | az: 0.000579834
ax: -0.00379944 | ay: 0.0219269 | az: -0.0297699
ax: -0.00222778 | ay: -0.0102997 | az: 0.000457764
ax: -0.00323486 | ay: 0.0574799 | az: 0.0401917
ax: -0.0198517 | ay: 0.0345917 | az: 0.0278168
ax: -0.00790405 | ay: 0.0375061 | az: 0.000320435
ax: -0.00201416 | ay: 0.0460358 | az: -0.00733948
ax: -0.0434113 | ay: 0.00521851 | az: 0.0380402
ax: -0.119278 | ay: -0.0437164 | az: 0.123322
time: 3
[20210722075740.953]
> sum ax: -4.59305 | sum ay: -5.41672 | sum az: -3.38979
>> avg ax: -0.091861 | avg ay: -0.108334 | avg az: -0.0677957
>>> vx: -0.450119 | vy: -0.530838 | vz: -0.332199
>>> sx: -0.180043 | sy: -0.149774 | sz: -0.181168
>>> a: 0.157388
>>> v: 0.771202
>>> s: 0.29609

ax: -0.17804 | ay: 0.0596466 | az: 0.133484
ax: -0.193222 | ay: 0.11792 | az: 0.139206
ax: -0.19133 | ay: 0.0882416 | az: 0.114273
ax: -0.275681 | ay: 0.185699 | az: 0.04216
ax: -0.482544 | ay: 0.274704 | az: -0.0321198
ax: -0.774017 | ay: 0.339783 | az: -0.0194244
ax: -1.09915 | ay: 0.676437 | az: 0.128281
ax: -1.1138 | ay: 1.81821 | az: 0.480835
ax: -1.13042 | ay: 0.671982 | az: 0.31929
ax: -0.953659 | ay: 0.78688 | az: 0.103378
ax: -0.804749 | ay: 0.896317 | az: -0.304504
ax: -0.128967 | ay: 1.03354 | az: -0.128296
ax: 0.459137 | ay: -0.0846252 | az: -0.249924
