>>> sx: 1.82861 | sy: 0.593201 | sz: 0.0186084
>>> a: 0.318461
>>> v: 3.12092
>>> s: 1.92251

ax: 0.334076 | ay: 0.115723 | az: 0.0297699
ax: 0.821548 | ay: 0.469711 | az: -0.0314178
ax: 1.05057 | ay: 1.0302 | az: -0.0865326
ax: 1.08937 | ay: 1.96014 | az: 0.184738
ax: 1.12276 | ay: 2.40688 | az: -0.507858
ax: 0.735611 | ay: 2.45169 | az: 0.140549
ax: 0.127274 | ay: 2.42429 | az: 0.388367
ax: 1.10498 | ay: 1.6001 | az: -0.740921
ax: -1.39049 | ay: -1.68692 | az: -0.667572
ax: 0.866455 | ay: -0.480301 | az: 0.915222
ax: 0.794388 | ay: 0.330948 | az: 0.553467
ax: 0.395584 | ay: 0.649414 | az: 0.585602
ax: 1.03705 | ay: 2.05093 | az: -0.334595
ax: 0.290192 | ay: 0.121933 | az: 0.181625
ax: 0.13028 | ay: 0.0276947 | az: -0.00239563
ax: -0.193954 | ay: -0.0565491 | az: -0.357147
ax: 0.0700531 | ay: -0.0969391 | az: 0.0239563
ax: 0.0659943 | ay: -0.174881 | az: 0.0878754
ax: -0.0480042 | ay: -0.218018 | az: 0.0514374
ax: 0.0196686 | ay: -0.0392761 | az: -0.153809
ax: -0.0684662 | ay: -0.103775 | az: -0.0740967
ax: 0.00401306 | ay: -0.234818 | az: -0.026123
ax: 0.00799561 | ay: -0.24649 | az: 0.0323792
ax: 0.030365 | ay: -0.268097 | az: -0.0441437
ax: -0.00233459 | ay: -0.176346 | az: -0.0571289
ax: 0.0921173 | ay: -0.0914917 | az: -0.00798035
ax: 0.104309 | ay: -0.14946 | az: 0.0395203
ax: 0.129135 | ay: -0.1577 | az: 0.0446777
ax: 0.176453 | ay: -0.292191 | az: 0.0607147
ax: 0.152161 | ay: -0.313416 | az: 0.0179291
ax: 0.243011 | ay: -0.397263 | az: 0.0272217
ax: 0.31044 | ay: -0.462326 | az: -0.101654
ax: 0.445511 | ay: -0.496719 | az: 0.107849
ax: 0.501297 | ay: -0.500015 | az: 0.177383
ax: 0.637192 | ay: -0.620117 | az: 0.0302734
ax: 1.13148 | ay: -0.743637 | az: -0.12323
ax: 1.15526 | ay: -1.91243 | az: -0.500198
ax: 1.17862 | ay: -2.25145 | az: 0.129471
