steps: 533
ax: -0.341675 | ay: 0.221725 | az: 0.0848236
ax: -0.884506 | ay: -2.29482 | az: -0.0919189
ax: -0.295212 | ay: -2.0052 | az: -0.598022
ax: -0.317505 | ay: 1.60196 | az: 0.0927582
ax: -0.518326 | ay: 0.268387 | az: 0.60881
ax: -0.752747 | ay: -0.873169 | az: 0.19754
ax: -0.263443 | ay: -0.134338 | az: 0.302872
ax: -0.0505371 | ay: -0.560959 | az: -0.301926
ax: -0.215576 | ay: -0.483871 | az: -0.0527649
ax: -0.0697021 | ay: -0.212738 | az: -0.045578
ax: -0.1035 | ay: -0.226105 | az: 0.04039
ax: -0.0452881 | ay: 0.0668335 | az: -0.00985718
ax: -0.0472107 | ay: 0.0289459 | az: 0.0269165
ax: -0.0471649 | ay: 0.0166779 | az: -0.0278625
ax: -0.00640869 | ay: -0.00971985 | az: -0.0560608
ax: 0.0455933 | ay: -0.0583649 | az: -0.0523224
ax: 0.0206299 | ay: 0.0791626 | az: -0.00611877
ax: 0.00241089 | ay: 0.0452881 | az: 0.0579529
ax: 0.01828 | ay: 0.0136261 | az: 0.0428009
ax: 0.00320435 | ay: -0.00140381 | az: 0.00367737
ax: -0.00495911 | ay: 0.0454254 | az: 0.0234985
ax: -0.0332489 | ay: 0.0686951 | az: 0.055954
ax: -0.0692902 | ay: -0.0186462 | az: 0.0900574
ax: -0.086731 | ay: 0.0310974 | az: 0.107239
ax: -0.0662384 | ay: 0.0905151 | az: 0.0398254
ax: -0.0808563 | ay: -0.00732422 | az: -0.0746002
ax: -0.188446 | ay: 0.0376587 | az: -0.0401917
ax: -0.353516 | ay: 0.218048 | az: 0.0528259
ax: -0.359421 | ay: 0.143585 | az: 0.0977478
ax: -0.44754 | ay: 0.247833 | az: 0.13002
ax: -0.48436 | ay: 0.279663 | az: 0.0353851
ax: -0.750183 | ay: 0.354752 | az: -0.241501
ax: -1.09296 | ay: 0.424652 | az: -0.315796
ax: -1.11021 | ay: 1.30284 | az: -0.764191
ax: -1.12723 | ay: 1.78177 | az: -0.186096
ax: -1.09032 | ay: 1.08508 | az: -0.410843
