ax: -0.570312 | ay: -2.6888 | az: -1.33363
ax: -0.0381622 | ay: 0.67868 | az: 0.18335
ax: 0.0761108 | ay: 0.841263 | az: 0.169037
ax: 0.149673 | ay: 0.789841 | az: 0.234406
ax: 0.123489 | ay: 0.645325 | az: 0.309113
ax: 0.044693 | ay: 0.571381 | az: 0.296814
ax: 0.00413513 | ay: 0.466354 | az: 0.255432
ax: -0.0187836 | ay: 0.378845 | az: 0.184509
ax: -0.0460205 | ay: 0.304199 | az: 0.119705
ax: -0.0696869 | ay: 0.278275 | az: 0.071228
ax: -0.0915222 | ay: 0.219955 | az: 0.0159912
ax: -0.121521 | ay: 0.121124 | az: -0.0222626
ax: -0.190063 | ay: 0.0335693 | az: -0.0452728
ax: -0.183716 | ay: -0.0448151 | az: -0.0666504
ax: -0.158401 | ay: -0.116013 | az: -0.0678558
ax: -0.126465 | ay: -0.0696411 | az: -0.0457153
ax: -0.0993042 | ay: -0.118347 | az: -0.0960693
ax: -0.0670776 | ay: -0.225708 | az: -0.118317
ax: -0.049881 | ay: -0.239914 | az: -0.0666046
ax: 0.029892 | ay: -0.213226 | az: -0.0928192
ax: 0.0430908 | ay: -0.316864 | az: -0.13208
ax: 0.0672302 | ay: -0.319916 | az: -0.185059
ax: 0.0498505 | ay: -0.351639 | az: -0.211761
ax: 0.0803223 | ay: -0.407913 | az: -0.258698
ax: 0.0740356 | ay: -0.403885 | az: -0.274582
ax: 0.0617065 | ay: -0.431046 | az: -0.334396
ax: 0.0479584 | ay: -0.477203 | az: -0.42926
ax: -0.312271 | ay: -0.198502 | az: -0.3517
ax: 0.0333557 | ay: 0.261551 | az: 0.0161743
ax: -0.0275879 | ay: 0.787018 | az: 0.563965
ax: -0.171463 | ay: 0.211044 | az: 0.401901
ax: -0.283569 | ay: 0.0742493 | az: 0.187531
ax: -0.174454 | ay: 0.128555 | az: -0.0400696
ax: -0.0502167 | ay: 0.25676 | az: -0.284164
ax: -0.0249786 | ay: 0.0890808 | az: -0.340546
ax: 0.0372925 | ay: 0.0124054 | az: -0.29483
ax: -0.203461 | ay: -0.0770264 | az: 0.0740967
ax: -0.0114136 | ay: -0.0308685 | az: 0.0703125
ax: -0.0691681 | ay: 0.0509796 | az: 0.0742035
ax: -0.0476379 | ay: 0.193893 | az: 0.0540009
ax: 0.0123596 | ay: 0.198013 | az: -0.00276184
ax: 0.0175629 | ay: 0.184326 | az: -0.0141907
ax: 0.0207977 | ay: 0.155716 | az: 0.013092
ax: 0.014328 | ay: 0.161469 | az: 0.110428
ax: 0.00558472 | ay: 0.135178 | az: 0.137695
ax: 0.00100708 | ay: 0.138306 | az: 0.0986328
ax: 0.0239258 | ay: 0.14418 | az: 0.0466766
ax: 0.0283508 | ay: 0.195831 | az: 0.00750732
ax: 0.00111389 | ay: 0.182358 | az: 0.0122681
