steps: 145
ax: -0.142792 | ay: -0.686462 | az: -0.0167999
ax: -0.665817 | ay: -0.625916 | az: 0.0172882
ax: -0.346802 | ay: 1.53047 | az: 0.838943
ax: -1.00745 | ay: -1.35103 | az: 0.529343
ax: -0.363846 | ay: -0.237579 | az: -0.0238647
ax: -0.109726 | ay: -0.806259 | az: -0.125534
ax: -0.195862 | ay: -0.651764 | az: -0.25621
ax: -0.0998993 | ay: -0.550888 | az: 0.0870361
ax: -0.052002 | ay: -0.243454 | az: -0.0160065
ax: -0.0523224 | ay: -0.0125885 | az: 0.288635
ax: -0.181686 | ay: 0.126236 | az: 0.190475
ax: -0.0341949 | ay: -0.0646362 | az: 0.068634
ax: -0.0102234 | ay: -0.174698 | az: -0.175552
ax: 0.0335388 | ay: -0.146255 | az: -0.135208
ax: -0.0261536 | ay: 0.0414124 | az: 0.104645
ax: -0.0762939 | ay: 0.121201 | az: 0.261398
ax: -0.03685 | ay: -0.0412598 | az: 0.0973358
ax: 0.000244141 | ay: -0.0887909 | az: -0.0296936
ax: 0.00190735 | ay: -0.0341034 | az: 0.00202942
ax: -0.0340576 | ay: -0.0280151 | az: 0.0937042
ax: -0.0282288 | ay: -0.053833 | az: 0.0915833
ax: -0.0235596 | ay: -0.0192566 | az: 0.0816956
ax: -0.0816956 | ay: -0.0298767 | az: 0.0579987
ax: -0.122513 | ay: -0.0816345 | az: 0.0608063
ax: -0.144958 | ay: 0.101715 | az: 0.136185
ax: -0.137848 | ay: 0.122253 | az: 0.117935
ax: -0.270889 | ay: 0.140427 | az: 0.0564117
ax: -0.332321 | ay: 0.177368 | az: 0.0486298
ax: -0.434006 | ay: 0.22226 | az: 0.147812
ax: -0.443634 | ay: 0.279037 | az: 0.0440063
ax: -0.684662 | ay: 0.316483 | az: -0.226639
ax: -1.08624 | ay: 0.454971 | az: -0.390671
ax: -1.1051 | ay: 1.321 | az: -0.638245
ax: -1.12668 | ay: 1.17693 | az: 0.237915
ax: -1.05881 | ay: 1.1308 | az: -0.520508
ax: -0.939224 | ay: 0.878357 | az: -0.581345
ax: 0.0872803 | ay: 0.752411 | az: -0.577789
ax: 0.400055 | ay: -0.0850067 | az: -0.401337
ax: 0.0856018 | ay: -0.55365 | az: -0.0070343
ax: 0.492844 | ay: 0.410889 | az: 0.0992126
ax: 0.767715 | ay: 0.950851 | az: -0.0118256
ax: 0.755005 | ay: 1.00232 | az: -0.0158081
ax: 0.731796 | ay: 0.758224 | az: 0.0039978
ax: 0.678757 | ay: 0.476913 | az: -0.00488281
ax: 0.639572 | ay: 0.346649 | az: -0.0121002
ax: 0.61705 | ay: 0.361908 | az: 0.0279083
ax: 0.58223 | ay: 0.297485 | az: 0.0500793
ax: 0.448776 | ay: 0.261642 | az: 0.00430298
ax: 0.231354 | ay: 0.115982 | az: -0.0705414
ax: -0.037796 | ay: -0.0409698 | az: 0.179977
time: 1
[20210805061753.189]
> sum ax: -4.94041 | sum ay: 7.26826 | sum az: -0.21167
>> avg ax: -0.0988083 | avg ay: 0.145365 | avg az: -0.0042334
>>> vx: -0.484161 | vy: 0.71229 | vz: -0.0207436
>>> sx: -0.507763 | sy: -0.0498225 | sz: 0.101345
>>> a: 0.175818
>>> v: 0.86151
>>> s: 0.52017

steps: 146
ax: -0.476334 | ay: -0.332321 | az: 0.119278
ax: -1.06567 | ay: -0.830658 | az: 0.0241699
ax: -1.1064 | ay: -1.28993 | az: -0.0599518
ax: -1.14925 | ay: -1.76515 | az: -0.00759888
ax: -1.18851 | ay: -2.00833 | az: -0.376099
ax: -1.03542 | ay: -2.40796 | az: 0.338593
ax: -0.651627 | ay: -2.44287 | az: 0.926346
ax: -0.62851 | ay: -1.91745 | az: 0.361053
ax: -0.125305 | ay: 1.03575 | az: -0.157425
ax: -0.347275 | ay: 1.51814 | az: 0.91394
ax: -1.103 | ay: -1.23375 | az: 0.16507
ax: -0.586945 | ay: -0.370728 | az: 0.123291
ax: -0.0772705 | ay: -0.540298 | az: -0.368088
ax: -0.368958 | ay: -0.792206 | az: 0.0141296
ax: -0.0284424 | ay: -0.255142 | az: 0.0179901
ax: -0.0458527 | ay: -0.163513 | az: 0.219528
ax: -0.121185 | ay: -0.0777435 | az: 0.212479
ax: -0.106491 | ay: -0.0035553 | az: 0.0191193
ax: -0.0469666 | ay: -0.0224457 | az: 0.0140228
ax: 0.023468 | ay: -0.109695 | az: -0.0702515
ax: 0.0236359 | ay: -0.0596313 | az: 0.0912933
ax: -0.042923 | ay: 0.0584412 | az: 0.126938
ax: -0.0278625 | ay: 0.00582886 | az: 0.0849609
ax: -0.00201416 | ay: -0.034256 | az: 0.02005
ax: -0.0176849 | ay: -0.0120392 | az: 0.0920258
ax: -0.0549469 | ay: 0.00602722 | az: 0.116821
ax: -0.0556641 | ay: 0.0808411 | az: 0.170105
ax: -0.0383301 | ay: 0.0448608 | az: 0.0443878
ax: -0.0687256 | ay: -0.0784149 | az: 0.077774
ax: -0.0542145 | ay: -0.00938416 | az: 0.0335083
ax: -0.132156 | ay: 0.039978 | az: 0.0572662
ax: -0.136566 | ay: 0.0579529 | az: 0.103043
ax: -0.195709 | ay: 0.13591 | az: 0.117996
ax: -0.253372 | ay: 0.143906 | az: 0.0351715
ax: -0.317734 | ay: 0.175415 | az: 0.0521088
ax: -0.39978 | ay: 0.260117 | az: 0.134781
ax: -0.462692 | ay: 0.293503 | az: -0.00448608
ax: -0.668121 | ay: 0.34024 | az: -0.173828
ax: -1.10283 | ay: 0.301758 | az: -0.200333
ax: -1.11874 | ay: 1.46071 | az: -0.857712
ax: -1.134 | ay: 1.55046 | az: 0.0956726
ax: -0.971909 | ay: 0.89006 | az: -0.516678
ax: -0.965317 | ay: 0.861206 | az: -0.633911
ax: -0.0878754 | ay: 0.733658 | az: -0.52713
ax: 0.384476 | ay: -0.426773 | az: -0.211243
ax: 0.228012 | ay: -0.41687 | az: -0.403107
ax: 0.510391 | ay: 0.639969 | az: 0.0501099
ax: 0.678085 | ay: 0.998306 | az: 0.059494
ax: 0.703949 | ay: 0.885727 | az: 0.0542755
ax: 0.752686 | ay: 0.763138 | az: 0.0355225
time: 2
[20210805061754.187]
> sum ax: -15.2639 | sum ay: -4.31921 | sum az: 0.554474
>> avg ax: -0.305277 | avg ay: -0.0863843 | avg az: 0.0110895
>>> vx: -1.49586 | vy: -0.423283 | vz: 0.0543384
>>> sx: -1.07001 | sy: -1.06199 | sz: 0.201632
>>> a: 0.317458
>>> v: 1.55554
>>> s: 1.52098

steps: 147
ax: 0.726929 | ay: 0.562012 | az: 0.00350952
ax: 0.658539 | ay: 0.440109 | az: -0.0022583
ax: 0.637054 | ay: 0.351868 | az: 0.0243988
ax: 0.575897 | ay: 0.309982 | az: 0.00265503
ax: 0.457077 | ay: 0.332382 | az: 0.0749512
ax: 0.146759 | ay: 0.0985107 | az: 0.0456543
ax: -0.110825 | ay: -0.234467 | az: 0.165634
ax: -0.445389 | ay: -0.411469 | az: 0.34523
ax: -1.05089 | ay: -0.791702 | az: 0.262405
ax: -1.12273 | ay: -1.55518 | az: 0.121246
ax: -1.16075 | ay: -2.02826 | az: -0.037674
ax: -1.10832 | ay: -2.14732 | az: -0.310165
ax: -0.927048 | ay: -2.4856 | az: 0.485489
ax: -0.763199 | ay: -1.96582 | az: 0.986252
ax: -0.00520325 | ay: -1.04684 | az: -0.49202
ax: -0.474548 | ay: 1.62332 | az: 0.380768
ax: -0.82547 | ay: -0.272644 | az: 0.877197
ax: -0.667816 | ay: -0.745453 | az: -0.0422363
ax: -0.0760345 | ay: -0.143204 | az: 0.178146
ax: -0.171326 | ay: -1.0457 | az: -0.452606
ax: -0.146362 | ay: -0.40802 | az: 0.350586
ax: -0.174301 | ay: -0.268005 | az: -0.0139923
ax: -0.0148926 | ay: -0.0751953 | az: 0.153687
ax: -0.0809174 | ay: 0.0657959 | az: 0.16861
ax: -0.0712433 | ay: -0.0319824 | az: 0.0137482
ax: -0.0040741 | ay: 0.0166931 | az: -0.0699615
ax: -0.0058136 | ay: -0.0204315 | az: -0.129288
ax: 0.00138855 | ay: 0.0519714 | az: 0.0493164
ax: -0.0092926 | ay: 0.142807 | az: 0.110107
ax: -0.0175171 | ay: 0.0651245 | az: 0.112183
ax: 0.00758362 | ay: -0.0387115 | az: -0.0118408
ax: -0.0106354 | ay: 0.00222778 | az: 0.00759888
ax: -0.0491638 | ay: 0.00920105 | az: 0.129333
ax: -0.072113 | ay: -0.00605774 | az: 0.147888
ax: -0.0668335 | ay: 0.0354156 | az: 0.161621
ax: -0.0736237 | ay: 0.0431061 | az: 0.0825348
ax: -0.0962524 | ay: 0.0083313 | az: 0.0538025
ax: -0.104675 | ay: 0.0930786 | az: 0.0979462
ax: -0.206207 | ay: 0.140549 | az: 0.069809
ax: -0.259766 | ay: 0.154602 | az: 0.0470123
ax: -0.308182 | ay: 0.116287 | az: 0.0315857
ax: -0.366913 | ay: 0.191574 | az: 0.109482
ax: -0.455688 | ay: 0.241867 | az: 0.119629
ax: -0.573517 | ay: 0.29184 | az: 0.0468292
ax: -0.918488 | ay: 0.282639 | az: -0.000305176
ax: -1.11743 | ay: 1.20927 | az: -0.555359
ax: -1.13327 | ay: 1.88309 | az: -0.610474
ax: -1.15144 | ay: 0.984467 | az: 0.133499
ax: -1.02623 | ay: 0.708389 | az: -0.504776
ax: -0.721436 | ay: 0.849426 | az: -0.833145
time: 3
[20210805061755.180]
> sum ax: -14.9346 | sum ay: -4.41612 | sum az: 2.08424
>> avg ax: -0.298692 | avg ay: -0.0883224 | avg az: 0.0416849
>>> vx: -1.46359 | vy: -0.43278 | vz: 0.204256
>>> sx: -0.492023 | sy: -0.766172 | sz: 0.255394
>>> a: 0.314254
>>> v: 1.53984
>>> s: 0.945692

ax: 0.476761 | ay: 0.201904 | az: -0.212234
ax: -0.171753 | ay: -0.25441 | az: -0.180573
ax: 0.248505 | ay: 0.363815 | az: -0.0766907
ax: 0.708969 | ay: 0.853638 | az: -0.0818939
ax: 0.674698 | ay: 0.863449 | az: 0.0329285
ax: 0.727112 | ay: 0.826828 | az: 0.00344849
ax: 0.755035 | ay: 0.662003 | az: -0.0477142
ax: 0.654419 | ay: 0.475204 | az: -0.0523682
ax: 0.618454 | ay: 0.397736 | az: -0.0151215
ax: 0.570801 | ay: 0.348404 | az: 0.00247192
ax: 0.539841 | ay: 0.283005 | az: -0.00708008
ax: 0.411194 | ay: 0.272781 | az: -0.0187225
ax: 0.100159 | ay: 0.0333557 | az: -0.0809784
ax: -0.24176 | ay: -0.263046 | az: 0.0399017
ax: -0.627167 | ay: -0.5522 | az: 0.133316
ax: -1.08488 | ay: -0.96843 | az: -0.0282593
ax: -1.13026 | ay: -1.70737 | az: -0.0544891
ax: -1.17145 | ay: -2.13406 | az: -0.189987
ax: -1.1949 | ay: -2.33499 | az: -0.114136
ax: -0.873016 | ay: -2.51538 | az: 1.02072
ax: -0.969467 | ay: -2.06464 | az: 0.262924
ax: 0.212006 | ay: -0.539871 | az: -0.876282
ax: -0.298615 | ay: 1.59161 | az: 0.616699
ax: -0.826736 | ay: -0.0591278 | az: 0.766022
ax: -0.912689 | ay: -0.815109 | az: 0.170242
ax: -0.175095 | ay: -0.239151 | az: 0.422028
ax: -0.24823 | ay: -0.821854 | az: -0.26265
ax: -0.150238 | ay: -0.466827 | az: 0.0163574
ax: 0.000656128 | ay: -0.213181 | az: -0.124832
ax: 0.0695953 | ay: -0.102844 | az: -0.0288391
ax: -0.077652 | ay: -0.0187073 | az: 0.210251
ax: -0.116684 | ay: -0.029541 | az: 0.0662079
ax: -0.0232391 | ay: 0.0182953 | az: 0.0418243
ax: -0.0271301 | ay: -0.00543213 | az: -0.138657
ax: 0.0345917 | ay: 0.0763245 | az: -0.0422516
ax: 0.00135803 | ay: 0.124039 | az: 0.048645
ax: -0.00575256 | ay: 0.0946808 | az: 0.117554
ax: -0.0411682 | ay: 0.0353851 | az: 0.0852203
ax: -0.0293732 | ay: -0.00953674 | az: 0.00761414
ax: -0.00198364 | ay: -0.0128937 | az: 0.0733948
ax: 0.00558472 | ay: 0.0270996 | az: 0.0576324
ax: -0.0189667 | ay: 0.13324 | az: 0.079483
ax: -0.0864258 | ay: 0.0126343 | az: 0.0915985
ax: -0.142624 | ay: -0.0367889 | az: 0.159576
ax: -0.130219 | ay: 0.0269318 | az: 0.0579987
ax: -0.123703 | ay: 0.158752 | az: 0.134491
ax: -0.189728 | ay: 0.165771 | az: 0.0318756
ax: -0.255112 | ay: 0.109329 | az: -0.0352173
ax: -0.349258 | ay: 0.155106 | az: 0.0411224
ax: -0.439957 | ay: 0.237076 | az: 0.0866241
time: 4
[20210805061756.184]
> sum ax: -5.3255 | sum ay: -7.61699 | sum az: 2.2092
>> avg ax: -0.10651 | avg ay: -0.15234 | avg az: 0.044184
>>> vx: -0.521899 | vy: -0.746465 | vz: 0.216501
>>> sx: -0.0703124 | sy: -0.392296 | sz: 0.0566431
>>> a: 0.19106
>>> v: 0.936195
>>> s: 0.402552

steps: 148
ax: -0.503403 | ay: 0.328033 | az: 0.0254822
ax: -0.900879 | ay: 0.294891 | az: -0.0283051
ax: -1.10326 | ay: 0.686676 | az: -0.490952
ax: -1.11772 | ay: 2.15521 | az: -0.727722
ax: -1.13614 | ay: 1.01241 | az: 0.261398
ax: -0.846344 | ay: 0.706421 | az: -0.471176
ax: -0.750671 | ay: 0.82196 | az: -0.813904
ax: 0.395264 | ay: 0.657394 | az: -0.285294
ax: -0.105331 | ay: -0.295471 | az: -0.0505371
ax: 0.304977 | ay: -0.118301 | az: -0.163818
ax: 0.655319 | ay: 0.704681 | az: 0.0330353
ax: 0.697891 | ay: 0.912766 | az: 0.0289612
ax: 0.714828 | ay: 0.852066 | az: 0.000411987
ax: 0.777756 | ay: 0.73172 | az: -0.0158844
ax: 0.711975 | ay: 0.546875 | az: 0.0138702
ax: 0.656464 | ay: 0.423721 | az: 0.00747681
ax: 0.643707 | ay: 0.323975 | az: 0.019928
ax: 0.591492 | ay: 0.324127 | az: -0.000656128
ax: 0.467804 | ay: 0.363098 | az: 0.0348816
ax: 0.178452 | ay: 0.169479 | az: -0.012207
ax: -0.108032 | ay: -0.0814056 | az: 0.0295258
ax: -0.577209 | ay: -0.455994 | az: 0.130219
ax: -1.06665 | ay: -0.929108 | az: 0.100143
ax: -1.10811 | ay: -1.68697 | az: -0.181717
ax: -1.14578 | ay: -2.34766 | az: -0.529083
ax: -0.861145 | ay: -2.24652 | az: -0.80394
ax: -0.919403 | ay: -2.51257 | az: 0.0960846
ax: -1.17906 | ay: -2.01833 | az: 0.41098
ax: -0.3078 | ay: -0.806168 | az: 0.0126343
ax: -0.510391 | ay: 1.60268 | az: 0.189133
ax: -0.383392 | ay: 0.685699 | az: 0.933533
ax: -0.746674 | ay: -0.959793 | az: -0.110046
