ax: -0.0999603 | ay: 0.0464783 | az: 0.0805206
time: 2
[20210722063806.861]
> sum ax: -2.95999 | sum ay: -5.67192 | sum az: -1.72408
>> avg ax: -0.0591998 | avg ay: -0.113438 | avg az: -0.0344815
>>> vx: -0.290079 | vy: -0.555848 | vz: -0.168959
>>> sx: -0.192529 | sy: -0.457266 | sz: -0.173969
>>> a: 0.132521
>>> v: 0.649354
>>> s: 0.525761

ax: -0.163544 | ay: 0.0639038 | az: 0.116257
ax: -0.136078 | ay: 0.0894623 | az: 0.0325165
ax: -0.290359 | ay: 0.216248 | az: -0.0596619
ax: -0.424805 | ay: 0.164307 | az: -0.04422
ax: -0.550858 | ay: 0.17366 | az: 0.109177
ax: -0.777054 | ay: 0.209824 | az: 0.217209
ax: -1.02512 | ay: 0.490219 | az: 0.276688
ax: -0.741821 | ay: 1.15115 | az: 0.458237
ax: -0.770004 | ay: 0.650925 | az: 0.44072
ax: -0.641586 | ay: 0.4254 | az: 0.216202
ax: -0.606293 | ay: 0.64801 | az: -0.202438
ax: -0.287796 | ay: 0.774902 | az: -0.250931
ax: 0.341476 | ay: 0.604416 | az: 0.0479126
ax: -0.048233 | ay: 0.144562 | az: -0.158401
ax: 0.0860596 | ay: 0.22435 | az: 0.134872
ax: 0.319641 | ay: 0.502716 | az: 0.321228
ax: 0.438919 | ay: 0.689865 | az: 0.292267
ax: 0.531265 | ay: 0.679947 | az: 0.240646
ax: 0.529282 | ay: 0.635971 | az: 0.214935
ax: 0.489456 | ay: 0.519943 | az: 0.160187
ax: 0.418854 | ay: 0.367538 | az: 0.0981293
ax: 0.392395 | ay: 0.316437 | az: 0.0581665
ax: 0.312927 | ay: 0.318619 | az: -0.0572357
ax: 0.145966 | ay: 0.19339 | az: -0.108185
ax: -0.0567627 | ay: 0.00445557 | az: -0.150909
ax: -0.284592 | ay: -0.0606232 | az: -0.217285
ax: -0.642731 | ay: -0.271408 | az: -0.517929
ax: -1.02701 | ay: -0.989746 | az: -0.773514
ax: -1.04848 | ay: -1.53525 | az: -0.848907
ax: -0.783401 | ay: -1.56432 | az: -1.03394
ax: -0.481476 | ay: -1.18306 | az: -1.21674
ax: -0.327927 | ay: -1.5632 | az: -1.04404
ax: -0.276855 | ay: -1.85435 | az: -0.749802
ax: -0.301392 | ay: -1.5873 | az: -0.48671
ax: -0.411575 | ay: 0.974945 | az: 0.828781
ax: -0.0809631 | ay: 0.478165 | az: 0.122955
ax: -0.439484 | ay: -0.608826 | az: -0.32428
ax: -0.185242 | ay: -0.204376 | az: -0.516937
ax: -0.14415 | ay: -0.55043 | az: -0.225067
ax: -0.0744019 | ay: -0.433228 | az: -0.0708618
ax: -0.0525513 | ay: -0.282623 | az: -0.059082
ax: 0.0430603 | ay: 0.0712433 | az: -0.0600433
ax: 0.0391388 | ay: 0.0622864 | az: -0.0257111
ax: -0.0886536 | ay: -0.0571289 | az: 0.0318604
ax: -0.0233459 | ay: -0.0714874 | az: 0.0163116
ax: 0.0190582 | ay: 0.0888062 | az: -0.095932
ax: 0.0164337 | ay: 0.0602417 | az: -0.126663
ax: 0.0018158 | ay: 0.0675964 | az: 0.0329437
ax: -0.0413055 | ay: 0.0167236 | az: 0.0780029
ax: -0.0363007 | ay: -0.013916 | az: 0.0567474
time: 3
[20210722063807.860]
> sum ax: -9.14639 | sum ay: -0.751038 | sum az: -4.82246
>> avg ax: -0.182928 | avg ay: -0.0150208 | avg az: -0.0964493
>>> vx: -0.896347 | vy: -0.0736016 | vz: -0.472602
>>> sx: -0.560674 | sy: 0.339832 | sz: -0.0915646
>>> a: 0.207342
>>> v: 1.01598
>>> s: 0.661986

ax: 0.00553894 | ay: -0.0294952 | az: -0.0480042
ax: 0.0320129 | ay: -0.00379944 | az: -0.0485535
ax: 0.0323486 | ay: 0.000198364 | az: -0.0220642
ax: 0.0196381 | ay: 0.00723267 | az: -0.0138092
ax: 0.000747681 | ay: -0.0442047 | az: 0.00184631
ax: -0.0148773 | ay: -0.049057 | az: 0.00717163
ax: -0.0247345 | ay: -0.0406036 | az: 0.0443878
ax: -0.0357208 | ay: -0.025238 | az: 0.0410461
ax: -0.0744629 | ay: -0.0314178 | az: -0.00665283
ax: -0.0467529 | ay: 0.0410767 | az: 0.016571
ax: -0.0517731 | ay: 0.0480652 | az: 0.0423737
ax: -0.102325 | ay: 0.0905762 | az: 0.090683
ax: -0.153641 | ay: 0.105331 | az: 0.0853424
ax: -0.162109 | ay: 0.0225067 | az: 0.119705
ax: -0.13501 | ay: 0.0856781 | az: 0.0925903
ax: -0.288376 | ay: 0.124298 | az: -0.0306702
ax: -0.421036 | ay: 0.163696 | az: -0.0682373
ax: -0.626999 | ay: 0.214493 | az: 0.018631
ax: -0.971542 | ay: 0.00944519 | az: 0.16983
ax: -1.11375 | ay: 0.771057 | az: 0.3367
ax: -0.876755 | ay: 1.35646 | az: 0.465012
ax: -0.802719 | ay: 0.54808 | az: 0.299072
ax: -0.607956 | ay: 0.927948 | az: -0.204681
ax: -0.465744 | ay: 0.61879 | az: -0.242355
ax: 0.261871 | ay: 0.866974 | az: 0.0967712
ax: 0.0765991 | ay: 0.0526886 | az: -0.177826
ax: 0.152237 | ay: -0.0464478 | az: 0.00190735
ax: 0.331512 | ay: 0.311295 | az: 0.22374
ax: 0.419922 | ay: 0.79158 | az: 0.26741
ax: 0.535263 | ay: 0.835022 | az: 0.286499
ax: 0.527786 | ay: 0.716263 | az: 0.297806
ax: 0.477554 | ay: 0.447037 | az: 0.247391
ax: 0.437683 | ay: 0.294846 | az: 0.169922
ax: 0.440414 | ay: 0.319336 | az: 0.0153656
ax: 0.395538 | ay: 0.27832 | az: -0.022934
ax: 0.237122 | ay: 0.173599 | az: -0.0326843
ax: 0.0312042 | ay: 0.0249939 | az: -0.116379
ax: -0.201599 | ay: -0.172928 | az: -0.19577
ax: -0.575775 | ay: -0.440384 | az: -0.283218
ax: -1.03065 | ay: -0.813232 | az: -0.541519
ax: -1.05727 | ay: -1.39252 | az: -0.725433
ax: -1.05745 | ay: -1.48285 | az: -0.831573
ax: -0.686157 | ay: -1.33257 | az: -0.967804
ax: -0.524323 | ay: -1.91344 | az: -0.822083
ax: -0.370407 | ay: -2.44066 | az: -0.574982
ax: -0.161362 | ay: -1.21118 | az: -0.726959
ax: -0.338959 | ay: 0.157791 | az: 0.260376
ax: -0.245026 | ay: 0.828186 | az: 1.14391
