ax: -0.518143 | ay: -0.420959 | az: -0.247559
ax: -0.0132599 | ay: -0.176392 | az: -0.00869751
ax: -0.00253296 | ay: -0.158005 | az: -0.00863647
ax: -0.00198364 | ay: -0.169128 | az: -0.0137482
ax: -0.00282288 | ay: -0.174576 | az: -0.0196686
ax: 0.00369263 | ay: -0.168411 | az: -0.0177765
ax: 0.0106201 | ay: -0.116623 | az: 0.020462
ax: -0.00839233 | ay: -0.141342 | az: -0.0150299
ax: -0.0142212 | ay: -0.14299 | az: -0.0157318
ax: -0.00299072 | ay: -0.136932 | az: -0.015625
ax: 0.0253143 | ay: -0.133759 | az: 0.0014801
ax: -0.00265503 | ay: -0.0853119 | az: -0.00286865
ax: -0.0430298 | ay: -0.0387726 | az: -0.0232544
ax: -0.0296631 | ay: -0.0935669 | az: -0.0222321
ax: -0.0231781 | ay: -0.0882874 | az: -0.010437
ax: -0.0339355 | ay: -0.117813 | az: -0.013382
ax: -0.0566559 | ay: -0.0865631 | az: -0.00775146
ax: -0.0461273 | ay: -0.0580597 | az: -0.027771
ax: -0.105225 | ay: -0.0486145 | az: -0.0045929
ax: -0.128357 | ay: -0.0816803 | az: 0.00250244
ax: -0.201889 | ay: -0.00611877 | az: 0.0313873
ax: -0.196838 | ay: -0.0253754 | az: 0.0105743
ax: -0.250763 | ay: 0.0494843 | az: 0.0158081
ax: -0.285812 | ay: 0.0730133 | az: 0.0522614
ax: -0.276947 | ay: 0.0840302 | az: 0.0605774
ax: -0.111526 | ay: 0.138626 | az: -0.0271606
ax: 0.0311432 | ay: 0.0989532 | az: -0.149704
ax: 0.146774 | ay: 0.0421753 | az: 0.0755005
ax: 0.313217 | ay: 0.378738 | az: 0.227982
ax: 0.29689 | ay: 0.386963 | az: 0.156494
ax: 0.307159 | ay: 0.492416 | az: 0.175461
ax: 0.283539 | ay: 0.322418 | az: 0.167877
ax: 0.215942 | ay: 0.264923 | az: 0.146835
ax: 0.128387 | ay: 0.204132 | az: 0.132446
ax: 0.065567 | ay: 0.100525 | az: 0.123978
ax: -0.030304 | ay: 0.0257874 | az: 0.107773
ax: -0.124619 | ay: -0.0224762 | az: 0.0450592
ax: -0.143127 | ay: -0.0580292 | az: -0.0042572
ax: -0.168121 | ay: -0.152039 | az: -0.0492554
ax: -0.206604 | ay: -0.241241 | az: -0.0929565
ax: -0.239777 | ay: -0.333969 | az: -0.148651
ax: -0.29187 | ay: -0.421829 | az: -0.175507
ax: -0.321976 | ay: -0.503387 | az: -0.263992
ax: -0.309525 | ay: -0.544128 | az: -0.33342
ax: -0.217484 | ay: -0.646744 | az: -0.455521
ax: -0.132782 | ay: -0.853806 | az: -0.534317
ax: -0.113174 | ay: -1.07713 | az: -0.522339
ax: -0.0172272 | ay: -0.875305 | az: -0.440338
ax: -0.0323944 | ay: -0.644226 | az: -0.34166
ax: 0.0877838 | ay: -0.538956 | az: -0.259109
time: 1
[20210722065002.774]
> sum ax: -2.7899 | sum ay: -6.92036 | sum az: -2.71849
>> avg ax: -0.055798 | avg ay: -0.138407 | avg az: -0.0543698
>>> vx: -0.27341 | vy: -0.678196 | vz: -0.266412
>>> sx: -0.123776 | sy: -0.189836 | sz: -0.0257535
>>> a: 0.158827
>>> v: 0.778253
>>> s: 0.228082

ax: -0.0895538 | ay: 0.0234528 | az: -0.00749207
ax: -0.12616 | ay: 0.145386 | az: 0.420288
ax: -0.143692 | ay: 0.340408 | az: 0.121048
ax: -0.205551 | ay: -0.0380707 | az: 0.0417023
ax: -0.153824 | ay: -0.293503 | az: -0.00794983
ax: -0.0688782 | ay: -0.105942 | az: -0.123016
ax: -0.0365753 | ay: -0.0544739 | az: -0.193176
ax: 0.118515 | ay: -0.000488281 | az: -0.12793
ax: 0.0298615 | ay: -0.138275 | az: -0.0516815
ax: -0.0230408 | ay: -0.153229 | az: 0.0897827
ax: -0.0399933 | ay: 0.0405121 | az: 0.0641937
ax: -0.018631 | ay: 0.0488129 | az: -0.0181885
ax: -0.0605621 | ay: 0.0149994 | az: -0.00552368
ax: -0.0457916 | ay: 0.0257263 | az: 0.00714111
ax: -0.00238037 | ay: 0.115204 | az: -0.0472717
ax: -0.0222778 | ay: 0.0718689 | az: -0.0341339
ax: 0.00431824 | ay: 0.0610352 | az: 0.0149689
ax: -0.0173035 | ay: -0.0537872 | az: 0.043045
ax: -0.00263977 | ay: -0.0608826 | az: 0.00544739
ax: 0.00622559 | ay: -0.00228882 | az: -0.00511169
ax: 0.017334 | ay: -0.00808716 | az: -0.019989
ax: 0.00965881 | ay: -0.00801086 | az: 0.0462036
ax: -0.0315552 | ay: -0.000595093 | az: 0.0726013
ax: 0.000610352 | ay: 0.0751495 | az: 0.0487061
ax: -0.0124664 | ay: 0.0859985 | az: -0.00163269
ax: -0.0210571 | ay: 0.0447083 | az: -0.01297
ax: -0.015152 | ay: 0.0402527 | az: -0.00767517
ax: -0.0319824 | ay: 0.0570221 | az: 0.0478973
ax: -0.0315247 | ay: 0.0953217 | az: 0.0515289
ax: -0.0317993 | ay: 0.117264 | az: 0.0310669
ax: -0.0601654 | ay: 0.0491943 | az: 0.0380707
ax: -0.079422 | ay: 0.0650787 | az: 0.0424042
ax: -0.123093 | ay: 0.0817871 | az: 0.0592499
ax: -0.195023 | ay: 0.0353546 | az: 0.0661774
ax: -0.246338 | ay: 0.0483093 | az: 0.0102997
ax: -0.30394 | ay: 0.152527 | az: 0.0111694
ax: -0.495422 | ay: 0.176498 | az: 0.0303192
ax: -0.692307 | ay: 0.0808258 | az: 0.0780334
ax: -0.880402 | ay: 0.34584 | az: 0.200394
ax: -0.817047 | ay: 1.0925 | az: 0.233185
ax: -0.751587 | ay: 0.636536 | az: 0.297272
ax: -0.711121 | ay: 0.484818 | az: 0.195206
ax: -0.514709 | ay: 0.759125 | az: -0.0960236
ax: -0.452393 | ay: 0.543274 | az: -0.133942
ax: 0.132553 | ay: 0.624054 | az: -0.050415
ax: 0.0751038 | ay: 0.107391 | az: -0.135193
ax: 0.0306396 | ay: 0.0632935 | az: 0.0748901
ax: 0.37355 | ay: 0.548386 | az: 0.296204
ax: 0.469101 | ay: 0.768814 | az: 0.304459
ax: 0.587585 | ay: 0.568527 | az: 0.255722
time: 2
[20210722065003.768]
> sum ax: -5.7003 | sum ay: 7.71762 | sum az: 2.21936
>> avg ax: -0.114006 | avg ay: 0.154352 | avg az: 0.0443872
>>> vx: -0.55863 | vy: 0.756327 | vz: 0.217497
>>> sx: -0.223382 | sy: 0.132737 | sz: 0.0619013
>>> a: 0.196958
>>> v: 0.965092
>>> s: 0.267115

ax: 0.60994 | ay: 0.442291 | az: 0.246323
ax: 0.585419 | ay: 0.294281 | az: 0.195145
ax: 0.554245 | ay: 0.23909 | az: 0.155045
ax: 0.480988 | ay: 0.243637 | az: 0.138535
ax: 0.33551 | ay: 0.201187 | az: 0.122604
ax: 0.0705109 | ay: 0.0511627 | az: 0.0700226
ax: -0.198364 | ay: -0.352783 | az: -0.0880432
ax: -0.54361 | ay: -0.411179 | az: -0.153168
ax: -0.913727 | ay: -0.632538 | az: -0.331955
ax: -1.08913 | ay: -1.14424 | az: -0.799622
ax: -1.12601 | ay: -1.70372 | az: -1.01749
ax: -0.893311 | ay: -1.69698 | az: -1.04965
ax: -0.5439 | ay: -1.8537 | az: -0.937012
ax: -0.363129 | ay: -2.35503 | az: -0.910385
ax: -0.262695 | ay: -1.00328 | az: -0.862427
ax: -0.00949097 | ay: -0.62619 | az: -0.249954
ax: -0.406082 | ay: 0.966187 | az: 1.16463
ax: -0.369263 | ay: -0.37262 | az: 0.174179
ax: -0.658493 | ay: -0.630157 | az: -0.136887
ax: -0.27153 | ay: -0.493149 | az: -0.0642853
ax: -0.158905 | ay: -0.405914 | az: -0.320328
ax: -0.116913 | ay: -0.409332 | az: -0.185486
ax: -0.094223 | ay: -0.223373 | az: -0.0934296
ax: 0.045639 | ay: -0.0176697 | az: -0.0997925
ax: -0.00862122 | ay: 0.00628662 | az: 0.000869751
ax: -0.0870819 | ay: -0.0345306 | az: 0.0134125
ax: -0.0150146 | ay: -0.0160217 | az: -0.0258331
ax: 0.0363617 | ay: 0.151703 | az: -0.108093
ax: 0.0271759 | ay: 0.155792 | az: -0.10231
ax: -0.00350952 | ay: -0.0147705 | az: 0.0426788
ax: -0.0148315 | ay: -0.063736 | az: 0.0549927
ax: -0.00880432 | ay: -0.0273285 | az: 0.0112457
ax: 0.0132294 | ay: -0.0119324 | az: -0.0603638
ax: 0.0223389 | ay: -0.0339508 | az: -0.0374908
ax: -0.00402832 | ay: -0.0498505 | az: -0.00831604
ax: -0.00160217 | ay: -0.0115356 | az: 0.033371
ax: 7.62939e-05 | ay: 0.00918579 | az: 0.0397491
ax: -0.0123444 | ay: -0.00297546 | az: 0.02005
ax: 0.00431824 | ay: 0.0162201 | az: -0.0128784
ax: -0.0103607 | ay: 0.0366211 | az: -0.0191345
ax: -0.0242157 | ay: 0.0322113 | az: 0.0218353
ax: -0.0388489 | ay: 0.0279236 | az: 0.0280914
ax: -0.078186 | ay: 0.0136871 | az: 0.0592499
ax: -0.0913391 | ay: 0.0587311 | az: 0.0436249
ax: -0.158188 | ay: 0.0453339 | az: 0.081192
ax: -0.154037 | ay: 0.0540314 | az: 0.0429688
ax: -0.169495 | ay: 0.109787 | az: 0.0227661
ax: -0.276443 | ay: 0.158325 | az: -0.0252228
ax: -0.504395 | ay: 0.168472 | az: -0.0258789
ax: -0.77124 | ay: 0.0975494 | az: 0.0111542
time: 3
[20210722065004.765]
> sum ax: -7.6656 | sum ay: -11.0188 | sum az: -4.9317
>> avg ax: -0.153312 | avg ay: -0.220376 | avg az: -0.098634
>>> vx: -0.751229 | vy: -1.07984 | vz: -0.483307
>>> sx: -0.363331 | sy: -0.83427 | sz: -0.365305
>>> a: 0.286005
>>> v: 1.40142
>>> s: 0.980543

ax: -1.07948 | ay: 0.443375 | az: 0.132111
ax: -0.919495 | ay: 1.27007 | az: 0.328751
ax: -0.907501 | ay: 0.736069 | az: 0.394897
ax: -0.674118 | ay: 0.474258 | az: 0.124908
ax: -0.545258 | ay: 0.583954 | az: -0.258041
ax: -0.219086 | ay: 0.588837 | az: -0.192184
ax: 0.671738 | ay: 0.291122 | az: -0.0710297
ax: 0.251587 | ay: -0.147812 | az: -0.243713
ax: 0.236526 | ay: 0.381744 | az: 0.222931
ax: 0.473419 | ay: 0.596817 | az: 0.312958
ax: 0.556976 | ay: 0.654861 | az: 0.286911
ax: 0.601669 | ay: 0.55806 | az: 0.181503
ax: 0.591278 | ay: 0.474213 | az: 0.149109
ax: 0.526917 | ay: 0.352203 | az: 0.140701
ax: 0.474304 | ay: 0.262985 | az: 0.109528
ax: 0.451141 | ay: 0.187256 | az: 0.0130157
ax: 0.374313 | ay: 0.156067 | az: -0.00216675
ax: 0.20433 | ay: 0.0769196 | az: -0.0149689
ax: -0.00741577 | ay: -0.00494385 | az: -0.0553284
ax: -0.329193 | ay: -0.130356 | az: -0.15657
ax: -0.810989 | ay: -0.578278 | az: -0.31279
ax: -1.06013 | ay: -0.885666 | az: -0.531403
ax: -1.09834 | ay: -1.44597 | az: -0.749969
ax: -1.13365 | ay: -1.62209 | az: -1.03108
ax: -0.783127 | ay: -1.74648 | az: -1.20523
ax: -0.467163 | ay: -2.55739 | az: -0.976807
ax: -0.46225 | ay: -1.37085 | az: -0.915298
ax: -0.0165405 | ay: -0.695374 | az: -0.48674
ax: -0.320847 | ay: 0.563004 | az: 0.805786
ax: -0.308151 | ay: -0.0605316 | az: 0.254379
ax: -0.55545 | ay: -0.519989 | az: -0.139664
ax: -0.326538 | ay: -0.136078 | az: -0.320145
ax: -0.232483 | ay: -0.473297 | az: -0.440521
ax: -0.0803375 | ay: -0.300888 | az: -0.237717
ax: -0.0820618 | ay: -0.469376 | az: -0.119431
ax: -0.0545044 | ay: -0.105118 | az: -0.0708923
ax: 0.108902 | ay: 0.145645 | az: -0.0762024
ax: -0.0552826 | ay: 0.0146332 | az: -0.00283813
ax: -0.0758972 | ay: -0.117752 | az: 0.0187378
ax: -0.0157318 | ay: -0.0343018 | az: -0.0117035
ax: 0.0198364 | ay: 0.0829926 | az: -0.108215
ax: 0.0288086 | ay: 0.0825806 | az: -0.100891
ax: -0.00421143 | ay: -0.00550842 | az: 0.0466461
ax: -0.0059967 | ay: -0.051178 | az: 0.0487366
ax: 0.0027771 | ay: -0.0230255 | az: -0.00193787
ax: 0.0186157 | ay: -0.00534058 | az: -0.0253906
ax: 0.0210571 | ay: -0.0393829 | az: -0.0365143
ax: 0.0184784 | ay: -0.0136414 | az: -0.0223236
ax: 0.038208 | ay: 0.00228882 | az: -0.000961304
ax: -0.00363159 | ay: -0.0432587 | az: -0.00050354
time: 4
[20210722065005.768]
> sum ax: -6.96399 | sum ay: -4.60391 | sum az: -5.34756
>> avg ax: -0.13928 | avg ay: -0.0920782 | avg az: -0.106951
>>> vx: -0.682471 | vy: -0.451183 | vz: -0.524061
>>> sx: -0.407567 | sy: 0.0628756 | sz: -0.203242
>>> a: 0.198282
>>> v: 0.971583
>>> s: 0.459751

ax: -0.025528 | ay: -0.0638885 | az: 0.032074
ax: -0.0304718 | ay: -0.021225 | az: 0.00390625
ax: -0.0402527 | ay: -0.0142365 | az: 0.00178528
ax: -0.0347595 | ay: 0.012619 | az: 0.0215759
ax: -0.0509033 | ay: 0.0231628 | az: 0.0626678
ax: -0.0611725 | ay: 0.0339508 | az: 0.0694275
ax: -0.111267 | ay: 0.0563354 | az: 0.0726624
ax: -0.175781 | ay: 0.0336761 | az: 0.067215
ax: -0.175613 | ay: 0.0608063 | az: 0.0257416
ax: -0.212982 | ay: 0.0525818 | az: -0.0363007
ax: -0.302368 | ay: 0.123795 | az: -0.0317535
ax: -0.571854 | ay: 0.0568848 | az: -0.0341492
ax: -0.944504 | ay: 0.139297 | az: 0.0750275
ax: -1.07594 | ay: 0.865906 | az: 0.204437
ax: -0.875015 | ay: 1.06544 | az: 0.3349
ax: -0.804596 | ay: 0.599365 | az: 0.299789
ax: -0.502426 | ay: 0.569946 | az: -0.208939
ax: -0.493912 | ay: 0.506714 | az: -0.313873
ax: 0.228455 | ay: 0.533508 | az: -0.0299683
ax: 0.0744324 | ay: -0.0750427 | az: -0.15004
ax: 0.229416 | ay: 0.0517273 | az: 0.0520477
ax: 0.470413 | ay: 0.292511 | az: 0.268372
ax: 0.555984 | ay: 0.549454 | az: 0.280991
ax: 0.645309 | ay: 0.583755 | az: 0.219193
ax: 0.637695 | ay: 0.513748 | az: 0.145721
ax: 0.627914 | ay: 0.398468 | az: 0.144028
ax: 0.546371 | ay: 0.257034 | az: 0.144028
ax: 0.509003 | ay: 0.149323 | az: 0.0680084
ax: 0.45668 | ay: 0.170929 | az: 0.0283966
ax: 0.279465 | ay: 0.15213 | az: -0.00523376
ax: 0.0356293 | ay: 0.00410461 | az: -0.0702209
ax: -0.263885 | ay: -0.252197 | az: -0.153336
ax: -0.686584 | ay: -0.668411 | az: -0.274826
ax: -1.05621 | ay: -0.803818 | az: -0.551331
ax: -1.09338 | ay: -1.40297 | az: -0.791428
