>>> a: 0.270358
>>> v: 2.6495
>>> s: 1.63105

ax: 0.127945 | ay: -0.0317078 | az: -0.108612
ax: 0.418488 | ay: -0.269211 | az: -0.00820923
ax: 0.519318 | ay: -0.228043 | az: -0.0596924
ax: 0.657516 | ay: -0.481277 | az: 0.152679
ax: 0.671341 | ay: -0.393753 | az: -0.130829
ax: 0.895874 | ay: -0.293716 | az: -0.646072
ax: 1.05028 | ay: -0.265915 | az: -0.879044
ax: 1.07124 | ay: -1.63313 | az: -1.78979
ax: 1.08131 | ay: -0.836212 | az: -0.657654
ax: 1.02859 | ay: -1.34108 | az: -1.14662
ax: 0.174332 | ay: -0.086792 | az: -1.46986
ax: -0.0857086 | ay: 0.0636292 | az: -0.314163
ax: -0.953278 | ay: 0.15007 | az: 0.217178
ax: -0.295944 | ay: -0.376724 | az: -0.224518
ax: -0.93338 | ay: -0.423309 | az: -0.624344
ax: -0.809814 | ay: -0.817123 | az: -0.408676
ax: -0.684097 | ay: -0.546249 | az: -0.273621
ax: -0.736008 | ay: -0.411072 | az: -0.14241
ax: -0.657593 | ay: -0.367828 | az: 0.0391388
ax: -0.587677 | ay: -0.218658 | az: 0.0951843
ax: -0.484146 | ay: -0.124954 | az: 0.109543
ax: -0.361115 | ay: -0.114639 | az: 0.164108
ax: -0.0724792 | ay: -0.0621033 | az: 0.203049
ax: 0.378036 | ay: 0.334351 | az: 0.365692
ax: 1.05798 | ay: 0.82486 | az: 0.585922
ax: 1.21793 | ay: 1.66022 | az: 0.684921
ax: 1.2908 | ay: 2.07141 | az: 1.29332
ax: 1.2527 | ay: 2.4838 | az: 0.88652
ax: 0.88443 | ay: 2.48393 | az: 1.91222
ax: 0.901978 | ay: 2.35806 | az: 1.82152
ax: 0.595963 | ay: -1.61072 | az: -0.313217
ax: 0.267975 | ay: -0.968018 | az: 0.480667
ax: 1.20673 | ay: 1.26366 | az: 1.53503
ax: 0.697052 | ay: 0.340042 | az: 0.208633
ax: 0.276077 | ay: 1.75529 | az: 0.0572357
ax: -0.0450134 | ay: 0.546738 | az: 0.794037
ax: 0.13916 | ay: 0.814545 | az: 0.113495
ax: 0.212051 | ay: 0.448593 | az: 0.158661
ax: -0.0282745 | ay: 0.0427704 | az: 0.0848389
ax: 0.0776978 | ay: 0.0681763 | az: 0.0723267
ax: 0.0427094 | ay: -0.0101318 | az: -0.060791
ax: -0.0123596 | ay: 0.102448 | az: -0.050293
ax: -0.0798187 | ay: 0.22847 | az: -0.115051
ax: -0.0761871 | ay: 0.190109 | az: -0.0531006
ax: -0.0534515 | ay: 0.142258 | az: 0.0793915
ax: 0.0740967 | ay: 0.00245667 | az: 0.203873
ax: 0.105682 | ay: -0.0876465 | az: 0.213577
ax: 0.108749 | ay: -0.0423889 | az: 0.117432
ax: 0.0814209 | ay: 0.146393 | az: 0.100006
ax: 0.085144 | ay: 0.12706 | az: 0.0418701
3: [20200927220625.206]
> sum ax: 11.6943 | sum ay: 6.60693 | sum az: 3.31549
>> avg ax: 0.233885 | avg ay: 0.132139 | avg az: 0.0663098
>>> vx: 2.29207 | vy: 1.29496 | vz: 0.649836
>>> sx: 1.33498 | sy: -0.171652 | sz: -0.40739
>>> a: 0.276695
>>> v: 2.71161
>>> s: 1.40628

ax: 0.163345 | ay: 0.034668 | az: -0.0169678
ax: 0.178268 | ay: -0.0651245 | az: -0.0608063
ax: 0.372864 | ay: -0.124069 | az: -0.0842743
ax: 0.478638 | ay: -0.109528 | az: -0.0297241
ax: 0.553345 | ay: -0.253616 | az: 0.164749
ax: 0.576569 | ay: -0.19101 | az: -0.0949554
ax: 0.75148 | ay: -0.130295 | az: -0.322723
ax: 1.06151 | ay: -0.567001 | az: -1.01799
ax: 1.07932 | ay: -1.26025 | az: -1.21658
ax: 1.10211 | ay: -1.24495 | az: -0.281601
ax: 0.818161 | ay: -0.927109 | az: -0.583237
ax: 0.454163 | ay: -0.685715 | az: -0.949646
ax: -0.205399 | ay: 0.20253 | az: -0.422913
ax: -1.10463 | ay: 1.17645 | az: 0.0404663
ax: -0.182922 | ay: -0.475159 | az: 0.174026
ax: -0.848175 | ay: -0.857147 | az: -0.210968
ax: -0.747604 | ay: -0.727417 | az: -0.335327
ax: -0.729019 | ay: -0.615646 | az: -0.130234
ax: -0.785522 | ay: -0.332169 | az: -0.0795593
ax: -0.723618 | ay: -0.244049 | az: -0.0568695
ax: -0.655945 | ay: -0.10405 | az: -0.0178986
ax: -0.566025 | ay: -0.0847931 | az: 0.0497894
ax: -0.41658 | ay: -0.0617828 | az: 0.116043
ax: -0.173782 | ay: -0.0254974 | az: 0.187225
ax: 0.408127 | ay: 0.299942 | az: 0.10434
ax: 0.805023 | ay: 0.629898 | az: 0.464645
ax: 1.19957 | ay: 1.11592 | az: 0.867126
ax: 1.27646 | ay: 2.01558 | az: 1.14215
ax: 1.32976 | ay: 2.16501 | az: 1.43115
ax: 1.08432 | ay: 2.41991 | az: 1.67249
ax: 0.783875 | ay: 2.39281 | az: 2.18532
ax: 1.10422 | ay: 2.3382 | az: 1.3344
ax: -0.123413 | ay: -1.69041 | az: -1.40359
ax: 0.494308 | ay: -0.301468 | az: 0.963303
ax: 1.19879 | ay: 1.00298 | az: 0.934464
ax: 0.344391 | ay: 0.804611 | az: 0.477814
