ax: 1.24106 | ay: -1.69086 | az: -0.716431
ax: 0.252243 | ay: 1.88612 | az: 2.64389
ax: 0.735413 | ay: -2.2115 | az: 2.56729
ax: 0.845795 | ay: 1.73329 | az: 1.78308
ax: 1.18423 | ay: 0.442657 | az: -0.433548
ax: 0.517059 | ay: 0.594437 | az: 0.97876
ax: 1.19688 | ay: 0.214233 | az: 1.23312
ax: 1.19232 | ay: -0.0201874 | az: 0.267944
ax: 1.18683 | ay: -0.199646 | az: -0.310562
ax: 1.18259 | ay: -2.05623 | az: -1.26852
ax: 0.974945 | ay: -2.45848 | az: -1.40065
ax: 1.16743 | ay: 0.501144 | az: 0.255264
ax: 0.0944061 | ay: 0.267151 | az: -0.52475
ax: 1.20743 | ay: -0.395462 | az: -0.40181
ax: 1.22749 | ay: -1.39285 | az: -0.402054
ax: 1.26262 | ay: -0.885513 | az: -0.361237
ax: 1.30949 | ay: -1.09036 | az: -0.863068
ax: 1.35587 | ay: -1.9641 | az: -0.294815
ax: 1.39581 | ay: -2.33037 | az: -0.0534668
ax: 1.40636 | ay: -2.42026 | az: -0.514679
ax: -0.0924683 | ay: -1.64091 | az: -0.225571
ax: -0.967789 | ay: -0.951981 | az: -0.400757
ax: -1.78798 | ay: -0.336365 | az: -0.48587
ax: -0.756882 | ay: -0.110153 | az: -0.580017
ax: -0.173172 | ay: -0.792053 | az: -0.48848
ax: -0.0207977 | ay: -0.538895 | az: -0.112305
ax: -0.383911 | ay: -0.145645 | az: 0.270279
ax: -0.573563 | ay: 0.665878 | az: 0.707291
ax: -0.6138 | ay: 1.96336 | az: 1.28078
ax: -0.65274 | ay: 2.06393 | az: 1.95193
ax: 1.02371 | ay: 2.14355 | az: 2.10991
ax: 1.28494 | ay: 2.2052 | az: 2.66821
ax: 0.258026 | ay: 2.19498 | az: 2.6649
ax: 0.741623 | ay: 2.11162 | az: -0.11496
ax: 1.19127 | ay: -2.01744 | az: 2.35696
ax: -0.426315 | ay: 0.405823 | az: 2.48714
ax: -2.0625 | ay: -0.0695648 | az: 1.86101
ax: -0.232834 | ay: 1.14034 | az: 0.209213
ax: 1.14436 | ay: 0.949127 | az: 0.973907
ax: 1.15163 | ay: 0.551788 | az: 0.0680084
ax: 1.1485 | ay: -0.750015 | az: -0.487976
ax: 1.14519 | ay: -2.15045 | az: -1.73865
ax: 1.13567 | ay: -2.42313 | az: -1.7283
ax: 1.13908 | ay: 1.38895 | az: -0.00123596
ax: -2.4929 | ay: 1.52621 | az: 0.199631
ax: 1.19823 | ay: -1.90775 | az: -0.133957
ax: 1.23813 | ay: -2.12524 | az: -0.815277
ax: 1.30373 | ay: -0.767548 | az: -1.05705
ax: 1.38319 | ay: -1.46889 | az: -0.994171
ax: 1.45096 | ay: -2.68073 | az: -0.206116
1: [20200927214014.327]
> sum ax: 27.6369 | sum ay: -15.0428 | sum az: 12.4222
>> avg ax: 0.552737 | avg ay: -0.300855 | avg az: 0.248445
>>> vx: 5.41682 | vy: -2.94838 | vz: 2.43476
>>> sx: 3.0751 | sy: -1.50015 | sz: 1.57698
>>> a: 0.676578
>>> v: 6.63046
>>> s: 3.76743

ax: 1.51309 | ay: -2.87242 | az: -0.375275
ax: 1.56084 | ay: -2.88361 | az: -0.370529
ax: -0.0406494 | ay: -1.64122 | az: -0.779633
ax: -2.21274 | ay: -1.16689 | az: -0.642532
ax: -2.52983 | ay: -0.0368042 | az: -0.804688
ax: -0.378647 | ay: 0.0158691 | az: -0.902863
ax: 1.05849 | ay: -1.5412 | az: -0.361801
ax: -0.46843 | ay: 0.414108 | az: -0.123688
ax: -0.260818 | ay: -0.820786 | az: 0.260834
ax: -0.3396 | ay: 0.333435 | az: 0.915359
ax: -1.36555 | ay: 2.03627 | az: 1.26553
ax: -0.292114 | ay: 2.14514 | az: 1.85448
ax: 1.31216 | ay: 2.24939 | az: 2.4561
ax: 1.35989 | ay: 2.33339 | az: 2.69214
ax: 0.409012 | ay: 2.33232 | az: 2.46753
ax: 0.539154 | ay: 2.2309 | az: 2.6723
ax: -0.814941 | ay: 2.1006 | az: 1.56941
ax: 1.20474 | ay: -1.96844 | az: -1.39455
ax: 1.16451 | ay: 1.16042 | az: 2.54361
ax: -1.84462 | ay: 1.81023 | az: 0.217041
ax: 0.970306 | ay: 1.36642 | az: 0.583923
ax: 1.15332 | ay: 0.322357 | az: 0.550247
ax: 1.16237 | ay: -0.568787 | az: -1.04863
ax: 1.16158 | ay: -2.4205 | az: -1.65337
ax: 1.15439 | ay: -2.40802 | az: -1.6559
ax: 1.16885 | ay: 1.56396 | az: 0.13118
ax: 0.42009 | ay: 1.46129 | az: -0.564117
ax: 1.23357 | ay: -1.99321 | az: -0.904251
ax: 1.28825 | ay: -2.47284 | az: -1.36005
ax: 1.37097 | ay: -1.29295 | az: -1.16504
ax: 1.46446 | ay: -1.36609 | az: -1.08965
