>>> sx: 0.749382 | sy: 0.45497 | sz: -0.109237
>>> a: 0.260556
>>> v: 2.55345
>>> s: 0.883461

ax: 0.562027 | ay: -0.295105 | az: -0.0830078
ax: 0.848312 | ay: -0.268768 | az: -0.400757
ax: 1.05507 | ay: -0.0813599 | az: -0.473465
ax: 1.06966 | ay: -1.68959 | az: -1.46028
ax: 1.08372 | ay: -1.52434 | az: -0.693619
ax: 1.10728 | ay: -1.10864 | az: -0.949966
ax: 0.339371 | ay: -0.28508 | az: -1.60515
ax: -0.606628 | ay: -0.550385 | az: -0.639084
ax: 0.319107 | ay: 0.986404 | az: -0.0805206
ax: -0.605896 | ay: 0.336472 | az: 0.214478
ax: -0.545151 | ay: -0.665329 | az: -0.22171
ax: -0.860016 | ay: -0.645966 | az: -0.502625
ax: -0.795425 | ay: -0.815216 | az: -0.35762
ax: -0.824844 | ay: -0.709976 | az: -0.283554
ax: -0.767761 | ay: -0.493896 | az: -0.246094
ax: -0.731308 | ay: -0.311493 | az: -0.19519
ax: -0.64183 | ay: -0.125732 | az: -0.136642
ax: -0.523499 | ay: -0.0579834 | az: -0.0420685
ax: -0.379288 | ay: -0.0996246 | az: -0.00816345
ax: -0.0773773 | ay: -0.0616455 | az: 0.0248566
ax: 0.451355 | ay: 0.192047 | az: 0.0789795
ax: 1.08524 | ay: 0.770233 | az: 0.232834
ax: 1.14565 | ay: 1.23759 | az: 0.456726
ax: 1.20851 | ay: 2.15094 | az: 0.627472
ax: 1.18147 | ay: 2.49211 | az: 0.525223
ax: 0.684387 | ay: 2.49785 | az: 1.45602
ax: 0.564163 | ay: 2.05724 | az: 1.28018
ax: 1.10162 | ay: 0.745819 | az: -0.486465
ax: -0.454849 | ay: -1.62328 | az: -1.09692
ax: 0.784622 | ay: -0.197784 | az: 1.45229
ax: 1.07413 | ay: 0.607193 | az: 0.49826
ax: 0.4478 | ay: 0.968536 | az: 0.24498
ax: 0.500015 | ay: 1.06625 | az: 0.0180664
ax: -0.145309 | ay: 0.260422 | az: 0.378647
ax: 0.163437 | ay: 0.657333 | az: 0.123123
ax: -0.021698 | ay: 0.24704 | az: -0.0543213
ax: 0.0318451 | ay: 0.0721436 | az: 0.001297
ax: 0.103928 | ay: -0.0265656 | az: 0.0645447
ax: 0.0182343 | ay: -0.0944366 | az: -0.0418701
ax: -0.00624084 | ay: 0.0731506 | az: -0.0848694
ax: -0.0620117 | ay: 0.145004 | az: -0.0693665
ax: -0.0206757 | ay: 0.201324 | az: 0.110886
ax: 0.0211182 | ay: 0.079834 | az: 0.167313
