ax: 0.89122 | ay: -0.205765 | az: -0.0189209
ax: 0.835144 | ay: -0.25032 | az: 0.147705
ax: 0.777435 | ay: -0.0691376 | az: 0.133621
ax: 0.543747 | ay: 0.0557251 | az: 0.052475
ax: 0.609619 | ay: 0.12709 | az: -0.0420685
ax: 0.754227 | ay: 0.150055 | az: -0.113647
ax: 0.782211 | ay: 0.184921 | az: -0.154556
ax: 0.717438 | ay: 0.296448 | az: -0.189163
ax: 0.564392 | ay: 0.346619 | az: -0.236191
ax: 0.424698 | ay: 0.399536 | az: -0.280289
ax: 0.292007 | ay: 0.472534 | az: -0.308334
ax: 0.141983 | ay: 0.542267 | az: -0.28923
ax: -0.0117035 | ay: 0.613144 | az: -0.308578
ax: -0.0968475 | ay: 0.63858 | az: -0.286423
ax: -0.0976715 | ay: 0.604767 | az: -0.219803
ax: -0.044632 | ay: 0.564957 | az: -0.186859
ax: -0.00570679 | ay: 0.552963 | az: -0.152206
ax: -0.000305176 | ay: 0.531525 | az: -0.150696
ax: 0.0256653 | ay: 0.516663 | az: -0.126404
ax: 0.065918 | ay: 0.469513 | az: -0.124237
ax: 0.0953217 | ay: 0.430481 | az: -0.0591125
ax: 0.113174 | ay: 0.358704 | az: 0.0275879
ax: 0.150574 | ay: 0.30986 | az: 0.103912
ax: 0.142975 | ay: 0.275894 | az: 0.14119
ax: 0.201782 | ay: 0.181763 | az: 0.161514
ax: 0.346481 | ay: 0.0482635 | az: 0.173309
ax: 0.558304 | ay: -0.0692596 | az: 0.159286
ax: 0.784164 | ay: -0.180084 | az: 0.156799
ax: 0.760452 | ay: -0.307648 | az: 0.21666
ax: 0.66246 | ay: -0.447189 | az: 0.33136
ax: 0.593094 | ay: -0.534851 | az: 0.439209
ax: 0.476028 | ay: -0.577667 | az: 0.516632
ax: 0.516937 | ay: -0.595001 | az: 0.523453
ax: 0.683411 | ay: -0.764175 | az: 0.55423
ax: 0.7276 | ay: -0.845261 | az: 0.595322
ax: 0.537506 | ay: -0.728973 | az: 0.60498
ax: 0.346954 | ay: -0.553741 | az: 0.629761
ax: 0.153122 | ay: -0.458786 | az: 0.662888
ax: 0.0267181 | ay: -0.480515 | az: 0.616135
ax: -0.0520935 | ay: -0.46225 | az: 0.601913
ax: -0.0881958 | ay: -0.492676 | az: 0.609558
ax: -0.143997 | ay: -0.543945 | az: 0.597214
ax: -0.172226 | ay: -0.546814 | az: 0.591156
ax: -0.168396 | ay: -0.527328 | az: 0.581345
ax: -0.156891 | ay: -0.513458 | az: 0.545639
ax: -0.142838 | ay: -0.5233 | az: 0.508331
ax: -0.101883 | ay: -0.53479 | az: 0.488159
ax: -0.0259552 | ay: -0.550873 | az: 0.45137
ax: 0.0523682 | ay: -0.53389 | az: 0.420059
ax: 0.112579 | ay: -0.472809 | az: 0.355026
1: [20200927202352.773]
> sum ax: 14.1584 | sum ay: -4.09824 | sum az: 9.45108
>> avg ax: 0.283167 | avg ay: -0.0819647 | avg az: 0.189022
>>> vx: 2.77504 | vy: -0.803254 | vz: 1.85241
>>> sx: 1.87834 | sy: 0.537872 | sz: 0.175836
>>> a: 0.350187
>>> v: 3.43184
>>> s: 1.96173

ax: 0.185989 | ay: -0.399124 | az: 0.302002
ax: 0.222488 | ay: -0.301819 | az: 0.228882
ax: 0.246536 | ay: -0.196854 | az: 0.170258
ax: 0.297668 | ay: -0.113297 | az: 0.0751648
ax: 0.324051 | ay: -0.125153 | az: -0.0302429
ax: 0.477478 | ay: -0.0723419 | az: -0.11528
ax: 0.736633 | ay: -0.0304108 | az: -0.122757
ax: 0.82431 | ay: 0.0573273 | az: -0.127686
ax: 0.590576 | ay: 0.199463 | az: -0.164078
ax: 0.622711 | ay: 0.277695 | az: -0.304276
ax: 0.669693 | ay: 0.273102 | az: -0.463989
ax: 0.624237 | ay: 0.298615 | az: -0.46608
ax: 0.676926 | ay: 0.375183 | az: -0.464981
ax: 0.591507 | ay: 0.398788 | az: -0.463089
ax: 0.394669 | ay: 0.432373 | az: -0.465424
ax: 0.257462 | ay: 0.451996 | az: -0.475876
ax: 0.149811 | ay: 0.499756 | az: -0.481308
ax: 0.0595398 | ay: 0.557678 | az: -0.468536
ax: 0.0173492 | ay: 0.627029 | az: -0.436035
ax: -0.0019989 | ay: 0.6548 | az: -0.41124
ax: 0.0143433 | ay: 0.642807 | az: -0.39801
ax: 0.0160065 | ay: 0.633987 | az: -0.357895
ax: 0.013443 | ay: 0.61882 | az: -0.304901
ax: 0.0166626 | ay: 0.635132 | az: -0.276566
ax: 0.0516663 | ay: 0.667435 | az: -0.248886
ax: 0.0836639 | ay: 0.638992 | az: -0.207413
ax: 0.121994 | ay: 0.528366 | az: -0.136139
ax: 0.166382 | ay: 0.423599 | az: -0.100708
ax: 0.195221 | ay: 0.352783 | az: -0.0505829
ax: 0.269913 | ay: 0.171539 | az: -0.0127258
ax: 0.406448 | ay: -0.0133057 | az: 0.0283813
ax: 0.729782 | ay: -0.115005 | az: -0.0326233
ax: 1.02136 | ay: -0.266068 | az: -0.115677
ax: 0.978683 | ay: -0.454117 | az: -0.00350952
ax: 0.500275 | ay: -0.471481 | az: 0.183136
ax: 0.356049 | ay: -0.517639 | az: 0.306091
ax: 0.328033 | ay: -0.535599 | az: 0.394775
ax: 0.463013 | ay: -0.552063 | az: 0.442307
ax: 0.562592 | ay: -0.591766 | az: 0.465302
ax: 0.465164 | ay: -0.634048 | az: 0.430649
ax: 0.279755 | ay: -0.5914 | az: 0.439468
ax: 0.129852 | ay: -0.463318 | az: 0.486786
ax: 0.0467987 | ay: -0.456604 | az: 0.481247
ax: -0.0687256 | ay: -0.52887 | az: 0.481934
ax: -0.125885 | ay: -0.441223 | az: 0.497635
ax: -0.176224 | ay: -0.386993 | az: 0.451889
ax: -0.213562 | ay: -0.521027 | az: 0.448654
ax: -0.255569 | ay: -0.626587 | az: 0.454819
ax: -0.249268 | ay: -0.68866 | az: 0.487946
ax: -0.212723 | ay: -0.692749 | az: 0.457733
2: [20200927202353.777]
> sum ax: 13.8828 | sum ay: -0.370255 | sum az: 0.00854492
>> avg ax: 0.277656 | avg ay: -0.00740509 | avg az: 0.000170898
>>> vx: 2.72103 | vy: -0.0725699 | vz: 0.00167511
>>> sx: 1.74334 | sy: 0.67922 | sz: -0.65259
>>> a: 0.277754
>>> v: 2.72199
>>> s: 1.98153

ax: -0.122223 | ay: -0.65564 | az: 0.422455
ax: -0.0142059 | ay: -0.614334 | az: 0.364014
ax: 0.112747 | ay: -0.522797 | az: 0.361191
ax: 0.192062 | ay: -0.402496 | az: 0.291122
ax: 0.240341 | ay: -0.292664 | az: 0.190277
ax: 0.273605 | ay: -0.183334 | az: 0.117523
ax: 0.30069 | ay: -0.0868378 | az: 0.0478973
ax: 0.358109 | ay: -0.0259857 | az: -0.092865
ax: 0.458344 | ay: 0.0179291 | az: -0.200333
ax: 0.764893 | ay: 0.00900269 | az: -0.25795
ax: 1.08234 | ay: 0.00997925 | az: -0.271439
ax: 0.812576 | ay: 0.158157 | az: -0.231995
ax: 0.579208 | ay: 0.271591 | az: -0.297302
ax: 0.766479 | ay: 0.302216 | az: -0.445312
ax: 0.882904 | ay: 0.360001 | az: -0.528168
ax: 0.898254 | ay: 0.425674 | az: -0.546555
ax: 0.76828 | ay: 0.461426 | az: -0.546661
ax: 0.581833 | ay: 0.472549 | az: -0.532166
ax: 0.425049 | ay: 0.484406 | az: -0.552643
ax: 0.246552 | ay: 0.561523 | az: -0.525589
ax: 0.104523 | ay: 0.655411 | az: -0.457214
ax: 0.00233459 | ay: 0.709702 | az: -0.416077
ax: -0.0300903 | ay: 0.740219 | az: -0.414825
ax: 0.0128632 | ay: 0.705551 | az: -0.396805
ax: 0.0111847 | ay: 0.670792 | az: -0.378937
ax: -0.0119324 | ay: 0.63031 | az: -0.34613
ax: -0.024826 | ay: 0.588104 | az: -0.295441
ax: -0.0306549 | ay: 0.537262 | az: -0.283279
ax: 0.00187683 | ay: 0.498627 | az: -0.236618
ax: 0.0613556 | ay: 0.443939 | az: -0.189011
ax: 0.0932312 | ay: 0.375183 | az: -0.12883
ax: 0.0878601 | ay: 0.308746 | az: -0.0736694
ax: 0.116943 | ay: 0.242432 | az: -0.0319061
ax: 0.200455 | ay: 0.16832 | az: -0.00485229
ax: 0.348206 | ay: 0.110245 | az: 0.0162048
ax: 0.712799 | ay: 0.0206146 | az: -0.0350037
ax: 1.02043 | ay: -0.210434 | az: -0.0784454
ax: 0.920349 | ay: -0.417603 | az: 0.0087738
ax: 0.524948 | ay: -0.533234 | az: 0.15509
ax: 0.265182 | ay: -0.62059 | az: 0.299637
ax: 0.185669 | ay: -0.590042 | az: 0.394852
ax: 0.382202 | ay: -0.554367 | az: 0.36911
ax: 0.590485 | ay: -0.617279 | az: 0.335114
ax: 0.595749 | ay: -0.738068 | az: 0.298157
ax: 0.42009 | ay: -0.66803 | az: 0.314484
ax: 0.185226 | ay: -0.514969 | az: 0.314636
ax: -0.0358429 | ay: -0.458084 | az: 0.293961
ax: -0.134964 | ay: -0.468857 | az: 0.266647
ax: -0.191132 | ay: -0.445786 | az: 0.247742
ax: -0.23114 | ay: -0.427582 | az: 0.279999
3: [20200927202354.801]
> sum ax: 15.7612 | sum ay: 0.8909 | sum az: -3.40714
>> avg ax: 0.315224 | avg ay: 0.017818 | avg az: -0.0681427
>>> vx: 3.0892 | vy: 0.174616 | vz: -0.667798
>>> sx: 1.74583 | sy: 0.457108 | sz: -0.645537
>>> a: 0.322997
>>> v: 3.16537
>>> s: 1.91666

ax: -0.282425 | ay: -0.465302 | az: 0.327515
ax: -0.298355 | ay: -0.548843 | az: 0.37439
ax: -0.259399 | ay: -0.57254 | az: 0.412003
ax: -0.184738 | ay: -0.56694 | az: 0.406815
ax: -0.107727 | ay: -0.5354 | az: 0.35144
ax: -0.0404816 | ay: -0.48616 | az: 0.282898
ax: 0.0409088 | ay: -0.437027 | az: 0.25647
ax: 0.140594 | ay: -0.40387 | az: 0.231232
ax: 0.220566 | ay: -0.360443 | az: 0.200516
ax: 0.244507 | ay: -0.291946 | az: 0.136383
ax: 0.264877 | ay: -0.186478 | az: 0.0828705
ax: 0.247116 | ay: -0.0940247 | az: 0.0296631
ax: 0.267914 | ay: -0.0245361 | az: -0.0206299
ax: 0.456665 | ay: 0.01651 | az: -0.158279
ax: 0.995865 | ay: -0.0437317 | az: -0.196716
ax: 1.01463 | ay: -0.0273285 | az: -0.143066
ax: 0.391739 | ay: 0.237335 | az: -0.143997
ax: 0.417801 | ay: 0.2995 | az: -0.344894
ax: 0.657104 | ay: 0.283859 | az: -0.492264
ax: 0.728226 | ay: 0.35762 | az: -0.490143
ax: 0.741837 | ay: 0.407288 | az: -0.388687
ax: 0.652252 | ay: 0.405975 | az: -0.382278
