steps: 845
ax: -0.0544128 | ay: -0.0850067 | az: 0.0824127
ax: 0.913712 | ay: 1.21242 | az: -0.229736
ax: 0.664566 | ay: 0.932999 | az: -0.0422821
ax: 0.669403 | ay: 0.568756 | az: -0.0318451
ax: 0.6474 | ay: 0.52446 | az: -0.0108337
ax: 0.639618 | ay: 0.319717 | az: -0.0323029
ax: 0.599716 | ay: 0.252518 | az: 0.0377655
ax: 0.518326 | ay: 0.17691 | az: 0.011795
ax: 0.355087 | ay: 0.126129 | az: 0.0629883
ax: 0.137741 | ay: 0.0420074 | az: 0.0700531
ax: -0.361816 | ay: -0.221542 | az: 0.200378
ax: -0.666458 | ay: -0.527145 | az: 0.392487
ax: -1.16571 | ay: -1.15955 | az: 0.0709534
ax: -1.2326 | ay: -1.625 | az: -0.0708618
ax: -1.29021 | ay: -2.55232 | az: -0.300735
ax: -0.98645 | ay: -2.69041 | az: -0.777084
ax: -1.09468 | ay: -2.72699 | az: -0.322906
ax: -0.763321 | ay: -2.70511 | az: 0.537247
ax: -0.840836 | ay: -1.91283 | az: 0.154419
ax: 0.107193 | ay: 0.0643311 | az: -0.783401
ax: -0.627014 | ay: 1.42937 | az: 1.1879
ax: -1.18622 | ay: -2.52776 | az: -0.0548401
ax: -0.559219 | ay: -1.29787 | az: -0.614731
ax: -0.743637 | ay: -1.6893 | az: 0.0948792
ax: 0.400131 | ay: -0.565689 | az: -0.0520172
ax: -0.273087 | ay: -0.376877 | az: 0.192993
ax: -0.105591 | ay: -0.0279846 | az: 0.00402832
ax: -0.0214386 | ay: -0.188583 | az: 0.0830841
ax: 0.0177002 | ay: -0.0997009 | az: 0.0725098
ax: 0.0244293 | ay: -0.299698 | az: -0.192719
ax: 0.0598297 | ay: -0.245605 | az: -0.12619
ax: 0.0315857 | ay: -0.165878 | az: -0.0401306
ax: -0.0246887 | ay: -0.105743 | az: 0.111313
ax: -0.0601807 | ay: -0.0933075 | az: 0.153778
ax: -0.0816956 | ay: -0.0901947 | az: 0.0298615
ax: -0.0558014 | ay: -0.187943 | az: -0.0689392
ax: -1.52588e-05 | ay: -0.124756 | az: 0.069519
ax: -0.0513611 | ay: 0.0289459 | az: 0.0392456
ax: -0.139679 | ay: 0.0857697 | az: -0.0697632
ax: -0.235001 | ay: 0.0717773 | az: -0.0526581
ax: -0.373703 | ay: 0.0831909 | az: -0.0332794
ax: -0.520111 | ay: 0.226105 | az: -0.0361328
ax: -0.557877 | ay: 0.299316 | az: 0.171188
ax: -0.594986 | ay: 0.39502 | az: 0.199539
ax: -0.810181 | ay: 0.547867 | az: -0.0155792
ax: -1.0784 | ay: 1.16934 | az: -0.422241
ax: -1.09627 | ay: 2.18628 | az: -0.474274
ax: -1.12039 | ay: 1.20309 | az: -0.423721
ax: -1.15154 | ay: 1.17937 | az: -0.805496
ax: 0.0938873 | ay: 0.606262 | az: -0.656342
time: 1
[20210805065047.291]
> sum ax: -14.0443 | sum ay: -10.5608 | sum az: -2.71071
>> avg ax: -0.280885 | avg ay: -0.211217 | avg az: -0.0542142
>>> vx: -1.37634 | vy: -1.03496 | vz: -0.265649
>>> sx: -0.383407 | sy: -0.985534 | sz: -0.0282545
>>> a: 0.355595
>>> v: 1.74242
>>> s: 1.05786

steps: 846
ax: 0.300674 | ay: -0.688293 | az: -0.799728
ax: -0.244904 | ay: 0.748901 | az: -0.199036
ax: 0.724625 | ay: 1.22432 | az: -0.091629
ax: 0.586914 | ay: 0.770187 | az: 0.0149384
ax: 0.669952 | ay: 0.551025 | az: 0.0503845
ax: 0.67659 | ay: 0.494171 | az: 0.0639191
ax: 0.608047 | ay: 0.374435 | az: -0.0238495
ax: 0.508896 | ay: 0.397598 | az: -0.08461
ax: 0.436005 | ay: 0.297409 | az: -0.0908661
ax: 0.325485 | ay: 0.169342 | az: -0.0513916
ax: 0.128311 | ay: 0.0965271 | az: -0.0276184
ax: -0.172699 | ay: -0.0449829 | az: -0.0288849
ax: -0.674545 | ay: -0.47551 | az: 0.0325317
ax: -1.099 | ay: -0.780807 | az: 0.119766
ax: -1.18094 | ay: -1.45338 | az: -0.0181732
ax: -1.24248 | ay: -2.44485 | az: 0.0310974
ax: -1.17552 | ay: -2.66435 | az: -0.292465
ax: -1.16589 | ay: -2.68129 | az: -0.185471
ax: -0.885864 | ay: -2.66304 | az: 0.355606
ax: -0.833237 | ay: -2.14526 | az: 0.444748
ax: -0.647385 | ay: 1.35512 | az: -0.14447
ax: -0.379501 | ay: 1.38258 | az: 0.755661
ax: -1.14821 | ay: -2.17676 | az: -0.0129547
ax: -0.131653 | ay: -0.763153 | az: -0.443314
ax: -0.380539 | ay: -1.01947 | az: 0.0669403
ax: -0.00279236 | ay: -0.814087 | az: 0.0536652
ax: -0.350403 | ay: -0.547287 | az: -0.0966492
ax: 0.0811615 | ay: -0.0720978 | az: 0.0590973
ax: -0.129379 | ay: -0.101501 | az: 0.0307007
ax: -0.0348206 | ay: -0.110504 | az: 0.0937805
ax: 0.0339966 | ay: 0.118256 | az: 0.0234222
ax: -0.0234528 | ay: -0.114609 | az: -0.187485
ax: 0.0907135 | ay: -0.0186462 | az: -0.109116
ax: -0.0130463 | ay: -0.132217 | az: 0.0364685
ax: -0.0433655 | ay: -0.0276489 | az: 0.138809
ax: -0.0373535 | ay: -0.0422668 | az: 0.125854
ax: -0.0407562 | ay: 0.0538483 | az: 0.0119476
ax: -0.0636292 | ay: -0.0445709 | az: 0.0195923
ax: -0.182465 | ay: -0.00712585 | az: 0.0447235
ax: -0.275574 | ay: 0.0262909 | az: -0.0271759
ax: -0.26236 | ay: 0.201416 | az: 0.0919495
ax: -0.442429 | ay: 0.260391 | az: 0.0466309
ax: -0.552231 | ay: 0.343292 | az: -0.0248871
ax: -0.623718 | ay: 0.364136 | az: 0.145203
ax: -0.709 | ay: 0.508774 | az: 0.0287018
ax: -1.01505 | ay: 0.589417 | az: -0.214935
ax: -1.09302 | ay: 1.64931 | az: -0.761581
ax: -1.11464 | ay: 1.96077 | az: -0.130768
ax: -1.14343 | ay: 1.51303 | az: -0.483932
ax: -0.749542 | ay: 1.39226 | az: -0.603165
time: 2
[20210805065048.293]
> sum ax: -15.0934 | sum ay: -5.19092 | sum az: -2.24802
>> avg ax: -0.301869 | avg ay: -0.103818 | avg az: -0.0449603
>>> vx: -1.47916 | vy: -0.50871 | vz: -0.220306
>>> sx: -0.406651 | sy: -0.692372 | sz: -0.0770087
>>> a: 0.322373
>>> v: 1.57963
>>> s: 0.806644

steps: 848
ax: 0.698013 | ay: 0.823975 | az: -0.325897
ax: 0.192383 | ay: -0.94693 | az: -0.868042
ax: 0.36731 | ay: 1.20375 | az: -0.223846
ax: 0.74234 | ay: 1.3177 | az: 0.0269623
ax: 0.631729 | ay: 0.736649 | az: 0.032959
ax: 0.628342 | ay: 0.403336 | az: -0.0058136
ax: 0.663223 | ay: 0.549149 | az: -0.0457001
ax: 0.412323 | ay: 0.543823 | az: -0.0104523
ax: 0.330688 | ay: 0.448303 | az: -0.113846
ax: 0.0571899 | ay: 0.276291 | az: -0.0101776
ax: -0.250916 | ay: 0.132645 | az: -0.00468445
ax: -0.593811 | ay: -0.0466309 | az: 0.223709
ax: -0.979507 | ay: -0.576874 | az: 0.313599
ax: -1.1221 | ay: -0.893433 | az: 0.193359
ax: -1.17851 | ay: -1.41911 | az: -0.164246
ax: -1.22957 | ay: -1.97639 | az: -0.4077
ax: -1.01498 | ay: -2.64047 | az: -0.66214
