>>> sx: 1.3348 | sy: -1.736 | sz: -0.31078
>>> a: 0.285707
>>> v: 2.79993
>>> s: 2.21178

ax: -0.0267181 | ay: -0.278473 | az: -0.00590515
ax: 0.0250397 | ay: -0.166702 | az: 0.059494
ax: 0.0333405 | ay: -0.131531 | az: 0.0379791
ax: -0.00813293 | ay: -0.143982 | az: -0.0187988
ax: 0.00105286 | ay: -0.106293 | az: -0.0190582
ax: 0.0316315 | ay: -0.0684662 | az: 0.0127869
ax: 0.0361633 | ay: -0.136551 | az: 0.0373077
ax: 0.112854 | ay: -0.196487 | az: 0.0110168
ax: 0.159515 | ay: -0.184296 | az: -0.100021
ax: 0.245316 | ay: -0.304504 | az: 0.074707
ax: 0.361893 | ay: -0.38591 | az: 0.0286713
ax: 0.516357 | ay: -0.473495 | az: 0.0617523
ax: 0.670029 | ay: -0.587296 | az: 0.147537
ax: 0.690002 | ay: -0.659866 | az: 0.0748901
ax: 1.01669 | ay: -0.833588 | az: -0.0235291
ax: 1.14397 | ay: -1.48265 | az: -0.595993
ax: 1.17181 | ay: -2.07553 | az: -0.357208
ax: 1.20592 | ay: -1.44408 | az: -0.132889
ax: 1.15031 | ay: -1.17371 | az: -0.970764
ax: 0.323792 | ay: -1.09203 | az: -0.18808
ax: 0.564713 | ay: -0.732056 | az: -0.346573
ax: -0.192322 | ay: 0.577744 | az: 0.0547791
ax: -0.17894 | ay: -0.522293 | az: 0.179443
ax: -0.669861 | ay: -0.743713 | az: 0.098175
ax: -0.529465 | ay: -1.19444 | az: -0.0828094
ax: -0.759033 | ay: -1.05432 | az: 0.0472412
ax: -0.591446 | ay: -0.705673 | az: 0.0460205
ax: -0.526703 | ay: -0.514282 | az: 0.0487061
ax: -0.4814 | ay: -0.405884 | az: 0.071991
ax: -0.371979 | ay: -0.36441 | az: 0.102203
ax: -0.218079 | ay: -0.281067 | az: 0.139603
ax: 0.0131989 | ay: -0.250916 | az: 0.186417
ax: 0.677582 | ay: 0.209244 | az: 0.102112
ax: 1.04181 | ay: 0.615692 | az: 0.10817
ax: 1.08398 | ay: 1.33682 | az: -0.0198517
ax: 1.13016 | ay: 2.01778 | az: 0.226135
ax: 1.1671 | ay: 2.42882 | az: -0.713043
ax: 0.607346 | ay: 2.53394 | az: 0.168915
ax: 0.569977 | ay: 2.50716 | az: 0.388443
ax: 1.09637 | ay: 0.187546 | az: -0.0560455
ax: -1.14731 | ay: -1.59261 | az: -0.224411
ax: 0.347244 | ay: 0.242096 | az: 0.635223
ax: 1.09071 | ay: 0.426392 | az: 0.568161
ax: 0.380569 | ay: 0.92952 | az: 0.0311432
