steps: 0
>>> vx: -0.351241 | vy: 0.13388 | vz: -0.10375
>>> sx: -0.38406 | sy: -0.350254 | sz: -0.0141303
>>> a: 0.0795808
>>> v: 0.389946
>>> s: 0.51998

ax: 0.127762 | ay: 0.183716 | az: -0.000747681
ax: -0.169312 | ay: 0.00198364 | az: 0.0274353
ax: -0.477402 | ay: -0.30751 | az: 0.0877228
ax: -0.855621 | ay: -0.616943 | az: -0.0345612
ax: -1.09222 | ay: -1.03671 | az: -0.184662
ax: -1.13683 | ay: -1.47356 | az: -0.213226
ax: -1.11002 | ay: -1.55818 | az: -0.245331
ax: -1.05246 | ay: -1.88118 | az: -0.295868
ax: -0.75563 | ay: -2.43442 | az: 0.435379
ax: -0.378723 | ay: -2.15381 | az: 0.274963
ax: -0.484467 | ay: -1.48672 | az: -0.071228
ax: 0.0839539 | ay: -0.650787 | az: -0.0445404
ax: -0.389709 | ay: 0.842316 | az: 0.740219
ax: -0.264847 | ay: 0.414566 | az: 0.236618
ax: -0.522232 | ay: -0.483704 | az: 0.156052
ax: -0.397568 | ay: -0.68132 | az: -0.129852
ax: -0.255157 | ay: -0.636505 | az: -0.452637
ax: -0.407852 | ay: -0.778549 | az: -0.206192
ax: -0.0793762 | ay: -0.252853 | az: 0.0703583
ax: -0.00856018 | ay: -0.0664368 | az: 0.00309753
ax: 0.0360718 | ay: -0.089035 | az: 0.0585938
ax: -0.0944214 | ay: -0.197617 | az: 0.0314636
ax: -0.0467529 | ay: -0.12886 | az: -0.032135
ax: 0.0123444 | ay: -0.103409 | az: -0.157364
ax: 0.0402985 | ay: -0.0783691 | az: -0.172653
ax: 0.00379944 | ay: -0.0994415 | az: 0.0315247
ax: -0.100571 | ay: -0.234238 | az: 0.229156
ax: -0.0878143 | ay: -0.178116 | az: 0.163391
ax: -0.0293274 | ay: -0.17691 | az: 0.02034
ax: -0.0188904 | ay: -0.139938 | az: -0.0808411
ax: -0.0120239 | ay: -0.179611 | az: 0.00286865
ax: -0.0163574 | ay: -0.157013 | az: 0.0744019
ax: -0.0240936 | ay: -0.0961456 | az: 0.0308533
ax: -0.011322 | ay: -0.0811462 | az: 0.0261078
ax: -0.00590515 | ay: -0.154495 | az: -0.0152588
ax: -0.00967407 | ay: -0.170029 | az: 0.0166016
ax: -0.00924683 | ay: -0.111328 | az: 0.0522614
ax: -0.0571442 | ay: -0.0705719 | az: 0.016571
ax: -0.113205 | ay: -0.131851 | az: 0.0202026
ax: -0.129074 | ay: -0.07724 | az: 0.022049
ax: -0.131653 | ay: 0.00488281 | az: 0.0286255
ax: -0.218353 | ay: 0.0107117 | az: 0.0181427
ax: -0.187836 | ay: -0.0177155 | az: -0.0318146
ax: -0.282028 | ay: -0.0296478 | az: 0.0493011
ax: -0.37529 | ay: -0.0326996 | az: 0.036087
ax: -0.426865 | ay: 0.0119781 | az: -0.00335693
ax: -0.639618 | ay: 0.146957 | az: -0.0644379
ax: -0.921448 | ay: 0.518021 | az: -0.197968
ax: -1.02179 | ay: 1.06651 | az: -0.507996
ax: -0.880112 | ay: 1.04457 | az: 0.112854
time: 3
[20210812051541.740]
> sum ax: -15.3846 | sum ay: -14.9884 | sum az: -0.0694275
>> avg ax: -0.307691 | avg ay: -0.299768 | avg az: -0.00138855
>>> vx: -1.50769 | vy: -1.46886 | vz: -0.0068039
>>> sx: -0.857674 | sy: -1.32346 | sz: 0.0197769
>>> a: 0.429577
>>> v: 2.10493
>>> s: 1.57719

ax: -0.656097 | ay: 0.409592 | az: -0.0101776
ax: -0.61525 | ay: 0.372543 | az: -0.380844
ax: -0.154724 | ay: 0.486023 | az: -0.435486
ax: 0.509613 | ay: 0.0679626 | az: -0.191345
ax: 0.440903 | ay: -0.192154 | az: -0.317871
ax: 0.391937 | ay: 0.476349 | az: -0.0346222
ax: 0.581406 | ay: 0.7612 | az: -0.0246429
ax: 0.650665 | ay: 0.61821 | az: 0.0399628
ax: 0.665436 | ay: 0.51741 | az: -0.0336609
ax: 0.577362 | ay: 0.381149 | az: -0.0447845
ax: 0.52063 | ay: 0.149216 | az: -0.0428467
ax: 0.424789 | ay: -0.0103912 | az: -0.0209198
ax: 0.384354 | ay: 0.148727 | az: 0.018219
ax: 0.268219 | ay: 0.0393982 | az: -0.0441132
ax: 0.135773 | ay: 0.0121918 | az: 0.00405884
ax: 0.0317993 | ay: -0.0742493 | az: -0.00630188
ax: -0.159241 | ay: -0.25946 | az: -0.000854492
ax: -0.373245 | ay: -0.503235 | az: -0.0165863
ax: -0.598618 | ay: -0.868851 | az: -0.125809
ax: -0.78569 | ay: -1.17357 | az: -0.119141
ax: -0.897064 | ay: -1.36313 | az: -0.112137
ax: -0.861893 | ay: -1.38533 | az: -0.0429535
ax: -0.721954 | ay: -1.46603 | az: -0.039856
ax: -0.51622 | ay: -1.73038 | az: 0.0821533
ax: -0.411682 | ay: -1.8987 | az: 0.304214
ax: -0.688797 | ay: -1.5211 | az: 0.00923157
ax: -0.166519 | ay: -1.11282 | az: 0.124466
ax: -0.295242 | ay: 1.57574 | az: 0.732635
ax: -0.476395 | ay: 0.163422 | az: 0.318008
ax: -0.532227 | ay: -0.81279 | az: -0.0116272
ax: -0.332581 | ay: -0.374054 | az: -0.272766
ax: -0.279633 | ay: -0.813675 | az: -0.451645
ax: -0.156754 | ay: -0.655869 | az: -0.0249329
ax: -0.110458 | ay: -0.114105 | az: 0.0663605
ax: 0.0870361 | ay: -0.0917664 | az: 0.0473633
ax: -0.108368 | ay: -0.104477 | az: 0.153824
ax: -0.0630798 | ay: -0.109543 | az: 0.018158
ax: 0.015976 | ay: -0.0718231 | az: -0.105667
ax: 0.0245514 | ay: -0.20961 | az: -0.274857
ax: 0.0141602 | ay: -0.0154877 | az: -0.000396729
ax: -0.0245056 | ay: -0.0155487 | az: 0.108978
ax: -0.0633545 | ay: -0.104828 | az: 0.149979
ax: -0.0559845 | ay: -0.125107 | az: 0.0553894
ax: 0.00164795 | ay: -0.0474396 | az: -0.0124359
ax: -0.00588989 | ay: -0.0930634 | az: -0.0162506
ax: -0.0203247 | ay: -0.124329 | az: 0.0268555
ax: -0.0337982 | ay: -0.0493469 | az: 0.0418549
ax: -0.0538025 | ay: -0.0696869 | az: 0.0218506
ax: -0.0458832 | ay: -0.0800323 | az: 0.0348663
ax: -0.0262299 | ay: -0.103699 | az: 0.0357208
time: 4
[20210812051542.743]
> sum ax: -4.56525 | sum ay: -11.5665 | sum az: -0.821381
>> avg ax: -0.0913049 | avg ay: -0.231331 | avg az: -0.0164276
>>> vx: -0.447394 | vy: -1.13352 | vz: -0.0804953
>>> sx: -0.121523 | sy: -0.417751 | sz: -0.117645
>>> a: 0.24924
>>> v: 1.22127
>>> s: 0.450693

ax: -0.0216522 | ay: -0.0998993 | az: 0.0831757
ax: -0.0414734 | ay: -0.0608215 | az: 0.0535736
ax: -0.0784454 | ay: -0.0379639 | az: 0.0518799
ax: -0.112411 | ay: -0.0270996 | az: 0.000427246
ax: -0.130341 | ay: 0.0121307 | az: 0.0244598
ax: -0.15831 | ay: 0.0412292 | az: 0.00360107
ax: -0.155884 | ay: 0.0314941 | az: 0.0404968
ax: -0.23053 | ay: 0.0527344 | az: -0.0210724
ax: -0.417755 | ay: 0.00895691 | az: -0.137405
ax: -0.576599 | ay: 0.117004 | az: -0.0909424
ax: -0.853073 | ay: 0.145767 | az: -0.0606842
ax: -1.08705 | ay: 0.769196 | az: -0.252243
ax: -0.869598 | ay: 1.513 | az: -0.253113
ax: -0.896835 | ay: 0.661682 | az: 0.272766
ax: -0.539169 | ay: 0.419647 | az: -0.336716
ax: -0.497116 | ay: 0.383636 | az: -0.419495
ax: 0.223221 | ay: 0.364166 | az: -0.388412
ax: 0.157944 | ay: 0.025528 | az: -0.184174
ax: 0.423019 | ay: -0.000610352 | az: -0.279404
ax: 0.510788 | ay: 0.721954 | az: -0.0323944
ax: 0.579102 | ay: 0.826416 | az: -0.0300293
ax: 0.612961 | ay: 0.641876 | az: -0.0232086
ax: 0.600311 | ay: 0.465759 | az: -0.0758667
ax: 0.569275 | ay: 0.315292 | az: -0.0586395
ax: 0.541183 | ay: 0.268692 | az: -0.0250702
ax: 0.500427 | ay: 0.247696 | az: -0.0163422
ax: 0.42215 | ay: 0.278793 | az: -0.046463
ax: 0.228485 | ay: 0.196686 | az: -0.0704803
ax: -0.0240021 | ay: 0.0927429 | az: -0.049408
ax: -0.257156 | ay: -0.153305 | az: 0.0142365
ax: -0.541824 | ay: -0.39032 | az: 0.036026
ax: -0.817657 | ay: -0.694733 | az: -0.0274353
ax: -1.00946 | ay: -1.20673 | az: -0.141357
ax: -0.938263 | ay: -1.43372 | az: -0.04216
ax: -0.821716 | ay: -1.45409 | az: -0.130783
ax: -0.762726 | ay: -1.52913 | az: -0.00518799
ax: -0.552063 | ay: -1.61842 | az: 0.306076
ax: -0.440887 | ay: -1.85135 | az: 0.358719
ax: -0.494385 | ay: -1.73892 | az: 0.0676422
ax: -0.310242 | ay: -1.61966 | az: 0.0433197
ax: -0.415344 | ay: 1.47142 | az: 0.577133
ax: -0.448853 | ay: 0.390396 | az: 0.367416
ax: -0.373337 | ay: -0.692276 | az: -0.0432129
ax: -0.280563 | ay: -0.330368 | az: -0.360352
ax: -0.065567 | ay: -0.731949 | az: -0.228531
ax: -0.168945 | ay: -0.650009 | az: -0.134109
ax: -0.0879211 | ay: -0.24791 | az: 0.0351715
ax: -0.02388 | ay: -0.0344696 | az: 0.0867767
ax: -0.108582 | ay: -0.232697 | az: 0.0801086
ax: -0.117401 | ay: -0.0820007 | az: 0.0568237
time: 5
[20210812051543.743]
> sum ax: -10.3582 | sum ay: -6.45454 | sum az: -1.40486
>> avg ax: -0.207163 | avg ay: -0.129091 | avg az: -0.0280972
>>> vx: -1.0151 | vy: -0.632545 | vz: -0.137676
>>> sx: -0.470952 | sy: 0.142395 | sz: -0.129246
>>> a: 0.245704
>>> v: 1.20395
>>> s: 0.508701

ax: -0.0260162 | ay: -0.0340424 | az: 0.00985718
ax: 0.0143585 | ay: -0.11673 | az: -0.151581
ax: 0.00205994 | ay: -0.125778 | az: -0.155365
ax: -0.0160828 | ay: -0.0166473 | az: 0.0729675
ax: -0.0124054 | ay: 0.0222473 | az: 0.123123
ax: -0.0267639 | ay: -0.0326691 | az: 0.0854797
ax: 0.0157776 | ay: -0.079422 | az: -0.0250092
ax: 0.0205994 | ay: -0.0881805 | az: -0.0819702
ax: -0.0203857 | ay: -0.0775604 | az: 0.0135651
ax: -0.0297546 | ay: -0.0497284 | az: 0.0773773
ax: -0.0403748 | ay: -0.0351868 | az: 0.035965
ax: -0.0256958 | ay: -0.0404663 | az: 0.00177002
ax: -0.0153656 | ay: -0.0903473 | az: 3.05176e-05
ax: -0.0400848 | ay: -0.0629425 | az: 0.0180969
ax: -0.0707397 | ay: -0.0284424 | az: 0.0264587
ax: -0.0666962 | ay: -0.0392303 | az: 0.0334167
ax: -0.0901031 | ay: -0.0156403 | az: -0.00395203
ax: -0.133362 | ay: 0.0188293 | az: 0.0278015
ax: -0.201462 | ay: 0.112167 | az: 0.139877
ax: -0.179138 | ay: 0.0599823 | az: -0.0126343
ax: -0.237625 | ay: 0.00149536 | az: -0.0262909
ax: -0.362106 | ay: 0.0399017 | az: -0.153046
ax: -0.526016 | ay: 0.103271 | az: -0.0726776
ax: -0.858856 | ay: 0.172653 | az: -0.0986328
ax: -1.07825 | ay: 0.52626 | az: -0.22377
ax: -0.876587 | ay: 1.42819 | az: -0.395966
ax: -0.816742 | ay: 0.88739 | az: -0.000579834
ax: -0.53688 | ay: 0.515015 | az: -0.237564
ax: -0.394791 | ay: 0.321701 | az: -0.446732
ax: 0.121628 | ay: 0.44249 | az: -0.358521
ax: 0.48288 | ay: 0.130859 | az: -0.181839
ax: 0.568512 | ay: -0.416168 | az: -0.208481
ax: 0.321671 | ay: 0.0673981 | az: -0.0337677
ax: 0.611481 | ay: 0.705643 | az: -0.0307159
ax: 0.648361 | ay: 0.863678 | az: 0.00921631
ax: 0.626175 | ay: 0.748856 | az: -0.0181427
ax: 0.590897 | ay: 0.583771 | az: -0.00331116
ax: 0.524887 | ay: 0.305649 | az: -0.00408936
ax: 0.449814 | ay: 0.147018 | az: -0.0213318
ax: 0.42601 | ay: 0.233322 | az: -0.0769043
ax: 0.286377 | ay: 0.259659 | az: -0.110001
ax: 0.0261536 | ay: 0.15744 | az: -0.0773163
ax: -0.176575 | ay: -0.13913 | az: 0.00143433
ax: -0.487961 | ay: -0.345444 | az: -0.0720367
ax: -0.847015 | ay: -0.866837 | az: -0.240219
ax: -1.04007 | ay: -1.06538 | az: -0.243286
ax: -0.93103 | ay: -1.16527 | az: -0.274506
ax: -0.810333 | ay: -1.43584 | az: -0.388474
ax: -0.741486 | ay: -1.62569 | az: -0.104141
ax: -0.597824 | ay: -1.67101 | az: 0.488174
time: 6
[20210812051544.743]
> sum ax: -6.57693 | sum ay: -0.808884 | sum az: -3.36824
>> avg ax: -0.131539 | avg ay: -0.0161777 | avg az: -0.0673648
>>> vx: -0.64454 | vy: -0.0792704 | vz: -0.330088
>>> sx: -0.224987 | sy: 0.196567 | sz: -0.114912
>>> a: 0.148668
>>> v: 0.728473
>>> s: 0.320098

ax: -0.42836 | ay: -1.94788 | az: 0.271515
ax: -0.622314 | ay: -1.36079 | az: -0.152512
ax: -0.111603 | ay: -1.40163 | az: 0.0236053
ax: -0.358337 | ay: 0.69606 | az: 0.757767
ax: -0.357391 | ay: 0.998047 | az: 0.488937
ax: -0.439865 | ay: -0.264099 | az: 0.0813446
ax: -0.36557 | ay: -0.468552 | az: -0.132233
ax: -0.203339 | ay: -0.333466 | az: -0.144836
ax: -0.0534668 | ay: -0.698135 | az: -0.19548
ax: -0.153778 | ay: -0.589966 | az: -0.139343
ax: -0.0195923 | ay: -0.045639 | az: 0.00177002
ax: 0.0435944 | ay: -0.0975494 | az: 0.0512848
ax: -0.133194 | ay: -0.171387 | az: 0.121597
ax: -0.103806 | ay: -0.0429382 | az: 0.0819244
ax: -0.0324249 | ay: -0.0404358 | az: -0.0512543
ax: -0.0052948 | ay: -0.174332 | az: -0.160263
ax: -0.0039978 | ay: -0.0825806 | az: -0.0313873
ax: -0.026062 | ay: -0.00227356 | az: 0.0484467
ax: 0.00828552 | ay: 0.0479584 | az: 0.0778656
ax: -0.0149841 | ay: -0.0415344 | az: -0.00613403
ax: 0.0233307 | ay: -0.0584259 | az: -0.0461273
ax: 0.00866699 | ay: -0.0165863 | az: -0.0497894
ax: 0.00198364 | ay: 0.0310059 | az: 0.0423737
ax: -0.0238342 | ay: -0.0391693 | az: 0.0538025
ax: -0.0366821 | ay: -0.043045 | az: 0.0188293
ax: -0.0192719 | ay: -0.0381012 | az: -0.00572205
ax: -0.0363617 | ay: -0.0509491 | az: 0.00592041
ax: -0.0449219 | ay: -0.083313 | az: 0.0479736
ax: -0.0649567 | ay: -0.0497131 | az: 0.0325928
ax: -0.0951233 | ay: -0.0425568 | az: 0.00273132
ax: -0.112045 | ay: 0.0062561 | az: 0.026474
ax: -0.168747 | ay: 0.0645294 | az: 0.109909
ax: -0.148026 | ay: 0.0931244 | az: 0.0934906
ax: -0.184677 | ay: 0.0318146 | az: 0.0718689
ax: -0.250412 | ay: 0.0678864 | az: -0.0605774
ax: -0.362885 | ay: 0.12146 | az: -0.185898
ax: -0.549332 | ay: 0.124634 | az: -0.195328
ax: -0.80484 | ay: 0.188293 | az: -0.191528
ax: -1.08372 | ay: 0.707214 | az: -0.263123
ax: -0.918488 | ay: 1.32407 | az: -0.183258
ax: -0.890488 | ay: 0.935883 | az: 0.130585
ax: -0.57489 | ay: 0.317047 | az: -0.109085
ax: -0.530823 | ay: 0.327347 | az: -0.424866
ax: 0.0875092 | ay: 0.354416 | az: -0.420547
ax: 0.370377 | ay: 0.10257 | az: -0.11647
ax: 0.549072 | ay: -0.199051 | az: -0.376785
ax: 0.454819 | ay: 0.546173 | az: -0.0291748
ax: 0.605728 | ay: 0.787277 | az: -0.0140076
ax: 0.642105 | ay: 0.674805 | az: 0.0425262
ax: 0.659012 | ay: 0.548691 | az: -0.0547333
time: 7
[20210812051545.735]
> sum ax: -6.87943 | sum ay: 0.712463 | sum az: -1.05533
>> avg ax: -0.137589 | avg ay: 0.0142493 | avg az: -0.0211066
>>> vx: -0.674183 | vy: 0.0698215 | vz: -0.103422
>>> sx: -0.450388 | sy: -0.449867 | sz: 0.0645808
>>> a: 0.139925
>>> v: 0.685634
>>> s: 0.639844

ax: 0.617538 | ay: 0.385818 | az: -0.0844421
ax: 0.586426 | ay: 0.312439 | az: -0.014679
ax: 0.535141 | ay: 0.391739 | az: -0.0479126
ax: 0.390305 | ay: 0.400177 | az: -0.0934601
ax: 0.223999 | ay: 0.281738 | az: 0.148727
ax: 0.000244141 | ay: 0.0578613 | az: 0.096817
ax: -0.259583 | ay: -0.238953 | az: 0.0250854
ax: -0.503418 | ay: -0.43161 | az: 0.01474
ax: -0.693222 | ay: -0.840302 | az: -0.207016
ax: -0.850388 | ay: -0.600037 | az: -0.103607
ax: -1.09521 | ay: -1.19182 | az: -0.177795
ax: -1.02275 | ay: -1.56816 | az: 0.0305176
ax: -0.778198 | ay: -1.97108 | az: 0.136017
ax: -0.549179 | ay: -2.27763 | az: 0.521057
ax: -0.675201 | ay: -1.65135 | az: 0.10437
ax: -0.186935 | ay: -1.65955 | az: -0.0964203
ax: -0.342484 | ay: 0.710541 | az: 0.0966187
ax: -0.422821 | ay: 0.522202 | az: 0.325378
ax: -0.384125 | ay: -0.86998 | az: 0.149368
ax: -0.450317 | ay: -0.504181 | az: -0.0709534
ax: 0.0409546 | ay: -0.248199 | az: 0.0739136
ax: -0.162018 | ay: -0.553055 | az: -0.105988
ax: -0.0314178 | ay: -0.285446 | az: -0.0408478
ax: 0.0624847 | ay: -0.0232544 | az: -0.0438232
ax: 0.0118713 | ay: -0.0514526 | az: -0.0358887
ax: -0.0921326 | ay: -0.0358276 | az: 0.042038
ax: -0.03508 | ay: 0.0216064 | az: 0.0414276
ax: -0.0180969 | ay: -0.0475769 | az: -0.0868835
ax: -0.0166168 | ay: -0.124039 | az: -0.0964508
ax: -0.0423431 | ay: -0.0530701 | az: 0.0383759
ax: -0.0676117 | ay: -0.0245819 | az: 0.132126
ax: -0.0328674 | ay: -0.0408478 | az: 0.057724
ax: -0.00445557 | ay: -0.0980988 | az: -0.0291443
ax: 0.00611877 | ay: -0.0953064 | az: -0.0659637
ax: 0.00640869 | ay: -0.0463562 | az: 0.021347
ax: -0.0127716 | ay: -0.0104828 | az: 0.0397034
ax: -0.00543213 | ay: -0.0606384 | az: 0.0511169
ax: -0.0287781 | ay: -0.0688782 | az: 0.0265045
ax: -0.0296783 | ay: -0.0690155 | az: 0.010025
ax: -0.026535 | ay: -0.0858612 | az: 0.0367737
ax: -0.0300598 | ay: -0.067215 | az: 0.0231476
ax: -0.0744476 | ay: -0.0363007 | az: -0.00637817
ax: -0.0972443 | ay: 0 | az: 0.0110626
ax: -0.148361 | ay: 0.0692139 | az: 0.103958
ax: -0.17659 | ay: 0.0611267 | az: 0.0933075
ax: -0.166199 | ay: 0.0426025 | az: 0.0554352
ax: -0.19397 | ay: 0.0552063 | az: -0.00453186
ax: -0.2556 | ay: 0.0901337 | az: -0.116547
ax: -0.562225 | ay: 0.124268 | az: -0.182266
ax: -0.836624 | ay: 0.145309 | az: -0.285873
time: 8
[20210812051546.748]
> sum ax: -8.8795 | sum ay: -12.2582 | sum az: 0.509811
>> avg ax: -0.17759 | avg ay: -0.245164 | avg az: 0.0101962
>>> vx: -0.870191 | vy: -1.2013 | vz: 0.0499615
>>> sx: -0.427025 | sy: -0.853939 | sz: 0.0468636
>>> a: 0.302898
>>> v: 1.4842
>>> s: 0.955908

ax: -1.05003 | ay: 0.672867 | az: -0.387207
ax: -0.967331 | ay: 1.26578 | az: -0.265884
ax: -0.899643 | ay: 1.0379 | az: 0.147461
ax: -0.640442 | ay: 0.385254 | az: -0.0556641
ax: -0.534653 | ay: 0.40712 | az: -0.418869
ax: -0.0399933 | ay: 0.295486 | az: -0.446472
ax: 0.377075 | ay: 0.117813 | az: -0.164307
ax: 0.492599 | ay: -0.104523 | az: -0.237854
ax: 0.378586 | ay: 0.544495 | az: -0.00909424
ax: 0.526169 | ay: 0.793671 | az: -0.0208588
ax: 0.583893 | ay: 0.70256 | az: -0.0135651
ax: 0.620804 | ay: 0.571686 | az: -0.058075
ax: 0.606644 | ay: 0.444855 | az: -0.0331268
ax: 0.566727 | ay: 0.343933 | az: -0.0103607
ax: 0.511902 | ay: 0.288773 | az: 0.00537109
ax: 0.461426 | ay: 0.307144 | az: -0.015213
ax: 0.319168 | ay: 0.242538 | az: -0.0347748
ax: 0.10141 | ay: 0.146133 | az: -0.0534821
ax: -0.148773 | ay: -0.0707397 | az: -0.0699005
ax: -0.450027 | ay: -0.307846 | az: -0.0924683
ax: -0.846375 | ay: -0.722794 | az: -0.251877
ax: -1.07018 | ay: -1.18092 | az: -0.380356
ax: -1.10599 | ay: -1.69263 | az: -0.312363
ax: -0.954193 | ay: -1.72461 | az: -0.239212
ax: -0.743988 | ay: -1.75967 | az: -0.0184631
ax: -0.551865 | ay: -1.69612 | az: 0.410873
ax: -0.486313 | ay: -1.80371 | az: 0.422791
ax: -0.378296 | ay: -1.64162 | az: 0.326675
ax: -0.227951 | ay: 0.349289 | az: 0.596481
