ax: 0.00556946 | ay: 0.0826721 | az: -0.00746155
ax: 0.0437317 | ay: -0.152542 | az: -0.0359955
ax: 0.0582123 | ay: -0.138901 | az: -0.0424652
ax: 0.0468903 | ay: -0.138458 | az: -0.0103302
ax: 0.125549 | ay: -0.243729 | az: -0.00201416
ax: 0.143417 | ay: -0.284378 | az: -0.00234985
ax: 0.2341 | ay: -0.347504 | az: -0.00512695
ax: 0.351364 | ay: -0.309601 | az: 0.0557098
ax: 0.448944 | ay: -0.347031 | az: 0.110092
ax: 0.523117 | ay: -0.417679 | az: 0.0484161
ax: 0.667145 | ay: -0.568893 | az: -0.156265
ax: 1.02284 | ay: -0.80098 | az: -0.263962
ax: 1.10004 | ay: -1.25668 | az: -0.371674
ax: 0.95639 | ay: -1.96553 | az: -0.417419
ax: 0.970917 | ay: -0.821579 | az: -0.0766754
ax: 0.860229 | ay: -0.747665 | az: -0.628372
ax: 0.332153 | ay: -0.816956 | az: -0.494278
ax: -0.00900269 | ay: -0.53891 | az: -0.469772
ax: -0.634781 | ay: 0.478165 | az: -0.264893
ax: -0.136063 | ay: -0.0395813 | az: 0.203979
ax: -0.633286 | ay: -0.615524 | az: 0.115082
ax: -0.649765 | ay: -0.91777 | az: -0.114349
ax: -0.739777 | ay: -1.01015 | az: -0.0496979
ax: -0.674561 | ay: -0.648102 | az: -0.0498657
ax: -0.681305 | ay: -0.451172 | az: -0.0557404
ax: -0.615173 | ay: -0.290878 | az: -0.0214233
ax: -0.553894 | ay: -0.165512 | az: -0.0144958
ax: -0.479736 | ay: -0.112595 | az: 0.00756836
ax: -0.323135 | ay: -0.118454 | az: -7.62939e-05
ax: -0.0380859 | ay: -0.0271912 | az: 0.000900269
ax: 0.398727 | ay: 0.279999 | az: -0.046463
ax: 0.934189 | ay: 0.813232 | az: -0.160049
ax: 1.10088 | ay: 1.22447 | az: -0.146973
ax: 1.14893 | ay: 2.0791 | az: 0.068512
ax: 1.0119 | ay: 2.44499 | az: -0.238785
ax: 1.07666 | ay: 2.54742 | az: -0.335083
ax: 0.665527 | ay: 2.51996 | az: 0.199722
ax: 0.458145 | ay: -1.53192 | az: 0.913895
ax: 0.161987 | ay: 0.814621 | az: 0.682358
ax: 0.304031 | ay: 1.06699 | az: 0.421753
ax: 0.655167 | ay: 0.976303 | az: 0.11409
ax: 0.485428 | ay: 0.314728 | az: -0.242081
ax: -0.066803 | ay: 0.479218 | az: -0.0747375
ax: 0.0518036 | ay: 0.308777 | az: -0.0925293
ax: 0.0222473 | ay: -0.116745 | az: -0.0658264
ax: 0.112335 | ay: 0.0119171 | az: 0.215881
ax: 0.0270844 | ay: -0.179352 | az: 0.0123596
ax: 0.0155792 | ay: -0.0819702 | az: -0.000900269
ax: -0.00387573 | ay: -0.0963593 | az: -0.253067
ax: -0.0289459 | ay: -0.116516 | az: -0.118805
time: 1
[20201117135258.485]
> sum ax: 10.253 | sum ay: 0.0257568 | sum az: -2.15968
>> avg ax: 0.205061 | avg ay: 0.000515137 | avg az: -0.0431937
>>> vx: 2.00959 | vy: 0.00504831 | vz: -0.423298
>>> sx: 1.05091 | sy: -1.06943 | sz: -0.372877
>>> a: 0.209561
>>> v: 2.0537
>>> s: 1.54504

ax: 0.0105438 | ay: -0.275085 | az: -0.0285187
ax: 0.0232849 | ay: -0.235367 | az: 0.0945435
ax: 0.0449066 | ay: -0.213242 | az: 0.0163269
ax: 0.0513 | ay: -0.0909882 | az: -0.0216827
ax: 0.0378723 | ay: -0.00985718 | az: 0.00593567
ax: 0.0514679 | ay: -0.00801086 | az: 0.0119324
ax: 0.0973816 | ay: -0.101898 | az: 0.0675507
ax: 0.147217 | ay: -0.0993195 | az: 0.0719757
ax: 0.12648 | ay: -0.128326 | az: -0.0494995
ax: 0.119919 | ay: -0.206635 | az: -0.0393372
ax: 0.220032 | ay: -0.347382 | az: -0.0530701
ax: 0.350296 | ay: -0.387177 | az: -0.0226288
ax: 0.552582 | ay: -0.400986 | az: 0.157852
ax: 0.558228 | ay: -0.521118 | az: 0.164597
ax: 0.952499 | ay: -0.595306 | az: 0.0623627
ax: 1.07327 | ay: -0.912033 | az: -0.281494
ax: 1.08983 | ay: -2.32736 | az: -0.449356
ax: 0.95784 | ay: -1.35632 | az: -0.500275
ax: 1.08551 | ay: -0.922302 | az: -1.22066
ax: 0.0233917 | ay: -0.784927 | az: -0.482651
ax: -0.00717163 | ay: -0.466263 | az: -0.19162
ax: -0.626022 | ay: 0.789413 | az: -0.120224
ax: -0.113235 | ay: -0.113968 | az: 0.190948
ax: -0.724319 | ay: -0.655579 | az: -0.0150757
ax: -0.661667 | ay: -1.01608 | az: -0.185837
ax: -0.88002 | ay: -1.06795 | az: -0.0194092
ax: -0.692886 | ay: -0.765366 | az: -0.0820312
ax: -0.660934 | ay: -0.445084 | az: -0.0261078
ax: -0.588257 | ay: -0.225449 | az: 0.00621033
ax: -0.468887 | ay: -0.0505219 | az: 0.0164185
ax: -0.331909 | ay: -0.0125275 | az: 0.0951691
ax: -0.125992 | ay: -0.052063 | az: 0.0950623
ax: 0.332138 | ay: 0.144287 | az: 0.055954
ax: 0.858536 | ay: 0.538467 | az: 0.0765076
ax: 1.09871 | ay: 1.04401 | az: -0.12352
ax: 1.15359 | ay: 2.04068 | az: 0.0195618
ax: 1.19765 | ay: 2.54617 | az: -0.106491
ax: 0.797379 | ay: 2.57837 | az: -0.204514
ax: 0.950378 | ay: 2.563 | az: 0.358017
ax: 0.475662 | ay: -1.20132 | az: -0.450089
ax: -0.377792 | ay: -0.0912933 | az: 1.86815
ax: 0.679184 | ay: 0.834763 | az: 0.460052
ax: 0.311142 | ay: -0.108871 | az: -0.216934
ax: 0.640045 | ay: 1.58701 | az: -0.157394
ax: 0.0637207 | ay: 0.426666 | az: 0.1064
ax: 0.247543 | ay: 0.44989 | az: 0.152893
ax: 0.144608 | ay: 0.181992 | az: -0.0247803
ax: 0.01297 | ay: -0.0140839 | az: -0.0587769
ax: 0.0568237 | ay: -0.171844 | az: -0.0182343
ax: 0.0349426 | ay: -0.02005 | az: -0.0434723
time: 2
[20201117135259.493]
> sum ax: 10.3698 | sum ay: -0.677246 | sum az: -1.03926
>> avg ax: 0.207396 | avg ay: -0.0135449 | avg az: -0.0207852
>>> vx: 2.03248 | vy: -0.13274 | vz: -0.203695
>>> sx: 0.933728 | sy: -1.14095 | sz: -0.271718
>>> a: 0.208874
>>> v: 2.04697
>>> s: 1.49915

ax: -0.0205688 | ay: -0.0565186 | az: -0.128632
ax: -0.0359955 | ay: -0.0328064 | az: -0.172104
ax: -0.0211334 | ay: -0.0864868 | az: -6.10352e-05
ax: 0.018219 | ay: -0.104034 | az: 0.063797
ax: 0.0433655 | ay: -0.0705414 | az: 0.0468597
ax: 0.0258942 | ay: -0.00193787 | az: 0.0139008
ax: 0.0092926 | ay: -0.0153198 | az: 0.00267029
ax: 0.0286407 | ay: -0.0220337 | az: 0.0111694
