steps: 339
ax: -0.029953 | ay: 0.015152 | az: 0.0153503
ax: -0.029953 | ay: 0.015152 | az: 0.0153503
ax: -0.350159 | ay: 0.0774994 | az: 0.171341
ax: -0.429489 | ay: 0.218964 | az: 0.117859
ax: -0.51004 | ay: 0.180878 | az: 0.0433044
ax: -0.597137 | ay: 0.205368 | az: -0.0507965
ax: -1.02422 | ay: 0.396011 | az: -0.17366
ax: -1.06145 | ay: 1.15047 | az: -0.63063
ax: -1.02736 | ay: 1.47984 | az: -0.501236
ax: -1.09128 | ay: 0.6819 | az: 0.0469666
ax: -0.711441 | ay: 0.810379 | az: -0.509613
ax: -0.281479 | ay: 0.607437 | az: -0.853592
ax: 0.880173 | ay: 0.308472 | az: -0.164429
ax: 0.448959 | ay: -0.610489 | az: -0.523361
ax: 0.36171 | ay: 0.579651 | az: 0.0777283
ax: 0.706665 | ay: 0.898499 | az: 0.0289307
ax: 0.705154 | ay: 0.845291 | az: 0.074173
ax: 0.734116 | ay: 0.695129 | az: 0.0400238
ax: 0.710709 | ay: 0.505585 | az: 0.0675201
ax: 0.656204 | ay: 0.336655 | az: 0.0399628
ax: 0.608932 | ay: 0.279648 | az: 0.00550842
ax: 0.507339 | ay: 0.18013 | az: -0.0300598
ax: 0.370728 | ay: 0.151382 | az: 0.040329
ax: 0.0948792 | ay: 0.0493774 | az: 0.0136261
ax: -0.243027 | ay: -0.261948 | az: 0.0447845
ax: -0.725647 | ay: -0.590546 | az: 0.115616
ax: -1.1075 | ay: -1.01939 | az: 0.0861359
ax: -1.15935 | ay: -1.74043 | az: 0.0397034
ax: -1.20288 | ay: -2.23819 | az: -0.025238
ax: -0.997665 | ay: -2.45525 | az: -0.218124
ax: -0.851227 | ay: -2.58266 | az: 0.443817
ax: -0.905731 | ay: -2.08536 | az: 0.166519
ax: 0.326782 | ay: -0.6427 | az: -0.419327
ax: -0.356384 | ay: 1.52281 | az: 0.935852
ax: -0.88118 | ay: -0.413864 | az: 0.691895
ax: -0.741638 | ay: -0.400681 | az: -0.268051
ax: -0.253021 | ay: -0.918945 | az: -0.379028
ax: -0.909393 | ay: -1.22002 | az: -0.141861
ax: 0.0102081 | ay: -0.259094 | az: 0.365677
ax: -0.155991 | ay: -0.390396 | az: -0.0422668
ax: 0.0600128 | ay: 0.0767059 | az: -0.0167084
ax: -0.0632782 | ay: 0.00508118 | az: 0.0282135
ax: 0.0576935 | ay: -0.00520325 | az: 0.0543518
ax: -0.0222015 | ay: -0.25235 | az: -0.10173
ax: 0.0718079 | ay: -0.0453339 | az: -0.126602
ax: -0.00360107 | ay: -0.0727081 | az: 0.0357056
ax: 0.0211182 | ay: 0.0452423 | az: 0.176605
ax: -0.0169983 | ay: -0.0466919 | az: 0.120041
ax: -0.0180511 | ay: -0.0576935 | az: -0.00479126
ax: -0.0380859 | ay: -0.00689697 | az: -0.00604248
time: 1
[20210805063607.463]
> sum ax: -10.4636 | sum ay: -5.99812 | sum az: -1.08426
>> avg ax: -0.209272 | avg ay: -0.119962 | avg az: -0.0216852
>>> vx: -1.02543 | vy: -0.587816 | vz: -0.106257
>>> sx: -0.55724 | sy: 0.138794 | sz: -0.156674
>>> a: 0.24219
>>> v: 1.18673
>>> s: 0.595254

ax: -0.0696411 | ay: -0.0616455 | az: 0.102188
ax: -0.0377045 | ay: -0.0550232 | az: 0.0301666
ax: -0.0817871 | ay: -0.0714417 | az: 0.0241699
ax: -0.110565 | ay: -0.0294647 | az: -0.00917053
ax: -0.0942993 | ay: 0.0124512 | az: 0.00730896
ax: -0.0970917 | ay: 0.0490112 | az: 0.14772
ax: -0.158615 | ay: 0.0367889 | az: 0.161011
ax: -0.257065 | ay: 0.123642 | az: 0.056076
ax: -0.241043 | ay: 0.121719 | az: -0.0133667
ax: -0.382736 | ay: 0.190598 | az: -0.011673
ax: -0.467163 | ay: 0.210083 | az: -0.0257721
ax: -0.617706 | ay: 0.301865 | az: -0.0449829
ax: -1.07895 | ay: 0.561615 | az: -0.247787
ax: -1.0936 | ay: 1.52501 | az: -0.752335
ax: -1.11026 | ay: 1.31401 | az: -0.128922
ax: -0.995911 | ay: 0.799469 | az: -0.280457
ax: -0.89624 | ay: 0.864502 | az: -0.488144
ax: -0.0596771 | ay: 0.901581 | az: -0.582016
ax: 0.461441 | ay: 0.028656 | az: 0.018631
ax: 0.00656128 | ay: -0.607147 | az: -0.309647
ax: 0.293549 | ay: 0.456802 | az: 0.0393677
ax: 0.710617 | ay: 0.847733 | az: 0.107895
ax: 0.747314 | ay: 0.926712 | az: -0.0155029
ax: 0.636856 | ay: 0.903641 | az: 0.0497589
ax: 0.686356 | ay: 0.562378 | az: -0.0675964
ax: 0.649277 | ay: 0.328674 | az: -0.0781097
ax: 0.54071 | ay: 0.260086 | az: -0.0281677
ax: 0.443329 | ay: 0.206146 | az: 0.0327148
ax: 0.342941 | ay: 0.163055 | az: -0.0174408
ax: 0.119675 | ay: 0.082077 | az: -0.00221252
ax: -0.211044 | ay: -0.173492 | az: -0.0540771
ax: -0.681381 | ay: -0.428238 | az: -0.0312805
ax: -1.08786 | ay: -0.847961 | az: -0.153641
ax: -1.14047 | ay: -1.6078 | az: -0.250137
ax: -1.18872 | ay: -2.24472 | az: -0.0878448
ax: -1.02721 | ay: -2.55634 | az: 0.172852
ax: -1.02922 | ay: -2.55978 | az: 0.795364
ax: -0.865387 | ay: -1.87708 | az: 0.281952
ax: 0.0483398 | ay: -0.341843 | az: -0.263824
ax: -0.478226 | ay: 1.54488 | az: 1.09557
ax: -1.1059 | ay: -0.998779 | az: 0.714996
ax: -0.772614 | ay: -0.842438 | az: -0.202194
ax: -0.0374756 | ay: -0.417557 | az: -0.0727081
ax: -0.328842 | ay: -0.793091 | az: -0.263565
