steps: 1753
ax: -0.989883 | ay: 0.162308 | az: -0.275589
ax: -0.989883 | ay: 0.162308 | az: -0.275589
ax: -0.18869 | ay: -0.678131 | az: 0.201797
ax: -0.0711517 | ay: -0.391251 | az: 0.0194092
ax: -0.0847473 | ay: -0.135529 | az: 0.0723114
ax: -0.0778961 | ay: -0.08284 | az: 0.0350189
ax: -0.056839 | ay: -0.113388 | az: -0.0211792
ax: -0.0139008 | ay: -0.218857 | az: -0.0424805
ax: -0.0121918 | ay: -0.163101 | az: -0.0362396
ax: -0.0383911 | ay: -0.0615387 | az: -0.0173798
ax: -0.0025177 | ay: -0.0249329 | az: 0.0740204
ax: -0.0189972 | ay: -0.126465 | az: 0.11438
ax: -0.0134888 | ay: -0.205826 | az: 0.0129395
ax: -0.0215759 | ay: -0.169754 | az: -0.00700378
ax: -0.050293 | ay: -0.109802 | az: 0.0666199
ax: -0.0159912 | ay: -0.0634766 | az: 0.0848999
ax: -0.0374146 | ay: -0.116821 | az: 0.0639801
ax: -0.0319519 | ay: -0.0741882 | az: 0.00485229
ax: -0.0358429 | ay: -0.0934143 | az: 0.00868225
ax: -0.0382233 | ay: -0.0834656 | az: 0.00993347
ax: -0.0304413 | ay: -0.0424957 | az: 0.00323486
ax: -0.0663605 | ay: -0.0213623 | az: 0.0344238
ax: -0.144363 | ay: 0.0160675 | az: 0.0604553
ax: -0.173996 | ay: 0.0248413 | az: 0.118393
ax: -0.238419 | ay: 0.0893402 | az: 0.126465
ax: -0.286255 | ay: 0.0751953 | az: -0.0284576
ax: -0.390152 | ay: 0.0790558 | az: -0.0998383
ax: -0.665039 | ay: 0.103882 | az: -0.108475
ax: -1.03372 | ay: 0.327698 | az: -0.302032
ax: -1.05562 | ay: 0.801666 | az: -0.709747
ax: -1.04111 | ay: 1.26369 | az: -0.0595856
ax: -0.782532 | ay: 0.822739 | az: -0.266159
ax: -0.533218 | ay: 0.642609 | az: -0.417709
ax: -0.157166 | ay: 0.312073 | az: -0.480469
ax: 0.690735 | ay: 0.219131 | az: -0.188675
ax: 0.172836 | ay: -0.279678 | az: -0.0424652
ax: 0.341614 | ay: -0.0238953 | az: -0.0500031
ax: 0.617142 | ay: 0.59993 | az: -0.075943
ax: 0.693985 | ay: 0.802353 | az: -0.00669861
ax: 0.69487 | ay: 0.706894 | az: 0.052124
ax: 0.681198 | ay: 0.612625 | az: 0.103973
ax: 0.652878 | ay: 0.458099 | az: 0.0951691
ax: 0.60524 | ay: 0.291443 | az: 0.0180664
ax: 0.548813 | ay: 0.259766 | az: 0.0310974
ax: 0.452148 | ay: 0.219116 | az: 0.0630035
ax: 0.281891 | ay: 0.197952 | az: 0.111877
ax: -0.0216217 | ay: 0.106979 | az: 0.169205
ax: -0.374207 | ay: -0.298767 | az: 0.010849
ax: -0.710373 | ay: -0.351791 | az: 0.177475
ax: -1.09738 | ay: -0.664459 | az: 0.15538
time: 1
[20210805071634.159]
> sum ax: -5.15849 | sum ay: 4.76253 | sum az: -1.41168
>> avg ax: -0.10317 | avg ay: 0.0952505 | avg az: -0.0282336
>>> vx: -0.505532 | vy: 0.466728 | vz: -0.138345
>>> sx: -0.41247 | sy: 0.0426799 | sz: -0.0805162
>>> a: 0.143226
>>> v: 0.70181
>>> s: 0.422417

steps: 1754
ax: -1.14941 | ay: -1.51241 | az: -0.0245819
ax: -1.19676 | ay: -1.98027 | az: -0.0147705
ax: -1.15482 | ay: -2.39561 | az: -0.0704193
ax: -0.788071 | ay: -2.5932 | az: 0.769196
ax: -0.553726 | ay: -1.92021 | az: 0.231033
ax: -0.234589 | ay: -1.1171 | az: -0.307632
ax: -0.267059 | ay: 1.43134 | az: 0.651749
ax: -0.492462 | ay: -0.144073 | az: 0.294907
ax: -0.531769 | ay: -0.557236 | az: -0.225067
ax: -0.352844 | ay: -0.980713 | az: -0.274551
ax: -0.168167 | ay: -0.350937 | az: 0.163269
ax: -0.154297 | ay: -0.691376 | az: 0.117355
ax: -0.0541077 | ay: -0.271179 | az: 0.125305
ax: -0.0925446 | ay: -0.0209198 | az: -0.0268097
ax: 0.00843811 | ay: 0.0506592 | az: -0.0443878
ax: -0.0483704 | ay: -0.0837402 | az: 0.0185089
ax: -0.0299377 | ay: -0.0337677 | az: 0.047821
ax: -0.0222321 | ay: -0.0361633 | az: -0.0467072
ax: 0.0285797 | ay: -0.00758362 | az: -0.149612
ax: 0.0238037 | ay: 0.101608 | az: 0.0464478
ax: -0.00965881 | ay: 0.0494232 | az: 0.10144
ax: -0.0126648 | ay: -0.0232239 | az: 0.118607
ax: 0.00593567 | ay: -0.0717163 | az: -0.0178375
ax: -0.00975037 | ay: -0.0886078 | az: -0.0210419
ax: -0.0119019 | ay: -0.0236053 | az: 0.0361023
ax: -0.0147858 | ay: -0.0362396 | az: 0.0536346
ax: -0.0251312 | ay: 0.0153198 | az: 0.0339203
ax: -0.0724792 | ay: 0.0235596 | az: 0.0418243
ax: -0.0737915 | ay: -0.0179749 | az: -0.00791931
ax: -0.0536499 | ay: 0.0422058 | az: -0.0304871
ax: -0.120972 | ay: 0.077713 | az: 0.00285339
ax: -0.173279 | ay: 0.125244 | az: -0.0557861
ax: -0.278732 | ay: 0.138763 | az: 0.0970764
ax: -0.350021 | ay: 0.193451 | az: 0.151581
ax: -0.393982 | ay: 0.18306 | az: -0.0359039
ax: -0.657288 | ay: 0.218567 | az: -0.219543
ax: -1.05922 | ay: 0.165619 | az: -0.244812
ax: -1.07318 | ay: 0.997833 | az: -0.793015
ax: -1.0885 | ay: 1.2722 | az: 0.0502167
ax: -1.00313 | ay: 0.902115 | az: -0.377213
ax: -0.593842 | ay: 0.981613 | az: -0.574203
ax: -0.250885 | ay: 0.534729 | az: -0.584869
ax: 0.754776 | ay: 0.336487 | az: -0.215363
ax: 0.0641022 | ay: -0.294601 | az: -0.0102692
ax: 0.255173 | ay: -0.190292 | az: 0.0411224
ax: 0.727219 | ay: 0.626907 | az: -0.0739441
ax: 0.7948 | ay: 0.905716 | az: -0.0700989
ax: 0.749619 | ay: 0.762665 | az: -0.0552521
ax: 0.732452 | ay: 0.648193 | az: 0.0363159
ax: 0.704529 | ay: 0.457977 | az: 0.0114746
time: 2
[20210805071635.135]
> sum ax: -9.76859 | sum ay: -4.19978 | sum az: -1.33034
>> avg ax: -0.195372 | avg ay: -0.0839957 | avg az: -0.0266067
>>> vx: -0.957321 | vy: -0.411579 | vz: -0.130373
>>> sx: -0.813729 | sy: -1.03872 | sz: 0.0714555
>>> a: 0.214321
>>> v: 1.05017
>>> s: 1.32144

steps: 1755
ax: 0.653809 | ay: 0.286911 | az: -0.0569916
ax: 0.615417 | ay: 0.24614 | az: -0.0615234
ax: 0.524796 | ay: 0.196152 | az: -0.0138397
ax: 0.361755 | ay: 0.140945 | az: 0.0149078
ax: 0.0825195 | ay: 0.0434723 | az: 0.0397644
ax: -0.226288 | ay: -0.30957 | az: 0.0234222
ax: -0.728882 | ay: -0.571823 | az: 0.129303
ax: -1.08786 | ay: -0.883835 | az: 0.198715
ax: -1.1351 | ay: -1.73468 | az: 0.136749
ax: -1.17522 | ay: -1.99069 | az: 0.190735
ax: -1.01642 | ay: -2.12825 | az: 0.112244
ax: -0.709198 | ay: -2.49361 | az: 0.871033
ax: -0.637665 | ay: -1.72107 | az: 0.771164
ax: -0.0914764 | ay: 1.02829 | az: 0.104706
ax: -0.166626 | ay: 0.967255 | az: 0.613297
ax: -0.73613 | ay: -0.978653 | az: 0.451813
ax: -0.249695 | ay: -0.330231 | az: -0.317978
ax: -0.378128 | ay: -1.01927 | az: -0.162201
ax: -0.149963 | ay: -0.525909 | az: 0.0297546
