ax: -1.07117 | ay: -0.493057 | az: -0.470367
ax: -1.07117 | ay: -0.493057 | az: -0.470367
ax: 0.283829 | ay: 0.683578 | az: 0.0178223
ax: 0.231659 | ay: 0.594681 | az: -0.0560303
ax: 0.203781 | ay: 0.611816 | az: -0.0524597
ax: 0.0686798 | ay: 0.503098 | az: -0.0930939
ax: -0.0176392 | ay: 0.448059 | az: -0.135254
ax: -0.142059 | ay: 0.367432 | az: -0.210266
ax: -0.302139 | ay: 0.280136 | az: -0.248398
ax: -0.460571 | ay: 0.158752 | az: -0.302063
ax: -0.552917 | ay: 0.0548401 | az: -0.387756
ax: -0.61203 | ay: -0.0777283 | az: -0.481476
ax: -0.656815 | ay: -0.292007 | az: -0.561722
ax: -0.642593 | ay: -0.861496 | az: -0.614883
ax: -0.628662 | ay: -0.782532 | az: -0.498032
ax: -0.5401 | ay: -1.15846 | az: -0.25528
ax: -0.310684 | ay: -1.12679 | az: -0.330688
ax: 0.0179291 | ay: -1.08705 | az: -0.583176
ax: -0.0617981 | ay: -1.08714 | az: -0.322113
ax: -0.0562286 | ay: -0.743118 | az: -0.072998
ax: -0.0282593 | ay: -0.629776 | az: 0.032074
ax: -0.276276 | ay: -0.398682 | az: 0.218903
ax: 0.14946 | ay: 1.06061 | az: -0.0941925
ax: 0.0549164 | ay: 1.5652 | az: 0.719971
ax: -0.759903 | ay: -0.837021 | az: 0.485886
ax: -0.605225 | ay: -0.328629 | az: 0.379242
ax: -0.0285492 | ay: 0.0829773 | az: -0.119461
ax: 0.0245667 | ay: 0.0380096 | az: -0.555435
ax: 0.0492554 | ay: -0.0176239 | az: -0.342133
ax: -0.0519714 | ay: -0.198196 | az: -0.178665
ax: -0.0587006 | ay: -0.00657654 | az: -0.0238342
ax: -0.0715027 | ay: -0.00801086 | az: -0.0503235
ax: -0.0700073 | ay: 0.101639 | az: -0.0072937
ax: 0.00836182 | ay: 0.194839 | az: -0.0224152
ax: 0.0300903 | ay: 0.192871 | az: -0.0632782
ax: 0.0341644 | ay: 0.217606 | az: -0.132004
