steps: 860
ax: -0.244766 | ay: -0.581543 | az: 0.07901
ax: 0.0381165 | ay: -0.0685425 | az: 0.171021
ax: -0.193115 | ay: -0.122253 | az: 0.197052
ax: -0.0373993 | ay: 0.0424652 | az: 0.0305634
ax: 0.0198059 | ay: -0.161758 | az: -0.213684
ax: 0.0837402 | ay: -0.0913849 | az: -0.166138
ax: 0.0114746 | ay: -0.00802612 | az: -0.00787354
ax: -0.00164795 | ay: 0.0461426 | az: 0.127777
ax: -0.0131989 | ay: -0.00196838 | az: 0.13649
ax: 0.0043335 | ay: -0.0755463 | az: -0.0634766
ax: -0.0228271 | ay: -0.0622864 | az: 0.0268402
ax: -0.00889587 | ay: -0.0869598 | az: 0.0962067
ax: -0.0518341 | ay: -0.0468597 | az: 0.0229492
ax: -0.118317 | ay: -0.0132294 | az: -0.0202026
ax: -0.182724 | ay: 0.0422516 | az: 0.100327
ax: -0.158508 | ay: 0.136444 | az: 0.0531311
ax: -0.337189 | ay: 0.215927 | az: 0.00492859
ax: -0.397552 | ay: 0.201447 | az: -0.00202942
ax: -0.508621 | ay: 0.274811 | az: 0.170807
ax: -0.58136 | ay: 0.330917 | az: 0.0518799
ax: -0.696625 | ay: 0.427307 | az: -0.180298
ax: -1.06291 | ay: 0.575943 | az: -0.225983
ax: -1.07661 | ay: 1.99695 | az: -0.632004
ax: -1.09302 | ay: 1.19363 | az: 0.14328
ax: -0.970398 | ay: 0.888931 | az: -0.582718
ax: -0.76651 | ay: 1.04045 | az: -1.11244
ax: 0.631485 | ay: 0.767136 | az: -0.52153
ax: -0.0480652 | ay: -0.485977 | az: -0.372467
ax: 0.192078 | ay: -0.103455 | az: 0.0153656
ax: 0.896545 | ay: 0.683502 | az: -0.000350952
ax: 0.843079 | ay: 0.925507 | az: -0.0239716
ax: 0.87645 | ay: 0.848282 | az: -0.00564575
ax: 0.856552 | ay: 0.683685 | az: 0.0371399
ax: 0.693192 | ay: 0.350479 | az: 0.0523376
ax: 0.626541 | ay: 0.25174 | az: 0.0658875
ax: 0.529282 | ay: 0.12619 | az: 0.0260315
ax: 0.412567 | ay: 0.148773 | az: 0.0664368
ax: 0.176849 | ay: 0.128983 | az: 0.137314
ax: -0.44754 | ay: -0.479904 | az: 0.181931
ax: -0.586395 | ay: -0.517578 | az: 0.415192
ax: -1.11002 | ay: -0.94278 | az: 0.287994
ax: -1.16481 | ay: -1.88873 | az: -0.0660858
ax: -1.21083 | ay: -2.49532 | az: -0.445358
ax: -1.08199 | ay: -2.60994 | az: -0.543457
