steps: 0
>>> vx: -1.0868 | vy: -0.0818487 | vz: -0.407217
>>> sx: -0.6599 | sy: 0.369482 | sz: -0.0762721
>>> a: 0.237443
>>> v: 1.16347
>>> s: 0.760133

ax: 0.000289917 | ay: 0.00889587 | az: 0.00868225
ax: 0.027832 | ay: 0.0780334 | az: -0.020401
ax: -0.0135498 | ay: 0.0644073 | az: 0.0209198
ax: 0.00198364 | ay: 0.0623627 | az: 0.0284119
ax: 0.00537109 | ay: 0.0660858 | az: 0.0287628
ax: -0.0262146 | ay: 0.0630035 | az: 0.0436249
ax: -0.046936 | ay: 0.0248413 | az: 0.0362091
ax: -0.0298767 | ay: 0.0240631 | az: 0.0454254
ax: -0.0289917 | ay: 0.046875 | az: 0.0348358
ax: -0.0767517 | ay: 0.0771637 | az: 0.0441132
ax: -0.108566 | ay: 0.0688934 | az: 0.0681915
ax: -0.13356 | ay: 0.0910797 | az: 0.0775146
ax: -0.16008 | ay: 0.0630951 | az: 0.112518
ax: -0.217789 | ay: 0.061264 | az: 0.0490265
ax: -0.250183 | ay: 0.104187 | az: 0.044342
ax: -0.341888 | ay: 0.122559 | az: 0.0495148
ax: -0.433243 | ay: 0.0982666 | az: 0.0695801
ax: -0.768127 | ay: 0.0169983 | az: 0.132385
ax: -1.03633 | ay: 0.621048 | az: 0.260666
ax: -1.00928 | ay: 1.37411 | az: 0.435974
ax: -1.07387 | ay: 0.836136 | az: 0.407837
ax: -0.803177 | ay: 0.393707 | az: 0.0984344
ax: -0.667892 | ay: 0.732697 | az: -0.15567
ax: -0.378693 | ay: 0.542496 | az: -0.0921021
ax: 0.37587 | ay: 0.0664215 | az: -0.272247
ax: 0.0803223 | ay: 0.254089 | az: 0.0324249
ax: 0.418121 | ay: 0.44165 | az: 0.275513
ax: 0.46286 | ay: 0.739868 | az: 0.426834
ax: 0.520279 | ay: 0.649887 | az: 0.328323
ax: 0.55127 | ay: 0.564941 | az: 0.201202
ax: 0.510712 | ay: 0.412308 | az: 0.146347
ax: 0.485077 | ay: 0.26709 | az: 0.16803
ax: 0.418182 | ay: 0.255936 | az: 0.16217
ax: 0.398407 | ay: 0.201752 | az: 0.089325
