steps: 0
ax: -1.05038 | ay: 0.145554 | az: -0.363373
ax: -1.05038 | ay: 0.145554 | az: -0.363373
ax: -1.0137 | ay: -0.722366 | az: -0.0998688
ax: -1.0345 | ay: -1.29378 | az: -0.0344849
ax: -1.05818 | ay: -1.64876 | az: -0.0189972
ax: -0.904282 | ay: -1.95082 | az: -0.0085144
ax: -0.604431 | ay: -1.98868 | az: 0.580338
ax: -0.437363 | ay: -1.78732 | az: 0.40181
ax: -0.30394 | ay: -1.34085 | az: 0.187454
ax: 0.0670929 | ay: 0.56546 | az: -0.218307
ax: -0.0286102 | ay: 1.55798 | az: 0.638321
ax: -0.469742 | ay: -0.53476 | az: 0.352905
ax: -0.438934 | ay: -0.255936 | az: -0.141647
ax: -0.130829 | ay: -0.119003 | az: -0.0453186
ax: 0.00749207 | ay: -0.319992 | az: -0.387665
ax: -0.0301666 | ay: -0.232803 | az: -0.045166
ax: -0.101151 | ay: -0.125839 | az: 0.0178375
ax: -0.00894165 | ay: 0.0410309 | az: -0.0649872
ax: -0.0969391 | ay: 0.00741577 | az: 0.0724792
ax: -0.12384 | ay: 0.0560303 | az: -0.016571
ax: -0.0179138 | ay: 0.115829 | az: -0.00930786
ax: 0.00248718 | ay: 0.114197 | az: -0.264969
ax: 0.0211639 | ay: 0.0580139 | az: -0.0982819
ax: -0.0129547 | ay: 0.192474 | az: 0.102844
ax: -0.0400238 | ay: 0.108292 | az: 0.0350037
ax: 0.0071106 | ay: 0.0493317 | az: -0.0234985
ax: 0.0271606 | ay: 0.0595703 | az: -0.0852661
ax: -0.0139771 | ay: 0.0572052 | az: -0.0151978
ax: -0.0348969 | ay: 0.0701904 | az: 0.0404816
ax: -0.0246887 | ay: 0.0775452 | az: -0.0231781
ax: -0.0325165 | ay: 0.0368042 | az: -0.00939941
ax: -0.0291595 | ay: 0.0357208 | az: -0.0748596
ax: -0.0171204 | ay: 0.0240021 | az: -0.0715027
ax: -0.0473938 | ay: 0.0622101 | az: -0.0294952
ax: -0.176666 | ay: 0.13327 | az: 0.0220184
ax: -0.180069 | ay: 0.184692 | az: 0.0717926
ax: -0.204803 | ay: 0.175003 | az: 0.0321045
ax: -0.246094 | ay: 0.151093 | az: -0.00466919
ax: -0.280334 | ay: 0.165787 | az: -0.0248413
ax: -0.351425 | ay: 0.152267 | az: -0.125229
ax: -0.578339 | ay: 0.192734 | az: -0.176514
ax: -0.924927 | ay: 0.148926 | az: -0.235382
ax: -1.07726 | ay: 0.767654 | az: -0.41214
ax: -0.980637 | ay: 1.44366 | az: -0.562119
ax: -0.940475 | ay: 0.770828 | az: -0.0635986
ax: -0.507812 | ay: 0.867432 | az: -0.572891
ax: -0.381592 | ay: 0.138809 | az: -0.583923
ax: 0.110748 | ay: 0.212341 | az: -0.588745
ax: 0.326141 | ay: -0.304581 | az: -0.408859
ax: 0.280045 | ay: 0.167923 | az: -0.188309
time: 1
[20210810071104.494]
> sum ax: -15.138 | sum ay: -3.37265 | sum az: -3.90506
>> avg ax: -0.302759 | avg ay: -0.067453 | avg az: -0.0781012
>>> vx: -1.48352 | vy: -0.33052 | vz: -0.382696
>>> sx: -0.901043 | sy: -0.718898 | sz: -0.0338621
>>> a: 0.319864
>>> v: 1.56733
>>> s: 1.15319

ax: 0.590683 | ay: 0.678482 | az: -0.131256
ax: 0.654495 | ay: 0.831024 | az: -0.17514
ax: 0.690613 | ay: 0.577133 | az: -0.134384
ax: 0.672684 | ay: 0.430664 | az: -0.0583649
ax: 0.634933 | ay: 0.392181 | az: 0.00950623
ax: 0.610367 | ay: 0.3936 | az: -0.00758362
ax: 0.585861 | ay: 0.329605 | az: -0.0505524
ax: 0.456589 | ay: 0.28566 | az: 0.000747681
ax: 0.198257 | ay: 0.275803 | az: -0.0070343
ax: -0.0932465 | ay: 0.0495911 | az: 0.00738525
ax: -0.399048 | ay: -0.0743256 | az: 0.185272
ax: -0.819229 | ay: -0.389496 | az: 0.185776
ax: -1.09502 | ay: -1.12297 | az: 0.028595
ax: -1.1418 | ay: -1.68393 | az: 0.09552
ax: -1.18484 | ay: -1.88603 | az: -0.00335693
ax: -1.04497 | ay: -2.19824 | az: -0.112442
ax: -0.834778 | ay: -2.44298 | az: 0.695206
ax: -0.829361 | ay: -2.07115 | az: 0.802338
ax: -0.497314 | ay: -1.66267 | az: 0.43808
ax: -0.0536194 | ay: 0.833359 | az: 0.021347
ax: -0.236877 | ay: 1.31314 | az: 0.33522
ax: -0.886307 | ay: -1.22235 | az: 0.56694
ax: -0.485931 | ay: -0.597748 | az: -0.0922394
ax: -0.0417328 | ay: -0.57666 | az: -0.284653
ax: -0.564682 | ay: -0.990555 | az: -0.156158
ax: -0.112656 | ay: -0.270004 | az: 0.181442
ax: -0.142044 | ay: -0.244415 | az: 0.0573883
ax: -0.0501099 | ay: -0.0531616 | az: 0.147644
ax: -0.0912781 | ay: -0.0253296 | az: 0.0434418
ax: -0.00401306 | ay: -0.179138 | az: -0.0709381
ax: -0.0116577 | ay: -0.145355 | az: -0.13736
ax: -0.0146332 | ay: -0.0130005 | az: 0.0171051
ax: -0.0243683 | ay: -0.0662231 | az: 0.116211
ax: -0.0222321 | ay: -0.0793304 | az: 0.0981445
ax: 0.0085907 | ay: -0.0748444 | az: -0.0197449
ax: -0.0010376 | ay: -0.104904 | az: -0.00831604
ax: -0.0227966 | ay: -0.0884247 | az: 0.0673981
ax: -0.0254364 | ay: -0.0614014 | az: 0.0543518
ax: -0.00195312 | ay: -0.0507965 | az: 0.0203857
ax: -0.0163879 | ay: -0.0950928 | az: 0.0266113
ax: -0.0507507 | ay: -0.110703 | az: 0.0643921
ax: -0.0560455 | ay: -0.0773315 | az: 0.0626831
ax: -0.0497742 | ay: -0.0389862 | az: 0.0318298
ax: -0.0769806 | ay: -0.0361938 | az: 0.0247498
ax: -0.147324 | ay: 0.0038147 | az: 0.0639191
ax: -0.208893 | ay: -0.0292969 | az: 0.025177
ax: -0.234924 | ay: 0.0382843 | az: 0.0542297
ax: -0.259048 | ay: 0.0709991 | az: 0.0176544
ax: -0.348129 | ay: 0.035965 | az: -0.0395813
ax: -0.502335 | ay: 0.0706024 | az: -0.192688
time: 2
[20210810071105.509]
> sum ax: -7.58049 | sum ay: -12.1531 | sum az: 2.8649
>> avg ax: -0.15161 | avg ay: -0.243063 | avg az: 0.057298
>>> vx: -0.742888 | vy: -1.19101 | vz: 0.28076
>>> sx: -0.25855 | sy: -0.65548 | sz: 0.156332
>>> a: 0.292144
>>> v: 1.43151
>>> s: 0.721763

ax: -0.743408 | ay: -0.0104523 | az: -0.227829
ax: -1.03809 | ay: 0.410553 | az: -0.360947
ax: -0.969055 | ay: 1.23491 | az: -0.669373
ax: -1.06006 | ay: 0.856506 | az: 0.0145416
ax: -0.711182 | ay: 0.858154 | az: -0.391571
ax: -0.533066 | ay: 0.690903 | az: -0.202698
ax: -0.0927124 | ay: 0.183624 | az: -0.663757
ax: 0.656128 | ay: -0.0416565 | az: -0.220871
ax: 0.153946 | ay: -0.112793 | az: -0.129028
ax: 0.587784 | ay: 0.118561 | az: -0.0018158
ax: 0.78511 | ay: 0.852524 | az: 0.0716095
ax: 0.762878 | ay: 0.767441 | az: 0.0140076
ax: 0.784622 | ay: 0.487366 | az: 0.0123444
ax: 0.703827 | ay: 0.328995 | az: 0.0312805
ax: 0.618225 | ay: 0.248825 | az: 0.0320435
ax: 0.577209 | ay: 0.24411 | az: 0.00598145
ax: 0.469208 | ay: 0.195404 | az: -0.0162354
ax: 0.294388 | ay: 0.144638 | az: 0.0032196
ax: -0.00827026 | ay: 0.0433807 | az: 0.00154114
ax: -0.366486 | ay: -0.215515 | az: 0.0538788
ax: -0.697418 | ay: -0.373871 | az: 0.158981
ax: -1.11145 | ay: -0.934906 | az: 0.0301819
ax: -1.16437 | ay: -1.58815 | az: -0.172623
ax: -1.21349 | ay: -1.98772 | az: -0.0753021
ax: -1.0307 | ay: -2.04001 | az: -0.0617676
ax: -0.939957 | ay: -2.43703 | az: 0.300766
ax: -0.864334 | ay: -2.35703 | az: 0.712448
ax: -0.547134 | ay: -1.73354 | az: 0.686462
ax: -0.166794 | ay: -0.161087 | az: -0.135483
ax: -0.263626 | ay: 1.48303 | az: 0.712952
ax: -0.92923 | ay: -1.05258 | az: 0.688065
ax: -0.69278 | ay: -0.695572 | az: -0.252365
ax: -0.155624 | ay: -0.455475 | az: -0.133347
ax: -0.512878 | ay: -0.942459 | az: -0.203766
ax: -0.0678101 | ay: -0.324326 | az: 0.189728
ax: -0.0350952 | ay: -0.239059 | az: 0.0310822
ax: -0.0977631 | ay: -0.164749 | az: 0.0551758
ax: -0.103638 | ay: -0.142975 | az: 0.0508423
ax: -0.0470123 | ay: -0.0923157 | az: 0.0709534
ax: -0.0377502 | ay: -0.227127 | az: -0.0966339
ax: -0.0025177 | ay: -0.00335693 | az: 0.0451813
ax: -0.0149536 | ay: -0.0923309 | az: 0.117905
ax: -0.0247345 | ay: -0.101227 | az: 0.0658569
ax: -0.00587463 | ay: -0.124298 | az: 0.014389
ax: 0.0172119 | ay: -0.0951691 | az: 0.0223846
ax: -0.0306702 | ay: -0.0769348 | az: 0.022995
ax: -0.0439301 | ay: -0.0801697 | az: 0.0557709
ax: -0.0375366 | ay: -0.0349884 | az: 0.0387726
ax: -0.0533905 | ay: -0.0700836 | az: 0.0429535
ax: -0.0572968 | ay: -0.131714 | az: 0.0628204
time: 3
[20210810071106.501]
> sum ax: -10.0615 | sum ay: -9.99173 | sum az: 0.401703
>> avg ax: -0.201231 | avg ay: -0.199835 | avg az: 0.00803406
>>> vx: -0.986031 | vy: -0.97919 | vz: 0.0393669
>>> sx: -0.536433 | sy: -0.164738 | sz: -0.125257
>>> a: 0.283712
>>> v: 1.39019
>>> s: 0.574968

ax: -0.0526886 | ay: -0.0534363 | az: 0.0586853
ax: -0.0957794 | ay: -0.0022583 | az: 0.103409
ax: -0.105927 | ay: 0.0190735 | az: -0.013504
ax: -0.185852 | ay: -0.0318298 | az: 0.056488
ax: -0.214691 | ay: 0.0497284 | az: 0.0621643
ax: -0.250427 | ay: 0.0900574 | az: 0.0397339
ax: -0.269211 | ay: 0.100998 | az: 0.0283661
ax: -0.316467 | ay: 0.139862 | az: -0.0468903
ax: -0.543579 | ay: 0.0692902 | az: -0.191391
ax: -1.04733 | ay: 0.0656128 | az: -0.360474
ax: -1.06744 | ay: 0.954361 | az: -0.917389
ax: -0.844528 | ay: 1.60265 | az: -0.124176
ax: -0.899567 | ay: 0.742493 | az: -0.0500336
ax: -0.613205 | ay: 0.573868 | az: -0.484665
ax: -0.21196 | ay: 0.359741 | az: -0.722137
ax: 0.543945 | ay: 0.13736 | az: -0.331787
ax: 0.217789 | ay: -0.181992 | az: -0.173782
ax: 0.505142 | ay: 0.120346 | az: -0.0754242
ax: 0.737274 | ay: 0.754196 | az: 0.00128174
ax: 0.741943 | ay: 0.785339 | az: -0.0860443
ax: 0.741379 | ay: 0.483658 | az: -0.0997925
ax: 0.714462 | ay: 0.391464 | az: -0.0890961
ax: 0.630997 | ay: 0.265259 | az: -0.0447388
ax: 0.533051 | ay: 0.143356 | az: -0.00550842
ax: 0.456879 | ay: 0.112579 | az: -0.0228424
ax: 0.319061 | ay: 0.105621 | az: -0.0383911
ax: -0.00753784 | ay: 0.084259 | az: 0.0196228
ax: -0.269592 | ay: -0.0967255 | az: 0.118301
ax: -0.545441 | ay: -0.220123 | az: 0.246109
ax: -1.00513 | ay: -0.893066 | az: 0.126892
ax: -1.13203 | ay: -1.30389 | az: 0.153961
ax: -1.17789 | ay: -1.51904 | az: 0.163116
ax: -1.09871 | ay: -1.72588 | az: 0.0332184
ax: -1.05701 | ay: -2.14581 | az: 0.231613
ax: -0.845886 | ay: -2.2896 | az: 0.972061
ax: -0.669998 | ay: -2.12418 | az: 0.680984
ax: -0.580276 | ay: -1.2562 | az: 0.137863
ax: -0.0856018 | ay: 1.54408 | az: 0.198349
ax: -0.75235 | ay: -0.625381 | az: 0.523956
ax: -0.587646 | ay: -0.652283 | az: 0.05159
ax: -0.12056 | ay: -0.570084 | az: -0.137878
ax: -0.283783 | ay: -0.66713 | az: -0.148697
ax: -0.15242 | ay: -0.485428 | az: 0.174164
ax: -0.140228 | ay: -0.270172 | az: 0.0170135
ax: -0.0158386 | ay: -0.0779419 | az: 0.0263672
ax: -0.0475769 | ay: -0.0819244 | az: 0.0313416
ax: -0.0876465 | ay: -0.0527496 | az: 0.0328674
ax: -0.0249786 | ay: 0.0457611 | az: -0.0229645
ax: -0.00468445 | ay: 0.068985 | az: -0.127182
ax: 0.0569611 | ay: -0.0636597 | az: -0.133163
time: 4
[20210810071107.499]
> sum ax: -11.2126 | sum ay: -7.58078 | sum az: -0.158432
>> avg ax: -0.224252 | avg ay: -0.151616 | avg az: -0.00316864
>>> vx: -1.09883 | vy: -0.742916 | vz: -0.0155263
>>> sx: -0.52197 | sy: 0.0599381 | sz: -0.136352
>>> a: 0.270714
>>> v: 1.3265
>>> s: 0.542805

ax: 0.0350189 | ay: 0.0370941 | az: 0.0464478
ax: -0.0409393 | ay: 0.0357971 | az: 0.132248
