steps: 0
>>> vx: -0.545422 | vy: -0.474593 | vz: -0.573704
>>> sx: -0.304777 | sy: -0.0112965 | sz: -0.216894
>>> a: 0.18836
>>> v: 0.922963
>>> s: 0.374245

ax: -0.0548248 | ay: -0.022171 | az: 0.0158844
ax: -0.0764465 | ay: 0.00314331 | az: 0.052063
ax: -0.0760651 | ay: 0.0437317 | az: 0.0633392
ax: -0.145142 | ay: 0.052536 | az: 0.0878296
ax: -0.197876 | ay: 0.0851593 | az: 0.0760345
ax: -0.198044 | ay: 0.0601196 | az: 0.0266418
ax: -0.251938 | ay: 0.0561676 | az: 0.0364685
ax: -0.338959 | ay: 0.0261993 | az: 0.0247345
ax: -0.511566 | ay: -0.0410156 | az: 0.0740662
ax: -0.83725 | ay: 0.137848 | az: 0.169418
ax: -1.10873 | ay: 0.640869 | az: 0.286957
ax: -0.944855 | ay: 1.18639 | az: 0.532822
ax: -0.934219 | ay: 0.570465 | az: 0.498123
ax: -0.621552 | ay: 0.878906 | az: -0.0548401
ax: -0.590042 | ay: 0.566391 | az: -0.261475
ax: -0.0518188 | ay: 0.743515 | az: 0.0117798
ax: 0.286331 | ay: -0.0464172 | az: -0.266449
ax: 0.14566 | ay: 0.229095 | az: 0.0540314
ax: 0.43898 | ay: 0.477066 | az: 0.339355
ax: 0.45134 | ay: 0.762024 | az: 0.429337
ax: 0.502289 | ay: 0.639816 | az: 0.2957
ax: 0.552139 | ay: 0.575653 | az: 0.188477
ax: 0.479034 | ay: 0.414902 | az: 0.146881
ax: 0.422134 | ay: 0.300415 | az: 0.160294
ax: 0.364029 | ay: 0.254639 | az: 0.130661
ax: 0.286484 | ay: 0.230774 | az: 0.0463715
ax: 0.0759277 | ay: 0.311478 | az: -0.0213013
ax: -0.210281 | ay: 0.163223 | az: -0.149078
ax: -0.461319 | ay: -0.0791168 | az: -0.24408
ax: -0.791901 | ay: -0.395233 | az: -0.443512
ax: -1.03227 | ay: -0.583847 | az: -0.739624
ax: -1.05873 | ay: -1.16151 | az: -0.983398
ax: -0.804138 | ay: -1.40669 | az: -1.23216
ax: -0.550385 | ay: -1.51321 | az: -1.24518
ax: -0.278137 | ay: -1.57649 | az: -0.97084
ax: -0.0691071 | ay: -1.97351 | az: -0.861359
ax: -0.206863 | ay: -1.21944 | az: -0.845444
ax: -0.0467834 | ay: -1.44019 | az: -0.635071
ax: -0.180801 | ay: 0.600082 | az: 0.535309
ax: -0.298965 | ay: 0.415146 | az: 0.694443
ax: -0.58757 | ay: -0.791946 | az: -0.0823059
