>>> v: 6.10381
>>> s: 4.39355

ax: -0.476562 | ay: 0.107529 | az: -0.00769043
ax: -0.620636 | ay: 0.0692444 | az: -0.0361328
ax: -0.695236 | ay: -0.0259857 | az: -0.0662842
ax: -0.671677 | ay: -0.124496 | az: -0.15715
ax: -0.684464 | ay: -0.227463 | az: -0.271255
ax: -0.83017 | ay: -0.304474 | az: -0.350479
ax: -0.98735 | ay: -0.364883 | az: -0.340958
ax: -1.0072 | ay: -0.411789 | az: -0.32756
ax: -0.832565 | ay: -0.484024 | az: -0.348434
ax: -0.529633 | ay: -0.504105 | az: -0.419312
ax: -0.397888 | ay: -0.572144 | az: -0.472763
ax: -0.311752 | ay: -0.627991 | az: -0.511642
ax: -0.202133 | ay: -0.676575 | az: -0.500244
ax: -0.0950317 | ay: -0.714706 | az: -0.476471
ax: -0.0242157 | ay: -0.703125 | az: -0.432053
ax: -0.0147705 | ay: -0.720673 | az: -0.436234
ax: -0.00448608 | ay: -0.749985 | az: -0.462021
ax: -0.00553894 | ay: -0.769821 | az: -0.474045
ax: 0.00741577 | ay: -0.74971 | az: -0.457916
ax: -0.0157318 | ay: -0.64592 | az: -0.398941
ax: -0.0619354 | ay: -0.564041 | az: -0.316864
ax: -0.088974 | ay: -0.521896 | az: -0.266769
ax: -0.144958 | ay: -0.512878 | az: -0.241074
ax: -0.155823 | ay: -0.420258 | az: -0.189407
ax: -0.162003 | ay: -0.326324 | az: -0.15097
ax: -0.209198 | ay: -0.246124 | az: -0.115997
ax: -0.270248 | ay: -0.162674 | az: -0.102921
ax: -0.289017 | ay: -0.088089 | az: -0.0492249
ax: -0.367661 | ay: 0.0018158 | az: -0.0135345
ax: -0.437378 | ay: 0.116058 | az: 0.0540924
ax: -0.487396 | ay: 0.230667 | az: 0.0758972
ax: -0.864822 | ay: 0.290756 | az: 0.0886383
ax: -1.01654 | ay: 0.511246 | az: 0.223663
ax: -0.957245 | ay: 0.749756 | az: 0.293427
ax: -0.372131 | ay: 0.704514 | az: 0.270233
ax: -0.346176 | ay: 0.678452 | az: 0.366425
ax: -0.29158 | ay: 0.689148 | az: 0.511322
ax: -0.226929 | ay: 0.562134 | az: 0.548599
ax: -0.189377 | ay: 0.502853 | az: 0.472717
ax: -0.112259 | ay: 0.541306 | az: 0.402191
ax: -0.0223694 | ay: 0.528137 | az: 0.386414
ax: 0.0140076 | ay: 0.520859 | az: 0.440369
ax: 0.0296783 | ay: 0.550415 | az: 0.42807
ax: 0.0777588 | ay: 0.542099 | az: 0.389877
ax: 0.136139 | ay: 0.53421 | az: 0.370148
ax: 0.167679 | ay: 0.538727 | az: 0.382996
ax: 0.195831 | ay: 0.522903 | az: 0.3871
ax: 0.203232 | ay: 0.506927 | az: 0.375
ax: 0.192368 | ay: 0.482727 | az: 0.333557
ax: 0.16188 | ay: 0.443985 | az: 0.293793
3: [20200915134141.816]
> sum ax: -14.2951 | sum ay: -1.29369 | sum az: -1.29982
>> avg ax: -0.285901 | avg ay: -0.0258737 | avg az: -0.0259964
>>> vx: -7.60048 | vy: 3.37011 | vz: 0.793355
>>> sx: -6.77203 | sy: 2.42209 | sz: 0.118671
>>> a: 0.288245
>>> v: 8.3519
>>> s: 7.19312

ax: 0.120056 | ay: 0.376923 | az: 0.26651
ax: 0.0834198 | ay: 0.36087 | az: 0.254333
ax: 0.0038147 | ay: 0.40715 | az: 0.258667
ax: -0.072464 | ay: 0.340271 | az: 0.225098
ax: -0.14357 | ay: 0.253738 | az: 0.151794
ax: -0.22908 | ay: 0.170029 | az: 0.0916901
ax: -0.317429 | ay: 0.109116 | az: 0.0205383
ax: -0.34877 | ay: 0.0405426 | az: -0.0297241
ax: -0.435425 | ay: -0.00900269 | az: -0.0799408
ax: -0.517349 | ay: 0.0105591 | az: -0.0618896
ax: -0.488632 | ay: -0.0256195 | az: -0.125473
ax: -0.763947 | ay: -0.0738373 | az: -0.174957
ax: -1.12785 | ay: -0.0265961 | az: -0.110184
ax: -0.920166 | ay: -0.141006 | az: -0.182587
ax: -0.708664 | ay: -0.341415 | az: -0.309601
ax: -0.723282 | ay: -0.347076 | az: -0.372177
ax: -0.498795 | ay: -0.3564 | az: -0.382339
ax: -0.391998 | ay: -0.42926 | az: -0.360199
ax: -0.317703 | ay: -0.478836 | az: -0.391266
ax: -0.241516 | ay: -0.455765 | az: -0.430862
ax: -0.203323 | ay: -0.445969 | az: -0.442551
ax: -0.212418 | ay: -0.446442 | az: -0.465317
ax: -0.230667 | ay: -0.476944 | az: -0.475937
ax: -0.20015 | ay: -0.49942 | az: -0.521835
ax: -0.142578 | ay: -0.56897 | az: -0.551361
ax: -0.0964661 | ay: -0.648544 | az: -0.566681
ax: -0.0437317 | ay: -0.66127 | az: -0.567963
ax: -0.0449829 | ay: -0.661636 | az: -0.542603
ax: -0.0588226 | ay: -0.689316 | az: -0.510773
ax: -0.0634766 | ay: -0.6371 | az: -0.446106
