steps: 0
ax: -0.0279541 | ay: 0.0189667 | az: -0.0214539
ax: -0.117737 | ay: -0.1371 | az: -0.0015564
ax: -0.038208 | ay: -0.19725 | az: -0.0366669
ax: -0.0544281 | ay: -0.110886 | az: -0.0285187
ax: -0.0359955 | ay: -0.0870056 | az: 0.0270233
ax: -0.020813 | ay: -0.0147705 | az: 0.0588531
ax: 0.000915527 | ay: -0.129272 | az: 0.0250244
ax: -0.00471497 | ay: -0.115997 | az: -0.00660706
ax: 0.0242615 | ay: -0.0521088 | az: -0.0217285
ax: 0.0136719 | ay: -0.0661469 | az: 0.00286865
ax: 0.0140381 | ay: 0.00457764 | az: -0.00276184
ax: 0.0226135 | ay: -0.0328522 | az: -0.0585327
ax: 0.070694 | ay: 0.00187683 | az: -0.0806427
ax: 0.0231323 | ay: -0.200409 | az: 0.0142059
ax: -0.146606 | ay: -0.248199 | az: 0.253601
ax: -0.0665131 | ay: -0.0447388 | az: 0.179138
ax: -0.00613403 | ay: -0.029953 | az: 0.0579224
ax: 0.0410461 | ay: 0.00939941 | az: -0.0808563
ax: 0.0184174 | ay: -0.108398 | az: -0.0415955
ax: -0.0910187 | ay: -0.126328 | az: 0.0857086
ax: -0.131378 | ay: -0.0893707 | az: 0.116257
ax: -0.0773926 | ay: -0.0206757 | az: 0.0659332
ax: -0.0408783 | ay: -0.067276 | az: -0.0278473
ax: -0.0609436 | ay: -0.0529327 | az: -0.0290985
ax: -0.0806122 | ay: -0.02948 | az: 0.0398254
ax: -0.123016 | ay: -0.0420227 | az: 0.00588989
ax: -0.234634 | ay: 0.0202942 | az: -0.0124664
ax: -0.299683 | ay: -0.0236053 | az: -0.0442963
ax: -0.363037 | ay: 0.0438232 | az: -0.0249939
ax: -0.465561 | ay: 0.0699615 | az: 0.0328217
ax: -0.726212 | ay: 0.143188 | az: -0.0930023
ax: -0.791809 | ay: 0.300674 | az: -0.281494
ax: -0.444397 | ay: 0.746002 | az: -0.399231
ax: -0.599503 | ay: 0.419937 | az: 0.043808
ax: -0.388153 | ay: 0.515732 | az: -0.0727692
ax: -0.184937 | ay: 0.304077 | az: -0.269333
ax: -0.0588837 | ay: 0.0202179 | az: -0.276871
ax: 0.280594 | ay: 0.11261 | az: -0.284348
ax: 0.490631 | ay: 0.0976257 | az: -0.203049
ax: 0.387146 | ay: 0.0619659 | az: -0.115234
ax: 0.576843 | ay: 0.580063 | az: -0.0687866
ax: 0.60878 | ay: 0.666718 | az: -0.0184326
ax: 0.62204 | ay: 0.53862 | az: -0.0017395
ax: 0.580215 | ay: 0.412888 | az: 0.0242767
ax: 0.549591 | ay: 0.351593 | az: 0.0185699
ax: 0.478546 | ay: 0.348633 | az: -0.0477905
ax: 0.336411 | ay: 0.307281 | az: -0.116623
ax: 0.154861 | ay: 0.093689 | az: 0.0444031
ax: -0.0193176 | ay: -0.0499115 | az: 0.0114899
ax: -0.268661 | ay: -0.282272 | az: -0.0914459
time: 1
[20210810071246.580]
> sum ax: -0.674683 | sum ay: 3.83145 | sum az: -1.75215
>> avg ax: -0.0134937 | avg ay: 0.076629 | avg az: -0.035043
>>> vx: -0.066119 | vy: 0.375482 | vz: -0.171711
>>> sx: -0.151255 | sy: -0.0082797 | sz: -0.0328516
>>> a: 0.0853352
>>> v: 0.418143
>>> s: 0.155003

ax: -0.401245 | ay: -0.439545 | az: -0.0550842
ax: -0.479477 | ay: -0.563126 | az: -0.120453
ax: -0.51503 | ay: -0.606308 | az: -0.078186
ax: -0.501389 | ay: -0.735947 | az: -0.0558472
ax: -0.49855 | ay: -0.701111 | az: -0.0397949
ax: -0.501068 | ay: -0.712082 | az: 0.068512
ax: -0.506332 | ay: -0.680817 | az: 0.187042
ax: -0.44574 | ay: -0.602448 | az: 0.261658
ax: -0.370529 | ay: -0.628983 | az: 0.263855
ax: -0.293503 | ay: -0.785095 | az: 0.282593
ax: -0.22438 | ay: -0.902771 | az: 0.307114
ax: -0.192322 | ay: -0.97998 | az: 0.350861
ax: -0.141342 | ay: -0.830292 | az: 0.297974
ax: -0.101593 | ay: -0.682083 | az: 0.190155
ax: -0.147995 | ay: -0.384033 | az: 0.279907
ax: 0.0908508 | ay: -0.00386047 | az: -0.0615845
ax: 0.0674286 | ay: 0.655945 | az: 0.113358
ax: -0.0960846 | ay: 0.550919 | az: 0.358109
ax: -0.334915 | ay: 0.11795 | az: 0.0368347
ax: -0.406998 | ay: -0.175018 | az: 0.194748
ax: -0.128769 | ay: 0.0444946 | az: -0.0868378
ax: 0.00520325 | ay: -0.159882 | az: -0.232681
ax: 0.02742 | ay: -0.321655 | az: -0.267029
ax: -0.152374 | ay: -0.264984 | az: 0.0515747
ax: -0.132767 | ay: -0.123581 | az: 0.144363
ax: -0.0851746 | ay: -0.0912628 | az: 0.0655823
ax: 0.0271454 | ay: 0.0940552 | az: 0.049118
ax: -0.046814 | ay: 0.177444 | az: 0.0424194
ax: 0.0035553 | ay: 0.130142 | az: -0.0494537
ax: 0.0363159 | ay: 0.0596924 | az: -0.185425
ax: 0.023819 | ay: 0.041687 | az: -0.187943
ax: 0.00823975 | ay: 0.207199 | az: 0.0449829
ax: -0.0317688 | ay: 0.120743 | az: 0.0443115
ax: -0.00671387 | ay: 0.102509 | az: 0.0103607
ax: -7.62939e-05 | ay: 0.0403137 | az: -0.0566559
ax: -0.0114746 | ay: 0.070694 | az: -0.0612793
ax: -0.00395203 | ay: 0.122391 | az: -0.0146637
ax: -0.0120087 | ay: 0.0782623 | az: 0.00631714
ax: -0.000396729 | ay: 0.0691833 | az: -0.0129089
ax: -0.00546265 | ay: 0.0783539 | az: -0.0269775
ax: -0.00337219 | ay: 0.0993652 | az: -0.05159
ax: -0.0169373 | ay: 0.0976105 | az: -0.0126495
ax: -0.0192108 | ay: 0.0522614 | az: -0.0204926
ax: -0.0110168 | ay: 0.0611115 | az: -0.0325928
ax: -0.00779724 | ay: 0.105133 | az: -0.0527496
ax: -0.0241547 | ay: 0.136108 | az: -0.0431061
ax: -0.0303497 | ay: 0.0650635 | az: -0.00682068
ax: -0.0621033 | ay: 0.00732422 | az: -0.0129242
ax: -0.0617676 | ay: 0.0780182 | az: -0.0153656
ax: -0.101166 | ay: 0.0618591 | az: -0.045105
time: 2
[20210810071247.581]
> sum ax: -6.82414 | sum ay: -7.84903 | sum az: 1.76555
>> avg ax: -0.136483 | avg ay: -0.156981 | avg az: 0.035311
>>> vx: -0.668766 | vy: -0.769205 | vz: 0.173024
>>> sx: -0.533465 | sy: -0.771122 | sz: 0.165826
>>> a: 0.210991
>>> v: 1.03386
>>> s: 0.952215

ax: -0.137527 | ay: 0.0963898 | az: -0.0363312
ax: -0.117538 | ay: 0.0970001 | az: -0.0301514
ax: -0.14183 | ay: 0.0987854 | az: -0.0135345
ax: -0.160706 | ay: 0.114059 | az: -0.0219574
ax: -0.208588 | ay: 0.12265 | az: -0.0780792
ax: -0.289688 | ay: 0.142792 | az: -0.0793457
ax: -0.368469 | ay: 0.184616 | az: -0.0776672
ax: -0.484467 | ay: 0.268372 | az: -0.0937805
ax: -0.642807 | ay: 0.217438 | az: -0.0908813
ax: -0.68866 | ay: 0.519196 | az: -0.269089
ax: -0.635742 | ay: 0.875488 | az: -0.505127
ax: -0.531326 | ay: 0.72139 | az: 0.0137482
ax: -0.506546 | ay: 0.413651 | az: 0.00811768
ax: -0.438629 | ay: 0.315689 | az: -0.269623
ax: -0.219849 | ay: 0.232849 | az: -0.39827
ax: 0.168579 | ay: 0.356735 | az: -0.454163
ax: 0.402634 | ay: -0.0861511 | az: -0.290421
ax: 0.0839691 | ay: 0.214478 | az: -0.197083
ax: 0.562363 | ay: 0.483749 | az: -0.232117
ax: 0.546234 | ay: 0.764786 | az: -0.0375671
ax: 0.588745 | ay: 0.570496 | az: -0.0931244
ax: 0.556549 | ay: 0.481415 | az: -0.118057
