steps: 0
ax: -0.68959 | ay: -1.23511 | az: 0.0671692
ax: -0.0693359 | ay: -0.108673 | az: 0.0587311
ax: -0.0882416 | ay: -0.0753937 | az: 0.0539246
ax: -0.104462 | ay: -0.0639191 | az: 0.104446
ax: -0.17485 | ay: -0.0173492 | az: 0.120331
ax: -0.19957 | ay: -0.0202789 | az: 0.155746
ax: -0.210663 | ay: -0.0282288 | az: 0.154617
ax: -0.31665 | ay: 0.0856781 | az: 0.0956573
ax: -0.418945 | ay: 0.0900726 | az: -0.0539856
ax: -0.583069 | ay: 0.0414886 | az: -0.0114746
ax: -0.884308 | ay: 0.220123 | az: -0.0803986
ax: -1.06743 | ay: 0.574615 | az: -0.426193
ax: -0.769989 | ay: 0.996094 | az: -0.386688
ax: -0.926025 | ay: 0.787476 | az: -0.200256
ax: -0.577942 | ay: 0.457001 | az: -0.235199
ax: -0.218369 | ay: 0.242279 | az: -0.425827
ax: 0.570511 | ay: 0.272583 | az: -0.326477
ax: -0.109482 | ay: -0.300842 | az: -0.157028
ax: 0.49617 | ay: 0.325974 | az: -0.0285034
ax: 0.783173 | ay: 0.827805 | az: -0.108826
ax: 0.703247 | ay: 0.674988 | az: -0.0999603
ax: 0.698608 | ay: 0.646744 | az: -0.0451813
ax: 0.669006 | ay: 0.561813 | az: 0.0191498
ax: 0.620193 | ay: 0.350311 | az: 0.00227356
ax: 0.554016 | ay: 0.335663 | az: 0.00517273
ax: 0.463333 | ay: 0.326279 | az: 0.0112
ax: 0.28302 | ay: 0.215286 | az: 0.09935
ax: 0.120026 | ay: 0.161087 | az: 0.258713
ax: -0.113586 | ay: -0.139038 | az: 0.0812988
ax: -0.336578 | ay: -0.467636 | az: 0.00343323
ax: -0.519196 | ay: -0.618301 | az: -0.0642242
ax: -0.784912 | ay: -0.846436 | az: -0.231384
ax: -0.857361 | ay: -0.853149 | az: -0.135895
ax: -0.887985 | ay: -1.18266 | az: -0.115463
ax: -0.834366 | ay: -1.36501 | az: 0.0795746
ax: -0.733536 | ay: -1.41364 | az: 0.394531
ax: -0.595642 | ay: -1.27769 | az: 0.847595
ax: -0.713928 | ay: -1.19415 | az: 0.615906
ax: -0.371201 | ay: -1.65019 | az: 0.427124
ax: -0.310043 | ay: -1.32455 | az: 0.601761
ax: -0.253418 | ay: 0.479614 | az: 0.939224
ax: -0.358246 | ay: 1.18437 | az: 0.206924
ax: -0.653778 | ay: -1.05217 | az: 0.347198
ax: -0.215012 | ay: -0.528091 | az: -0.135986
ax: -0.120377 | ay: -0.291 | az: -0.227249
ax: 0.0500793 | ay: -0.569717 | az: -0.125671
ax: -0.250214 | ay: -0.702011 | az: 0.116089
ax: -0.148849 | ay: -0.248596 | az: 0.237595
ax: -0.0549316 | ay: -0.0281525 | az: 0.234085
ax: -0.115509 | ay: -0.0343018 | az: 0.224213
time: 1
[20210811065024.939]
> sum ax: -10.6262 | sum ay: -7.77895 | sum az: 2.94116
>> avg ax: -0.212524 | avg ay: -0.155579 | avg az: 0.0588232
>>> vx: -1.04137 | vy: -0.762337 | vz: 0.288234
>>> sx: -0.50756 | sy: -0.0225109 | sz: -0.00558271
>>> a: 0.269873
>>> v: 1.32238
>>> s: 0.50809

ax: -0.0453186 | ay: -0.0855408 | az: -0.0032959
ax: -0.000686646 | ay: -0.145035 | az: -0.179108
ax: 0.00457764 | ay: -0.216339 | az: -0.293213
ax: -0.013031 | ay: 0.0544739 | az: 0.149918
ax: -0.0681915 | ay: 0.0342865 | az: 0.290573
ax: -0.0386658 | ay: -0.115234 | az: 0.139465
ax: 0.0325317 | ay: -0.163971 | az: -0.0503998
ax: 0.00180054 | ay: -0.0931854 | az: 0.0157471
ax: -0.0146332 | ay: -0.0509186 | az: 0.103912
ax: -0.0409393 | ay: -0.0675659 | az: 0.135681
ax: -0.0355072 | ay: -0.0773773 | az: 0.0891418
ax: -0.0145874 | ay: -0.0606537 | az: 0.0188599
ax: -0.0341797 | ay: -0.121414 | az: 0.0451202
ax: -0.0261383 | ay: -0.0612946 | az: 0.0782928
ax: -0.0787964 | ay: -0.0262299 | az: 0.0696716
ax: -0.118286 | ay: -0.0422211 | az: 0.019989
ax: -0.0951233 | ay: 0.00543213 | az: 0.0722046
ax: -0.168427 | ay: 0.0652466 | az: 0.122879
ax: -0.171967 | ay: 0.0107117 | az: 0.0933075
ax: -0.24968 | ay: -0.0117493 | az: 0.124115
ax: -0.207626 | ay: 0.0332642 | az: 0.108139
ax: -0.25975 | ay: 0.0868683 | az: 0.0581665
ax: -0.37677 | ay: 0.17157 | az: -0.156784
ax: -0.644455 | ay: 0.195587 | az: -0.167648
ax: -0.923508 | ay: 0.235962 | az: -0.356415
ax: -1.08028 | ay: 0.591278 | az: -0.517365
ax: -0.567368 | ay: 1.05029 | az: -0.525635
ax: -0.956772 | ay: 0.260788 | az: -0.157684
ax: -0.555817 | ay: 0.507919 | az: -0.382751
ax: -0.0684052 | ay: 0.489594 | az: -0.418839
ax: 0.687836 | ay: -0.0697174 | az: -0.217255
ax: 0.199799 | ay: -0.0844727 | az: -0.00935364
ax: 0.396515 | ay: 0.576889 | az: -0.0218811
ax: 0.588547 | ay: 0.773438 | az: -0.118256
ax: 0.605011 | ay: 0.770493 | az: -0.0842438
ax: 0.549652 | ay: 0.615219 | az: -0.0431366
ax: 0.536682 | ay: 0.460693 | az: -0.00619507
ax: 0.491287 | ay: 0.355835 | az: -0.024292
ax: 0.417343 | ay: 0.302246 | az: 0.0116272
ax: 0.35434 | ay: 0.271698 | az: 0.0496368
ax: 0.251556 | ay: 0.215347 | az: 0.0871735
ax: 0.135132 | ay: 0.209503 | az: 0.132996
ax: -0.00749207 | ay: 0.219757 | az: 0.158035
ax: -0.196869 | ay: 0.090332 | az: 0.199142
ax: -0.518799 | ay: -0.208969 | az: 0.17247
ax: -0.855835 | ay: -0.587463 | az: 0.129028
ax: -1.08937 | ay: -0.941345 | az: 0.10907
ax: -1.13092 | ay: -1.36971 | az: 0.210541
ax: -1.16965 | ay: -1.61615 | az: 0.487259
ax: -0.981705 | ay: -1.79066 | az: 0.735916
time: 2
[20210811065025.946]
> sum ax: -7.55293 | sum ay: 0.647507 | sum az: 0.484329
>> avg ax: -0.151059 | avg ay: 0.0129501 | avg az: 0.00968658
>>> vx: -0.740187 | vy: 0.0634556 | vz: 0.0474642
>>> sx: -0.243785 | sy: 0.166417 | sz: -0.042286
>>> a: 0.151922
>>> v: 0.744417
>>> s: 0.298184

ax: -0.694885 | ay: -2.47342 | az: 1.08382
ax: -0.511871 | ay: -1.64925 | az: 0.429886
ax: -0.264877 | ay: -1.68942 | az: -0.0914001
ax: -0.0883636 | ay: 0.886337 | az: 0.0213165
ax: -0.313843 | ay: 0.924149 | az: 0.557144
ax: -0.682129 | ay: -0.903244 | az: 0.215515
ax: -0.377899 | ay: -0.2435 | az: 0.0946503
ax: -0.208557 | ay: -0.519089 | az: -0.00305176
ax: -0.234222 | ay: -0.62207 | az: -0.0146484
ax: -0.0998077 | ay: -0.475769 | az: 0.108551
ax: -0.0618591 | ay: -0.172501 | az: 0.0522461
ax: -0.02034 | ay: -0.121414 | az: 0.0415039
ax: -0.0677185 | ay: -0.146469 | az: 0.0944519
ax: -0.0767365 | ay: -0.103973 | az: 0.0506592
ax: -0.0317383 | ay: -0.0479736 | az: 0.0012207
ax: -0.0166473 | ay: -0.107376 | az: -0.0834503
ax: 0.0105896 | ay: -0.0893402 | az: -0.0676117
ax: -0.00125122 | ay: -0.0688629 | az: 0.104614
ax: -0.00939941 | ay: -0.0665131 | az: 0.113495
ax: -0.012085 | ay: -0.0583649 | az: 0.0531921
ax: -0.0123749 | ay: -0.0807343 | az: 0.0157013
ax: -0.0132446 | ay: -0.1035 | az: 0.0409546
ax: -0.0112152 | ay: -0.0495453 | az: 0.0491943
ax: -0.0322418 | ay: -0.00524902 | az: 0.0657196
ax: -0.0406189 | ay: -0.0263062 | az: 0.0432587
ax: -0.0390778 | ay: -0.0900574 | az: 0.0404968
ax: -0.0561676 | ay: -0.0527649 | az: -0.00694275
ax: -0.066452 | ay: 0.000518799 | az: -0.00421143
ax: -0.112091 | ay: -0.0222168 | az: 0.0708923
ax: -0.170776 | ay: 0.0227661 | az: 0.0719604
ax: -0.269302 | ay: -0.00262451 | az: 0.0813599
ax: -0.296341 | ay: 0.0641174 | az: 0.11113
ax: -0.298691 | ay: 0.106979 | az: 0.0683594
ax: -0.449081 | ay: 0.054306 | az: -0.131882
ax: -0.621002 | ay: 0.126358 | az: -0.18631
ax: -0.927368 | ay: 0.213501 | az: -0.187653
ax: -1.08124 | ay: 0.845322 | az: -0.660187
ax: -1.09555 | ay: 1.1263 | az: 0.0449066
ax: -0.934906 | ay: 0.960342 | az: -0.157684
ax: -0.895508 | ay: 1.09689 | az: -0.349487
ax: -0.221039 | ay: 0.278625 | az: -0.692719
ax: 0.590317 | ay: 0.344925 | az: -0.310486
ax: -0.176071 | ay: -0.267242 | az: -0.228851
ax: 0.294296 | ay: 0.185638 | az: -0.0642395
ax: 0.685181 | ay: 0.941223 | az: -0.114304
ax: 0.674911 | ay: 0.838226 | az: -0.137115
ax: 0.678665 | ay: 0.632477 | az: -0.138214
ax: 0.69162 | ay: 0.540573 | az: -0.0576782
ax: 0.64917 | ay: 0.452713 | az: -0.0297089
ax: 0.596466 | ay: 0.421921 | az: -0.0958862
time: 3
[20210811065026.932]
> sum ax: -6.72337 | sum ay: 0.80542 | sum az: -0.0875244
>> avg ax: -0.134467 | avg ay: 0.0161084 | avg az: -0.00175049
>>> vx: -0.65889 | vy: 0.078931 | vz: -0.00857743
>>> sx: -0.52021 | sy: -0.564443 | sz: 0.207429
>>> a: 0.13544
>>> v: 0.663657
>>> s: 0.795136

ax: 0.518646 | ay: 0.402115 | az: -0.0986938
ax: 0.402008 | ay: 0.409576 | az: -0.00540161
ax: 0.176315 | ay: 0.300842 | az: 0.043808
ax: -0.106339 | ay: 0.0619965 | az: 0.0765686
ax: -0.391846 | ay: -0.200668 | az: 0.268921
ax: -0.800095 | ay: -0.463028 | az: 0.346054
ax: -1.07339 | ay: -1.04826 | az: 0.263428
ax: -1.11108 | ay: -1.65399 | az: 0.234589
ax: -1.14606 | ay: -1.79248 | az: 0.206635
ax: -0.966446 | ay: -2.10118 | az: 0.275879
ax: -0.698334 | ay: -2.21919 | az: 0.802963
ax: -0.98822 | ay: -2.03206 | az: 0.427933
ax: -0.168594 | ay: -2.17427 | az: 0.0947266
ax: -0.533936 | ay: 1.61751 | az: 0.140503
ax: -0.394562 | ay: 0.176926 | az: 0.384506
ax: -0.665314 | ay: -0.986526 | az: 0.171509
ax: -0.37706 | ay: -0.604126 | az: -0.130219
ax: -0.131424 | ay: -0.5242 | az: 0.0112
ax: -0.0417938 | ay: -0.423813 | az: 0.00457764
ax: -0.0240021 | ay: -0.319336 | az: 0.0155029
ax: -0.0144348 | ay: -0.0369568 | az: 0.025528
ax: -0.0828552 | ay: -0.106873 | az: 0.163574
ax: -0.0759888 | ay: -0.0610962 | az: 0.0961304
ax: -0.0398712 | ay: -0.0565033 | az: -0.0782928
ax: -0.00306702 | ay: -0.0158539 | az: -0.193588
ax: -0.021698 | ay: 0.0657959 | az: -0.0128937
ax: -0.024765 | ay: 0.0317078 | az: 0.134903
ax: -0.0488739 | ay: -0.0798645 | az: 0.124588
ax: -0.0126648 | ay: -0.109314 | az: 0.0573425
ax: -0.0140381 | ay: -0.0997314 | az: 0.0730591
ax: -0.0269928 | ay: -0.0569611 | az: 0.0794983
ax: -0.0257568 | ay: -0.0588531 | az: 0.0659027
ax: -0.0278931 | ay: -0.0839539 | az: 0.0415955
ax: -0.0221252 | ay: -0.06604 | az: 0.0630035
ax: -0.0411682 | ay: -0.059967 | az: 0.0584106
ax: -0.0627441 | ay: -0.0370636 | az: 0.0190887
ax: -0.115921 | ay: 0.00514221 | az: 0.106323
ax: -0.136261 | ay: 0.0422211 | az: 0.121201
ax: -0.16243 | ay: 0.0580292 | az: 0.0820007
ax: -0.209518 | ay: 0.0358582 | az: 0.0809937
ax: -0.262344 | ay: 0.0669403 | az: 0.0448303
ax: -0.305527 | ay: 0.104782 | az: 0.0315247
ax: -0.417847 | ay: 0.146957 | az: -0.121185
ax: -0.568237 | ay: 0.0739441 | az: -0.0557556
ax: -1.00397 | ay: 0.408813 | az: -0.20517
ax: -1.08885 | ay: 1.1039 | az: -0.668945
ax: -1.10313 | ay: 1.4274 | az: 0.0910339
ax: -0.892868 | ay: 0.921707 | az: -0.109695
ax: -0.945953 | ay: 0.526428 | az: -0.356613
ax: -0.250885 | ay: 0.457092 | az: -0.887833
time: 4
[20210811065027.936]
> sum ax: -16.5302 | sum ay: -9.02649 | sum az: 2.40555
>> avg ax: -0.330604 | avg ay: -0.18053 | avg az: 0.048111
>>> vx: -1.61996 | vy: -0.884596 | vz: 0.235744
>>> sx: -0.765513 | sy: -1.03231 | sz: 0.309319
>>> a: 0.379743
>>> v: 1.86074
>>> s: 1.32187

ax: 0.943253 | ay: -0.233871 | az: -0.417511
ax: -0.0245972 | ay: -0.127533 | az: -0.299423
ax: 0.410736 | ay: 0.465668 | az: -0.200684
ax: 0.646805 | ay: 0.94165 | az: -0.175995
ax: 0.641403 | ay: 0.756409 | az: -0.215164
ax: 0.666107 | ay: 0.651398 | az: -0.229111
ax: 0.652634 | ay: 0.491272 | az: -0.199097
ax: 0.625351 | ay: 0.347549 | az: -0.145538
ax: 0.576782 | ay: 0.286255 | az: -0.0999451
ax: 0.526688 | ay: 0.24736 | az: -0.157181
ax: 0.412292 | ay: 0.225235 | az: -0.166382
ax: 0.185699 | ay: 0.151062 | az: -0.121796
ax: -0.0626526 | ay: -0.0827332 | az: -0.0656738
ax: -0.331757 | ay: -0.222641 | az: 0.0888367
ax: -0.742188 | ay: -0.617004 | az: 0.179276
ax: -1.08183 | ay: -1.26315 | az: 0.281281
