steps: 0
ax: -0.0419312 | ay: 0.0945129 | az: -0.0242462
ax: -0.801712 | ay: 0.438736 | az: -0.247055
ax: -0.717331 | ay: 0.87767 | az: -0.464661
ax: -0.713882 | ay: 0.623077 | az: -0.0305328
ax: -0.55162 | ay: 0.469101 | az: -0.188766
ax: -0.351227 | ay: 0.351578 | az: -0.303635
ax: -0.118256 | ay: 0.2733 | az: -0.379074
ax: 0.688751 | ay: 0.0851746 | az: -0.383865
ax: 0.206512 | ay: 0.0314484 | az: -0.159653
ax: 0.348892 | ay: 0.661514 | az: -0.161087
ax: 0.488937 | ay: 0.755875 | az: -0.169464
ax: 0.513367 | ay: 0.696808 | az: -0.130829
ax: 0.522202 | ay: 0.604828 | az: -0.104477
ax: 0.488022 | ay: 0.504211 | az: -0.0805664
ax: 0.476639 | ay: 0.444443 | az: -0.09935
ax: 0.429749 | ay: 0.462082 | az: -0.1017
ax: 0.301987 | ay: 0.410751 | az: -0.14241
ax: 0.155746 | ay: 0.277969 | az: 0.0283813
ax: -0.0109711 | ay: 0.0692596 | az: -0.0274506
ax: -0.267242 | ay: -0.0380096 | az: -0.0796051
ax: -0.4328 | ay: -0.265549 | az: -0.00642395
ax: -0.574066 | ay: -0.484268 | az: -0.099762
ax: -0.613281 | ay: -0.47319 | az: -0.114182
ax: -0.60675 | ay: -0.582794 | az: -0.075943
ax: -0.61496 | ay: -0.790817 | az: 0.0225525
ax: -0.548599 | ay: -0.96608 | az: 0.178207
ax: -0.492599 | ay: -0.835068 | az: 0.310547
ax: -0.37439 | ay: -0.686447 | az: 0.408447
ax: -0.312958 | ay: -0.744614 | az: 0.429871
ax: -0.25882 | ay: -0.959106 | az: 0.446655
ax: -0.225189 | ay: -1.15556 | az: 0.450882
ax: -0.548859 | ay: -0.850296 | az: 0.372849
ax: -0.172852 | ay: -1.19052 | az: 0.469513
ax: -0.136322 | ay: -0.948364 | az: 0.311096
ax: -0.188812 | ay: 0.95105 | az: 0.228836
ax: -0.349396 | ay: 0.471359 | az: 0.194244
ax: -0.592407 | ay: -0.50209 | az: 0.191147
ax: -0.358017 | ay: 0.0434265 | az: 0.108063
ax: -0.0474396 | ay: -0.152908 | az: -0.119156
ax: 0.086319 | ay: -0.0928345 | az: -0.112915
ax: -0.0518951 | ay: -0.412628 | az: -0.143463
ax: -0.00415039 | ay: -0.108398 | az: 0.0513458
ax: -0.0547791 | ay: -0.179443 | az: -0.0439301
ax: 0.0397949 | ay: 0.0846405 | az: 0.0839233
ax: -0.0828705 | ay: -0.0018158 | az: 0.0651398
ax: -0.0656891 | ay: 0.0184479 | az: -0.0327759
ax: -0.00709534 | ay: 0.0580902 | az: -0.121017
ax: -0.00331116 | ay: 0.0414886 | az: -0.11322
ax: -0.0234985 | ay: 0.0946808 | az: -0.0274048
ax: -0.00205994 | ay: 0.0604858 | az: 0.037735
time: 1
[20210811070918.930]
> sum ax: -6.57112 | sum ay: -2.4648 | sum az: 0.100815
>> avg ax: -0.131422 | avg ay: -0.049296 | avg az: 0.0020163
