ax: 0.393051 | ay: 0.294312 | az: 0.292801
ax: -0.00389099 | ay: -0.178116 | az: -0.0514832
ax: -0.0232849 | ay: -0.166946 | az: -0.0374603
ax: -0.0133667 | ay: -0.157913 | az: -0.0263062
ax: -0.0224609 | ay: -0.161362 | az: -0.026474
ax: -0.0101318 | ay: -0.152771 | az: -0.0323486
ax: -0.00561523 | ay: -0.148529 | az: -0.0294495
ax: -0.0118256 | ay: -0.150925 | az: -0.028595
ax: -0.0165405 | ay: -0.151642 | az: -0.0214233
ax: -0.00326538 | ay: -0.142776 | az: -0.0315857
ax: -0.00608826 | ay: -0.146561 | az: -0.0263824
ax: -0.0128174 | ay: -0.143967 | az: -0.0208282
ax: 0.000411987 | ay: -0.140564 | az: -0.0321198
ax: -0.00106812 | ay: -0.130035 | az: -0.03302
ax: -0.00300598 | ay: -0.123428 | az: -0.0201111
ax: 0.00187683 | ay: -0.124161 | az: -0.0228729
ax: -0.0128021 | ay: -0.114212 | az: -0.0202942
ax: -0.00700378 | ay: -0.118866 | az: -0.0340729
ax: -0.00215149 | ay: -0.12149 | az: -0.0221863
ax: -0.00656128 | ay: -0.106873 | az: -0.00262451
ax: -0.00856018 | ay: -0.102005 | az: -0.0170898
ax: -0.00325012 | ay: -0.108582 | az: -0.0301971
ax: -0.000350952 | ay: -0.105606 | az: -0.018158
ax: -0.00233459 | ay: -0.0909119 | az: -0.0202179
ax: 0.000549316 | ay: -0.0976562 | az: -0.0273743
ax: 0.00154114 | ay: -0.100204 | az: -0.020874
ax: 0.00445557 | ay: -0.074585 | az: -0.0180817
ax: 0.00491333 | ay: -0.0421143 | az: -0.00567627
ax: -0.0170746 | ay: -0.0127869 | az: 0.00604248
ax: -0.0204926 | ay: 0.00270081 | az: 0.0146637
ax: -0.047348 | ay: 0.0871582 | az: 0.0557098
ax: -0.141785 | ay: 0.076889 | az: 0.0266724
ax: -0.199692 | ay: 0.0476532 | az: -0.030899
ax: -0.307083 | ay: 0.0193939 | az: -0.0753479
ax: -0.330383 | ay: 0.0571594 | az: -0.00921631
ax: -0.424255 | ay: 0.0776978 | az: 0.0809631
ax: -0.41687 | ay: 0.24559 | az: 0.0286865
ax: -0.247772 | ay: 0.0426483 | az: 0.0430298
ax: -0.0381622 | ay: 0.168396 | az: -0.127457
ax: 0.137238 | ay: 0.15657 | az: -0.240204
ax: 0.273727 | ay: 0.277771 | az: 0.11145
ax: 0.169571 | ay: 0.275436 | az: 0.189377
ax: 0.3116 | ay: 0.576294 | az: 0.223038
ax: 0.378357 | ay: 0.432404 | az: 0.26593
ax: 0.325195 | ay: 0.282013 | az: 0.292664
ax: 0.264481 | ay: 0.227875 | az: 0.278992
ax: 0.169098 | ay: 0.155731 | az: 0.219955
ax: 0.100296 | ay: 0.0717468 | az: 0.151047
ax: -0.00587463 | ay: -0.0600281 | az: 0.0929413
ax: -0.0596619 | ay: -0.167587 | az: 0.0314636
time: 1
[20210722064750.037]
> sum ax: 0.103531 | sum ay: -0.0677643 | sum az: 1.245
>> avg ax: 0.00207062 | avg ay: -0.00135529 | avg az: 0.0248999
>>> vx: 0.010146 | vy: -0.00664088 | vz: 0.12201
>>> sx: -0.0129164 | sy: -0.163823 | sz: -0.00341977
>>> a: 0.0250226
>>> v: 0.122611
>>> s: 0.164367

ax: -0.119843 | ay: -0.206757 | az: -0.054718
ax: -0.192825 | ay: -0.260452 | az: -0.113586
ax: -0.257156 | ay: -0.279953 | az: -0.183762
ax: -0.325607 | ay: -0.377014 | az: -0.232101
ax: -0.373535 | ay: -0.465805 | az: -0.287537
ax: -0.375885 | ay: -0.551147 | az: -0.351288
ax: -0.283112 | ay: -0.684906 | az: -0.450729
ax: -0.188217 | ay: -1.00415 | az: -0.524719
