steps: 0
ax: -0.043335 | ay: 0.140701 | az: -0.00291443
ax: -0.473679 | ay: 0.298126 | az: -0.152847
ax: -0.683441 | ay: 0.340988 | az: -0.11055
ax: -1.00539 | ay: 0.754547 | az: -0.220367
ax: -0.909256 | ay: 1.44867 | az: -0.258102
ax: -0.940964 | ay: 0.76709 | az: -0.136536
ax: -0.788712 | ay: 0.627258 | az: -0.424713
ax: -0.538589 | ay: 0.561096 | az: -0.405029
ax: 0.211807 | ay: 0.412918 | az: -0.36441
ax: -0.102646 | ay: -0.120224 | az: -0.116974
ax: 0.0836487 | ay: 0.269653 | az: -0.172302
ax: 0.550949 | ay: 0.943604 | az: 0.00822449
ax: 0.555603 | ay: 0.941788 | az: 0.130798
ax: 0.567032 | ay: 0.747879 | az: 0.0315552
ax: 0.521011 | ay: 0.61792 | az: -0.0126953
ax: 0.470413 | ay: 0.462891 | az: -0.0393524
ax: 0.43483 | ay: 0.412445 | az: -0.0238953
ax: 0.404694 | ay: 0.359131 | az: -0.0376587
ax: 0.32663 | ay: 0.292114 | az: -0.0871582
ax: 0.115082 | ay: 0.250824 | az: -0.105835
ax: -0.0887299 | ay: 0.0792542 | az: -0.0337219
ax: -0.29361 | ay: -0.0733948 | az: -0.0862885
ax: -0.541214 | ay: -0.317749 | az: -0.177002
ax: -0.739655 | ay: -0.752151 | az: -0.267151
ax: -0.74408 | ay: -0.956833 | az: -0.281418
ax: -0.714691 | ay: -0.981201 | az: -0.303696
ax: -0.719757 | ay: -1.10164 | az: -0.210861
ax: -0.673569 | ay: -1.3027 | az: 0.0107269
ax: -0.505646 | ay: -1.31796 | az: 0.263458
ax: -0.365494 | ay: -1.44261 | az: 0.421539
ax: -0.242249 | ay: -1.5948 | az: 0.253922
ax: -0.29129 | ay: -1.16222 | az: 0.476791
ax: -0.201263 | ay: -0.745087 | az: 0.249985
ax: -0.360901 | ay: 1.73087 | az: 0.819641
ax: -0.634064 | ay: -0.22171 | az: 0.591431
ax: -0.575714 | ay: -0.451859 | az: -0.185623
ax: 0.0185699 | ay: 0.0840302 | az: -0.214523
ax: -0.18335 | ay: -0.802643 | az: -0.675873
ax: -0.124863 | ay: -0.501816 | az: 0.146622
ax: -0.137711 | ay: -0.222031 | az: 0.1194
ax: 0.016098 | ay: 0.00354004 | az: -0.099823
ax: -0.0384216 | ay: 0.096344 | az: 0.108719
ax: -0.0798187 | ay: 0.150238 | az: 0.0293884
ax: 0.0338593 | ay: 0.132706 | az: 0.0112
ax: 0.0460052 | ay: -0.0654907 | az: -0.242874
ax: 0.0465851 | ay: 0.154251 | az: -0.0713806
ax: 0.0118561 | ay: 0.10704 | az: 0.0647125
ax: -0.0388947 | ay: 0.151184 | az: 0.116943
ax: -0.0114899 | ay: 0.0938416 | az: -0.0503845
ax: -0.00442505 | ay: 0.0981293 | az: -0.110245
time: 1
[20210812053045.657]
> sum ax: -9.38223 | sum ay: -0.603058 | sum az: -1.82715
>> avg ax: -0.187645 | avg ay: -0.0120612 | avg az: -0.036543
>>> vx: -0.919459 | vy: -0.0590996 | vz: -0.179061
>>> sx: -0.544456 | sy: 0.344517 | sz: -0.19455
>>> a: 0.19155
>>> v: 0.938595
>>> s: 0.673033

