ax: 0 | ay: 0 | az: -1
>>> a: 0.312048
>>> v: 3.05807
>>> s: 1.34118

ax: -0.0112762 | ay: 0.0681915 | az: -0.12326
ax: -0.0203857 | ay: -0.0105133 | az: -0.0160522
ax: 0.0548248 | ay: -0.00590515 | az: 0.0409698
ax: 0.153229 | ay: 0.104019 | az: 0.064621
ax: 0.17894 | ay: 0.0974884 | az: 0.0497437
ax: 0.218903 | ay: -0.0524139 | az: 0.109772
ax: 0.256332 | ay: -0.165222 | az: 0.0383606
ax: 0.348816 | ay: -0.231827 | az: 0.10759
ax: 0.453842 | ay: -0.252914 | az: 0.188812
ax: 0.549637 | ay: -0.312256 | az: -0.06987
ax: 0.863281 | ay: -0.541595 | az: -0.323212
ax: 1.04042 | ay: -0.737747 | az: -0.403564
ax: 1.05182 | ay: -1.91542 | az: -0.403625
ax: 1.05605 | ay: -1.06946 | az: 0.0695496
ax: 0.906494 | ay: -1.33916 | az: -0.446991
ax: 0.301086 | ay: -0.464569 | az: -0.520462
ax: 0.380478 | ay: -0.720642 | az: -0.281616
ax: -0.661606 | ay: 0.359741 | az: -0.228378
ax: -0.243317 | ay: -0.0814819 | az: 0.235641
ax: -0.705154 | ay: -0.571884 | az: 0.0758209
ax: -0.669937 | ay: -0.845383 | az: -0.130295
ax: -0.751846 | ay: -0.756378 | az: -0.011673
ax: -0.652771 | ay: -0.397659 | az: 0.0327606
ax: -0.649078 | ay: -0.229202 | az: 0.130569
ax: -0.554886 | ay: -0.0518036 | az: 0.186417
ax: -0.481476 | ay: 0.0154266 | az: 0.156158
ax: -0.308212 | ay: 0.0529022 | az: 0.153564
ax: -0.0537872 | ay: 0.130829 | az: 0.171326
ax: 0.380325 | ay: 0.19928 | az: 0.0667267
ax: 1.08937 | ay: 0.638168 | az: 0.0464935
ax: 1.21471 | ay: 1.44496 | az: -0.0764923
ax: 1.29054 | ay: 2.12607 | az: 0.0441437
ax: 1.34705 | ay: 2.72343 | az: -0.523285
ax: 0.977722 | ay: 2.74803 | az: -0.411087
ax: 0.563934 | ay: 2.72884 | az: 0.457733
ax: 1.09706 | ay: 0.0921936 | az: 0.557114
ax: -0.257416 | ay: -1.36043 | az: 0.812683
ax: 0.755814 | ay: 0.882996 | az: 0.927078
ax: 0.874802 | ay: 0.537766 | az: 0.0499725
ax: 0.463882 | ay: 1.50468 | az: -0.618637
ax: 0.652786 | ay: 1.11266 | az: 0.143799
ax: 0.132263 | ay: 0.62175 | az: 0.0860138
ax: 0.136139 | ay: 0.341919 | az: -0.225143
ax: 0.00765991 | ay: 0.187225 | az: -0.0553741
ax: 0.0872955 | ay: 0.184647 | az: 0.105637
ax: 0.0612335 | ay: 0.0453949 | az: -0.0443878
ax: 0.0107574 | ay: 0.0798492 | az: -0.0997009
ax: 0.0183411 | ay: 0.0982208 | az: -0.122971
ax: -0.0245361 | ay: 0.125504 | az: -0.160675
ax: -0.00511169 | ay: 0.0444794 | az: -0.0834351
time: 3
[20201117134425.274]
> sum ax: 12.925 | sum ay: 7.1828 | sum az: -0.271118
>> avg ax: 0.258501 | avg ay: 0.143656 | avg az: -0.00542236
>>> vx: 2.53331 | vy: 1.40783 | vz: -0.0531391
>>> sx: 1.24721 | sy: -0.338115 | sz: -0.126276
