ax: -0.224899 | ay: -1.50974 | az: -0.343857
ax: -0.0600433 | ay: -0.0278473 | az: -0.00947571
ax: -0.00488281 | ay: 0.00752258 | az: -0.0536499
ax: -0.00105286 | ay: 0.0544128 | az: -0.17189
ax: 0.0233917 | ay: 0.0711365 | az: -0.136063
ax: 0.049881 | ay: 0.102646 | az: -0.0500641
ax: 0.0637054 | ay: 0.0896454 | az: 0.0310211
ax: 0.0280609 | ay: 0.00553894 | az: -0.0276184
ax: -0.0228577 | ay: -0.0775299 | az: -0.0263367
ax: -0.0302734 | ay: -0.0928802 | az: 0.00312805
ax: -0.0122681 | ay: -0.0350952 | az: 0.000717163
ax: 0.00502014 | ay: 0.0152283 | az: 0.00439453
ax: -0.0100098 | ay: 0.00994873 | az: -0.0199432
ax: 0.0185852 | ay: 0.0596924 | az: -0.0664062
ax: 0.0414886 | ay: 0.0260468 | az: -0.0547638
ax: -0.0750122 | ay: -0.0787964 | az: 0.048233
ax: -0.053421 | ay: -0.0520477 | az: 0.0737762
ax: -0.00946045 | ay: 0.0304871 | az: 0.0110168
ax: 0.00587463 | ay: 0.0173187 | az: -0.0301056
ax: 0.00857544 | ay: 0.0441742 | az: -0.028717
ax: -0.012085 | ay: 0.058609 | az: -0.0538025
ax: -0.0305328 | ay: 0.0839539 | az: 0.00309753
ax: -0.00744629 | ay: 0.0653687 | az: -0.0176849
ax: -0.0718536 | ay: -0.048645 | az: 0.0174408
ax: -0.0569458 | ay: 0.0573425 | az: -0.00720215
ax: -0.0554352 | ay: 0.0451813 | az: 0.0105896
ax: -0.132629 | ay: 0.00805664 | az: 0.0477753
ax: -0.199051 | ay: 0.0651703 | az: 0.0498047
ax: -0.295181 | ay: 0.0986481 | az: 0.0315704
ax: -0.458832 | ay: 0.216537 | az: 0.0271759
ax: -0.513138 | ay: 0.256332 | az: 0.0303345
ax: -0.659882 | ay: 0.354446 | az: 0.101364
ax: -0.741852 | ay: 0.341324 | az: 0.0310211
ax: -0.894043 | ay: 0.691788 | az: -0.0802917
ax: -0.289169 | ay: 1.01302 | az: -0.0266876
ax: -0.533249 | ay: 0.325943 | az: 0.147263
ax: -0.356674 | ay: 0.221085 | az: 0.0546112
ax: -0.188126 | ay: 0.28479 | az: -0.0406647
ax: 0.246338 | ay: 0.311157 | az: -0.121185
ax: 0.217697 | ay: 0.13942 | az: -0.095871
ax: 0.27948 | ay: 0.133011 | az: -0.193893
ax: 0.435562 | ay: 0.411316 | az: 0.237823
ax: 0.556564 | ay: 0.73494 | az: 0.285706
ax: 0.61116 | ay: 0.688141 | az: 0.232483
ax: 0.5634 | ay: 0.490143 | az: 0.163559
ax: 0.506958 | ay: 0.36731 | az: 0.138794
ax: 0.445938 | ay: 0.281418 | az: 0.0868835
ax: 0.359283 | ay: 0.195496 | az: -0.0118408
ax: 0.260956 | ay: 0.257782 | az: -0.0463257
ax: 0.0520172 | ay: 0.213135 | az: -0.127823
time: 1
[20201124141724.695]
> sum ax: -1.22037 | sum ay: 7.02208 | sum az: 0.02742
>> avg ax: -0.0244073 | avg ay: 0.140442 | avg az: 0.000548401
>>> vx: -0.239192 | vy: 1.37633 | vz: 0.00537436
>>> sx: -0.327555 | sy: 0.132527 | sz: -0.120346
>>> a: 0.142548
>>> v: 1.39697
>>> s: 0.373281

ax: -0.247574 | ay: -0.0631714 | az: -0.1875
ax: -0.534088 | ay: -0.29982 | az: -0.389069
ax: -0.672318 | ay: -0.464371 | az: -0.512894
ax: -0.670761 | ay: -0.705978 | az: -0.632462
ax: -0.57666 | ay: -0.702499 | az: -0.568024
ax: -0.459564 | ay: -0.667831 | az: -0.503708
ax: -0.408813 | ay: -0.623764 | az: -0.420624
ax: -0.40831 | ay: -0.722733 | az: -0.294571
ax: -0.338287 | ay: -0.691147 | az: -0.0779114
ax: -0.248581 | ay: -0.677551 | az: -0.0249786
ax: -0.166809 | ay: -0.751328 | az: 0.0558319
ax: -0.134079 | ay: -1.03088 | az: -0.0025177
ax: -0.182343 | ay: -1.15956 | az: -0.0548859
ax: -0.319458 | ay: -0.998413 | az: -0.0655975
ax: -0.18486 | ay: -1.01813 | az: -0.228912
ax: -0.396149 | ay: 1.69379 | az: 1.11559
ax: -0.177734 | ay: -0.428757 | az: 0.305191
ax: -0.598511 | ay: -0.355042 | az: 0.184113
ax: -0.221466 | ay: -0.0446625 | az: 0.0829926
ax: -0.00856018 | ay: -0.0762634 | az: -0.429169
ax: -0.066864 | ay: -0.0298004 | az: -0.267654
ax: 0.0289307 | ay: -0.167099 | az: -0.00265503
ax: 0.00430298 | ay: 0.077652 | az: 0.028595
ax: -0.0378876 | ay: 0.0977783 | az: 0.0118866
ax: -0.0622559 | ay: 0.161011 | az: 0.0948486
ax: -0.000305176 | ay: 0.238602 | az: 0.0711823
ax: -0.0045929 | ay: 0.199371 | az: 0.0071106
ax: 0.00761414 | ay: 0.200699 | az: -0.0177765
ax: 0.0372009 | ay: 0.18306 | az: -0.0276642
ax: 0.0372772 | ay: 0.185059 | az: 0.0552826
ax: 0.0361938 | ay: 0.190506 | az: 0.103714
ax: 0.0276947 | ay: 0.140869 | az: 0.0821838
ax: 0.00578308 | ay: 0.0757904 | az: 0.0151367
ax: -0.00398254 | ay: 0.0476532 | az: 0.0122986
ax: -0.0145721 | ay: 0.173874 | az: 0.0680542
ax: -0.02948 | ay: 0.125687 | az: 0.0712585
ax: -0.0343323 | ay: 0.103134 | az: 0.0761719
ax: -0.0172882 | ay: 0.11116 | az: 0.0270386
