steps: 920
ax: -0.349655 | ay: 0.230194 | az: -0.0887604
ax: -1.01279 | ay: -1.17879 | az: -0.104874
ax: -1.02516 | ay: -1.73778 | az: -0.135849
ax: -0.737839 | ay: -1.64003 | az: -0.232422
ax: -0.827255 | ay: -2.13496 | az: 0.055191
ax: -0.625793 | ay: -2.09065 | az: 0.443085
ax: -0.456711 | ay: -1.33835 | az: 0.0225677
ax: -0.271423 | ay: 1.90694 | az: -0.246857
ax: -0.215546 | ay: 0.951813 | az: 0.70546
ax: -0.689743 | ay: -0.820679 | az: 0.153412
ax: -0.246597 | ay: 0.0734558 | az: 0.0718689
ax: 0.0417786 | ay: -0.157425 | az: -0.415512
ax: -0.24057 | ay: -0.346024 | az: -0.315903
ax: 0.0425568 | ay: 0.0620575 | az: -0.0548248
ax: -0.0835266 | ay: -0.0253143 | az: -0.084549
ax: -0.0151825 | ay: 0.333389 | az: 0.0840759
ax: -0.0820618 | ay: 0.328659 | az: -0.055603
ax: -0.0180206 | ay: 0.247192 | az: -0.0985718
ax: -0.000869751 | ay: 0.218307 | az: -0.0983429
ax: -0.0017395 | ay: 0.09198 | az: -0.165985
ax: -0.018158 | ay: 0.187454 | az: -0.0120544
ax: -0.063324 | ay: 0.180054 | az: 0.0624847
ax: -0.0449677 | ay: 0.111511 | az: 0.03302
ax: -0.000305176 | ay: 0.151718 | az: -0.0788574
ax: -0.0213928 | ay: 0.241791 | az: -0.0737
ax: -0.0490723 | ay: 0.269821 | az: -0.0504913
ax: -0.0739136 | ay: 0.253494 | az: -0.0248871
ax: -0.141815 | ay: 0.160172 | az: -0.00367737
ax: -0.154648 | ay: 0.193588 | az: -0.0704346
ax: -0.190582 | ay: 0.262161 | az: -0.0897675
ax: -0.181671 | ay: 0.203323 | az: -0.0775757
ax: -0.326279 | ay: 0.281204 | az: -0.103958
ax: -0.379105 | ay: 0.323944 | az: 0.000167847
ax: -0.461365 | ay: 0.467346 | az: 0.0888367
ax: -0.579971 | ay: 0.4561 | az: 0.023941
ax: -0.756073 | ay: 0.497452 | az: -0.154083
ax: -1.11 | ay: 0.850662 | az: -0.543015
ax: -1.12973 | ay: 1.71556 | az: -0.856323
ax: -1.15297 | ay: 1.12213 | az: -0.117691
ax: -0.993347 | ay: 1.30536 | az: -0.752731
ax: -0.657104 | ay: 0.968842 | az: -0.86171
ax: 0.568512 | ay: 0.838333 | az: -0.266815
ax: -0.170853 | ay: -0.287094 | az: -0.245087
ax: 0.0734253 | ay: -0.0531158 | az: 0.0794983
ax: 0.671906 | ay: 0.745056 | az: 4.57764e-05
ax: 0.75264 | ay: 1.09076 | az: -0.104614
ax: 0.741592 | ay: 0.937103 | az: -0.0870972
ax: 0.739105 | ay: 0.80397 | az: -0.0220795
ax: 0.624084 | ay: 0.42691 | az: -0.0765839
ax: 0.56813 | ay: 0.267624 | az: -0.0484161
time: 1
[20210805060902.626]
> sum ax: -10.7334 | sum ay: 7.94722 | sum az: -4.99605
>> avg ax: -0.214668 | avg ay: 0.158944 | avg az: -0.099921
>>> vx: -1.05187 | vy: 0.778827 | vz: -0.489613
>>> sx: -0.812634 | sy: -0.316231 | sz: -0.141366
>>> a: 0.285184
>>> v: 1.3974
>>> s: 0.88338

ax: 0.526749 | ay: 0.258728 | az: -0.0154114
ax: 0.440445 | ay: 0.205307 | az: 0.00465393
ax: 0.260834 | ay: 0.244446 | az: 0.0984192
ax: -0.0790253 | ay: 0.216507 | az: 0.119904
ax: -0.696335 | ay: -0.120193 | az: 0.172974
ax: -1.06607 | ay: -0.82135 | az: 0.184143
ax: -1.11586 | ay: -1.42436 | az: -0.0264587
ax: -1.16702 | ay: -1.98552 | az: -0.230118
ax: -1.19696 | ay: -2.53723 | az: -1.03775
ax: -0.959915 | ay: -2.59659 | az: 0.319641
ax: -0.588654 | ay: -2.47801 | az: 0.666199
ax: -0.593246 | ay: -1.48685 | az: -0.0253448
ax: -0.249542 | ay: 1.52184 | az: -0.0586853
ax: -0.639923 | ay: 0.858032 | az: 0.783386
ax: -1.14912 | ay: -1.22925 | az: -0.294724
ax: -0.253601 | ay: -0.399033 | az: 0.282349
ax: -0.152542 | ay: -1.31804 | az: -0.460724
ax: -0.224808 | ay: -0.547653 | az: 0.0501862
ax: -0.0941925 | ay: -0.301926 | az: -0.0355682
ax: 0.0420685 | ay: -0.156677 | az: -0.08992
