steps: 1820
ax: 0.308243 | ay: 0.121384 | az: 0.0823364
ax: -0.747284 | ay: 0.817001 | az: -0.00309753
ax: -0.257477 | ay: 0.3741 | az: -0.365112
ax: -0.0697021 | ay: 0.066925 | az: -0.345154
ax: 1.08411 | ay: -0.0652161 | az: -0.218582
ax: 0.456436 | ay: -0.540115 | az: -0.0204468
ax: 0.54715 | ay: 0.0992584 | az: 0.18222
ax: 0.791641 | ay: 0.519638 | az: -0.0561371
ax: 0.829788 | ay: 0.576584 | az: -0.0238495
ax: 0.752533 | ay: 0.484619 | az: 0.0694733
ax: 0.718674 | ay: 0.465683 | az: 0.162308
ax: 0.650604 | ay: 0.325958 | az: 0.171371
ax: 0.605042 | ay: 0.182785 | az: 0.100891
ax: 0.527512 | ay: 0.133575 | az: 0.0604401
ax: 0.426437 | ay: 0.0693512 | az: 0.109161
ax: 0.197723 | ay: -0.0209961 | az: 0.0813751
ax: -0.05336 | ay: -0.0984497 | az: 0.200012
ax: -0.370102 | ay: -0.248047 | az: 0.262039
ax: -0.742722 | ay: -0.534012 | az: 0.198181
ax: -1.12543 | ay: -0.96492 | az: 0.184875
ax: -1.16946 | ay: -1.4532 | az: 0.0841217
ax: -1.10028 | ay: -1.63002 | az: -0.0763702
ax: -0.945114 | ay: -1.7991 | az: -0.172729
ax: -0.769882 | ay: -2.01974 | az: 0.316269
ax: -0.831802 | ay: -1.89487 | az: 0.472839
ax: -0.440247 | ay: -1.5126 | az: 0.199127
ax: -0.250641 | ay: -0.941208 | az: 0.0326843
ax: -0.293518 | ay: 1.49883 | az: 0.726578
ax: -0.642792 | ay: -0.494919 | az: 0.493439
ax: -0.626877 | ay: -0.681335 | az: 0.0862885
ax: -0.386093 | ay: -0.592499 | az: -0.027298
ax: -0.0903473 | ay: -0.330017 | az: -0.00259399
ax: -0.0500946 | ay: -0.554962 | az: 0.0497742
ax: -0.121475 | ay: -0.521057 | az: 0.123062
ax: -0.0401764 | ay: -0.126053 | az: 0.0462952
ax: -0.13736 | ay: -0.175964 | az: 0.0563507
ax: -0.153793 | ay: -0.108536 | az: 0.176239
ax: -0.105072 | ay: -0.139221 | az: 0.0445404
ax: -0.043335 | ay: -0.157455 | az: 0.02948
ax: -0.0580444 | ay: -0.167084 | az: -0.0675354
ax: -0.0208588 | ay: -0.174286 | az: 0.0751495
ax: -0.0381775 | ay: -0.145081 | az: 0.169342
ax: -0.0493164 | ay: -0.126801 | az: 0.180237
ax: -0.0372162 | ay: -0.162079 | az: 0.141006
ax: -0.0240631 | ay: -0.20665 | az: 0.0582886
ax: -0.0201721 | ay: -0.21608 | az: 0.0499878
ax: -0.0281525 | ay: -0.115936 | az: 0.108871
ax: -0.0537872 | ay: -0.0976562 | az: 0.125412
ax: -0.0679016 | ay: -0.160599 | az: 0.156067
ax: -0.0716858 | ay: -0.119095 | az: 0.104202
time: 1
[20210805072227.565]
