ax: -0.291107 | ay: 0.0816956 | az: 0.0570679
ax: 0.0108795 | ay: 0.433792 | az: 0.156128
ax: 0.0133209 | ay: 0.361359 | az: 0.183258
ax: 0.0817566 | ay: 0.405609 | az: 0.227692
ax: 0.113129 | ay: 0.375732 | az: 0.209106
ax: 0.0840759 | ay: 0.302673 | az: 0.186356
ax: 0.0332489 | ay: 0.242432 | az: 0.151276
ax: 0.0118103 | ay: 0.136978 | az: 0.104477
ax: -0.022522 | ay: 0.0367432 | az: 0.036499
ax: -0.072052 | ay: -0.0275574 | az: -0.0452271
ax: -0.118973 | ay: -0.114471 | az: -0.0702515
ax: -0.131821 | ay: -0.181396 | az: -0.119858
ax: -0.152237 | ay: -0.230576 | az: -0.172882
ax: -0.205582 | ay: -0.395203 | az: -0.215652
ax: -0.188019 | ay: -0.393982 | az: -0.249084
ax: -0.187378 | ay: -0.433212 | az: -0.306656
ax: -0.137695 | ay: -0.508286 | az: -0.379608
ax: -0.0770569 | ay: -0.550201 | az: -0.389374
ax: -0.0637817 | ay: -0.561157 | az: -0.412033
ax: -0.0456085 | ay: -0.637451 | az: -0.369095
ax: -0.0114899 | ay: -0.580032 | az: -0.283432
ax: 0.00115967 | ay: -0.585907 | az: -0.242371
ax: -0.00132751 | ay: -0.62738 | az: -0.252792
ax: -0.0160217 | ay: -0.69313 | az: -0.343948
ax: -0.113525 | ay: -0.576401 | az: -0.428726
ax: 0.26152 | ay: -0.404663 | az: -0.367874
ax: -0.120163 | ay: 0.699387 | az: 0.442398
ax: -0.301956 | ay: 0.104507 | az: 0.502045
ax: -0.498947 | ay: -0.5728 | az: 0.0565338
ax: -0.353928 | ay: -0.204056 | az: 0.25499
ax: -0.0675812 | ay: -0.0471497 | az: -0.159576
ax: 0.0201874 | ay: -0.0379181 | az: -0.295258
ax: 0.0635834 | ay: -0.0199127 | az: -0.153412
ax: 0.0155029 | ay: -0.188278 | az: -0.1996
ax: -0.000137329 | ay: -0.176453 | az: -0.0213623
ax: -0.0444336 | ay: -0.0559235 | az: -0.0810242
ax: -0.0556793 | ay: 0.0158691 | az: -0.0223541
ax: -0.0503693 | ay: 0.0065155 | az: 0.020813
ax: -0.00608826 | ay: 0.0706024 | az: -0.00154114
ax: 0.013382 | ay: 0.120544 | az: -0.0710754
ax: 0.0198822 | ay: 0.0897522 | az: -0.0759888
ax: 0.0764923 | ay: 0.136139 | az: -0.0177002
ax: 0.0772705 | ay: 0.0417786 | az: 0.0118713
ax: -0.0488739 | ay: -0.134018 | az: 0.0440216
ax: -0.0257111 | ay: -0.115768 | az: 0.0323944
ax: 0.00511169 | ay: -0.0303497 | az: -0.027771
ax: 0.0133972 | ay: 0.068634 | az: -0.0226593
ax: 0.00735474 | ay: 0.0628357 | az: -0.00886536
ax: 0.0155182 | ay: 0.0275574 | az: -0.0419464
ax: 0.0205536 | ay: 0.0700378 | az: -0.0159912
time: 1
[20210722075117.634]
> sum ax: -2.45093 | sum ay: -5.19246 | sum az: -3.18806
>> avg ax: -0.0490186 | avg ay: -0.103849 | avg az: -0.0637613
>>> vx: -0.240191 | vy: -0.508861 | vz: -0.31243
>>> sx: -0.148254 | sy: -0.248007 | sz: -0.146595
>>> a: 0.131351
>>> v: 0.643618
>>> s: 0.324001

ax: 0.0132599 | ay: 0.0755005 | az: 0.0124054
ax: -0.00596619 | ay: 0.111267 | az: 0.0388641
ax: -0.0238342 | ay: 0.00297546 | az: 0.0127563
ax: -0.0201569 | ay: 0.0364075 | az: 0.0153351
ax: -0.0579987 | ay: 0.0293732 | az: 0.00576782
ax: -0.0742035 | ay: 0.074234 | az: 0.0228271
ax: -0.0778046 | ay: 0.0752258 | az: 0.0211487
ax: -0.0878448 | ay: 0.05867 | az: 0.00119019
ax: -0.128723 | ay: 0.0981293 | az: 0.0253906
ax: -0.19313 | ay: 0.022934 | az: 0.094696
ax: -0.260117 | ay: 0.127548 | az: 0.0544281
ax: -0.330063 | ay: 0.124603 | az: 0.0254974
ax: -0.464096 | ay: 0.169022 | az: 0.0454865
ax: -0.700806 | ay: 0.195404 | az: 0.0644073
ax: -0.954193 | ay: 0.444244 | az: 0.120987
ax: -0.89949 | ay: 1.1373 | az: 0.226257
ax: -0.85524 | ay: 0.65477 | az: 0.30162
ax: -0.777023 | ay: 0.365295 | az: 0.16449
ax: -0.557556 | ay: 0.888733 | az: -0.142548
ax: -0.354202 | ay: 0.518112 | az: -0.186295
ax: 0.409164 | ay: 0.564911 | az: 0.0403748
ax: -0.021347 | ay: -0.19455 | az: -0.198624
ax: 0.000442505 | ay: 0.171738 | az: 0.15567
ax: 0.377747 | ay: 0.57756 | az: 0.306259
ax: 0.465897 | ay: 0.701477 | az: 0.325607
ax: 0.557037 | ay: 0.593536 | az: 0.224152
ax: 0.553619 | ay: 0.490112 | az: 0.196198
ax: 0.541962 | ay: 0.368118 | az: 0.134583
ax: 0.502304 | ay: 0.286438 | az: 0.0890503
ax: 0.483246 | ay: 0.215073 | az: 0.0175629
ax: 0.427292 | ay: 0.195908 | az: 0.0216064
ax: 0.241898 | ay: 0.183105 | az: 0.00248718
ax: 0.0254822 | ay: 0.0799866 | az: -0.0865631
ax: -0.329605 | ay: -0.181259 | az: -0.0732574
ax: -0.852539 | ay: -0.394089 | az: -0.162766
ax: -1.05641 | ay: -0.765289 | az: -0.620377
ax: -1.09587 | ay: -1.1035 | az: -0.791534
ax: -1.08546 | ay: -1.39635 | az: -0.880569
ax: -0.871368 | ay: -1.56715 | az: -0.989075
ax: -0.606308 | ay: -1.82349 | az: -0.773071
ax: -0.291794 | ay: -2.28477 | az: -0.729218
ax: -0.540787 | ay: -1.11934 | az: -0.885742
ax: -4.57764e-05 | ay: -1.42859 | az: -0.613235
ax: -0.190735 | ay: 0.689911 | az: 0.527985
ax: -0.425995 | ay: 0.346222 | az: 0.765396
ax: -0.735657 | ay: -0.910782 | az: -0.253418
ax: -0.463776 | ay: -0.239212 | az: -0.0381622
ax: -0.0622253 | ay: -0.262329 | az: -0.308228
ax: -0.107559 | ay: -0.369598 | az: -0.50032
ax: 0.0130615 | ay: -0.256836 | az: -0.174805
time: 2
[20210722075118.633]
> sum ax: -10.9475 | sum ay: -3.62329 | sum az: -4.34732
>> avg ax: -0.21895 | avg ay: -0.0724658 | avg az: -0.0869464
>>> vx: -1.07286 | vy: -0.355082 | vz: -0.426037
>>> sx: -0.46115 | sy: 0.296935 | sz: -0.0083717
>>> a: 0.246476
>>> v: 1.20773
>>> s: 0.548543

ax: -0.0650024 | ay: -0.178055 | az: -0.0592346
ax: -0.0085144 | ay: -0.0173035 | az: -0.109818
ax: -0.0670166 | ay: -0.107147 | az: -0.0469818
ax: -0.0607452 | ay: -0.0841675 | az: -0.0282288
ax: -0.0331726 | ay: 0.0265045 | az: 0.00656128
ax: 0.0506744 | ay: 0.103012 | az: -0.090332
ax: 0.0238342 | ay: 0.0605164 | az: -0.0881042
ax: 0.000320435 | ay: -0.00856018 | az: 0.00875854
ax: -0.00646973 | ay: -0.0704956 | az: 0.0435028
ax: -0.00169373 | ay: -0.0535736 | az: 0.0150604
ax: -0.0235291 | ay: -0.0659027 | az: -0.0343628
ax: -0.00274658 | ay: -0.0375671 | az: -0.0305634
ax: 0.0190582 | ay: 0.0167999 | az: -0.0193481
ax: 0.00984192 | ay: 0.0419312 | az: -0.0107117
ax: 0.0213928 | ay: -0.0136719 | az: -0.0164032
ax: 0.0045166 | ay: 0.0119171 | az: 0.024704
ax: 0.0155792 | ay: 0.103592 | az: 0.00941467
