steps: 0
ax: -0.0841827 | ay: -0.172882 | az: -0.0591888
ax: -0.118713 | ay: -0.165588 | az: 0.0490112
ax: -0.174515 | ay: -0.104309 | az: 0.0533142
ax: -0.269608 | ay: -0.155106 | az: -0.041275
ax: -0.277771 | ay: -0.139084 | az: -0.0860291
ax: -0.460297 | ay: -0.0852966 | az: -0.0191498
ax: -0.785034 | ay: 0.0839996 | az: -0.0653534
ax: -1.0387 | ay: 0.416336 | az: -0.213165
ax: -0.637558 | ay: 0.936829 | az: -0.105133
ax: -0.692245 | ay: 0.653503 | az: 0.165863
ax: -0.507996 | ay: 0.609131 | az: -0.24295
ax: -0.281021 | ay: 0.130707 | az: -0.295563
ax: 0.0124512 | ay: 0.0229034 | az: -0.527679
ax: 0.653351 | ay: -0.089859 | az: -0.357819
ax: 0.240005 | ay: -0.00871277 | az: -0.130753
ax: 0.626724 | ay: 0.278732 | az: -0.0358734
ax: 0.592255 | ay: 0.703537 | az: -0.0470581
ax: 0.666473 | ay: 0.561508 | az: -0.123672
ax: 0.684586 | ay: 0.448334 | az: -0.0860138
ax: 0.62384 | ay: 0.318436 | az: -0.0414581
ax: 0.578354 | ay: 0.250595 | az: -0.0234833
ax: 0.533279 | ay: 0.212433 | az: -0.0418701
ax: 0.501251 | ay: 0.191925 | az: -0.105652
ax: 0.328445 | ay: 0.101669 | az: -0.128113
ax: 0.0820312 | ay: -0.00233459 | az: -0.143082
ax: -0.143433 | ay: -0.132767 | az: -0.0858002
ax: -0.383514 | ay: -0.240891 | az: -0.0471497
ax: -0.646454 | ay: -0.552933 | az: -0.0927429
ax: -0.878479 | ay: -0.952606 | az: -0.112457
ax: -0.991974 | ay: -1.12361 | az: -0.00593567
ax: -0.96019 | ay: -1.30052 | az: -0.0423737
ax: -0.956406 | ay: -1.40469 | az: 0.0337677
ax: -0.807327 | ay: -1.58521 | az: 0.278625
ax: -0.594193 | ay: -1.80328 | az: 0.675339
ax: -0.461807 | ay: -1.73315 | az: 0.473953
ax: -0.456192 | ay: -1.39467 | az: 0.42659
ax: -0.326065 | ay: -0.957977 | az: 0.367905
ax: -0.246262 | ay: 1.33749 | az: 0.568665
ax: -0.411133 | ay: 0.0914154 | az: 0.235352
ax: -0.716614 | ay: -0.802826 | az: 0.111404
ax: -0.366928 | ay: -0.383072 | az: -0.0732269
ax: -0.088623 | ay: -0.672043 | az: -0.347458
ax: -0.140198 | ay: -0.590042 | az: -0.0548096
ax: -0.194885 | ay: -0.352051 | az: 0.172058
ax: -0.00720215 | ay: -0.182755 | az: 0.079834
ax: -0.118729 | ay: -0.255081 | az: 0.0531158
ax: -0.125397 | ay: -0.168777 | az: 0.0948792
ax: -0.0685577 | ay: -0.111603 | az: 0.00737
ax: -0.00460815 | ay: -0.211227 | az: -0.20639
ax: -0.0229645 | ay: -0.108444 | az: -0.0541687
time: 1
[20210810073230.191]
> sum ax: -9.32272 | sum ay: -10.5939 | sum az: -0.195801
>> avg ax: -0.186454 | avg ay: -0.211878 | avg az: -0.00391602
>>> vx: -0.913627 | vy: -1.0382 | vz: -0.0191885
>>> sx: -0.405187 | sy: -0.153551 | sz: -0.118082
>>> a: 0.282264
>>> v: 1.38309
>>> s: 0.449108

ax: -0.0445404 | ay: -0.00996399 | az: 0.168289
ax: -0.0379944 | ay: -0.197342 | az: 0.10733
ax: -0.0227051 | ay: -0.179474 | az: 0.0205231
