steps: 0
ax: -0.955994 | ay: -2.22694 | az: 0.608551
ax: -0.751907 | ay: -0.391357 | az: -0.0307159
ax: -0.98172 | ay: -0.840118 | az: 0.0236359
ax: -0.977554 | ay: -1.19185 | az: 0.0325165
ax: -0.952301 | ay: -1.37643 | az: 0.117584
ax: -0.824463 | ay: -1.40665 | az: 0.449524
ax: -0.560959 | ay: -1.65877 | az: 1.12997
ax: -0.751419 | ay: -1.56898 | az: 0.524185
ax: -0.123932 | ay: -1.58679 | az: 0.303879
ax: -0.102814 | ay: -0.426865 | az: 0.0851288
ax: -0.285004 | ay: 1.76289 | az: 0.33287
ax: -0.800095 | ay: -0.956528 | az: 0.489777
ax: -0.341675 | ay: -0.48793 | az: -0.401901
ax: -0.291489 | ay: -0.295105 | az: 0.112869
ax: -0.0202484 | ay: -0.544556 | az: -0.0671234
ax: -0.035553 | ay: -0.300766 | az: 0.021759
ax: -0.0158997 | ay: -0.028717 | az: 0.078064
ax: -0.0607147 | ay: 0.152557 | az: 0.116684
ax: -0.0527802 | ay: 0.168976 | az: 0.154434
ax: -0.011795 | ay: -0.039917 | az: -0.0115509
ax: -0.0102386 | ay: -0.0667877 | az: -0.167633
ax: 0.0149689 | ay: 0.0683289 | az: -0.00761414
ax: -0.0325165 | ay: 0.0662231 | az: 0.147766
ax: -0.0371552 | ay: 0.0846252 | az: 0.127701
ax: 0.00839233 | ay: -0.01297 | az: 0.00498962
ax: 0.00428772 | ay: 0.038147 | az: 0.0162811
ax: -0.0323334 | ay: 0.0825043 | az: 0.0380249
ax: -0.0234222 | ay: 0.065506 | az: 0.0554199
ax: -0.0406036 | ay: 0.0569 | az: 0.0548553
ax: -0.0308075 | ay: 0.0263672 | az: 0.00511169
ax: -0.0283051 | ay: 0.030426 | az: 0.0313263
ax: -0.0550079 | ay: 0.0262756 | az: 0.0606689
ax: -0.0359192 | ay: 0.0216217 | az: 0.0538177
ax: -0.111267 | ay: 0.0671082 | az: 0.0517578
ax: -0.114471 | ay: 0.0426636 | az: 0.0688934
ax: -0.151169 | ay: 0.117004 | az: 0.105347
ax: -0.201004 | ay: 0.158951 | az: 0.109467
ax: -0.203522 | ay: 0.159042 | az: 0.068222
ax: -0.259216 | ay: 0.159775 | az: 0.055069
ax: -0.318985 | ay: 0.148712 | az: -0.0523529
ax: -0.4254 | ay: 0.149017 | az: -0.0606537
ax: -0.688919 | ay: 0.0856781 | az: 0.00106812
ax: -1.06448 | ay: 0.513474 | az: -0.201416
ax: -1.11418 | ay: 1.10071 | az: -0.795547
ax: -0.871857 | ay: 1.17181 | az: -0.19371
ax: -0.561005 | ay: 0.5271 | az: -0.0344849
ax: -0.629761 | ay: 0.330612 | az: -0.410202
ax: -0.216187 | ay: 0.34169 | az: -0.600403
ax: 0.790741 | ay: 0.172028 | az: -0.364212
ax: 0.0757446 | ay: -0.000595093 | az: -0.157211
time: 1
[20210811062723.855]
> sum ax: -15.2619 | sum ay: -7.5119 | sum az: 2.08049
>> avg ax: -0.305238 | avg ay: -0.150238 | avg az: 0.0416098
>>> vx: -1.49567 | vy: -0.736166 | vz: 0.203888
>>> sx: -0.899514 | sy: -1.07183 | sz: 0.349345
>>> a: 0.342744
>>> v: 1.67944
>>> s: 1.44222

ax: 0.354218 | ay: 0.524872 | az: -0.11441
ax: 0.563919 | ay: 0.85228 | az: -0.126602
ax: 0.547272 | ay: 0.776352 | az: -0.136551
ax: 0.546021 | ay: 0.664047 | az: -0.113754
ax: 0.527054 | ay: 0.564987 | az: -0.0512695
ax: 0.488113 | ay: 0.412079 | az: -0.0636749
ax: 0.420044 | ay: 0.375595 | az: -0.0462189
ax: 0.36145 | ay: 0.348434 | az: -0.0990448
ax: 0.192261 | ay: 0.295044 | az: -0.141281
ax: -0.0319366 | ay: 0.184875 | az: -0.0918579
ax: -0.221146 | ay: 0.0151215 | az: 0.0176239
ax: -0.465759 | ay: -0.218765 | az: 0.0235748
ax: -0.69313 | ay: -0.531418 | az: -0.0443878
ax: -0.858749 | ay: -0.932114 | az: -0.0944977
ax: -0.93866 | ay: -1.28253 | az: -0.0834198
ax: -0.883865 | ay: -1.39943 | az: -0.0555725
ax: -0.843704 | ay: -1.54237 | az: 0.132492
ax: -0.641495 | ay: -1.58342 | az: 0.585602
ax: -0.444351 | ay: -1.64288 | az: 0.826248
ax: -0.935074 | ay: -1.66658 | az: 0.414032
ax: -0.157379 | ay: -1.63538 | az: 0.725372
ax: -0.21347 | ay: -0.64888 | az: 0.461853
ax: -0.424759 | ay: 1.6311 | az: 0.173904
ax: -0.789185 | ay: -1.1129 | az: 0.634888
ax: -0.715851 | ay: -0.489059 | az: -0.0665436
ax: -0.148895 | ay: 0.0325623 | az: 0.153122
ax: 0.0951691 | ay: -0.582703 | az: -0.309189
ax: -0.141113 | ay: -0.503845 | az: 0.0668793
ax: -0.0554047 | ay: -0.394638 | az: 0.202072
ax: -0.0985107 | ay: -0.292023 | az: 0.139496
ax: -0.135956 | ay: -0.0990753 | az: 0.168991
ax: -0.0170288 | ay: 0.0488892 | az: 0.0661011
ax: -0.0165558 | ay: -0.0949249 | az: -0.0458984
ax: -0.0485992 | ay: -0.143997 | az: -0.0434875
ax: -0.0140381 | ay: -0.139969 | az: 0.0283356
ax: -0.0300751 | ay: -0.0461121 | az: 0.161713
ax: -0.0387421 | ay: -0.0313873 | az: 0.125534
ax: -0.0224457 | ay: -0.0767822 | az: 0.0317383
ax: -0.00448608 | ay: -0.0382996 | az: -0.0324402
ax: -0.0317841 | ay: -0.0336304 | az: 0.0402527
ax: -0.0398407 | ay: 0.00466919 | az: 0.102448
ax: -0.0341644 | ay: -0.0635986 | az: 0.112549
ax: -0.0385742 | ay: -0.087204 | az: 0.118484
ax: -0.0283966 | ay: -0.114075 | az: 0.0878601
ax: -0.0302429 | ay: -0.0733185 | az: 0.0917206
ax: -0.0631256 | ay: -0.000610352 | az: 0.0759735
ax: -0.0714111 | ay: -0.0193481 | az: 0.0662231
ax: -0.120544 | ay: 0.0172272 | az: 0.0514526
ax: -0.163757 | ay: 0.0495605 | az: 0.0437317
ax: -0.225967 | ay: 0.0590973 | az: 0.119446
time: 2
[20210811062724.860]
> sum ax: -6.78265 | sum ay: -10.6645 | sum az: 4.28961
>> avg ax: -0.135653 | avg ay: -0.213289 | avg az: 0.0857922
>>> vx: -0.6647 | vy: -1.04512 | vz: 0.420382
>>> sx: -0.271119 | sy: -0.492903 | sz: 0.16394
>>> a: 0.266935
>>> v: 1.30798
>>> s: 0.585948

ax: -0.235001 | ay: 0.105499 | az: 0.0697479
ax: -0.278137 | ay: -0.00531006 | az: 0.0204163
ax: -0.398727 | ay: 0.0632172 | az: 0.0143127
ax: -0.66275 | ay: 0.0767212 | az: 0.0113678
ax: -1.08051 | ay: 0.350647 | az: -0.185226
ax: -1.09059 | ay: 0.981781 | az: -0.692795
ax: -0.930511 | ay: 1.21188 | az: -0.115952
ax: -0.826981 | ay: 0.757172 | az: 0.122421
ax: -0.666733 | ay: 0.540802 | az: -0.362625
ax: -0.364059 | ay: 0.313049 | az: -0.642746
ax: 0.828064 | ay: 0.273666 | az: -0.378708
ax: -0.0228729 | ay: -0.0879059 | az: -0.190552
ax: 0.4086 | ay: 0.302612 | az: -0.0461273
ax: 0.696899 | ay: 1.02267 | az: 0.00543213
ax: 0.646988 | ay: 0.856232 | az: 0.00382996
ax: 0.690811 | ay: 0.637299 | az: -0.0360718
ax: 0.620148 | ay: 0.518066 | az: -0.00520325
ax: 0.585464 | ay: 0.359177 | az: 0.0110168
ax: 0.500214 | ay: 0.303238 | az: 0.0369873
ax: 0.443878 | ay: 0.311447 | az: -0.0293732
ax: 0.282669 | ay: 0.326431 | az: -0.0291901
ax: 0.0126495 | ay: 0.193054 | az: -0.0366974
ax: -0.215454 | ay: 0.0765381 | az: 0.16066
ax: -0.528534 | ay: -0.248764 | az: 0.135834
ax: -0.847473 | ay: -0.570023 | az: 0.120575
ax: -1.08463 | ay: -0.94249 | az: 0.0940552
ax: -1.12318 | ay: -1.33398 | az: 0.0315552
ax: -1.12968 | ay: -1.59372 | az: -0.0103149
ax: -0.933411 | ay: -1.90753 | az: 0.24852
ax: -0.731491 | ay: -2.05307 | az: 0.876587
ax: -0.589127 | ay: -2.04126 | az: 0.925034
ax: -0.927292 | ay: -1.43971 | az: 0.11467
ax: 0.191025 | ay: -1.38884 | az: -0.0523529
ax: -0.182434 | ay: 1.32396 | az: 0.344376
ax: -0.549164 | ay: -0.0359955 | az: 0.310593
ax: -0.869003 | ay: -0.743439 | az: -0.016449
ax: -0.276779 | ay: -0.224091 | az: 0.108047
ax: -0.0513763 | ay: -0.663727 | az: -0.133987
ax: 0.0438538 | ay: -0.295761 | az: -0.0534821
ax: -0.0550995 | ay: -0.347427 | az: 0.109543
ax: -0.129242 | ay: -0.298737 | az: 0.140808
ax: -0.112976 | ay: -0.185959 | az: 0.212189
ax: -0.108505 | ay: -0.160965 | az: 0.0857849
ax: -0.0565643 | ay: -0.036911 | az: 0.0235596
ax: -0.0228119 | ay: -0.120285 | az: -0.0519867
ax: -0.0166473 | ay: -0.0571289 | az: 0.0474091
ax: -0.0249329 | ay: -0.0653076 | az: 0.0944977
ax: -0.0205536 | ay: -0.104858 | az: 0.0996094
ax: -0.0115204 | ay: -0.0866089 | az: 0.0764465
ax: -0.0195465 | ay: -0.0983276 | az: 0.0596313
time: 3
[20210811062725.860]
> sum ax: -11.223 | sum ay: -6.23297 | sum az: 1.64568
>> avg ax: -0.224461 | avg ay: -0.124659 | avg az: 0.0329135
>>> vx: -1.09986 | vy: -0.610831 | vz: 0.161276
>>> sx: -0.610816 | sy: 0.120135 | sz: -0.0557903
>>> a: 0.258855
>>> v: 1.26839
>>> s: 0.625013

ax: -0.020752 | ay: -0.0606384 | az: 0.0823364
ax: -0.0272675 | ay: -0.0973816 | az: 0.105911
ax: -0.0329437 | ay: -0.114609 | az: 0.111938
ax: -0.0534515 | ay: -0.0816956 | az: 0.122543
ax: -0.0425415 | ay: -0.0484467 | az: 0.111954
ax: -0.0604095 | ay: -0.0706635 | az: 0.082901
ax: -0.0865173 | ay: -0.0536499 | az: 0.0798187
ax: -0.137634 | ay: -0.0143738 | az: 0.104187
