>>> sx: 2.0332 | sy: -1.72374 | sz: -0.587916
>>> a: 0.366706
>>> v: 3.59372
>>> s: 2.72962

ax: 0.231476 | ay: -0.329117 | az: -0.169418
ax: 0.342117 | ay: -0.41243 | az: -0.0427094
ax: 0.498459 | ay: -0.497101 | az: 0.118103
ax: 0.646729 | ay: -0.551636 | az: 0.173935
ax: 0.77449 | ay: -0.646973 | az: 0.286133
ax: 0.874039 | ay: -0.861252 | az: -0.0784607
ax: 1.10889 | ay: -1.3224 | az: -0.387466
ax: 1.13547 | ay: -2.48528 | az: -0.751389
ax: 1.16992 | ay: -1.38324 | az: -0.119965
ax: 1.21704 | ay: -2.12267 | az: -0.960495
ax: 0.221603 | ay: -0.990158 | az: -0.792969
ax: 0.665497 | ay: -0.25943 | az: -0.328568
ax: 0.38623 | ay: -0.10463 | az: -0.00430298
ax: -0.447617 | ay: -0.928223 | az: 0.0897675
ax: -0.69838 | ay: -1.06888 | az: 0.0519409
ax: -0.6026 | ay: -0.879883 | az: 0.0449982
ax: -0.552475 | ay: -0.626541 | az: -0.000640869
ax: -0.505997 | ay: -0.468628 | az: 0.0825806
ax: -0.437729 | ay: -0.268143 | az: 0.156174
ax: -0.370514 | ay: -0.205002 | az: 0.164688
ax: -0.211533 | ay: -0.134888 | az: 0.166611
ax: -0.0292206 | ay: 0.0120392 | az: 0.171951
ax: 0.404266 | ay: 0.0958252 | az: 0.0189972
ax: 1.01108 | ay: 0.538452 | az: 0.100479
ax: 1.14265 | ay: 1.34682 | az: -0.245972
ax: 1.20993 | ay: 2.11864 | az: -0.254868
ax: 1.26068 | ay: 2.64244 | az: -0.616699
ax: 0.66423 | ay: 2.66736 | az: -0.514069
ax: 0.948975 | ay: 2.6479 | az: 0.331177
ax: 0.860428 | ay: 2.58409 | az: 0.0405884
ax: -0.297134 | ay: -1.48816 | az: -0.658783
ax: 0.774185 | ay: -0.789078 | az: 0.754395
ax: 1.12944 | ay: 2.45123 | az: 0.435516
ax: 0.464539 | ay: 0.746109 | az: 0.0155487
ax: 0.354477 | ay: 1.80193 | az: -0.0539398
ax: 0.106506 | ay: 0.418488 | az: -0.35788
ax: 0.340393 | ay: 0.592606 | az: 0.145676
ax: 0.0441589 | ay: 0.0488892 | az: -0.142776
ax: 0.0462799 | ay: -0.135559 | az: -0.0133057
ax: 0.00712585 | ay: -0.0480347 | az: -0.0251312
ax: 0.0255585 | ay: 0.0111847 | az: -0.0598602
ax: 0.034317 | ay: -0.0614624 | az: -0.0730896
ax: 0.0102081 | ay: 0.038559 | az: -0.240219
ax: -0.0102234 | ay: -0.0296326 | az: -0.0806732
ax: 0.0185852 | ay: -0.0403748 | az: -0.0844421
ax: 0.0405121 | ay: -0.200897 | az: -0.0559845
ax: -0.0206604 | ay: -0.190887 | az: -0.00791931
ax: -0.0244446 | ay: -0.25061 | az: -0.0142822
ax: 0.170334 | ay: -0.18782 | az: 0.0248566
ax: 0.32547 | ay: -0.119934 | az: 0.0771484
time: 3
[20201117140030.619]
> sum ax: 16.4578 | sum ay: 0.673615 | sum az: -3.68501
>> avg ax: 0.329155 | avg ay: 0.0134723 | avg az: -0.0737003
>>> vx: 3.22572 | vy: 0.132028 | vz: -0.722262
>>> sx: 1.98937 | sy: -1.11735 | sz: -0.492792
>>> a: 0.337574
>>> v: 3.30823
>>> s: 2.33429

ax: 0.485626 | ay: -0.311615 | az: -0.00541687
ax: 0.56076 | ay: -0.446136 | az: 0.0785065
ax: 0.628693 | ay: -0.53183 | az: 0.186462
ax: 0.775162 | ay: -0.677216 | az: 0.0175018
ax: 1.06036 | ay: -0.921921 | az: -0.085495
ax: 1.07716 | ay: -2.18954 | az: -0.471786
ax: 1.09654 | ay: -2.21611 | az: -0.53421
ax: 1.13132 | ay: -1.48827 | az: -0.930664
ax: 0.668869 | ay: -1.31587 | az: -1.14635
ax: 0.636902 | ay: -0.367615 | az: -0.6483
ax: -0.339737 | ay: 0.366226 | az: 0.109375
ax: -0.190552 | ay: -1.29181 | az: -0.156113
ax: -0.928467 | ay: -1.07007 | az: 0.146301
ax: -0.593933 | ay: -0.899933 | az: 0.190689
ax: -0.717255 | ay: -0.671768 | az: 0.0505371
ax: -0.526978 | ay: -0.34877 | az: 0.00120544
ax: -0.453812 | ay: -0.279709 | az: 0.0889893
ax: -0.334961 | ay: -0.239243 | az: 0.138718
ax: -0.135101 | ay: -0.159821 | az: 0.148788
ax: 0.154388 | ay: -0.0453033 | az: 0.193634
ax: 0.832245 | ay: 0.259552 | az: 0.0668793
ax: 1.13765 | ay: 0.71077 | az: 0.0698853
ax: 1.21268 | ay: 1.74614 | az: -0.320389
