ax: 1.23326 | ay: 2.30972 | az: 2.02791
ax: 1.15236 | ay: -0.424683 | az: -1.0031
ax: 1.17937 | ay: -0.976456 | az: -1.63004
ax: 1.20914 | ay: -0.863983 | az: -1.20621
ax: 0.889923 | ay: -0.644455 | az: -1.25058
ax: 0.63707 | ay: -0.461472 | az: -1.26233
ax: 0.300491 | ay: -0.560623 | az: -1.3441
ax: 1.30885 | ay: -0.270508 | az: -0.410431
ax: -0.209961 | ay: -0.145294 | az: -0.461197
ax: -0.253372 | ay: -0.590988 | az: -0.730209
ax: -0.652847 | ay: -0.665298 | az: -0.805817
ax: -0.798859 | ay: -0.729416 | az: -0.762177
ax: -0.67836 | ay: -0.596451 | az: -0.715942
ax: -0.660187 | ay: -0.485733 | az: -0.592056
ax: -0.54422 | ay: -0.38707 | az: -0.510284
ax: -0.498337 | ay: -0.355057 | az: -0.439865
ax: -0.423752 | ay: -0.272156 | az: -0.429169
ax: -0.355423 | ay: -0.283585 | az: -0.364624
ax: -0.167435 | ay: -0.179001 | az: -0.308075
ax: 0.104553 | ay: -0.0223846 | az: -0.280472
ax: 0.736618 | ay: 0.0695496 | az: -0.0104523
ax: 1.05942 | ay: 0.391846 | az: 0.546494
ax: 1.10301 | ay: 0.986145 | az: 0.899429
ax: 1.14458 | ay: 1.49246 | az: 1.53133
ax: 1.11415 | ay: 1.97844 | az: 1.57712
ax: 0.963974 | ay: 1.8224 | az: 2.35765
ax: 0.801849 | ay: 1.27768 | az: 1.92775
ax: 0.586502 | ay: -0.215164 | az: -0.23645
ax: -0.442551 | ay: -0.516968 | az: -1.42566
ax: 0.418274 | ay: -2.0168 | az: 0.368088
ax: 1.0889 | ay: 0.0293121 | az: 0.130417
ax: 0.488831 | ay: 0.293137 | az: 0.40889
ax: 0.309143 | ay: 0.740189 | az: 0.280441
ax: -0.0596161 | ay: 0.103012 | az: 0.0728302
ax: 0.0452576 | ay: 0.0577698 | az: -0.0338898
ax: -0.115082 | ay: -0.12796 | az: 0.0519257
ax: 0.100433 | ay: -0.19252 | az: 0.0712585
ax: 0.0650177 | ay: -0.236496 | az: -0.0736694
ax: -0.0191345 | ay: -0.284042 | az: -0.298416
ax: -0.0619049 | ay: 0.0144806 | az: -0.37709
ax: -0.038147 | ay: -0.174408 | az: -0.222565
ax: 0.0779266 | ay: -0.223145 | az: -0.0971069
ax: 0.0455475 | ay: -0.327316 | az: -0.107574
ax: 0.0435333 | ay: -0.22934 | az: -0.186447
ax: 0.00918579 | ay: -0.118103 | az: -0.157379
ax: 0.010788 | ay: -0.164352 | az: -0.124939
ax: 0.00283813 | ay: -0.226791 | az: -0.220551
ax: 0.0373535 | ay: -0.204025 | az: -0.14801
ax: 0.0977783 | ay: -0.146042 | az: -0.171707
ax: 0.149551 | ay: -0.1772 | az: -0.108551
time: 1
[20210209182623.568]
> sum ax: 12.5363 | sum ay: -2.92914 | sum az: -6.2556
>> avg ax: 0.250726 | avg ay: -0.0585828 | avg az: -0.125112
>>> vx: 2.45711 | vy: -0.574111 | vz: -1.2261
>>> sx: 1.6295 | sy: -0.418916 | sz: -1.22825
>>> a: 0.286266
>>> v: 2.80541
>>> s: 2.08311

ax: 0.322433 | ay: -0.283875 | az: -0.158646
ax: 0.426071 | ay: -0.300583 | az: -0.193939
ax: 0.513474 | ay: -0.472549 | az: -0.0657959
ax: 0.573822 | ay: -0.423691 | az: -0.189651
ax: 0.759857 | ay: -0.344223 | az: -0.359314
ax: 1.06779 | ay: -0.292343 | az: -0.64032
ax: 1.13136 | ay: -0.355286 | az: -1.29416
ax: 1.15523 | ay: -1.21452 | az: -1.82967
ax: 1.18687 | ay: -1.05576 | az: -0.683578
ax: 1.01741 | ay: -0.493958 | az: -1.32153
ax: 0.457169 | ay: -0.416824 | az: -1.59053
ax: -0.701172 | ay: -0.121185 | az: -0.532242
ax: -1.57259 | ay: 1.03995 | az: 0.531281
ax: 0.261703 | ay: -0.768768 | az: -0.503204
ax: -0.742096 | ay: -0.518723 | az: -0.872025
ax: -0.787979 | ay: -0.869324 | az: -0.801178
ax: -0.743896 | ay: -0.661804 | az: -0.719086
ax: -0.706039 | ay: -0.555557 | az: -0.570709
ax: -0.632614 | ay: -0.449295 | az: -0.500748
ax: -0.562408 | ay: -0.379639 | az: -0.46225
ax: -0.484985 | ay: -0.359665 | az: -0.404114
ax: -0.384262 | ay: -0.355835 | az: -0.324844
ax: -0.202759 | ay: -0.327438 | az: -0.229767
ax: 0.114685 | ay: -0.266861 | az: -0.140152
ax: 0.791275 | ay: 0.0821991 | az: 0.151962
ax: 1.0602 | ay: 0.213882 | az: 0.543671
ax: 1.10857 | ay: 0.889145 | az: 1.04166
ax: 1.15381 | ay: 1.52811 | az: 1.65732
ax: 1.17543 | ay: 2.15619 | az: 1.86653
ax: 0.974289 | ay: 2.01463 | az: 2.53268
ax: 0.812363 | ay: 1.11644 | az: 1.86328
ax: 0.000808716 | ay: -1.89404 | az: -1.54082
ax: 1.00179 | ay: 0.470001 | az: 0.713074
ax: 0.96521 | ay: 0.182449 | az: 0.273621
ax: 0.0782471 | ay: 0.335342 | az: 0.25322
ax: 0.209656 | ay: 0.484604 | az: 0.111404
ax: -0.0171814 | ay: 0.161667 | az: 0.142166
ax: 0.243439 | ay: 0.285904 | az: -0.103378
ax: -0.232376 | ay: -0.362 | az: -0.145782
ax: -0.0744019 | ay: -0.228897 | az: -0.0688019
ax: -0.0484772 | ay: -0.114639 | az: -0.190674
ax: 0.0146637 | ay: 0.00616455 | az: -0.186462
ax: -0.0488586 | ay: -0.113907 | az: -0.225601
ax: -0.0341034 | ay: -0.0956726 | az: -0.130173
ax: -1.52588e-05 | ay: -0.16922 | az: -0.13768
ax: 0.0375519 | ay: -0.190414 | az: -0.170624
ax: 0.0326233 | ay: -0.190796 | az: -0.203827
ax: 0.0464783 | ay: -0.175247 | az: -0.175476
ax: 0.0576019 | ay: -0.144714 | az: -0.146271
ax: 0.0828094 | ay: -0.108902 | az: -0.140961
time: 2
[20210209182624.842]
> sum ax: 10.8585 | sum ay: -4.10948 | sum az: -6.27211
>> avg ax: 0.217169 | avg ay: -0.0821896 | avg az: -0.125442
>>> vx: 2.12826 | vy: -0.805458 | vz: -1.22933
>>> sx: 1.31436 | sy: -0.940036 | sz: -1.35831
>>> a: 0.263919
>>> v: 2.58641
>>> s: 2.11097

ax: 0.133255 | ay: -0.144638 | az: -0.167175
ax: 0.162842 | ay: -0.168625 | az: -0.227661
ax: 0.151794 | ay: -0.23616 | az: -0.286453
ax: 0.282486 | ay: -0.269745 | az: -0.202179
ax: 0.456268 | ay: -0.230347 | az: -0.260712
ax: 0.598373 | ay: -0.486588 | az: -0.223541
ax: 0.638046 | ay: -0.530334 | az: -0.287384
ax: 0.917862 | ay: -0.332169 | az: -0.621323
ax: 1.11244 | ay: -0.351074 | az: -1.01332
ax: 1.13768 | ay: -1.07303 | az: -2.22182
ax: 1.16672 | ay: -1.3447 | az: -1.06688
ax: 1.19562 | ay: -0.409424 | az: -1.36148
ax: 0.552689 | ay: -0.382248 | az: -1.76176
ax: -0.686218 | ay: -0.191772 | az: -1.11392
ax: -1.56689 | ay: 1.52884 | az: 0.10408
ax: 0.218582 | ay: -0.918976 | az: -0.387253
ax: -0.637314 | ay: -0.345749 | az: -0.868805
ax: -0.901611 | ay: -0.721756 | az: -0.877365
ax: -0.877411 | ay: -0.758484 | az: -0.812027
ax: -0.757065 | ay: -0.500412 | az: -0.62056
ax: -0.734299 | ay: -0.373474 | az: -0.507599
ax: -0.610535 | ay: -0.30365 | az: -0.416519
ax: -0.512863 | ay: -0.295761 | az: -0.361328
ax: -0.38063 | ay: -0.328201 | az: -0.278595
ax: -0.188965 | ay: -0.331619 | az: -0.223022
ax: 0.3741 | ay: -0.0965118 | az: 0.0551758
ax: 0.921112 | ay: 0.107254 | az: 0.383118
ax: 1.07471 | ay: 0.301346 | az: 0.929428
ax: 1.12686 | ay: 1.00487 | az: 1.27921
ax: 1.16853 | ay: 2.03804 | az: 1.60559
ax: 1.18211 | ay: 2.23109 | az: 2.52687
ax: 0.804962 | ay: 1.78067 | az: 2.49846
ax: 0.552048 | ay: -0.189087 | az: 0.131989
ax: -0.0358582 | ay: -0.368027 | az: -1.55646
ax: 0.719376 | ay: -1.74998 | az: 0.615982
ax: 1.08656 | ay: 0.51265 | az: -0.00602722
ax: 0.293777 | ay: 0.338989 | az: 0.449539
ax: 0.293365 | ay: 0.886841 | az: 0.363297
ax: 0.0277557 | ay: 0.248077 | az: -0.0275421
ax: 0.108521 | ay: 0.290802 | az: -0.133469
ax: -0.191681 | ay: 0.0372314 | az: -0.113983
ax: 0.0259399 | ay: -0.131424 | az: -0.0564117
ax: 0.0416412 | ay: -0.149261 | az: -0.156906
ax: -0.0668945 | ay: -0.236404 | az: -0.146454
ax: -0.0219269 | ay: 0.0136566 | az: -0.19838
ax: -0.0926208 | ay: -0.0330963 | az: -0.143051
ax: -0.0361633 | ay: -0.031723 | az: -0.100143
ax: 0.0275574 | ay: -0.200439 | az: -0.0761108
ax: 0.0382233 | ay: -0.193542 | az: -0.124741
ax: 0.0247345 | ay: -0.160065 | az: -0.172607
time: 3
[20210209182625.525]
> sum ax: 10.3176 | sum ay: -3.24814 | sum az: -8.23824
>> avg ax: 0.206352 | avg ay: -0.0649628 | avg az: -0.164765
>>> vx: 2.02225 | vy: -0.636635 | vz: -1.61469
>>> sx: 1.17831 | sy: -0.862705 | sz: -1.67071
>>> a: 0.271935
>>> v: 2.66496
>>> s: 2.219

ax: 0.0114899 | ay: -0.182983 | az: -0.156799
ax: 0.0249786 | ay: -0.186813 | az: -0.153076
ax: 0.156662 | ay: -0.0612946 | az: -0.246933
ax: 0.1987 | ay: -0.141708 | az: -0.148041
ax: 0.221939 | ay: -0.350311 | az: -0.106827
ax: 0.327026 | ay: -0.207291 | az: -0.307968
ax: 0.439896 | ay: -0.239532 | az: -0.198883
ax: 0.489243 | ay: -0.355682 | az: -0.166428
ax: 0.578354 | ay: -0.32608 | az: -0.303497
ax: 0.905792 | ay: -0.211746 | az: -0.457718
ax: 1.10985 | ay: -0.435654 | az: -1.40073
ax: 1.13506 | ay: -0.929886 | az: -1.59453
ax: 1.16472 | ay: -1.64183 | az: -0.916672
ax: 1.19951 | ay: -0.875793 | az: -1.22884
ax: 0.499023 | ay: -0.396469 | az: -1.11989
ax: -0.393707 | ay: -0.570404 | az: -1.25713
ax: -1.78282 | ay: 1.46338 | az: 0.033905
ax: 0.449814 | ay: -0.638107 | az: -0.66893
ax: -0.744354 | ay: -0.279663 | az: -0.971634
ax: -0.826233 | ay: -0.658295 | az: -0.779968
ax: -0.795959 | ay: -0.556076 | az: -0.791824
ax: -0.723358 | ay: -0.378769 | az: -0.668259
ax: -0.678558 | ay: -0.277206 | az: -0.539551
ax: -0.557022 | ay: -0.239426 | az: -0.454544
ax: -0.426407 | ay: -0.191711 | az: -0.380737
ax: -0.292374 | ay: -0.161346 | az: -0.322556
ax: -0.0773163 | ay: -0.163559 | az: -0.24292
ax: 0.44809 | ay: 0.028656 | az: -0.0667419
ax: 1.04909 | ay: 0.238007 | az: 0.470215
ax: 1.08389 | ay: 0.561401 | az: 0.907669
ax: 1.13625 | ay: 0.978912 | az: 1.24019
ax: 1.17372 | ay: 1.80127 | az: 1.64836
ax: 1.18338 | ay: 2.21251 | az: 2.53656
ax: 0.858078 | ay: 1.86496 | az: 2.25771
ax: 0.746338 | ay: 0.410263 | az: 0.069519
ax: -0.508896 | ay: -1.22995 | az: -1.53632
ax: 0.32132 | ay: -1.21326 | az: -0.0355377
ax: 1.082 | ay: 0.176056 | az: 0.0612183
ax: 0.738464 | ay: 0.865601 | az: 0.550568
ax: 0.279572 | ay: 0.803772 | az: 0.256134
ax: -0.0756226 | ay: 0.223846 | az: -0.0391083
ax: 0.114761 | ay: 0.252945 | az: 0.0124817
ax: -0.023468 | ay: 0.0371399 | az: -0.131729
ax: -0.0525055 | ay: -0.272888 | az: -0.0396423
ax: 0.0193481 | ay: -0.228348 | az: -0.072052
ax: -0.0517426 | ay: -0.0762787 | az: -0.222305
ax: -0.00801086 | ay: 0.0558319 | az: -0.331909
ax: -0.0538788 | ay: -0.0912781 | az: -0.217773
ax: -0.0322418 | ay: -0.0872803 | az: -0.102142
ax: 0.00299072 | ay: -0.207428 | az: -0.142517
time: 4
[20210209182626.522]
> sum ax: 11.0449 | sum ay: -2.0898 | sum az: -8.47812
>> avg ax: 0.220897 | avg ay: -0.041796 | avg az: -0.169562
>>> vx: 2.16479 | vy: -0.4096 | vz: -1.66171
>>> sx: 1.19064 | sy: -0.79731 | sz: -1.58108
>>> a: 0.281592
>>> v: 2.7596
>>> s: 2.1338

ax: 0.0462036 | ay: -0.159332 | az: -0.164978
ax: 0.0106049 | ay: -0.127365 | az: -0.148209
ax: 0.0363159 | ay: -0.138474 | az: -0.113403
ax: 0.0396271 | ay: -0.148056 | az: -0.171814
ax: 0.13237 | ay: -0.150742 | az: -0.121475
ax: 0.215347 | ay: -0.00863647 | az: -0.152161
ax: 0.270615 | ay: -0.282349 | az: -0.0809021
ax: 0.312561 | ay: -0.366974 | az: -0.137177
ax: 0.473007 | ay: -0.252014 | az: -0.310516
ax: 0.640503 | ay: -0.408157 | az: -0.262299
ax: 0.719925 | ay: -0.528961 | az: -0.304169
ax: 0.994354 | ay: -0.401611 | az: -0.618774
ax: 1.11374 | ay: -0.392471 | az: -1.10986
ax: 1.13913 | ay: -1.14485 | az: -2.24101
ax: 1.16844 | ay: -1.16031 | az: -0.811157
ax: 0.970947 | ay: -0.407898 | az: -1.6913
ax: 0.408081 | ay: -0.430374 | az: -1.97472
ax: -0.678375 | ay: 0.253998 | az: -0.211197
ax: -2.36089 | ay: 0.853638 | az: 0.792343
ax: 0.344193 | ay: -0.964828 | az: -0.763519
ax: -0.859329 | ay: -0.251953 | az: -0.985626
ax: -0.828232 | ay: -0.749542 | az: -0.847137
ax: -0.830231 | ay: -0.599243 | az: -0.767822
ax: -0.759323 | ay: -0.385437 | az: -0.623032
ax: -0.7108 | ay: -0.253067 | az: -0.566116
ax: -0.596512 | ay: -0.163025 | az: -0.479279
ax: -0.467529 | ay: -0.159805 | az: -0.387344
ax: -0.329117 | ay: -0.15184 | az: -0.311157
ax: -0.0324554 | ay: -0.112488 | az: -0.211823
ax: 0.554245 | ay: 0.206848 | az: 0.0270844
ax: 1.05077 | ay: 0.467316 | az: 0.515793
ax: 1.10121 | ay: 1.0148 | az: 0.775314
ax: 1.15562 | ay: 1.75282 | az: 1.43182
ax: 1.18808 | ay: 2.1924 | az: 1.71912
