ax: 0.394119 | ay: 0.347229 | az: 0.0496063
ax: 0.393143 | ay: 0.807343 | az: -0.571381
ax: -0.476791 | ay: -0.827621 | az: 0.556229
ax: -0.269623 | ay: -1.00613 | az: 0.318832
ax: -0.177231 | ay: -1.32417 | az: 0.381973
ax: -0.289154 | ay: -0.997635 | az: 0.52092
ax: -0.289429 | ay: -0.586166 | az: 0.493423
ax: -0.276413 | ay: -0.261246 | az: 0.375809
ax: -0.151062 | ay: -0.174133 | az: 0.299438
ax: -0.00880432 | ay: -0.0724182 | az: 0.200882
ax: 0.12236 | ay: -0.00785828 | az: -0.020401
ax: 0.237259 | ay: 0.17894 | az: -0.151871
ax: 0.2883 | ay: 0.398117 | az: -0.123795
ax: 0.31842 | ay: 0.635315 | az: -0.0467987
ax: 0.295395 | ay: 0.976959 | az: 0.0506744
ax: 0.130768 | ay: 1.21883 | az: -0.00723267
ax: 0.103897 | ay: 1.09581 | az: -0.142807
ax: 0.0927887 | ay: 0.922516 | az: 0.0897217
ax: 0.0871887 | ay: 0.765991 | az: 0.0619659
ax: 0.112839 | ay: 0.460297 | az: -0.0742645
ax: 0.151138 | ay: 0.537048 | az: 0.123077
ax: 0.194504 | ay: -0.324692 | az: -0.0774689
ax: 0.112106 | ay: -1.8653 | az: -0.513535
ax: -0.0310974 | ay: -0.350937 | az: 0.379913
ax: 0.0786285 | ay: 0.536194 | az: 0.785126
ax: 0.261765 | ay: -0.0670319 | az: 0.386703
ax: 0.199585 | ay: 0.67218 | az: -0.552917
ax: 0.516541 | ay: 0.139267 | az: -0.550079
ax: 0.18869 | ay: 0.314148 | az: 0.0990753
ax: 0.194717 | ay: 0.453232 | az: 0.0968018
ax: -0.0461731 | ay: -0.193832 | az: 0.015152
ax: -0.00808716 | ay: -0.416656 | az: -0.163208
ax: -0.0519562 | ay: -0.357468 | az: -0.150864
ax: -0.0303345 | ay: -0.222 | az: -0.177551
ax: 0.00123596 | ay: -0.0447845 | az: -0.129791
ax: -0.0118866 | ay: -0.0896912 | az: -0.120468
ax: 0.0311127 | ay: -0.170227 | az: 0.0408173
ax: 0.0534668 | ay: -0.187851 | az: 0.0244446
ax: 0.0294495 | ay: -0.151459 | az: 0.00448608
ax: -0.00697327 | ay: -0.095108 | az: -0.0961914
ax: 0.0163574 | ay: -0.133026 | az: -0.151337
ax: 0.0244598 | ay: -0.123093 | az: -0.092804
ax: 0.0193329 | ay: -0.134415 | az: -0.0146332
ax: 0.0382996 | ay: -0.0577393 | az: -0.103073
ax: 0.0522461 | ay: 0.00694275 | az: -0.0644684
ax: 0.129791 | ay: 0.00679016 | az: -0.160233
ax: 0.191864 | ay: -0.0778656 | az: -0.162949
ax: 0.28537 | ay: -0.116455 | az: -0.254395
ax: 0.432159 | ay: -0.131165 | az: -0.343338
ax: 0.747589 | ay: -0.566238 | az: 0.0569611
1: [20200927215200.264]
> sum ax: 4.40187 | sum ay: -0.66127 | sum az: 0.39418
>> avg ax: 0.0880374 | avg ay: -0.0132254 | avg az: 0.00788361
>>> vx: 0.862767 | vy: -0.129609 | vz: 0.0772594
>>> sx: 0.257142 | sy: 0.00918127 | sz: 0.348056
>>> a: 0.0893736
>>> v: 0.875862
>>> s: 0.432839

ax: 0.909241 | ay: -0.69516 | az: 0.0713348
ax: 0.995087 | ay: -0.737228 | az: -0.472504
ax: 1.08699 | ay: -0.777344 | az: -1.11885
ax: 1.11255 | ay: -0.480637 | az: -1.27675
ax: 1.14415 | ay: -1.0192 | az: -1.65359
ax: 1.16519 | ay: -0.777039 | az: -0.898804
ax: 0.853485 | ay: -0.959763 | az: -0.912735
ax: -0.158768 | ay: -0.286942 | az: -0.573563
ax: -0.528946 | ay: -0.426117 | az: -0.2966
ax: -0.112167 | ay: -0.956161 | az: -0.602081
ax: -0.608185 | ay: -0.835419 | az: -0.690125
ax: -0.706802 | ay: -0.457001 | az: -0.3797
ax: -0.438843 | ay: -0.691574 | az: -0.151047
ax: -0.37944 | ay: -0.78302 | az: 0.186905
ax: -0.274689 | ay: -0.804001 | az: 0.392456
ax: -0.194458 | ay: -0.831421 | az: 0.432434
ax: -0.0687561 | ay: -0.685333 | az: 0.417603
ax: 0.115936 | ay: -0.571686 | az: 0.376587
ax: 0.289352 | ay: -0.269775 | az: 0.471313
ax: 0.623108 | ay: -0.236359 | az: 0.513077
ax: 1.08203 | ay: 0.135239 | az: 0.639816
ax: 1.13663 | ay: 0.950516 | az: 0.812592
ax: 1.19278 | ay: 1.72484 | az: 0.714691
ax: 1.00987 | ay: 2.53708 | az: 0.364807
ax: 0.63829 | ay: 2.55772 | az: 1.5289
ax: 0.676834 | ay: 2.53897 | az: 1.15981
ax: 1.19992 | ay: 2.09723 | az: 0.449646
ax: 0.633514 | ay: -1.56415 | az: -1.69139
ax: 0.69339 | ay: 0.663269 | az: 0.57991
ax: 1.07788 | ay: 0.74295 | az: 1.03255
ax: 0.0690308 | ay: 1.29597 | az: 0.0251465
ax: 0.0104218 | ay: 0.35408 | az: 0.439255
ax: 0.0178528 | ay: 0.517975 | az: 0.0687866
ax: 0.138794 | ay: 0.266922 | az: 0.0233459
ax: 0.17897 | ay: 0.319382 | az: 0.00946045
ax: -0.0706635 | ay: 0.0306854 | az: -0.111252
ax: -0.0312195 | ay: -0.0166168 | az: -0.0798492
ax: -0.0167694 | ay: 0.0680237 | az: -0.121857
ax: -0.0571747 | ay: -0.0124207 | az: -0.142014
ax: -0.00863647 | ay: -0.0328217 | az: -0.0658722
ax: -0.00892639 | ay: -0.0254517 | az: -0.157959
ax: -0.004776 | ay: -0.0101471 | az: -0.296539
ax: -0.0395355 | ay: 0.000900269 | az: -0.203262
ax: -0.045105 | ay: 0.0164337 | az: -0.190689
ax: -0.00515747 | ay: -0.130768 | az: -0.171265
ax: 0.0954895 | ay: -0.255264 | az: -0.127914
ax: 0.218765 | ay: -0.151672 | az: -0.00172424
ax: 0.251465 | ay: -0.0305023 | az: -0.00180054
ax: 0.36618 | ay: -0.170044 | az: -0.177826
ax: 0.627106 | ay: -0.307846 | az: -0.205658
2: [20200927215201.268]
> sum ax: 15.8513 | sum ay: 0.829315 | sum az: -2.06281
>> avg ax: 0.317026 | avg ay: 0.0165863 | avg az: -0.0412561
>>> vx: 3.10685 | vy: 0.162546 | vz: -0.40431
>>> sx: 1.90741 | sy: -0.68768 | sz: -0.643085
>>> a: 0.320129
>>> v: 3.13726
>>> s: 2.12713

ax: 0.832047 | ay: -0.586884 | az: -0.0259247
ax: 0.952362 | ay: -0.61377 | az: -0.228745
ax: 1.04988 | ay: -0.585205 | az: -0.7276
ax: 1.07072 | ay: -0.792984 | az: -1.09549
ax: 1.09602 | ay: -1.38765 | az: -1.84148
ax: 1.12671 | ay: -0.881592 | az: -0.887802
ax: 1.16617 | ay: -1.34885 | az: -1.71529
ax: -0.118958 | ay: -0.472076 | az: -1.26822
ax: -0.328354 | ay: 1.44803 | az: -0.472168
ax: 0.21637 | ay: -0.685272 | az: -0.651901
ax: -0.50473 | ay: -1.07631 | az: -0.600525
ax: -0.642395 | ay: -0.63443 | az: -0.481018
ax: -0.727203 | ay: -0.317001 | az: -0.468948
ax: -0.640198 | ay: -0.507935 | az: -0.302933
ax: -0.617752 | ay: -0.384979 | az: -0.261063
ax: -0.568222 | ay: -0.31749 | az: -0.153275
ax: -0.433487 | ay: -0.134476 | az: -0.0927124
ax: -0.377014 | ay: -0.0406952 | az: -0.0478058
ax: -0.145508 | ay: 0.0108032 | az: -0.0487823
ax: 0.317627 | ay: 0.184219 | az: 0.00352478
ax: 0.974106 | ay: 0.64682 | az: 0.0642548
ax: 1.15526 | ay: 1.73882 | az: 0.347549
ax: 1.22995 | ay: 2.28139 | az: 0.421692
ax: 1.2822 | ay: 2.53093 | az: 0.88858
ax: 1.05757 | ay: 2.52644 | az: 1.61113
ax: 0.849548 | ay: 2.48854 | az: 2.06064
ax: 1.2309 | ay: 1.84273 | az: 0.639725
ax: 0.42807 | ay: -1.60703 | az: -1.55356
ax: 0.776001 | ay: 0.343353 | az: 1.82127
ax: 1.10754 | ay: 1.77568 | az: 0.579041
ax: 0.288361 | ay: 2.23903 | az: -0.159256
ax: 0.031311 | ay: 0.342545 | az: 1.20125
ax: -0.114609 | ay: 1.06114 | az: -0.0764771
ax: -0.0228882 | ay: 0.0651093 | az: 0.155777
ax: 0.122192 | ay: -0.127029 | az: 0.0590363
ax: -0.0514526 | ay: 0.155014 | az: 0.095932
ax: -0.0415497 | ay: 0.172333 | az: -0.0204163
ax: -0.0175323 | ay: 0.0699921 | az: 0.0380554
ax: -0.00595093 | ay: 0.305588 | az: -0.28479
ax: 0.0156555 | ay: -0.0164185 | az: 0.00302124
ax: 0.0458221 | ay: -0.0176697 | az: 0.0197296
ax: 0.0757904 | ay: -0.0192261 | az: 0.0254211
ax: 0.0503235 | ay: 0.0727234 | az: -0.138016
ax: 0.170212 | ay: -0.0620575 | az: -0.123505
ax: 0.239532 | ay: -0.136246 | az: -0.085083
ax: 0.290878 | ay: -0.331604 | az: 0.0703583
ax: 0.536804 | ay: -0.432785 | az: -0.0790558
ax: 0.737839 | ay: -0.311584 | az: -0.309143
ax: 0.867996 | ay: -0.494034 | az: -0.339478
ax: 1.0369 | ay: -0.672714 | az: -0.611816
3: [20200927215202.268]
> sum ax: 17.0709 | sum ay: 7.30524 | sum az: -5.04628
>> avg ax: 0.341417 | avg ay: 0.146105 | avg az: -0.100926
>>> vx: 3.34589 | vy: 1.43183 | vz: -0.98907
>>> sx: 1.75648 | sy: 0.215486 | sz: -1.19149
>>> a: 0.384835
>>> v: 3.77139
>>> s: 2.13338

ax: 1.04689 | ay: -0.708557 | az: -0.847229
ax: 1.06844 | ay: -1.66475 | az: -1.93469
ax: 1.09528 | ay: -1.06442 | az: -0.822525
ax: 1.02173 | ay: -1.62941 | az: -1.72124
ax: -0.0790863 | ay: -0.0653229 | az: -1.43739
ax: -1.28003 | ay: 1.46854 | az: -0.481476
ax: 0.18457 | ay: -0.880539 | az: -0.56189
ax: -0.749863 | ay: -0.962463 | az: -0.639038
ax: -0.718994 | ay: -0.610428 | az: -0.404388
ax: -0.732941 | ay: -0.367844 | az: -0.344559
ax: -0.63945 | ay: -0.352493 | az: -0.215164
ax: -0.571335 | ay: -0.205307 | az: -0.111526
