steps: 0
ax: 0.25032 | ay: 0.118088 | az: -0.0821991
ax: 0.25032 | ay: 0.118088 | az: -0.0821991
ax: -0.0565033 | ay: -0.268936 | az: -0.0691223
ax: -0.0475464 | ay: -0.146301 | az: 0.181183
ax: -0.0709534 | ay: -0.115936 | az: 0.256775
ax: -0.0593262 | ay: -0.222656 | az: 0.162094
ax: -0.0353394 | ay: -0.262482 | az: 0.0388184
ax: -0.0147858 | ay: -0.192581 | az: 0.068512
ax: -0.0332642 | ay: -0.156464 | az: 0.17038
ax: -0.0565796 | ay: -0.188599 | az: 0.149704
ax: -0.0515137 | ay: -0.156662 | az: 0.112335
ax: -0.0419312 | ay: -0.161133 | az: 0.091629
ax: -0.0227203 | ay: -0.176956 | az: 0.116211
ax: -0.0271454 | ay: -0.165741 | az: 0.126038
ax: -0.0644836 | ay: -0.150604 | az: 0.105713
ax: -0.100632 | ay: -0.11441 | az: 0.120941
ax: -0.099411 | ay: -0.128693 | az: 0.110107
ax: -0.123489 | ay: -0.0681458 | az: 0.106216
ax: -0.120041 | ay: -0.0510864 | az: 0.119934
ax: -0.255356 | ay: -0.0371399 | az: 0.161652
ax: -0.263824 | ay: -0.0305939 | az: 0.122482
ax: -0.372681 | ay: -0.0478821 | az: -0.00804138
ax: -0.502518 | ay: -0.0125122 | az: 0.0197754
ax: -0.699951 | ay: 0.0812378 | az: -0.0484009
ax: -0.914185 | ay: 0.387863 | az: -0.275787
ax: -1.05498 | ay: 0.728622 | az: -0.643433
ax: -0.923264 | ay: 0.811829 | az: -0.410934
ax: -1.0374 | ay: 0.667328 | az: -0.259079
ax: -0.504593 | ay: 0.325607 | az: -0.252304
ax: 0.140732 | ay: 0.444443 | az: -0.461273
ax: 0.956299 | ay: -0.281174 | az: -0.150726
ax: 0.320389 | ay: -0.345947 | az: -0.00447083
ax: 0.549118 | ay: 0.485352 | az: -0.00994873
ax: 0.835159 | ay: 0.823456 | az: -0.105377
ax: 0.771118 | ay: 0.763214 | az: -0.0858154
ax: 0.689331 | ay: 0.629883 | az: 0.011261
ax: 0.635742 | ay: 0.455475 | az: 0.0178986
ax: 0.591965 | ay: 0.332458 | az: 0.022934
ax: 0.506805 | ay: 0.257187 | az: 0.0218964
ax: 0.412659 | ay: 0.205185 | az: 0.055191
ax: 0.258148 | ay: 0.174896 | az: 0.023056
ax: 0.0288696 | ay: 0.082428 | az: 0.141785
ax: -0.238052 | ay: -0.114532 | az: 0.189667
ax: -0.554611 | ay: -0.342514 | az: 0.115463
ax: -0.900574 | ay: -0.615829 | az: 0.171844
ax: -1.11296 | ay: -1.11751 | az: 0.103699
ax: -1.15707 | ay: -1.43738 | az: -0.0623779
ax: -1.13521 | ay: -1.59467 | az: -0.052063
ax: -0.95961 | ay: -1.90285 | az: 0.260864
ax: -0.855728 | ay: -2.45689 | az: 0.859329
time: 1
[20210811063822.141]
> sum ax: -7.27126 | sum ay: -5.17216 | sum az: 1.27184
>> avg ax: -0.145425 | avg ay: -0.103443 | avg az: 0.0254367
>>> vx: -0.712583 | vy: -0.506872 | vz: 0.12464
>>> sx: -0.204149 | sy: -0.00258899 | sz: 0.0495318
>>> a: 0.180266
>>> v: 0.883306
>>> s: 0.210088

ax: -0.517349 | ay: -1.51193 | az: 0.638641
ax: -0.493042 | ay: -1.33829 | az: 0.555252
ax: -0.115631 | ay: -0.257034 | az: 0.718231
ax: -0.429871 | ay: 1.38911 | az: 0.562363
ax: -0.73793 | ay: -1.05171 | az: 0.307617
ax: -0.435532 | ay: -0.63797 | az: -0.0517578
ax: -0.314072 | ay: -0.369354 | az: -0.117569
