>>> vx: -1.15437 | vy: 1.45774 | vz: -0.0956732
>>> sx: -1.0662 | sy: -0.307458 | sz: 0.161582
>>> a: 0.189991
>>> v: 1.86191
>>> s: 1.12134

ax: -0.481949 | ay: 0.184448 | az: 0.193741
ax: -1.01402 | ay: -0.503372 | az: 0.0240936
ax: -1.10008 | ay: -1.56059 | az: -0.0357819
ax: -1.14409 | ay: -1.65881 | az: 0.254059
ax: -1.18544 | ay: -2.17584 | az: -0.0300751
ax: -0.912796 | ay: -2.23108 | az: 0.112991
ax: -0.670639 | ay: -2.33841 | az: 0.406586
ax: -0.371277 | ay: -1.87654 | az: 0.268478
ax: -0.480621 | ay: -1.52196 | az: 0.132202
ax: -0.292709 | ay: -0.534546 | az: 0.341309
ax: -0.109131 | ay: 1.5838 | az: -0.0960693
ax: -0.495331 | ay: 0.0383301 | az: 0.723022
ax: -0.655396 | ay: -0.818695 | az: 0.223251
ax: -0.282089 | ay: -0.128906 | az: 0.265732
ax: 0.0191803 | ay: -0.274597 | az: -0.288025
ax: -0.0848846 | ay: -0.212463 | az: -0.362717
ax: -0.117996 | ay: -0.341492 | az: -0.146057
ax: -0.10463 | ay: -0.385223 | az: 0.0184174
ax: -0.173721 | ay: -0.220474 | az: 0.120697
ax: -0.0586243 | ay: -0.0758362 | az: -0.000411987
ax: -0.0552673 | ay: 0.0309906 | az: -0.0289459
ax: 0.00775146 | ay: -0.0169983 | az: -0.0198822
ax: 0.018219 | ay: 0.00192261 | az: -0.0890045
ax: 0.0159912 | ay: -0.0237427 | az: -0.0940247
ax: 0.0435944 | ay: 0.056427 | az: 0.0112457
ax: 0.00289917 | ay: 0.00100708 | az: 0.105896
ax: -0.0300446 | ay: -0.0364075 | az: 0.0866394
ax: 0.000274658 | ay: -0.0108337 | az: 0.0197449
ax: -0.00146484 | ay: 0.0420685 | az: -0.0320587
ax: -0.0175781 | ay: 0.0195465 | az: 0.00236511
ax: -0.0557861 | ay: -0.00102234 | az: 0.0173798
ax: -0.0409393 | ay: 0.0119934 | az: 0.0218658
ax: -0.0606537 | ay: 0.037796 | az: -0.0027771
ax: -0.063446 | ay: 0.0687866 | az: -0.0555267
ax: -0.0595703 | ay: 0.0449066 | az: -0.0304871
ax: -0.138458 | ay: 0.137268 | az: -0.0807953
ax: -0.255264 | ay: 0.215378 | az: 0.0817413
ax: -0.351395 | ay: 0.214539 | az: 0.126633
ax: -0.390793 | ay: 0.15094 | az: 0.0978088
ax: -0.558777 | ay: 0.236267 | az: -0.0927124
ax: -0.987183 | ay: 0.319016 | az: -0.239761
ax: -1.08412 | ay: 0.587723 | az: -0.466843
ax: -1.10226 | ay: 1.29973 | az: -0.483444
ax: -1.12196 | ay: 1.21892 | az: 0.264496
ax: -0.744553 | ay: 1.4557 | az: -0.249802
ax: -0.189743 | ay: 0.236801 | az: -0.654373
ax: 0.468552 | ay: 0.329071 | az: -0.411285
ax: 0.103867 | ay: -0.536041 | az: -0.427551
ax: 0.410141 | ay: 0.417389 | az: 0.11731
ax: 0.618988 | ay: 1.17189 | az: 0.323883
time: 3
[20201201132629.517]
> sum ax: -15.3352 | sum ay: -7.37123 | sum az: -0.0568237
>> avg ax: -0.306705 | avg ay: -0.147425 | avg az: -0.00113647
>>> vx: -3.00571 | vy: -1.44476 | vz: -0.0111374
>>> sx: -1.93781 | sy: -2.37027 | sz: 0.299767
>>> a: 0.340299
>>> v: 3.33493
>>> s: 3.07622

ax: 0.836121 | ay: 1.20978 | az: 0.164078
ax: 0.785858 | ay: 0.810608 | az: 0.00408936
ax: 0.722702 | ay: 0.528793 | az: -0.0010376
ax: 0.635834 | ay: 0.355759 | az: 0.133072
ax: 0.582733 | ay: 0.309906 | az: 0.185364
ax: 0.514954 | ay: 0.364502 | az: 0.0374756
ax: 0.215851 | ay: 0.339157 | az: -0.0362701
ax: -0.110825 | ay: 0.169678 | az: 0.149368
ax: -0.519348 | ay: -0.155136 | az: 0.149765
ax: -1.05525 | ay: -0.916367 | az: -0.0710144
ax: -1.09377 | ay: -1.23958 | az: -0.0149689
ax: -1.13742 | ay: -1.59065 | az: -0.0565948
ax: -1.1767 | ay: -1.98813 | az: -0.247849
ax: -0.883499 | ay: -2.5511 | az: -0.117493
ax: -0.44722 | ay: -2.54543 | az: 0.271576
ax: -0.788315 | ay: -1.74556 | az: -0.353851
ax: -0.251099 | ay: -0.888962 | az: -0.0015564
ax: 0.112747 | ay: 1.57268 | az: -0.134995
ax: -0.782547 | ay: -0.960464 | az: 0.904221
ax: -0.586273 | ay: -0.416214 | az: -0.112106
ax: -0.365601 | ay: -0.373657 | az: 0.143936
ax: -0.1138 | ay: -0.394791 | az: -0.353989
ax: -0.0175171 | ay: -0.335312 | az: -0.0671692
ax: -0.0693512 | ay: -0.235703 | az: 0.0344543
ax: -0.122452 | ay: -0.245605 | az: -0.0395203
ax: -0.125381 | ay: -0.0596466 | az: 0.0847015
ax: -0.072113 | ay: -0.0151215 | az: 0.0619507
ax: -0.032608 | ay: -0.020813 | az: -0.0554047
ax: 0.014328 | ay: -0.00233459 | az: -0.0502777
ax: -1.52588e-05 | ay: -0.00819397 | az: -0.06427
ax: 0.0214539 | ay: 0.000686646 | az: -0.0274658
ax: 0.0225525 | ay: 0.018158 | az: 0.0289459
ax: -0.000732422 | ay: -0.00161743 | az: 0.0817261
ax: -0.0170593 | ay: 0.0371399 | az: 0.0634918
ax: -0.00128174 | ay: -0.00694275 | az: -0.0020752
ax: 0.00408936 | ay: 0.0618591 | az: 0.0229034
ax: -0.0442657 | ay: 0.0218811 | az: 0.025116
ax: -0.0382996 | ay: -0.018631 | az: 0.0334778
ax: -0.0704498 | ay: -0.0201874 | az: 0.00128174
ax: -0.0830231 | ay: -0.0124969 | az: 0.00582886
ax: -0.107773 | ay: 0.114517 | az: 0.0378113
ax: -0.186081 | ay: 0.167633 | az: -0.031189
ax: -0.285858 | ay: 0.146362 | az: 0.050705
ax: -0.413162 | ay: 0.104889 | az: 0.165955
ax: -0.428909 | ay: 0.238525 | az: 0.167542
ax: -0.482132 | ay: 0.25914 | az: -0.0634918
ax: -0.685013 | ay: 0.246246 | az: -0.209503
ax: -1.08032 | ay: 0.408844 | az: -0.370148
ax: -1.09573 | ay: 1.18094 | az: -0.587433
ax: -1.11157 | ay: 1.5952 | az: 0.187851
time: 4
[20201201132630.520]
> sum ax: -11.4135 | sum ay: -6.48576 | sum az: 0.127014
>> avg ax: -0.228271 | avg ay: -0.129715 | avg az: 0.00254028
>>> vx: -2.23705 | vy: -1.27121 | vz: 0.0248948
>>> sx: -0.675471 | sy: -1.32334 | sz: 0.117183
