ax: 0.545044 | ay: -0.887314 | az: -0.492523
ax: 0.545044 | ay: -0.887314 | az: -0.492523
ax: 0.93541 | ay: 2.42271 | az: 0.885513
ax: 1.17221 | ay: 2.41327 | az: 1.09134
ax: 0.805023 | ay: 0.772736 | az: 0.0982819
ax: 0.0839386 | ay: -1.65068 | az: 1.21916
ax: 0.915985 | ay: 0.720871 | az: 0.968719
ax: 0.663254 | ay: 0.567047 | az: 0.00714111
ax: 0.500046 | ay: 1.11035 | az: -0.123093
ax: 0.329163 | ay: 0.429611 | az: 0.0631714
ax: -0.0478821 | ay: 0.485733 | az: 0.0562897
ax: 0.108292 | ay: 0.353745 | az: 0.0462952
ax: -0.011673 | ay: 0.0828705 | az: -0.190674
ax: -0.0559692 | ay: -0.0650024 | az: -0.094574
ax: 0.0705872 | ay: -0.130188 | az: -0.0712891
ax: 0.00961304 | ay: -0.0237274 | az: -0.169006
ax: -0.0376892 | ay: -0.0931854 | az: -0.213776
ax: -0.0453949 | ay: -0.0755768 | az: -0.306
ax: -0.0513916 | ay: -0.0683594 | az: -0.25209
ax: -0.0188141 | ay: -0.190628 | az: -0.124054
ax: 0.0324554 | ay: -0.188354 | az: 0.0465698
ax: 0.0189972 | ay: -0.0228119 | az: 0.0657501
ax: -0.0105591 | ay: 0.0270691 | az: -0.0619354
ax: -0.0161133 | ay: 0.0250702 | az: -0.122574
ax: 0.0238647 | ay: -0.0490875 | az: -0.133041
ax: 0.0815277 | ay: -0.0802155 | az: -0.0774536
ax: 0.195038 | ay: -0.136902 | az: -0.0486908
ax: 0.204666 | ay: -0.162048 | az: -0.133377
ax: 0.314499 | ay: -0.08815 | az: -0.264023
ax: 0.557983 | ay: -0.354858 | az: -0.0459137
ax: 0.639389 | ay: -0.435059 | az: 0.0323639
ax: 0.914062 | ay: -0.450729 | az: -0.358047
ax: 1.06288 | ay: -0.305115 | az: -0.869568
ax: 1.08426 | ay: -0.950089 | az: -2.0295
ax: 1.10727 | ay: -1.47371 | az: -1.08189
ax: 1.06425 | ay: -1.04155 | az: -1.01834
ax: 0.686676 | ay: -0.461838 | az: -0.839371
ax: -0.405792 | ay: -0.345215 | az: -0.618011
ax: -0.843567 | ay: 0.852005 | az: -0.283661
ax: 0.0103455 | ay: -0.163574 | az: 0.0830841
ax: -0.784775 | ay: -0.783142 | az: -0.25032
ax: -0.651581 | ay: -0.938614 | az: -0.751877
ax: -0.613144 | ay: -0.596222 | az: -0.27597
ax: -0.663864 | ay: -0.495865 | az: 0.0705719
ax: -0.678055 | ay: -0.437668 | az: 0.0893555
ax: -0.644165 | ay: -0.456879 | az: 0.0393066
ax: -0.550079 | ay: -0.325882 | az: 0.197083
ax: -0.477829 | ay: -0.322067 | az: 0.0806427
ax: -0.318924 | ay: -0.0668488 | az: 0.116882
ax: -0.0765839 | ay: 0.0695343 | az: 0.0807495
1: [20200927205811.004]
> sum ax: 7.67793 | sum ay: -4.87184 | sum az: -6.4549
>> avg ax: 0.153559 | avg ay: -0.0974368 | avg az: -0.129098
>>> vx: 1.50488 | vy: -0.954881 | vz: -1.26516
>>> sx: 1.52116 | sy: 0.396747 | sz: -0.148556
>>> a: 0.223026
>>> v: 2.18565
>>> s: 1.57905

ax: 0.362778 | ay: 0.421204 | az: 0.134857
ax: 1.0694 | ay: 0.971817 | az: 0.315765
ax: 1.15204 | ay: 1.61632 | az: 0.399887
ax: 1.21617 | ay: 2.24117 | az: 0.853607
ax: 1.07806 | ay: 2.43877 | az: 1.00302
ax: 0.953796 | ay: 2.42831 | az: 2.15213
ax: 0.707718 | ay: 2.05275 | az: 1.20535
ax: 0.197693 | ay: -1.68294 | az: -0.684967
ax: 0.340591 | ay: -0.662231 | az: 0.763412
ax: 1.16072 | ay: 1.63382 | az: 0.562881
ax: 0.312485 | ay: 0.203827 | az: 0.432709
ax: 0.587143 | ay: 1.62663 | az: 0.233475
ax: 0.158768 | ay: 0.588516 | az: 0.0789337
ax: 0.0924835 | ay: 0.575165 | az: 0.220245
ax: -0.00730896 | ay: 0.248169 | az: -0.0217285
ax: -0.073349 | ay: 0.130096 | az: -0.157745
ax: 0.0600891 | ay: 0.0552063 | az: 0.0257263
ax: 0.0461273 | ay: -0.135361 | az: -0.0168304
ax: -0.0662384 | ay: 0.0443268 | az: -0.172958
ax: -0.0463257 | ay: 0.140961 | az: -0.176529
ax: -0.0338135 | ay: 0.0590515 | az: -0.0620575
ax: 0.0357819 | ay: -0.0705566 | az: 0.00990295
ax: 0.0618896 | ay: -0.13913 | az: 0.141479
ax: 0.0468903 | ay: -0.0062561 | az: 0.0492249
ax: 0.00195312 | ay: 0.0474854 | az: -0.0208435
ax: 0.0187531 | ay: 0.0852203 | az: -0.0431824
ax: 0.0469971 | ay: 0.0368805 | az: -0.0552979
ax: 0.115479 | ay: 0.0120544 | az: 0.0401917
ax: 0.190079 | ay: -0.0448608 | az: 0.0518341
ax: 0.290436 | ay: -0.212814 | az: 0.0154877
ax: 0.415161 | ay: -0.190598 | az: -0.0957947
ax: 0.535446 | ay: -0.306488 | az: 0.0270538
ax: 0.572388 | ay: -0.375961 | az: -0.0459747
ax: 0.721436 | ay: -0.365448 | az: -0.395554
ax: 1.05005 | ay: -0.317215 | az: -0.742706
ax: 1.06676 | ay: -0.804108 | az: -1.63304
ax: 1.08549 | ay: -1.45744 | az: -0.835754
