steps: 277
ax: 0.96904 | ay: 0.968323 | az: -0.100769
ax: -0.129013 | ay: -0.112915 | az: 0.162628
ax: -0.152512 | ay: -0.0599213 | az: 0.12796
ax: -0.202576 | ay: -0.0279694 | az: 0.0214996
ax: -0.272308 | ay: -0.0150452 | az: 0.0607452
ax: -0.394562 | ay: 0.0490112 | az: 0.138596
ax: -0.463928 | ay: 0.153641 | az: 0.286804
ax: -0.52774 | ay: 0.22139 | az: 0.144913
ax: -0.765594 | ay: 0.282745 | az: -0.124695
ax: -1.04848 | ay: 0.471741 | az: -0.391678
ax: -1.05838 | ay: 1.64246 | az: -0.850906
ax: -1.06152 | ay: 0.800339 | az: 0.129044
ax: -0.916916 | ay: 0.947388 | az: -0.687851
ax: -0.574707 | ay: 0.66156 | az: -0.758591
ax: 0.557648 | ay: 0.677277 | az: -0.220901
ax: 0.0869446 | ay: -0.691452 | az: -0.322815
ax: 0.338776 | ay: -0.26506 | az: 0.0394897
ax: 0.823166 | ay: 0.465454 | az: 0.110672
ax: 0.879211 | ay: 0.743958 | az: 0.0129547
ax: 0.853165 | ay: 0.685837 | az: 0.0883026
ax: 0.881866 | ay: 0.575317 | az: 0.0376587
ax: 0.829895 | ay: 0.280472 | az: 0.0133362
ax: 0.757385 | ay: 0.13266 | az: 0.0117798
ax: 0.697769 | ay: 0.0177002 | az: 0.0320435
ax: 0.604691 | ay: -0.0263062 | az: 0.0772705
ax: 0.480713 | ay: -0.0358582 | az: 0.0857849
ax: 0.18779 | ay: -0.159042 | az: 0.0608826
ax: -0.199509 | ay: -0.391617 | az: 0.0733643
ax: -0.711823 | ay: -0.580185 | az: 0.33017
ax: -1.18954 | ay: -1.13263 | az: 0.206482
ax: -1.25839 | ay: -1.81136 | az: 0.140457
ax: -1.31575 | ay: -2.11064 | az: -0.0566254
ax: -1.34062 | ay: -2.67737 | az: -0.227081
ax: -1.35962 | ay: -2.6734 | az: 0.887955
ax: -0.7435 | ay: -2.17081 | az: 0.235458
ax: -0.475769 | ay: 1.39722 | az: -0.670563
ax: -0.579453 | ay: 0.548538 | az: 1.21529
ax: -1.24417 | ay: -1.29483 | az: -0.0116272
ax: -0.349503 | ay: -0.302521 | az: 0.320984
ax: -0.228867 | ay: -1.16193 | az: -0.498459
ax: -0.279663 | ay: -0.826141 | az: 0.202606
ax: -0.0148773 | ay: -0.523956 | az: -0.0475922
ax: -0.139816 | ay: -0.450699 | az: 0.0430756
ax: -0.0681 | ay: -0.0984802 | az: 0.0986786
ax: -0.134537 | ay: -0.165573 | az: 0.0318451
ax: -0.068161 | ay: -0.115128 | az: 0.0613861
ax: -0.0487366 | ay: -0.206284 | az: -0.145889
ax: 0.0369263 | ay: -0.0377502 | az: -0.0602417
ax: -0.024826 | ay: 0.00578308 | az: 0.0302277
ax: -0.0221252 | ay: 0.0413971 | az: 0.0949707
time: 1
[20210805063439.726]
> sum ax: -10.3806 | sum ay: -8.35466 | sum az: 0.439026
>> avg ax: -0.207612 | avg ay: -0.167093 | avg az: 0.00878052
>>> vx: -1.0173 | vy: -0.818757 | vz: 0.0430246
>>> sx: -0.435872 | sy: 0.090719 | sz: -0.0623828
>>> a: 0.266646
>>> v: 1.30657
>>> s: 0.449562

steps: 278
ax: -0.0224304 | ay: -0.148972 | az: 0.0498199
ax: -0.0314484 | ay: -0.180786 | az: -0.025177
ax: -0.00862122 | ay: -0.103516 | az: 0.0312042
ax: -0.0242462 | ay: -0.0897217 | az: 0.118881
ax: -0.043045 | ay: -0.12233 | az: 0.135422
ax: -0.090271 | ay: -0.14061 | az: 0.117722
ax: -0.109131 | ay: -0.0937653 | az: 0.0631714
ax: -0.110809 | ay: -0.0749664 | az: 0.115875
ax: -0.149185 | ay: 0.0354156 | az: 0.048584
ax: -0.16127 | ay: 0.0536041 | az: -0.0957794
ax: -0.27626 | ay: 0.0457153 | az: -0.0228577
ax: -0.34407 | ay: 0.120987 | az: 0.123779
ax: -0.489227 | ay: 0.229065 | az: 0.311188
ax: -0.517715 | ay: 0.223099 | az: 0.113586
ax: -0.842239 | ay: 0.286392 | az: -0.0954132
ax: -1.0571 | ay: 0.556854 | az: -0.51619
ax: -1.06883 | ay: 1.85362 | az: -0.860123
ax: -1.07219 | ay: 0.859207 | az: 0.00544739
ax: -0.905136 | ay: 0.894104 | az: -0.542007
ax: -0.507538 | ay: 0.595306 | az: -0.7892
ax: 0.670547 | ay: 0.310608 | az: -0.192978
ax: 0.13829 | ay: -0.43782 | az: -0.176224
ax: 0.285172 | ay: 0.0928802 | az: -0.115097
ax: 0.81456 | ay: 0.605835 | az: -0.03508
ax: 0.77417 | ay: 0.737488 | az: 0.102188
ax: 0.831985 | ay: 0.63179 | az: 0.0721741
ax: 0.825546 | ay: 0.465714 | az: 0.00984192
ax: 0.77356 | ay: 0.284637 | az: 0.00619507
ax: 0.706467 | ay: 0.193848 | az: 0.0473022
ax: 0.646439 | ay: 0.100388 | az: 0.0675507
ax: 0.529312 | ay: 0.0347595 | az: 0.0706024
ax: 0.331039 | ay: 0.0478973 | az: 0.111862
ax: 0.00317383 | ay: -0.101089 | az: 0.164139
ax: -0.433289 | ay: -0.329666 | az: 0.212296
ax: -0.973862 | ay: -0.711395 | az: 0.307266
ax: -1.18282 | ay: -1.39604 | az: 0.266022
ax: -1.23906 | ay: -2.21442 | az: 0.255905
ax: -1.24754 | ay: -2.36591 | az: -0.316544
ax: -1.1133 | ay: -2.67064 | az: -0.600021
ax: -0.796844 | ay: -2.65781 | az: 0.231583
ax: -0.707962 | ay: -1.65361 | az: 0.334061
ax: -0.538086 | ay: 1.42238 | az: -0.357162
ax: -0.361282 | ay: 0.338928 | az: 0.688507
ax: -1.14801 | ay: -0.996414 | az: -0.0632782
