steps: 0
ax: -0.428543 | ay: 0.157806 | az: -0.155334
ax: -0.509033 | ay: 0.754395 | az: -1.39139
ax: -0.301483 | ay: 1.38937 | az: 0.978119
ax: -0.950867 | ay: -1.07443 | az: 0.406509
ax: -0.803421 | ay: -0.255035 | az: 0.687531
ax: -0.343964 | ay: -0.664688 | az: 0.114929
ax: -0.0897827 | ay: -0.419083 | az: -0.203079
ax: -0.193039 | ay: -0.547455 | az: -0.0995178
ax: -0.143021 | ay: -0.364777 | az: 0.0235443
ax: 0.0460815 | ay: -0.0052948 | az: 0.00242615
ax: -0.0211639 | ay: -0.147003 | az: 0.046051
ax: -0.0631256 | ay: -0.0501404 | az: 0.0424042
ax: -0.0268402 | ay: 0.0465393 | az: 0.14566
ax: -0.0252838 | ay: -0.0945587 | az: -0.0648804
ax: 0.000656128 | ay: -0.0357666 | az: 0.0206451
ax: -0.00709534 | ay: -0.12616 | az: 0.0760498
ax: -0.0362091 | ay: -0.0434875 | az: 0.138535
ax: -0.0230255 | ay: 0.02211 | az: 0.0534668
ax: 0.00636292 | ay: 0.0210266 | az: 0.00517273
ax: -0.029129 | ay: -0.00212097 | az: 0.052063
ax: -0.0667877 | ay: -0.0310516 | az: 0.133636
ax: -0.129654 | ay: -0.0354919 | az: 0.198151
ax: -0.119904 | ay: -0.0371246 | az: 0.1763
ax: -0.192276 | ay: 0.121933 | az: 0.19339
ax: -0.297348 | ay: 0.19664 | az: -0.113266
ax: -0.332184 | ay: 0.0693817 | az: -0.0299988
ax: -0.424957 | ay: 0.203003 | az: 0.105942
ax: -0.519455 | ay: 0.285461 | az: 0.0904083
ax: -0.690491 | ay: 0.31485 | az: -0.0416718
ax: -1.09702 | ay: 0.444321 | az: -0.224335
ax: -1.11624 | ay: 1.34166 | az: -0.748779
ax: -1.13829 | ay: 1.91731 | az: -0.353012
ax: -1.16562 | ay: 0.900696 | az: -0.171844
ax: -1.07651 | ay: 1.03513 | az: -0.581314
ax: -0.274109 | ay: 1.03906 | az: -0.8573
ax: 0.682983 | ay: -0.297256 | az: -0.0904846
ax: 0.207214 | ay: -0.653778 | az: -0.496918
ax: 0.558472 | ay: 0.973526 | az: -0.111969
ax: 0.643021 | ay: 1.17487 | az: -0.0592957
ax: 0.663498 | ay: 0.84198 | az: -0.0983887
ax: 0.64592 | ay: 0.626923 | az: -0.0954437
ax: 0.635361 | ay: 0.467865 | az: -0.112366
ax: 0.57634 | ay: 0.447586 | az: -0.123459
ax: 0.540192 | ay: 0.402222 | az: -0.128738
ax: 0.402954 | ay: 0.310104 | az: -0.062027
ax: 0.232239 | ay: 0.243103 | az: -0.0426483
ax: -0.0774994 | ay: 0.0561981 | az: -0.0637207
ax: -0.435822 | ay: -0.241272 | az: 0.122314
ax: -0.831436 | ay: -0.478073 | az: 0.315918
ax: -1.10797 | ay: -0.92981 | az: 0.208527
time: 1
[20210811061853.797]
> sum ax: -9.2473 | sum ay: 9.27121 | sum az: -2.18349
>> avg ax: -0.184946 | avg ay: 0.185424 | avg az: -0.0436697
>>> vx: -0.906235 | vy: 0.908579 | vz: -0.213982
>>> sx: -0.599126 | sy: 0.264558 | sz: -0.0296773
>>> a: 0.265507
>>> v: 1.30099
>>> s: 0.65561

ax: -1.16029 | ay: -1.78535 | az: 0.24115
ax: -1.20517 | ay: -2.15182 | az: 0.400681
ax: -1.23273 | ay: -2.5078 | az: 0.588547
ax: -0.881226 | ay: -2.50153 | az: 1.20985
ax: -0.711014 | ay: -2.463 | az: 0.823074
ax: -0.174942 | ay: 0.360855 | az: -0.714417
ax: -0.249527 | ay: 1.59079 | az: 0.869049
ax: -1.14221 | ay: -1.78099 | az: 0.311111
ax: -0.617523 | ay: -0.246414 | az: 0.23439
ax: -0.0406494 | ay: -0.65358 | az: -0.153305
ax: -0.369797 | ay: -0.80246 | az: -0.244263
ax: -0.0437317 | ay: -0.425827 | az: 0.213348
ax: -0.156174 | ay: -0.282562 | az: 0.0827179
ax: 0.00985718 | ay: -0.0688629 | az: 0.0526581
ax: -0.0743713 | ay: -0.0805511 | az: 0.136063
ax: -0.0491333 | ay: 0.184494 | az: 0.120895
ax: 0.0229492 | ay: 0.00621033 | az: -0.105209
ax: 0.0515442 | ay: -0.032135 | az: -0.126205
ax: 0.0222168 | ay: 0.0738831 | az: 0.00325012
ax: -0.0240479 | ay: 0.0130463 | az: 0.112885
ax: -0.0643158 | ay: 0.0119781 | az: 0.132721
ax: -0.0341187 | ay: 0.0375214 | az: 0.0966492
ax: -0.0590668 | ay: 0.0123596 | az: 0.0783234
ax: -0.103287 | ay: -0.0119629 | az: 0.0794373
ax: -0.128281 | ay: 0.014328 | az: 0.0929108
ax: -0.142853 | ay: 0.125824 | az: 0.107315
ax: -0.178207 | ay: 0.0852203 | az: 0.0827789
ax: -0.279114 | ay: 0.113266 | az: 0.0478668
ax: -0.303619 | ay: 0.140381 | az: 0.0281525
ax: -0.371109 | ay: 0.151169 | az: 0.0298157
ax: -0.442291 | ay: 0.227875 | az: 0.0477295
ax: -0.60498 | ay: 0.250809 | az: -0.0436401
ax: -0.806473 | ay: 0.248825 | az: -0.0529785
ax: -1.11284 | ay: 0.870209 | az: -0.481857
ax: -1.13106 | ay: 2.04453 | az: -0.68187
ax: -1.15123 | ay: 0.923065 | az: 0.286148
ax: -1.17204 | ay: 1.0188 | az: -0.775314
ax: -0.578888 | ay: 0.999222 | az: -1.10751
ax: 0.656906 | ay: 0.623535 | az: -0.639099
ax: -0.36705 | ay: -0.348557 | az: -0.379868
ax: -0.0935364 | ay: 0.344498 | az: -0.224518
ax: 0.698242 | ay: 1.28642 | az: -0.224136
ax: 0.555679 | ay: 1.04405 | az: -0.0981903
ax: 0.593155 | ay: 0.749161 | az: -0.110291
ax: 0.589417 | ay: 0.566589 | az: -0.0810242
ax: 0.550461 | ay: 0.502548 | az: -0.0961609
ax: 0.500076 | ay: 0.404037 | az: -0.136459
ax: 0.449097 | ay: 0.397186 | az: -0.121048
ax: 0.292282 | ay: 0.310883 | az: -0.0358734
ax: 0.0363617 | ay: 0.155563 | az: 0.0271912
time: 2
[20210811061854.787]
> sum ax: -12.2287 | sum ay: -0.254272 | sum az: -0.0965271
>> avg ax: -0.244573 | avg ay: -0.00508545 | avg az: -0.00193054
>>> vx: -1.19841 | vy: -0.0249187 | vz: -0.00945966
>>> sx: -0.96905 | sy: -0.920978 | sz: 0.286946
>>> a: 0.244634
>>> v: 1.1987
>>> s: 1.36733

ax: -0.229767 | ay: -0.0806274 | az: 0.0431671
ax: -0.642685 | ay: -0.398514 | az: 0.193832
ax: -1.06425 | ay: -0.652847 | az: 0.306152
ax: -1.13515 | ay: -1.50726 | az: 0.177094
ax: -1.18303 | ay: -2.21176 | az: 0.18335
ax: -1.21829 | ay: -2.50121 | az: 0.259338
ax: -0.96138 | ay: -2.5069 | az: 1.05672
ax: -1.21295 | ay: -2.48061 | az: 0.485443
ax: 0.0216675 | ay: -1.9731 | az: 0.151611
ax: -0.38205 | ay: 1.59804 | az: -0.401581
ax: -0.629868 | ay: 0.304489 | az: 1.3988
ax: -1.12834 | ay: -1.37476 | az: -0.0947876
ax: -0.238159 | ay: -0.169846 | az: 0.378143
ax: -0.232513 | ay: -1.04114 | az: -0.325455
ax: -0.168045 | ay: -0.445877 | az: 0.105011
ax: -0.210785 | ay: -0.260117 | az: 0.0305939
ax: 0.0679321 | ay: 0.0278778 | az: -0.0353699
ax: -0.0114899 | ay: -0.0087738 | az: 0.0300598
ax: -0.0341339 | ay: -0.0792999 | az: 0.0394897
ax: -0.0303955 | ay: -0.0596924 | az: 0.10759
ax: -0.00828552 | ay: -0.118973 | az: -0.0493469
ax: 0.0278168 | ay: 0.0276184 | az: 0.0489502
ax: 0.008255 | ay: -0.103989 | az: 0.0811768
ax: -0.00186157 | ay: -0.105423 | az: 0.098587
ax: -0.0168457 | ay: -0.0628357 | az: 0.0768433
ax: -0.0726166 | ay: -0.0120087 | az: 0.0664673
ax: -0.0348816 | ay: -0.00738525 | az: 0.107056
ax: -0.101456 | ay: 0.0235443 | az: 0.081131
ax: -0.117432 | ay: 0.0687866 | az: 0.0254364
ax: -0.212555 | ay: 0.232285 | az: 0.122528
ax: -0.254456 | ay: 0.174179 | az: 0.0702362
ax: -0.327271 | ay: 0.173187 | az: -0.0131073
ax: -0.379822 | ay: 0.203629 | az: 0.00949097
ax: -0.445923 | ay: 0.279602 | az: 0.0931854
ax: -0.601349 | ay: 0.281601 | az: -0.0397797
ax: -0.824158 | ay: 0.269897 | az: -0.104233
ax: -1.10384 | ay: 0.827942 | az: -0.439529
ax: -1.12286 | ay: 2.16124 | az: -1.01086
ax: -1.1452 | ay: 0.973312 | az: 0.154617
ax: -1.01553 | ay: 0.811172 | az: -0.641891
ax: -0.742981 | ay: 0.883453 | az: -0.955261
ax: 0.647186 | ay: 0.277191 | az: -0.469177
ax: 0.0110779 | ay: -0.564484 | az: -0.556686
ax: 0.0690308 | ay: 0.658798 | az: -0.300613
ax: 0.749252 | ay: 1.42448 | az: -0.145676
ax: 0.602676 | ay: 1.00537 | az: -0.0221252
ax: 0.642792 | ay: 0.686646 | az: -0.0329895
ax: 0.615189 | ay: 0.540344 | az: -0.0451202
ax: 0.585785 | ay: 0.490341 | az: -0.0681
ax: 0.52211 | ay: 0.434982 | az: -0.0507507
time: 3
[20210811061855.774]
> sum ax: -14.6718 | sum ay: -3.88741 | sum az: 0.179657
>> avg ax: -0.293437 | avg ay: -0.0777481 | avg az: 0.00359314
>>> vx: -1.43784 | vy: -0.380966 | vz: 0.0176064
>>> sx: -1.11342 | sy: -1.13393 | sz: 0.286972
>>> a: 0.303583
>>> v: 1.48756
>>> s: 1.61489

ax: 0.455017 | ay: 0.395157 | az: -0.0072937
ax: 0.299957 | ay: 0.313797 | az: 0.0598145
ax: 0.0737 | ay: 0.222641 | az: 0.144348
ax: -0.319656 | ay: -0.257202 | az: 0.128937
ax: -0.593552 | ay: -0.259598 | az: 0.423309
ax: -1.08743 | ay: -0.73877 | az: 0.431458
ax: -1.14458 | ay: -1.70631 | az: 0.13353
ax: -1.18982 | ay: -2.21272 | az: 0.161118
ax: -1.22137 | ay: -2.51273 | az: 0.209457
ax: -1.11548 | ay: -2.51685 | az: 0.916077
ax: -0.999847 | ay: -2.49095 | az: 0.802109
ax: -0.109467 | ay: -1.18163 | az: -0.517166
ax: -0.545776 | ay: 1.57751 | az: 0.96994
ax: -1.13977 | ay: -1.96687 | az: 0.542786
ax: -0.450455 | ay: -0.16153 | az: 0.136414
ax: 0.108429 | ay: -0.787277 | az: -0.318497
ax: -0.466202 | ay: -0.660263 | az: -0.073349
ax: -0.0441437 | ay: -0.387726 | az: 0.195541
ax: -0.188065 | ay: -0.382019 | az: 0.0138397
ax: 0.0561218 | ay: 0.153244 | az: 0.0744476
ax: -0.0752411 | ay: -0.069458 | az: 0.115356
ax: -0.0203552 | ay: 0.037735 | az: -0.00486755
ax: 0.00221252 | ay: -0.0449371 | az: -0.119537
ax: 0.00239563 | ay: 0.0791321 | az: -0.026474
ax: 0.00497437 | ay: 0.0579681 | az: 0.0649261
ax: -0.0449524 | ay: -0.102554 | az: 0.0947876
ax: -0.0493469 | ay: -0.0690308 | az: 0.0292053
ax: -0.0352783 | ay: -0.0638733 | az: 0.0856323
ax: -0.0791779 | ay: -0.0142822 | az: 0.0981445
ax: -0.0842438 | ay: -0.0662689 | az: 0.0766144
ax: -0.108612 | ay: 0.0121918 | az: 0.0300293
ax: -0.203064 | ay: 0.127518 | az: 0.122986
ax: -0.164078 | ay: 0.139389 | az: 0.0471039
ax: -0.260788 | ay: 0.197739 | az: 0.121796
ax: -0.364914 | ay: 0.217957 | az: 0.0327606
ax: -0.417572 | ay: 0.248322 | az: 0.0601044
ax: -0.482712 | ay: 0.306931 | az: 0.128525
ax: -0.584763 | ay: 0.313858 | az: -0.173416
ax: -0.933578 | ay: 0.343506 | az: -0.298035
ax: -1.1049 | ay: 1.2103 | az: -0.818329
ax: -1.12569 | ay: 1.99379 | az: -0.602524
ax: -1.15468 | ay: 0.835098 | az: -0.5345
ax: -1.12541 | ay: 0.717957 | az: -0.640457
ax: -0.22789 | ay: 0.970566 | az: -0.853851
ax: 0.789185 | ay: -0.799011 | az: -0.253387
ax: 0.120605 | ay: -0.497437 | az: -0.426468
ax: 0.599991 | ay: 1.13023 | az: -0.152267
ax: 0.657959 | ay: 1.27621 | az: -0.0711975
ax: 0.672653 | ay: 0.800705 | az: -0.0953979
ax: 0.669434 | ay: 0.581421 | az: -0.130569
time: 4
[20210811061856.777]
> sum ax: -14.7502 | sum ay: -5.68842 | sum az: 0.333511
>> avg ax: -0.295005 | avg ay: -0.113768 | avg az: 0.00667023
>>> vx: -1.44552 | vy: -0.557465 | vz: 0.0326841
>>> sx: -0.946664 | sy: -1.07062 | sz: 0.313993
>>> a: 0.316252
>>> v: 1.54964
>>> s: 1.46322

ax: 0.651459 | ay: 0.463303 | az: -0.132492
ax: 0.602936 | ay: 0.411255 | az: -0.149582
ax: 0.577789 | ay: 0.382599 | az: -0.0876007
ax: 0.439301 | ay: 0.292358 | az: -0.0351562
ax: 0.279358 | ay: 0.226837 | az: -0.0136261
ax: 0.00119019 | ay: 0.050293 | az: -0.0126648
ax: -0.433289 | ay: -0.263443 | az: 0.0660553
ax: -0.90004 | ay: -0.575851 | az: 0.204224
ax: -1.12596 | ay: -1.25702 | az: 0.089447
ax: -1.18098 | ay: -2.0735 | az: 0.195145
ax: -1.22531 | ay: -2.40001 | az: 0.258896
ax: -1.01979 | ay: -2.51398 | az: 1.08788
ax: -1.16064 | ay: -2.49733 | az: 1.63818
ax: -0.951447 | ay: -2.23958 | az: 0.346954
ax: -0.922653 | ay: 1.56171 | az: 0.847076
ax: -1.15947 | ay: -2.25069 | az: 0.699921
ax: -0.419052 | ay: -0.109406 | az: 0.140732
ax: -0.0235138 | ay: -0.863007 | az: -0.268814
ax: -0.362244 | ay: -0.639801 | az: -0.0619659
ax: 0.0166626 | ay: -0.450943 | az: 0.131104
ax: -0.150879 | ay: -0.336258 | az: 0.0832825
ax: 0.0190887 | ay: 0.114395 | az: 0.125015
ax: -0.0323181 | ay: -0.124771 | az: 0.108124
ax: -0.0115356 | ay: -0.104218 | az: -0.0168457
