>>> vx: -0.280498 | vy: 0.423471 | vz: 0.0838284
>>> sx: -0.263549 | sy: -0.11293 | sz: -0.0492276
>>> a: 0.105064
>>> v: 0.514815
>>> s: 0.290921

ax: -0.500122 | ay: -0.421799 | az: -0.100388
ax: -0.853302 | ay: -0.71022 | az: -0.349686
ax: -1.07901 | ay: -1.07692 | az: -0.702988
ax: -1.12029 | ay: -1.3242 | az: -0.846405
ax: -0.964035 | ay: -1.40999 | az: -0.892212
ax: -0.768921 | ay: -1.60211 | az: -0.952728
ax: -0.428452 | ay: -1.87611 | az: -0.794998
ax: -0.361969 | ay: -2.08034 | az: -0.746155
ax: -0.255402 | ay: -1.58514 | az: -0.855606
ax: -0.24295 | ay: 0.0705261 | az: 0.164383
ax: -0.44136 | ay: 0.785675 | az: 1.1676
ax: -0.523392 | ay: -0.811874 | az: -0.024704
ax: -0.49707 | ay: -0.449051 | az: -0.193619
ax: -0.170761 | ay: -0.204483 | az: -0.346344
ax: -0.0754242 | ay: -0.294037 | az: -0.724426
ax: -0.0940552 | ay: -0.5495 | az: -0.2164
ax: -0.178162 | ay: -0.38736 | az: -0.0701447
ax: -0.0899811 | ay: -0.263519 | az: -0.0315247
ax: -0.0900726 | ay: -0.128891 | az: 0.00654602
ax: -0.124252 | ay: -0.139267 | az: -0.0205231
ax: -0.0203247 | ay: -0.0886536 | az: -0.0644073
ax: 0.0120697 | ay: -0.0243225 | az: -0.17189
ax: 0.00143433 | ay: -0.0319214 | az: -0.057312
ax: 0.00569153 | ay: -0.155746 | az: 0.0436554
ax: -0.0228577 | ay: -0.180695 | az: -0.00257874
ax: -0.0106812 | ay: -0.145401 | az: -0.0601196
ax: -0.0125732 | ay: -0.123505 | az: -0.0853729
ax: -0.00170898 | ay: -0.133163 | az: -0.04039
ax: -0.00543213 | ay: -0.104828 | az: -0.0193329
ax: 0.00605774 | ay: -0.060791 | az: -0.0162506
ax: -0.0254517 | ay: -0.0509491 | az: -0.0385895
ax: -0.00848389 | ay: -0.0727692 | az: -0.0346069
ax: -0.00216675 | ay: -0.0828094 | az: -0.00714111
ax: -0.0391846 | ay: -0.0473785 | az: -0.0212402
ax: -0.0319824 | ay: -0.0620728 | az: 0.0211792
ax: -0.105118 | ay: -0.0829315 | az: 0.0653839
ax: -0.179535 | ay: -0.0651093 | az: 0.0850677
ax: -0.210724 | ay: -0.053421 | az: 0.0284119
ax: -0.186356 | ay: -0.0120239 | az: 0.0358429
ax: -0.216782 | ay: 0.00440979 | az: 0.0761871
ax: -0.293625 | ay: 0.0553284 | az: 0.0609589
ax: -0.396393 | ay: 0.0888367 | az: 0.00692749
ax: -0.709534 | ay: 0.108978 | az: -0.0147552
ax: -0.989548 | ay: 0.527893 | az: 0.128326
ax: -0.817703 | ay: 1.50629 | az: 0.299377
ax: -0.993866 | ay: 0.238297 | az: 0.45575
ax: -0.793686 | ay: 0.838562 | az: 0.0381165
ax: -0.7453 | ay: 0.834503 | az: -0.193878
ax: -0.287033 | ay: 0.743439 | az: 0.0514832
ax: 0.482605 | ay: 0.282593 | az: -0.0639801
time: 3
[20210722073752.278]
> sum ax: -15.4572 | sum ay: -10.808 | sum az: -6.0255
>> avg ax: -0.309143 | avg ay: -0.21616 | avg az: -0.12051
>>> vx: -1.5148 | vy: -1.05918 | vz: -0.590499
>>> sx: -0.861302 | sy: -1.25189 | sz: -0.57444
>>> a: 0.396002
>>> v: 1.94041
>>> s: 1.62452

ax: 0.0442505 | ay: -0.309021 | az: -0.256027
ax: 0.0791016 | ay: 0.221313 | az: 0.300339
