>> avg ax: 0.0695026 | avg ay: 0.070976 | avg az: 0.0480441
>>> vx: 0.681125 | vy: 0.695564 | vz: 0.470833
>>> sx: 0.154802 | sy: 0.516656 | sz: 0.358024
>>> a: 0.110347
>>> v: 1.0814
>>> s: 0.647363

ax: 0.0342102 | ay: -0.0595093 | az: -0.130096
ax: 0.054184 | ay: -0.0617065 | az: -0.104034
ax: 0.0664825 | ay: -0.0899048 | az: -0.142822
ax: 0.117157 | ay: -0.0950775 | az: -0.117462
ax: 0.141708 | ay: -0.127899 | az: -0.0993805
ax: 0.208466 | ay: -0.0924988 | az: -0.176544
ax: 0.262146 | ay: -0.101837 | az: -0.124573
ax: 0.24675 | ay: -0.164108 | az: -0.15834
ax: 0.333008 | ay: -0.129822 | az: -0.156921
ax: 0.386444 | ay: -0.150803 | az: -0.223175
ax: 0.433685 | ay: -0.217636 | az: -0.287857
ax: 0.643814 | ay: -0.217468 | az: -0.308365
ax: 0.950836 | ay: -0.350266 | az: -0.643478
ax: 1.07828 | ay: -0.262848 | az: -0.98674
ax: 0.992554 | ay: -0.552032 | az: -0.89769
ax: 0.545685 | ay: -0.327774 | az: -0.696014
ax: 0.616653 | ay: -0.206696 | az: -0.626953
ax: 0.50087 | ay: 0.0721283 | az: -0.660034
ax: -0.891922 | ay: 0.104828 | az: -0.124252
ax: -0.267776 | ay: 0.395004 | az: -0.0676575
ax: -0.514877 | ay: -0.460052 | az: -0.595078
ax: -0.748917 | ay: -0.437714 | az: -0.604797
ax: -0.760132 | ay: -0.484665 | az: -0.513718
ax: -0.805923 | ay: -0.333649 | az: -0.405701
ax: -0.788681 | ay: -0.232941 | az: -0.364578
ax: -0.784271 | ay: -0.140381 | az: -0.457214
ax: -0.583923 | ay: -0.19841 | az: -0.604935
ax: -0.349304 | ay: -0.528656 | az: -0.100388
ax: -0.124695 | ay: 0.0637817 | az: 0.0972137
ax: 0.0818634 | ay: 0.182587 | az: 0.0460815
ax: 0.281265 | ay: 0.252365 | az: 0.153763
ax: 0.487518 | ay: 0.486069 | az: 0.134232
ax: 0.70105 | ay: 0.579651 | az: 0.21611
ax: 0.870102 | ay: 0.674927 | az: 0.305222
ax: 0.970917 | ay: 0.750565 | az: 0.339035
ax: 0.867981 | ay: 0.818253 | az: 0.525558
ax: 0.757355 | ay: 0.845383 | az: 0.681763
ax: 0.594116 | ay: 0.558472 | az: 0.547867
ax: 0.522736 | ay: 0.788269 | az: 0.581039
ax: 0.449295 | ay: 0.866364 | az: 0.969498
ax: 0.415543 | ay: 0.673874 | az: 1.14442
ax: 0.322342 | ay: 0.543961 | az: 1.00777
ax: 0.179565 | ay: 0.482254 | az: 0.87207
ax: 0.0621796 | ay: 0.33931 | az: 0.706131
ax: -0.037674 | ay: -0.376373 | az: 0.181122
ax: -0.0114594 | ay: -0.50029 | az: -1.03381
ax: 0.399368 | ay: -0.502258 | az: 0.101868
ax: 0.541351 | ay: -0.300812 | az: -0.294418
ax: 0.348526 | ay: -0.215317 | az: 0.109283
ax: 0.253647 | ay: 0.192612 | az: 0.0964966
time: 3
[20210209184644.773]
> sum ax: 10.0501 | sum ay: 1.75125 | sum az: -2.89049
>> avg ax: 0.201002 | avg ay: 0.035025 | avg az: -0.0578098
>>> vx: 1.96982 | vy: 0.343245 | vz: -0.566536
>>> sx: 0.880917 | sy: -0.276066 | sz: -1.01814
>>> a: 0.212062
>>> v: 2.07821
>>> s: 1.37435

ax: -0.0863495 | ay: 0.144516 | az: -0.111008
ax: -0.0478668 | ay: 0.229675 | az: -0.136246
ax: 0.297256 | ay: 0.14151 | az: 0.101822
ax: 0.162552 | ay: 0.0855103 | az: 0.0356293
ax: -0.0249786 | ay: -0.0987244 | az: 0.00753784
ax: -0.000839233 | ay: -0.234344 | az: 0.00796509
ax: -0.0227661 | ay: -0.109299 | az: -0.151154
ax: -0.042038 | ay: -0.0985413 | az: -0.192978
ax: -0.0229187 | ay: 0.0214386 | az: -0.253967
ax: -0.0592499 | ay: -0.0586548 | az: -0.196014
ax: -0.0389404 | ay: -0.162643 | az: -0.169617
ax: -0.0265656 | ay: -0.199173 | az: -0.130341
ax: -0.0362396 | ay: -0.0670471 | az: -0.140488
ax: -0.0346985 | ay: -0.04599 | az: -0.131577
ax: 0.0150757 | ay: -0.128906 | az: -0.118484
ax: 0.00721741 | ay: -0.137939 | az: -0.0992584
ax: 0.0342407 | ay: -0.110611 | az: -0.0639648
ax: 0.0218353 | ay: -0.0559845 | az: -0.0853424
ax: -0.000732422 | ay: -0.0914001 | az: -0.089447
ax: 0.0326538 | ay: -0.0679474 | az: -0.124695
ax: 0.0403137 | ay: -0.0752411 | az: -0.102585
ax: 0.0250549 | ay: -0.0840454 | az: -0.0767212
ax: 0.0574951 | ay: -0.0805054 | az: -0.120972
ax: 0.0854492 | ay: -0.0793762 | az: -0.172546
ax: 0.0960083 | ay: -0.0484161 | az: -0.134628
ax: 0.106613 | ay: -0.0975189 | az: -0.0800781
ax: 0.119751 | ay: -0.131638 | az: -0.137985
ax: 0.222534 | ay: -0.148315 | az: -0.152817
ax: 0.245636 | ay: -0.156998 | az: -0.135452
ax: 0.281006 | ay: -0.152176 | az: -0.18457
ax: 0.30925 | ay: -0.177399 | az: -0.166519
ax: 0.342529 | ay: -0.201599 | az: -0.188705
ax: 0.465012 | ay: -0.302643 | az: -0.224838
ax: 0.691284 | ay: -0.303757 | az: -0.371384
ax: 1.05411 | ay: -0.484726 | az: -0.653976
ax: 1.09305 | ay: -0.412476 | az: -1.13307
ax: 1.02353 | ay: -0.265076 | az: -0.702652
ax: 0.638229 | ay: -0.726059 | az: -0.585052
ax: 0.444107 | ay: -0.0779572 | az: -0.688339
ax: 0.32869 | ay: -0.06633 | az: -0.907455
ax: -0.955658 | ay: 0.381897 | az: -0.167709
ax: -0.266541 | ay: -0.00967407 | az: -0.224411
ax: -0.643402 | ay: -0.507431 | az: -0.571548
