ax: -0.0194397 | ay: 0.157288 | az: 0.0840149
ax: -0.00263977 | ay: 0.0968933 | az: 0.0167236
ax: -0.000869751 | ay: 0.0841522 | az: 0.0291748
ax: -0.00595093 | ay: 0.0791321 | az: 0.0264282
ax: -0.00715637 | ay: 0.0854797 | az: 0.0270844
ax: -0.00250244 | ay: 0.0800781 | az: 0.0266724
ax: 0.0137634 | ay: 0.0754852 | az: 0.0336914
ax: 0.0035553 | ay: 0.09198 | az: 0.0268555
ax: 0.000213623 | ay: 0.150986 | az: 0.0450745
ax: -0.0382233 | ay: 0.202667 | az: 0.0720978
ax: -0.0478973 | ay: 0.161911 | az: 0.0763702
ax: -0.055542 | ay: 0.245026 | az: 0.0853577
ax: -0.12825 | ay: 0.149506 | az: 0.0512085
ax: -0.172195 | ay: 0.120514 | az: 0.00614929
ax: -0.221863 | ay: 0.174301 | az: -0.0841064
ax: -0.392166 | ay: 0.281464 | az: 0.0420227
ax: -0.384598 | ay: 0.172592 | az: 0.131302
ax: -0.426743 | ay: 0.118103 | az: 0.16777
ax: -0.216675 | ay: 0.363602 | az: 0.0779572
ax: -0.100555 | ay: 0.0356903 | az: -0.0158234
ax: 0.0656891 | ay: 0.0476532 | az: -0.13588
ax: 0.246048 | ay: 0.284546 | az: -0.0607605
ax: 0.351288 | ay: 0.22052 | az: 0.137344
ax: 0.276321 | ay: 0.381165 | az: 0.182892
ax: 0.285934 | ay: 0.451385 | az: 0.228989
ax: 0.267914 | ay: 0.365005 | az: 0.246475
ax: 0.227341 | ay: 0.307968 | az: 0.245575
ax: 0.206345 | ay: 0.284912 | az: 0.215103
ax: 0.165726 | ay: 0.232956 | az: 0.1763
ax: 0.110016 | ay: 0.165497 | az: 0.149109
ax: 0.031723 | ay: 0.0784454 | az: 0.100647
ax: -0.0289154 | ay: 0.0119781 | az: 0.0181427
ax: -0.103607 | ay: -0.0646515 | az: -0.0369415
ax: -0.199448 | ay: -0.121521 | az: -0.12355
ax: -0.274261 | ay: -0.228317 | az: -0.226395
ax: -0.291595 | ay: -0.30394 | az: -0.362289
ax: -0.240509 | ay: -0.432663 | az: -0.490143
ax: -0.180435 | ay: -0.676605 | az: -0.451691
ax: -0.0879517 | ay: -0.681503 | az: -0.277817
ax: -0.15741 | ay: -0.471161 | az: -0.278915
ax: -0.0397034 | ay: -0.863663 | az: -0.322296
ax: -0.040329 | ay: -0.523254 | az: -0.0700226
ax: -0.152496 | ay: 1.09264 | az: 0.756973
ax: -0.128357 | ay: -0.0414429 | az: 0.246918
ax: -0.0855103 | ay: -0.0426025 | az: -0.0181122
ax: -0.0821075 | ay: 0.0488739 | az: -0.0688477
ax: -0.0119476 | ay: -0.0146179 | az: -0.215179
ax: 0.0166321 | ay: -0.105087 | az: -0.127869
ax: -0.0182953 | ay: -0.0877686 | az: -0.0598145
ax: -0.0274048 | ay: -0.0308685 | az: 0.0175476
time: 1
[20210722065201.567]
> sum ax: -2.10504 | sum ay: 2.21072 | sum az: 0.321518
>> avg ax: -0.0421008 | avg ay: 0.0442145 | avg az: 0.00643036
