steps: 0
ax: -0.00242615 | ay: -0.0966644 | az: 0.0413361
ax: -1.02132 | ay: -1.07159 | az: 0.0681152
ax: -1.03787 | ay: -1.31181 | az: 0.0296478
ax: -0.81604 | ay: -1.46941 | az: -0.0495148
ax: -0.701904 | ay: -1.64757 | az: 0.370926
ax: -0.563782 | ay: -1.96529 | az: 0.918625
ax: -0.492386 | ay: -0.92247 | az: 0.343765
ax: 0.0648804 | ay: -0.215729 | az: -0.474747
ax: -0.0154266 | ay: 1.70384 | az: 0.382111
ax: -0.355438 | ay: 0.34816 | az: 0.550354
ax: -0.423904 | ay: -0.391098 | az: 0.217667
ax: -0.304413 | ay: -0.0210571 | az: -0.0520477
ax: 0.0207214 | ay: -0.186111 | az: -0.536865
ax: -0.3508 | ay: -0.46965 | az: -0.192093
ax: -0.0158844 | ay: -0.119202 | az: -0.0218048
ax: 0.0100403 | ay: 0.115814 | az: -0.0137939
ax: -0.0330658 | ay: 0.170959 | az: -0.0280609
ax: -0.00178528 | ay: 0.230606 | az: -0.0490417
ax: 0.00328064 | ay: 0.0944061 | az: -0.0874329
ax: 0.0270386 | ay: 0.149261 | az: -0.160507
ax: 0.0371857 | ay: 0.144409 | az: -0.141312
ax: 0.0258789 | ay: 0.195892 | az: 0.0362244
ax: -0.0150757 | ay: 0.117279 | az: 0.0982208
ax: 0.0219421 | ay: 0.0805664 | az: -0.00270081
ax: 0.0052948 | ay: 0.0821228 | az: -0.0561371
ax: -0.00486755 | ay: 0.101761 | az: -0.0154419
ax: -0.0468903 | ay: 0.102448 | az: 0.0220947
ax: -0.0298157 | ay: 0.0998383 | az: 0.038559
ax: -0.0467834 | ay: 0.0926819 | az: -0.0157928
ax: -0.0601654 | ay: 0.0951996 | az: -0.0229492
ax: -0.050766 | ay: 0.0681915 | az: -0.00492859
ax: -0.0347595 | ay: 0.068222 | az: 0.000854492
ax: -0.0608978 | ay: 0.0856781 | az: -0.0203247
ax: -0.113937 | ay: 0.109299 | az: -0.0467682
ax: -0.159943 | ay: 0.14801 | az: -0.0136871
ax: -0.254578 | ay: 0.168335 | az: 0.0487518
ax: -0.247025 | ay: 0.173691 | az: 0.00224304
ax: -0.259521 | ay: 0.196381 | az: -0.0684967
ax: -0.334641 | ay: 0.138733 | az: -0.108963
ax: -0.51593 | ay: 0.127853 | az: -0.0832367
ax: -0.967529 | ay: 0.151108 | az: -0.124008
ax: -1.08665 | ay: 0.673737 | az: -0.478653
ax: -0.79422 | ay: 1.37541 | az: -0.722977
ax: -0.905502 | ay: 0.994034 | az: 0.0311737
ax: -0.601486 | ay: 0.621475 | az: -0.316788
ax: -0.425034 | ay: 0.322983 | az: -0.452591
ax: -0.0243683 | ay: 0.355347 | az: -0.680878
ax: 0.706482 | ay: 0.00524902 | az: -0.368744
ax: 0.187943 | ay: 0.0498962 | az: -0.255035
ax: 0.496094 | ay: 0.161087 | az: -0.0335236
time: 1
[20210810070748.217]
> sum ax: -11.5701 | sum ay: 0.0323181 | sum az: -2.49918
>> avg ax: -0.231401 | avg ay: 0.000646362 | avg az: -0.0499835
>>> vx: -1.13387 | vy: 0.00316728 | vz: -0.244919
>>> sx: -0.658993 | sy: -0.504063 | sz: 0.0755527
>>> a: 0.236739
>>> v: 1.16002
>>> s: 0.833102

ax: 0.604706 | ay: 0.703751 | az: -0.0448151
ax: 0.686661 | ay: 0.79892 | az: -0.14386
ax: 0.67865 | ay: 0.637146 | az: -0.131332
ax: 0.608795 | ay: 0.473755 | az: -0.0837097
ax: 0.534668 | ay: 0.372589 | az: 0.0182953
ax: 0.483139 | ay: 0.296524 | az: -0.047821
ax: 0.447052 | ay: 0.254807 | az: -0.0638275
ax: 0.330002 | ay: 0.191925 | az: -0.0972137
ax: 0.0550995 | ay: 0.117844 | az: -0.108719
ax: -0.211807 | ay: -0.0988159 | az: -0.0729218
ax: -0.501633 | ay: -0.177643 | az: 0.00650024
ax: -0.901291 | ay: -0.538101 | az: -0.00798035
ax: -1.10683 | ay: -1.19902 | az: 0.0458069
ax: -1.15218 | ay: -1.65785 | az: 0.0845642
ax: -1.0769 | ay: -1.91089 | az: -0.0518036
ax: -0.929199 | ay: -2.04968 | az: 0.254181
ax: -0.793228 | ay: -2.35312 | az: 1.16017
ax: -0.580795 | ay: -1.50757 | az: 0.548767
ax: -0.444229 | ay: -1.59683 | az: 0.251144
ax: -0.00697327 | ay: 1.08044 | az: 0.230789
ax: -0.371124 | ay: 0.810333 | az: 0.53894
ax: -0.712219 | ay: -0.974274 | az: 0.443298
ax: -0.602844 | ay: -0.557404 | az: -0.084671
ax: -0.0232086 | ay: -0.269012 | az: -0.165146
ax: -0.138504 | ay: -0.768127 | az: -0.240753
ax: -0.0222015 | ay: -0.263214 | az: 0.0320892
ax: -0.0494995 | ay: -0.179016 | az: 0.0924835
ax: -0.103271 | ay: -0.16655 | az: 0.0767822
ax: -0.0741119 | ay: -0.0969086 | az: 0.0694733
ax: -0.0782013 | ay: -0.11937 | az: 0.00149536
ax: -0.0134125 | ay: -0.150711 | az: -0.144882
ax: -0.0112152 | ay: -0.0515594 | az: -0.0319977
ax: -0.0306854 | ay: -0.0601654 | az: 0.13768
ax: -0.0276947 | ay: -0.10231 | az: 0.0957642
ax: -0.00726318 | ay: -0.114197 | az: 0.00238037
ax: 0.0258789 | ay: -0.0772095 | az: -0.0432434
ax: 0.0267029 | ay: -0.0201721 | az: -0.00299072
ax: 0.00491333 | ay: -0.0810547 | az: 0.0433502
ax: -0.0176086 | ay: -0.0587463 | az: 0.0800018
ax: -0.035675 | ay: -0.0951843 | az: 0.102249
ax: -0.0748596 | ay: -0.0664062 | az: 0.0890198
ax: -0.069809 | ay: -0.0731201 | az: 0.0453339
ax: -0.0455475 | ay: -0.0544128 | az: -0.00509644
ax: -0.0533142 | ay: 0.0220642 | az: -0.0106659
ax: -0.0875092 | ay: 0.0341187 | az: 0.00701904
ax: -0.140884 | ay: 0.0339508 | az: 0.0292969
ax: -0.201981 | ay: 0.026825 | az: 0.0686798
ax: -0.221085 | ay: 0.0350189 | az: 0.0669708
ax: -0.263443 | ay: 0.0304108 | az: 0.0116119
ax: -0.300629 | ay: 0.0426331 | az: -0.0707245
time: 2
[20210810070749.216]
> sum ax: -6.9966 | sum ay: -11.5256 | sum az: 2.97997
