steps: 0
ax: -0.0130463 | ay: 0.158417 | az: 0.0140381
ax: -0.521606 | ay: -0.516129 | az: -0.122513
ax: -0.485641 | ay: -0.559875 | az: 0.0142365
ax: -0.39003 | ay: -0.550583 | az: 0.140732
ax: -0.287567 | ay: -0.61882 | az: 0.261948
ax: -0.230042 | ay: -0.795181 | az: 0.433136
ax: -0.218735 | ay: -0.887283 | az: 0.375916
ax: -0.406174 | ay: -0.708206 | az: -0.023819
ax: -0.0363617 | ay: -0.848785 | az: 0.134491
ax: 0.0943604 | ay: 1.06821 | az: -0.392715
ax: -0.139511 | ay: 1.48302 | az: 0.217575
ax: -0.708939 | ay: -0.353729 | az: 0.144577
ax: -0.543442 | ay: 0.389053 | az: -0.00567627
ax: -0.0211334 | ay: 0.16481 | az: -0.101883
ax: 0.0815887 | ay: -0.0853271 | az: -0.376465
ax: -0.122498 | ay: -0.0282593 | az: -0.168091
ax: -0.0307007 | ay: 0.139145 | az: -0.0693665
ax: 0.0167694 | ay: 0.35997 | az: -0.118591
ax: -0.0599365 | ay: 0.312851 | az: -0.0934906
ax: -0.0594788 | ay: 0.312256 | az: -0.100845
ax: -0.0113068 | ay: 0.413483 | az: -0.174988
ax: -0.00498962 | ay: 0.318512 | az: -0.220871
ax: 0.00645447 | ay: 0.356079 | az: -0.149292
ax: -0.0143127 | ay: 0.30722 | az: -0.092865
ax: -0.00642395 | ay: 0.287018 | az: -0.0617065
ax: -0.0175476 | ay: 0.23996 | az: -0.0945435
ax: -0.0178833 | ay: 0.240738 | az: -0.078949
ax: -0.0243683 | ay: 0.255219 | az: -0.0936432
ax: -0.0308685 | ay: 0.245224 | az: -0.101028
ax: -0.0469208 | ay: 0.22702 | az: -0.0941162
ax: -0.0496674 | ay: 0.251465 | az: -0.078125
ax: -0.0449219 | ay: 0.283539 | az: -0.115707
ax: -0.0609283 | ay: 0.266373 | az: -0.105057
ax: -0.0531006 | ay: 0.255783 | az: -0.114914
ax: -0.0670471 | ay: 0.197632 | az: -0.0839081
ax: -0.0843964 | ay: 0.220779 | az: -0.050415
ax: -0.11319 | ay: 0.20993 | az: -0.062027
ax: -0.12677 | ay: 0.194199 | az: -0.0801239
ax: -0.151718 | ay: 0.195526 | az: -0.0402069
ax: -0.182693 | ay: 0.190506 | az: -0.0954742
ax: -0.209717 | ay: 0.234329 | az: -0.101974
ax: -0.219086 | ay: 0.22467 | az: -0.0773621
ax: -0.2509 | ay: 0.252487 | az: -0.0608215
ax: -0.329086 | ay: 0.225021 | az: -0.0838318
ax: -0.481796 | ay: 0.242416 | az: -0.111237
ax: -0.62262 | ay: 0.347061 | az: -0.198792
ax: -0.717804 | ay: 0.739792 | az: -0.48468
ax: -0.929352 | ay: 0.699387 | az: -0.520874
ax: -0.670242 | ay: 0.963287 | az: -0.408463
ax: -0.752106 | ay: 0.673599 | az: -0.033371
time: 1
[20210810071437.830]
> sum ax: -10.3674 | sum ay: 8.1938 | sum az: -3.90617
>> avg ax: -0.207349 | avg ay: 0.163876 | avg az: -0.0781235
>>> vx: -1.01601 | vy: 0.802993 | vz: -0.382805
>>> sx: -0.422926 | sy: 0.0643986 | sz: -0.0693378
>>> a: 0.275594
>>> v: 1.35041
>>> s: 0.433383

ax: -0.469055 | ay: 0.558502 | az: -0.247726
ax: -0.416824 | ay: 0.130264 | az: -0.381805
ax: -0.0320587 | ay: 0.160019 | az: -0.42659
ax: 0.374786 | ay: 0.0570831 | az: -0.337143
ax: 0.101776 | ay: 0.240784 | az: -0.223618
ax: 0.468323 | ay: 0.682724 | az: -0.197235
ax: 0.489777 | ay: 0.907562 | az: -0.0905609
ax: 0.557556 | ay: 0.658356 | az: -0.0509644
ax: 0.530457 | ay: 0.545395 | az: -0.0218964
ax: 0.499542 | ay: 0.499054 | az: 0.014679
ax: 0.533432 | ay: 0.517715 | az: -0.080307
ax: 0.463348 | ay: 0.486176 | az: -0.10289
ax: 0.288315 | ay: 0.301941 | az: -0.0843506
ax: 0.13855 | ay: 0.215927 | az: 0.0350342
ax: -0.0909271 | ay: 0.0438385 | az: 0.0126953
ax: -0.335495 | ay: -0.210709 | az: -0.0423431
ax: -0.444687 | ay: -0.39267 | az: -0.140854
ax: -0.64975 | ay: -0.570526 | az: -0.249557
ax: -0.880585 | ay: -0.742966 | az: -0.162247
ax: -1.01721 | ay: -1.03452 | az: 0.0201263
ax: -1.02426 | ay: -1.34583 | az: 0.117279
ax: -0.943176 | ay: -1.4707 | az: 0.496475
ax: -0.642517 | ay: -1.14957 | az: 0.905273
ax: -0.398514 | ay: -1.48163 | az: 0.415375
ax: -0.414413 | ay: -1.78232 | az: 0.255432
ax: -0.308685 | ay: -1.72125 | az: 0.172852
ax: -0.391708 | ay: -0.790009 | az: 0.385101
ax: -0.0696411 | ay: 1.26402 | az: 0.181625
ax: -0.28389 | ay: 0.00595093 | az: 0.152039
ax: -0.405228 | ay: -0.333755 | az: 0.216904
ax: -0.18277 | ay: -0.132828 | az: -0.185394
ax: 0.00128174 | ay: -0.303741 | az: -0.238235
ax: -0.181503 | ay: -0.502396 | az: -0.146851
ax: 0.00727844 | ay: -0.150574 | az: 0.0589905
ax: -0.0628662 | ay: -0.0121765 | az: 0.0374451
ax: -0.0386658 | ay: -0.0220032 | az: 0.138428
ax: -0.0945129 | ay: -0.0737457 | az: 0.0514832
ax: -0.0997314 | ay: -0.138 | az: -0.0413818
ax: -0.022049 | ay: -0.0563202 | az: -0.0773315
ax: -0.00709534 | ay: -0.0518341 | az: -0.0852814
ax: -0.0245819 | ay: 0.0698395 | az: 0.0698853
ax: -0.0231476 | ay: 0.0309448 | az: 0.123795
ax: 0.0032196 | ay: -0.0184326 | az: 0.00111389
ax: 0.0337219 | ay: -0.0498657 | az: -0.0230255
ax: -0.0222931 | ay: 0.0665283 | az: 0.0384979
ax: -0.0129852 | ay: 0.0472412 | az: 0.0366211
ax: -0.00212097 | ay: -0.01091 | az: 0.0196381
ax: -0.0151825 | ay: -0.0122681 | az: 0.0193024
ax: -0.0210876 | ay: 0.00999451 | az: 0.0217285
ax: -0.0300751 | ay: -0.000457764 | az: 0.0258789
time: 2
[20210810071438.818]
> sum ax: -5.56793 | sum ay: -7.06213 | sum az: 0.386108
>> avg ax: -0.111359 | avg ay: -0.141243 | avg az: 0.00772217
>>> vx: -0.545657 | vy: -0.692089 | vz: 0.0378386
>>> sx: -0.220457 | sy: -0.199007 | sz: -0.0797035
>>> a: 0.180027
>>> v: 0.882134
>>> s: 0.307502

ax: -0.0231934 | ay: 0.00778198 | az: 0.000900269
ax: -0.0733185 | ay: -0.0395508 | az: 0.0104675
ax: -0.0918274 | ay: 0.0210724 | az: -0.0179443
ax: -0.0871887 | ay: 0.0788422 | az: -0.00497437
ax: -0.121536 | ay: 0.0742493 | az: -0.0348511
ax: -0.190674 | ay: 0.141647 | az: -0.0482025
ax: -0.202301 | ay: 0.102417 | az: 0.0432281
ax: -0.235184 | ay: 0.101151 | az: 0.0337219
ax: -0.283966 | ay: 0.103516 | az: -0.0120392
ax: -0.371552 | ay: 0.134064 | az: -0.153625
ax: -0.464737 | ay: 0.133347 | az: -0.107178
ax: -0.716782 | ay: 0.175629 | az: -0.0910492
ax: -0.95665 | ay: 0.592682 | az: -0.343872
ax: -0.85733 | ay: 1.11186 | az: -0.361374
ax: -0.806473 | ay: 0.907837 | az: 0.0628967
ax: -0.485947 | ay: 0.516296 | az: -0.186279
ax: -0.441803 | ay: 0.0254211 | az: -0.445892
ax: 0.0298157 | ay: 0.190521 | az: -0.473923
ax: 0.591003 | ay: -0.259766 | az: -0.42215
