>>> v: 0.584237
>>> s: 0.440782

ax: 0.0740051 | ay: 0.860703 | az: 0.590988
ax: 0.0516357 | ay: 0.736984 | az: 0.551788
ax: -0.00178528 | ay: 0.594116 | az: 0.508408
ax: -0.070343 | ay: 0.499924 | az: 0.452194
ax: -0.135925 | ay: 0.409805 | az: 0.372147
ax: -0.193619 | ay: 0.361313 | az: 0.295776
ax: -0.285339 | ay: 0.329956 | az: 0.213318
ax: -0.346634 | ay: 0.242828 | az: 0.143356
ax: -0.380981 | ay: 0.140579 | az: 0.0951385
ax: -0.355743 | ay: 0.0519104 | az: 0.0306396
ax: -0.37706 | ay: -0.00639343 | az: 0.0098114
ax: -0.602188 | ay: -0.00862122 | az: -0.0149536
ax: -0.932281 | ay: -0.0472107 | az: 0.062912
ax: -0.521851 | ay: -0.132965 | az: -0.0145264
ax: -0.518387 | ay: -0.251328 | az: -0.178192
ax: -0.685013 | ay: -0.263824 | az: -0.246521
ax: -0.676651 | ay: -0.319443 | az: -0.270432
ax: -0.723389 | ay: -0.425964 | az: -0.281769
ax: -0.553436 | ay: -0.486588 | az: -0.288467
ax: -0.419006 | ay: -0.5242 | az: -0.36702
ax: -0.311447 | ay: -0.580078 | az: -0.40834
ax: -0.208633 | ay: -0.611664 | az: -0.402023
ax: -0.17717 | ay: -0.6436 | az: -0.404984
ax: -0.220688 | ay: -0.69371 | az: -0.3797
ax: -0.225876 | ay: -0.709457 | az: -0.358154
ax: -0.199036 | ay: -0.726532 | az: -0.359085
ax: -0.222046 | ay: -0.734604 | az: -0.392487
ax: -0.222214 | ay: -0.705231 | az: -0.378342
ax: -0.233658 | ay: -0.697433 | az: -0.361969
ax: -0.201416 | ay: -0.725037 | az: -0.33522
ax: -0.16394 | ay: -0.719177 | az: -0.323837
ax: -0.229294 | ay: -0.67247 | az: -0.293488
ax: -0.2677 | ay: -0.615921 | az: -0.26358
ax: -0.270386 | ay: -0.551743 | az: -0.228806
ax: -0.22583 | ay: -0.509888 | az: -0.16214
ax: -0.21611 | ay: -0.446121 | az: -0.0966492
ax: -0.254745 | ay: -0.356812 | az: -0.0535889
ax: -0.413467 | ay: -0.330124 | az: -0.091156
ax: -0.908447 | ay: -0.156036 | az: -0.0437927
