ax: -0.02771 | ay: 0.228973 | az: -0.210693
ax: 1.04468 | ay: -0.452194 | az: -0.848007
ax: 0.625626 | ay: -1.16875 | az: -0.446579
ax: -0.340637 | ay: -0.218307 | az: -0.416367
ax: -0.895828 | ay: 0.936523 | az: -0.287399
ax: 0.0428925 | ay: -0.319016 | az: -0.0209656
ax: -0.771896 | ay: -0.798203 | az: -0.424347
ax: -0.677933 | ay: -0.747192 | az: -0.439758
ax: -0.703079 | ay: -0.596756 | az: -0.237152
ax: -0.708221 | ay: -0.348923 | az: -0.0832214
ax: -0.675812 | ay: -0.181641 | az: 0.0621185
ax: -0.583023 | ay: -0.186172 | az: 0.11937
ax: -0.505096 | ay: -0.131653 | az: 0.131866
ax: -0.366486 | ay: -0.0844269 | az: 0.202789
ax: -0.0903473 | ay: 0.0178223 | az: 0.26709
ax: 0.344727 | ay: 0.355789 | az: 0.305511
ax: 0.952133 | ay: 0.717529 | az: 0.451248
ax: 1.23773 | ay: 1.48979 | az: 0.472717
ax: 1.313 | ay: 2.2504 | az: 0.700424
ax: 1.36914 | ay: 2.57945 | az: 1.00037
ax: 1.00032 | ay: 2.58665 | az: 1.51004
ax: 0.854446 | ay: 2.56157 | az: 1.76036
ax: 0.866074 | ay: 1.45485 | az: 0.625946
ax: 1.02165 | ay: -1.49702 | az: -0.726959
ax: 1.26016 | ay: 1.47975 | az: 1.28957
ax: 1.12888 | ay: 0.397095 | az: 0.677383
ax: -0.133423 | ay: 1.70184 | az: 0.297653
ax: 0.260345 | ay: 0.774414 | az: 0.0557404
ax: 0.340698 | ay: 0.88324 | az: 0.437561
ax: 0.224838 | ay: 0.605042 | az: 0.220108
ax: 0.0212555 | ay: 0.314896 | az: 0.0594177
ax: -0.0144958 | ay: 0.0197601 | az: -0.123566
ax: 0.0230255 | ay: 0.088028 | az: -0.135864
ax: -0.0351715 | ay: 0.226242 | az: -0.0352325
ax: -0.00845337 | ay: 0.271011 | az: 0.109772
ax: 0.0656128 | ay: 0.231689 | az: 0.0880127
ax: 0.056839 | ay: 0.0930176 | az: 0.120605
ax: 0.0674286 | ay: -0.0397034 | az: 0.109741
ax: 0.0354156 | ay: -0.0696259 | az: -0.0505524
ax: 0.00900269 | ay: 0.150909 | az: -0.118073
ax: 0.0554199 | ay: 0.102386 | az: 0.121689
ax: 0.204483 | ay: 0.228226 | az: 0.11467
ax: 0.246384 | ay: 0.090683 | az: -0.0059967
ax: 0.358719 | ay: -0.126709 | az: -0.0358887
ax: 0.567429 | ay: -0.122299 | az: -0.095932
ax: 0.6716 | ay: -0.357681 | az: -0.0096283
ax: 0.757065 | ay: -0.462723 | az: -0.140808
ax: 0.953842 | ay: -0.490479 | az: -0.503036
ax: 1.04337 | ay: -0.698837 | az: -0.930038
ax: 1.05936 | ay: -1.46912 | az: -1.85176
1: [20200927210754.188]
> sum ax: 13.546 | sum ay: 12.2702 | sum az: 3.13394
>> avg ax: 0.27092 | avg ay: 0.245403 | avg az: 0.0626788
>>> vx: 2.65501 | vy: 2.40495 | vz: 0.614253
>>> sx: 0.764908 | sy: 1.4431 | sz: 0.506198
>>> a: 0.370876
>>> v: 3.63458
>>> s: 1.70993

ax: 1.0778 | ay: -0.707397 | az: -0.66188
ax: 0.914185 | ay: -1.24557 | az: -1.50204
ax: 0.000701904 | ay: -0.115967 | az: -0.879654
ax: -0.521027 | ay: 1.49199 | az: -0.314758
ax: 0.135254 | ay: -0.55719 | az: -0.40535
ax: -0.555756 | ay: -1.10303 | az: -0.42868
ax: -0.666031 | ay: -0.766479 | az: -0.327759
ax: -0.698959 | ay: -0.660431 | az: -0.205475
ax: -0.644775 | ay: -0.524597 | az: -0.172607
ax: -0.636444 | ay: -0.331833 | az: -0.0896454
ax: -0.52861 | ay: -0.187408 | az: 0.00364685
ax: -0.468567 | ay: -0.152634 | az: 0.0337219
ax: -0.356918 | ay: -0.116333 | az: 0.0784302
ax: -0.113373 | ay: 0.0563049 | az: 0.131195
ax: 0.278656 | ay: 0.130569 | az: 0.193329
ax: 0.912262 | ay: 0.680481 | az: 0.428177
ax: 1.19691 | ay: 1.42393 | az: 0.51004
ax: 1.27319 | ay: 2.19693 | az: 0.806427
ax: 1.33076 | ay: 2.5179 | az: 1.07188
ax: 1.16594 | ay: 2.5257 | az: 1.36127
ax: 0.853088 | ay: 2.49986 | az: 2.2079
ax: 0.893082 | ay: 1.21611 | az: 1.66043
ax: 1.26137 | ay: -1.55058 | az: -0.729919
ax: 1.13873 | ay: 2.1205 | az: 1.80559
ax: 0.832291 | ay: 0.685089 | az: 0.266464
ax: 0.18483 | ay: 1.83582 | az: 0.365051
ax: -0.207413 | ay: 0.414307 | az: 0.219818
ax: 0.212677 | ay: 1.31157 | az: 0.0564728
ax: 0.0116425 | ay: 0.0383911 | az: 0.359924
ax: 0.0523071 | ay: 0.136963 | az: 0.131927
ax: 0.0623169 | ay: 0.128586 | az: 0.154373
ax: 0.0296326 | ay: 0.118896 | az: -0.0334778
ax: 0.0283356 | ay: 0.220871 | az: 0.000473022
ax: -0.0196991 | ay: 0.271973 | az: -0.118881
ax: 0.032074 | ay: 0.0692749 | az: 0.0574188
ax: 0.0774994 | ay: 0.0228729 | az: 0.0603638
ax: 0.0244293 | ay: -0.0808868 | az: 0.00634766
ax: -0.0360718 | ay: -0.0310974 | az: -0.0491333
ax: -0.00871277 | ay: -0.0252075 | az: 0.0278015
ax: 0.099884 | ay: 0.0812531 | az: 0.119431
ax: 0.185242 | ay: 1.52588e-05 | az: 0.0733337
ax: 0.308945 | ay: -0.122757 | az: 0.0424194
ax: 0.449844 | ay: -0.198868 | az: -0.117691
ax: 0.583481 | ay: -0.200317 | az: -0.108841
ax: 0.635529 | ay: -0.39978 | az: 0.0170288
ax: 0.731247 | ay: -0.384003 | az: -0.289139
ax: 0.983032 | ay: -0.400208 | az: -0.61438
