ax: 0.00621033 | ay: 0.00346375 | az: -0.0142517
ax: 0.00608826 | ay: -0.00140381 | az: -0.00791931
ax: -0.00404358 | ay: -0.00325012 | az: -0.0205994
ax: 0.00656128 | ay: 0.00161743 | az: 0.00137329
2: [20200915132119.362]
> sum ax: 0.0704651 | sum ay: -0.00772095 | sum az: -0.295761
>> avg ax: 0.0014093 | avg ay: -0.000154419 | avg az: -0.00591522
>>> vx: 0.0089632 | vy: 0.00345129 | vz: -0.134627
>>> sx: 0.0035784 | sy: 0.00442543 | sz: -0.110302
>>> a: 0.00608275
>>> v: 0.13497
>>> s: 0.110449

ax: 0.00115967 | ay: 0.00204468 | az: -0.00645447
ax: -0.00363159 | ay: -0.00517273 | az: 0.0038147
ax: 0.00123596 | ay: -0.00547791 | az: 0.00138855
ax: 0.000244141 | ay: -0.00201416 | az: 0.00138855
ax: 0.00265503 | ay: 0.00186157 | az: -0.0132751
ax: 0.00160217 | ay: 0.00653076 | az: 0.00233459
ax: 0.00109863 | ay: -0.00457764 | az: -0.0157166
ax: -0.00177002 | ay: -0.00494385 | az: -0.0015564
ax: -0.00361633 | ay: -0.00190735 | az: -0.00740051
ax: -0.00117493 | ay: -0.00660706 | az: -0.0142212
ax: 0.00270081 | ay: 0.00318909 | az: -0.0137329
ax: -0.00260925 | ay: 0.000717163 | az: 0.00482178
ax: 0.00317383 | ay: 0.00170898 | az: -0.003479
ax: 0.0020752 | ay: -0.00360107 | az: 0.00871277
ax: -0.00317383 | ay: 0.00506592 | az: -0.018631
ax: 0.00169373 | ay: -0.000747681 | az: -0.011795
ax: -0.00128174 | ay: 0.00738525 | az: 0.000900269
ax: 0.000686646 | ay: -0.00285339 | az: -0.00105286
ax: 0.000686646 | ay: 0.0058136 | az: -0.00204468
ax: 0.00453186 | ay: -0.00579834 | az: -0.011322
ax: 0.00631714 | ay: 0.000518799 | az: 0.00282288
ax: -0.00669861 | ay: 0.00291443 | az: -0.0039978
ax: -0.000808716 | ay: 0.00337219 | az: -0.00497437
