steps: 0
ax: -0.08078 | ay: 0.0118713 | az: 0.10965
ax: -0.0393066 | ay: -0.103058 | az: 0.0220184
ax: -0.0822754 | ay: -0.133286 | az: 0.0415497
ax: -0.112518 | ay: -0.118301 | az: 0.0597229
ax: -0.166275 | ay: -0.0366974 | az: 0.00619507
ax: -0.230667 | ay: -0.11792 | az: 0.0440521
ax: -0.240173 | ay: 0.062561 | az: 0.174988
ax: -0.342285 | ay: 0.0482025 | az: 0.164597
ax: -0.458115 | ay: 0.00257874 | az: -0.0791626
ax: -0.736862 | ay: 0.0404968 | az: -0.26918
ax: -1.04391 | ay: 0.275177 | az: -0.420593
ax: -1.05673 | ay: 0.940475 | az: -0.776855
ax: -1.07054 | ay: 0.97168 | az: -0.282166
ax: -0.987778 | ay: 0.878952 | az: -0.470688
ax: -0.708405 | ay: 0.601471 | az: -0.428787
ax: 0.206436 | ay: 0.404892 | az: -0.739578
ax: 1.00327 | ay: -0.363831 | az: -0.226089
ax: 0.345764 | ay: -0.516876 | az: -0.0300446
ax: 0.512146 | ay: 0.481598 | az: 0.0793457
ax: 0.808853 | ay: 1.02583 | az: -0.137527
ax: 0.7724 | ay: 0.848129 | az: -0.196732
ax: 0.700287 | ay: 0.659454 | az: -0.0819397
ax: 0.671356 | ay: 0.456787 | az: -0.0630035
ax: 0.6259 | ay: 0.284439 | az: -0.0731964
ax: 0.547867 | ay: 0.279282 | az: -0.0684967
ax: 0.469772 | ay: 0.214722 | az: -0.00692749
ax: 0.333633 | ay: 0.122971 | az: 0.0143585
ax: 0.140594 | ay: 0.0668335 | az: 0.0340729
ax: -0.163849 | ay: -0.130035 | az: -0.00857544
ax: -0.517349 | ay: -0.281143 | az: 0.155243
ax: -1.05409 | ay: -0.869965 | az: 0.117859
ax: -1.12096 | ay: -1.46843 | az: 0.0177765
ax: -1.16615 | ay: -1.89554 | az: 0.158325
ax: -1.05724 | ay: -2.1082 | az: 0.144547
ax: -0.889236 | ay: -2.28915 | az: 0.546585
ax: -0.788788 | ay: -2.05275 | az: 1.21329
ax: -0.767746 | ay: -1.69699 | az: 0.746368
ax: 0.0726776 | ay: 0.19252 | az: 0.25415
ax: -0.330124 | ay: 1.56171 | az: 0.636017
ax: -0.86908 | ay: -1.49159 | az: 0.602127
ax: -0.36377 | ay: -0.513885 | az: -0.212631
ax: -0.177124 | ay: -0.628937 | az: -0.279877
ax: -0.0781555 | ay: -0.726608 | az: -0.133408
ax: -0.195633 | ay: -0.570877 | az: 0.29184
ax: -0.176727 | ay: -0.333862 | az: 0.14389
ax: -0.0995178 | ay: -0.165833 | az: 0.0635681
ax: -0.0798035 | ay: -0.136002 | az: 0.127884
ax: -0.063858 | ay: -0.0856018 | az: 0.0271912
ax: -0.0116272 | ay: -0.0629883 | az: -0.00906372
ax: -0.0126038 | ay: -0.235016 | az: -0.194016
time: 1
[20210811070557.204]
> sum ax: -10.1291 | sum ay: -8.70074 | sum az: 0.80867
>> avg ax: -0.202582 | avg ay: -0.174015 | avg az: 0.0161734
>>> vx: -0.992652 | vy: -0.852673 | vz: 0.0792497
>>> sx: -0.465659 | sy: 0.00218598 | sz: -0.12125
>>> a: 0.267549
>>> v: 1.31099
>>> s: 0.48119

ax: 0.0196838 | ay: -0.0417633 | az: -0.00430298
ax: -0.00778198 | ay: -0.0199738 | az: 0.18895
ax: -0.052475 | ay: -0.0296631 | az: 0.201599
ax: -0.0224915 | ay: -0.12558 | az: 0.0889587
ax: -0.000350952 | ay: -0.133224 | az: -0.0412598
ax: -0.0190582 | ay: -0.127655 | az: 0.0231628
ax: -0.0218811 | ay: -0.10289 | az: 0.115189
ax: -0.0597382 | ay: -0.0414429 | az: 0.099823
ax: -0.0625 | ay: -0.0518036 | az: 0.0534821
ax: -0.0887146 | ay: -0.124405 | az: 0.0269165
ax: -0.106537 | ay: -0.0781555 | az: -0.0328827
ax: -0.116943 | ay: 0.0112 | az: 0.0849609
ax: -0.293823 | ay: 0.130737 | az: 0.0680237
ax: -0.285156 | ay: 0.00869751 | az: 0.0558472
ax: -0.363113 | ay: 0.101379 | az: 0.0614471
ax: -0.438736 | ay: 0.123703 | az: 0.0485535
ax: -0.563538 | ay: 0.183823 | az: -0.142853
ax: -0.970444 | ay: 0.182861 | az: -0.161301
ax: -1.07024 | ay: 0.778458 | az: -0.52536
ax: -1.08583 | ay: 1.49669 | az: -0.551239
ax: -1.10352 | ay: 0.839294 | az: -0.0617371
ax: -0.940948 | ay: 1.11143 | az: -0.391556
ax: -0.325394 | ay: 0.612015 | az: -0.686172
ax: 0.713074 | ay: 0.654083 | az: -0.58963
ax: -0.136948 | ay: -0.171707 | az: -0.293961
ax: 0.0843964 | ay: -0.0652618 | az: 0.000198364
ax: 0.8172 | ay: 0.997635 | az: -0.120987
ax: 0.723251 | ay: 1.09186 | az: -0.0985413
ax: 0.709961 | ay: 0.765213 | az: -0.145477
ax: 0.648926 | ay: 0.584793 | az: -0.0820618
ax: 0.600067 | ay: 0.321198 | az: -0.0813293
ax: 0.515274 | ay: 0.125183 | az: -0.121323
ax: 0.41597 | ay: 0.118179 | az: -0.113266
ax: 0.281815 | ay: 0.0235443 | az: -0.138626
ax: -0.00596619 | ay: -0.0585022 | az: -0.126099
ax: -0.34816 | ay: -0.158752 | az: -0.0140381
ax: -0.818085 | ay: -0.6185 | az: 0.107269
ax: -1.10962 | ay: -1.24921 | az: 0.110855
ax: -1.16104 | ay: -1.7989 | az: 0.302902
ax: -1.20647 | ay: -1.95795 | az: 0.323883
ax: -1.05722 | ay: -2.27515 | az: 0.369354
ax: -0.960556 | ay: -2.52037 | az: 1.076
ax: -0.629654 | ay: -1.87091 | az: 1.00557
ax: -0.293106 | ay: -1.09438 | az: 0.42131
ax: -0.500107 | ay: 1.56674 | az: 0.715149
ax: -0.606659 | ay: -0.456604 | az: 0.439758
ax: -0.838425 | ay: -0.672455 | az: 0.211075
ax: -0.125977 | ay: -0.425827 | az: -0.119705
ax: -0.103653 | ay: -0.593307 | az: -0.301392
ax: -0.0986176 | ay: -0.627182 | az: -0.0853271
time: 2
[20210811070558.209]
> sum ax: -12.4698 | sum ay: -5.6628 | sum az: 1.16982
>> avg ax: -0.249397 | avg ay: -0.113256 | avg az: 0.0233963
>>> vx: -1.22205 | vy: -0.554954 | vz: 0.114642
>>> sx: -0.467686 | sy: 0.187898 | sz: -0.0677997
>>> a: 0.274906
>>> v: 1.34704
>>> s: 0.508559

ax: -0.190292 | ay: -0.55986 | az: 0.082016
ax: -0.05867 | ay: -0.0940704 | az: 0.0837708
ax: -0.0680084 | ay: -0.0953369 | az: 0.125473
ax: -0.111176 | ay: -0.0689392 | az: 0.195221
ax: -0.0470276 | ay: -0.052887 | az: -0.00927734
ax: -0.00520325 | ay: -0.0633545 | az: -0.184723
ax: 0.00708008 | ay: -0.109558 | az: -0.141388
ax: -0.0193176 | ay: 0.0344391 | az: 0.117477
ax: -0.0735931 | ay: 0.0282745 | az: 0.230713
ax: -0.0457458 | ay: -0.101196 | az: 0.120239
ax: -0.00720215 | ay: -0.122299 | az: 0.024353
ax: -0.0284576 | ay: -0.109955 | az: 0.0496368
ax: -0.0434875 | ay: -0.0673218 | az: 0.101471
ax: -0.0363007 | ay: -0.0841827 | az: 0.125366
ax: -0.0530548 | ay: -0.0523987 | az: 0.121704
ax: -0.0614777 | ay: -0.0276031 | az: 0.088028
ax: -0.145218 | ay: 0.00842285 | az: -0.000823975
ax: -0.125031 | ay: -0.0529327 | az: -0.016861
ax: -0.205658 | ay: 0.0739899 | az: 0.0179291
ax: -0.280914 | ay: 0.0814514 | az: 0.0436859
ax: -0.363434 | ay: 0.138855 | az: 0.0833588
ax: -0.412659 | ay: 0.195831 | az: 0.123627
ax: -0.421768 | ay: 0.173019 | az: -0.0146332
ax: -0.626495 | ay: 0.151794 | az: -0.181335
ax: -1.06744 | ay: 0.467239 | az: -0.442551
ax: -1.09662 | ay: 1.39651 | az: -0.818314
ax: -1.11604 | ay: 1.16469 | az: 0.0561371
ax: -0.996353 | ay: 0.809631 | az: -0.440445
ax: -0.854111 | ay: 0.756454 | az: -0.288681
ax: 0.119247 | ay: 0.638962 | az: -0.662674
ax: 0.393753 | ay: -0.259109 | az: -0.250305
ax: 0.304199 | ay: -0.257629 | az: -0.307968
ax: 0.659866 | ay: 0.954742 | az: -0.140411
ax: 0.689468 | ay: 1.13344 | az: -0.061676
ax: 0.708145 | ay: 0.803543 | az: -0.067215
ax: 0.655014 | ay: 0.669769 | az: -0.0487823
ax: 0.598572 | ay: 0.489182 | az: -0.0168457
ax: 0.533585 | ay: 0.358765 | az: -0.0252838
ax: 0.431091 | ay: 0.365158 | az: 0.0131683
ax: 0.282928 | ay: 0.297394 | az: 0.0428009
ax: 0.0202942 | ay: 0.160324 | az: 0.0745544
ax: -0.311951 | ay: -0.19281 | az: 0.0500793
ax: -0.632553 | ay: -0.289093 | az: 0.326874
ax: -1.07004 | ay: -0.780426 | az: 0.309921
ax: -1.1124 | ay: -1.57491 | az: 0.220123
ax: -1.15256 | ay: -2.10753 | az: 0.278442
ax: -1.01273 | ay: -2.20302 | az: 0.279861
ax: -1.08516 | ay: -2.23268 | az: 0.507217
ax: -0.582504 | ay: -2.33504 | az: 0.794922
ax: -0.524261 | ay: -2.35616 | az: 0.451767
time: 3
[20210811070559.212]
> sum ax: -10.6417 | sum ay: -4.89841 | sum az: 1.01974
>> avg ax: -0.212833 | avg ay: -0.0979681 | avg az: 0.0203949
>>> vx: -1.04288 | vy: -0.480044 | vz: 0.099935
>>> sx: -0.370242 | sy: 0.184672 | sz: -0.0288299
>>> a: 0.235184
>>> v: 1.1524
>>> s: 0.414746

ax: -0.307785 | ay: 0.104996 | az: 0.309937
ax: -0.559906 | ay: 0.855667 | az: 0.306824
ax: -0.973434 | ay: -1.19417 | az: 0.0269318
ax: -0.451019 | ay: -0.800568 | az: -0.0641937
ax: -0.200958 | ay: -0.515686 | az: 0.238037
ax: -0.167892 | ay: -0.52919 | az: -0.0248566
ax: 0.0292206 | ay: -0.275238 | az: 0.00590515
ax: 0.0392609 | ay: 0.00183105 | az: 0.0157013
ax: -0.0448151 | ay: -0.178055 | az: 0.170898
ax: -0.0458221 | ay: -0.0408478 | az: 0.145416
ax: -0.0316467 | ay: -0.182556 | az: -0.0308533
ax: -0.0118256 | ay: 0.0155945 | az: -0.119644
ax: -0.0220642 | ay: -0.0349884 | az: 0.0085144
ax: -0.0376129 | ay: 0.0671844 | az: 0.097641
ax: -0.0613861 | ay: 0.00775146 | az: 0.0789185
ax: -0.037262 | ay: -0.0519409 | az: 0.04422
ax: -0.0276947 | ay: -0.046814 | az: 0.032959
ax: -0.0539703 | ay: -0.0796356 | az: 0.0848541
ax: -0.0585022 | ay: -0.0696259 | az: 0.0985107
ax: -0.0615082 | ay: -0.0399933 | az: 0.0902405
ax: -0.0734406 | ay: -0.0502777 | az: 0.0426025
ax: -0.138489 | ay: 0.0177155 | az: 0.065155
ax: -0.0972595 | ay: -0.0296173 | az: 0.0937653
ax: -0.104523 | ay: 0.0544128 | az: 0.0834503
