steps: 89
ax: -0.0284271 | ay: -0.0830383 | az: -0.00801086
ax: -0.0131531 | ay: -0.0153656 | az: 0.0946198
ax: -0.0329742 | ay: -0.11586 | az: 0.022583
ax: -0.0111389 | ay: -0.154007 | az: -0.0629883
ax: 0.00865173 | ay: -0.0922546 | az: -0.00996399
ax: -0.0020752 | ay: -0.089447 | az: 0.0123596
ax: 0.00514221 | ay: -0.182663 | az: 0.076416
ax: -0.0141296 | ay: -0.128159 | az: 0.0819702
ax: 0.000610352 | ay: -0.0546112 | az: 0.0122986
ax: -0.0445404 | ay: -0.0851746 | az: -0.0743256
ax: -0.0471191 | ay: -0.0675354 | az: -0.135666
ax: -0.166397 | ay: -0.0213165 | az: 0.013092
ax: -0.258636 | ay: 0.0466919 | az: 0.0263519
ax: -0.349472 | ay: 0.10643 | az: 0.0675049
ax: -0.418167 | ay: 0.190445 | az: 0.211578
ax: -0.458725 | ay: 0.262405 | az: 0.0844116
ax: -0.688919 | ay: 0.270966 | az: -0.234375
ax: -1.04128 | ay: 0.223358 | az: -0.433517
ax: -1.07207 | ay: 1.20645 | az: -0.925064
ax: -1.08963 | ay: 1.43488 | az: -0.308426
ax: -1.10942 | ay: 0.863968 | az: -0.448746
ax: -1.03778 | ay: 1.00528 | az: -0.773621
ax: -0.144775 | ay: 0.947128 | az: -0.807602
ax: 0.891159 | ay: -0.175339 | az: -0.20903
ax: 0.0315247 | ay: -0.6828 | az: 0.0645142
ax: 0.26973 | ay: 0.0961914 | az: 0.342453
ax: 0.922256 | ay: 0.58075 | az: -0.0216827
ax: 0.82048 | ay: 0.892715 | az: -0.29567
ax: 0.792786 | ay: 0.918762 | az: -0.0580444
ax: 0.803421 | ay: 0.632111 | az: -0.0957947
ax: 0.661072 | ay: 0.3582 | az: -0.0756378
ax: 0.606628 | ay: 0.205597 | az: -0.0286102
ax: 0.538712 | ay: 0.177048 | az: 0.082428
ax: 0.475723 | ay: 0.106049 | az: 0.0421906
ax: 0.298218 | ay: 0.219208 | az: 0.115341
ax: -0.11174 | ay: 0.0388031 | az: 0.129349
ax: -0.465744 | ay: -0.33075 | az: 0.456635
ax: -0.935532 | ay: -0.579468 | az: 0.465256
ax: -1.12523 | ay: -1.11061 | az: 0.165649
ax: -1.17688 | ay: -1.62628 | az: -0.0531158
ax: -1.21722 | ay: -2.22238 | az: -0.149734
ax: -1.09663 | ay: -2.59468 | az: 0.381897
ax: -0.942673 | ay: -2.58495 | az: 0.330063
ax: -0.398727 | ay: -2.44171 | az: -1.16295
ax: -0.724304 | ay: 1.50064 | az: 0.518387
ax: -1.04773 | ay: -0.889267 | az: 0.729568
ax: -0.745285 | ay: -0.486771 | az: -0.111984
ax: -0.218674 | ay: -0.792175 | az: -0.0834351
ax: -0.332703 | ay: -0.649612 | az: -0.151016
ax: 0.0758514 | ay: -0.375824 | az: 0.028656
time: 1
[20210805062928.400]
> sum ax: -11.3659 | sum ay: -6.34798 | sum az: -2.16344
>> avg ax: -0.227319 | avg ay: -0.12696 | avg az: -0.0432687
>>> vx: -1.11386 | vy: -0.622102 | vz: -0.212017
>>> sx: -0.392668 | sy: 0.184302 | sz: -0.176388
>>> a: 0.263941
>>> v: 1.29331
>>> s: 0.468261

ax: 0.00180054 | ay: -0.402481 | az: -0.12886
ax: 0.0330658 | ay: 0.136993 | az: -0.10997
ax: 0.0123138 | ay: -0.00274658 | az: -0.0384064
ax: -0.00630188 | ay: -0.0639343 | az: 0.00906372
ax: -0.0492401 | ay: -0.156677 | az: -0.0211945
ax: -0.0210571 | ay: -0.169235 | az: -0.0877991
ax: -0.00518799 | ay: -0.15947 | az: 0.00527954
ax: -0.0281219 | ay: -0.0808258 | az: 0.106827
ax: -0.0361633 | ay: -0.0613708 | az: 0.115845
ax: -0.0334473 | ay: -0.0791931 | az: -0.0144958
ax: 0.00769043 | ay: -0.0194702 | az: -0.022049
ax: -0.0206451 | ay: 0.0139618 | az: -0.0202026
ax: -0.0196075 | ay: 0.0196075 | az: -7.62939e-05
ax: -0.0488129 | ay: -0.0355988 | az: 0.0219727
ax: -0.104111 | ay: 0.00306702 | az: -0.0510559
ax: -0.0897522 | ay: -0.0364227 | az: 0.014267
ax: -0.151962 | ay: 0.0575867 | az: 0.0901031
ax: -0.193344 | ay: 0.0868225 | az: 0.0555267
ax: -0.294556 | ay: 0.110352 | az: -0.039978
ax: -0.389755 | ay: 0.188431 | az: 0.0195618
ax: -0.485062 | ay: 0.304123 | az: 0.0784454
ax: -0.60466 | ay: 0.281998 | az: -0.149475
ax: -1.07071 | ay: 0.201447 | az: -0.206955
ax: -1.08806 | ay: 1.14148 | az: -0.910645
ax: -1.10388 | ay: 2.10138 | az: -0.150894
ax: -1.12146 | ay: 0.995926 | az: -0.366669
ax: -1.01062 | ay: 0.799911 | az: -0.620636
ax: -0.16748 | ay: 0.886246 | az: -0.789368
ax: 0.57373 | ay: -0.215134 | az: -0.203049
ax: 0.280258 | ay: -0.697815 | az: -0.446442
ax: 0.333511 | ay: 0.197906 | az: 0.100525
ax: 0.805817 | ay: 0.73764 | az: -0.0272064
ax: 0.766647 | ay: 0.893967 | az: -0.143845
ax: 0.792145 | ay: 0.844406 | az: -0.0547791
ax: 0.803558 | ay: 0.710388 | az: -0.0425873
ax: 0.714066 | ay: 0.47731 | az: -0.0401001
ax: 0.66449 | ay: 0.333374 | az: -0.0536804
ax: 0.643326 | ay: 0.223312 | az: -0.0535126
ax: 0.555893 | ay: 0.173767 | az: -0.0328064
ax: 0.378265 | ay: 0.132492 | az: 0.00184631
ax: 0.103745 | ay: -0.0957031 | az: 0.0462036
ax: -0.295395 | ay: -0.384857 | az: 0.025528
ax: -0.864197 | ay: -0.685333 | az: 0.101852
ax: -1.11009 | ay: -1.25244 | az: 0.120346
ax: -1.15829 | ay: -2.10957 | az: 0.130798
ax: -1.19695 | ay: -2.15678 | az: -0.364716
ax: -1.14688 | ay: -2.55519 | az: 0.100876
ax: -0.777878 | ay: -2.3246 | az: 1.10077
ax: -0.104538 | ay: -0.235092 | az: -0.969818
ax: -0.526657 | ay: 1.53793 | az: 0.893158
time: 2
[20210805062929.359]
> sum ax: -7.85455 | sum ay: -0.388123 | sum az: -3.02248
>> avg ax: -0.157091 | avg ay: -0.00776245 | avg az: -0.0604495
>>> vx: -0.769746 | vy: -0.0380359 | vz: -0.296203
>>> sx: -0.278112 | sy: 0.270181 | sz: -0.197099
>>> a: 0.168499
>>> v: 0.825646
>>> s: 0.434963

ax: -1.05135 | ay: -0.860428 | az: 0.597839
ax: -0.751404 | ay: -0.371368 | az: 0.0626984
ax: -0.134003 | ay: -0.582657 | az: 0.0479431
ax: -0.407761 | ay: -0.842758 | az: -0.328079
ax: 0.113586 | ay: -0.32576 | az: 0.0311432
ax: -0.0792236 | ay: -0.412277 | az: -0.141632
ax: -0.023819 | ay: 0.0738983 | az: 0.061676
ax: -0.0301514 | ay: -0.0481873 | az: 0.0235596
ax: -0.0133972 | ay: -0.0511627 | az: -0.0245819
ax: -0.019516 | ay: -0.050354 | az: -0.0780029
ax: -7.62939e-05 | ay: -0.065918 | az: -0.140167
ax: 0.00592041 | ay: 0.0919495 | az: -0.0493317
ax: -0.0218353 | ay: 0.0253601 | az: 0.105591
ax: -0.00180054 | ay: 0.00480652 | az: 0.108963
ax: -0.003479 | ay: -0.0756989 | az: -0.0166931
