>>> sx: -3.52356 | sy: -0.995253 | sz: -0.214509
>>> a: 0.250449
>>> v: 4.87324
>>> s: 3.6677

ax: 0.05896 | ay: -0.201492 | az: 0.018158
ax: 0.0790405 | ay: -0.122116 | az: 0.123901
ax: 0.0841064 | ay: -0.167725 | az: 0.134201
ax: 0.0106049 | ay: -0.0172119 | az: 0.0282135
ax: -0.024765 | ay: 0.0465851 | az: -0.0783691
ax: -0.0328674 | ay: 0.0341187 | az: -0.0549622
ax: -0.0178986 | ay: -0.0080719 | az: 0.00209045
ax: 0.000778198 | ay: -0.00508118 | az: 0.0341034
ax: -0.0206604 | ay: -0.049057 | az: 0.047699
ax: -0.0699768 | ay: -0.121826 | az: 0.0945587
ax: -0.0969238 | ay: -0.0442352 | az: 0.0447388
ax: -0.176651 | ay: 0.0313721 | az: -0.109024
ax: -0.248871 | ay: -0.00950623 | az: -0.186829
ax: -0.334122 | ay: -0.0718536 | az: -0.2202
ax: -0.425568 | ay: -0.143738 | az: -0.148636
ax: -0.457901 | ay: -0.236282 | az: -0.176346
ax: -0.56778 | ay: -0.436142 | az: -0.115875
ax: -0.944534 | ay: -0.558289 | az: -0.14386
ax: -1.05882 | ay: -1.06923 | az: -0.0913696
ax: -1.07599 | ay: -2.26408 | az: 0.221542
ax: -0.152069 | ay: -1.82288 | az: -0.392487
ax: -0.278107 | ay: 0.475327 | az: 1.03519
ax: -0.701508 | ay: -0.2314 | az: 0.164642
ax: -0.225922 | ay: -1.67873 | az: -0.285217
ax: 0.19693 | ay: -1.46349 | az: -0.190643
ax: 0.649399 | ay: -0.828568 | az: -0.25116
ax: 0.517059 | ay: -0.818924 | az: -0.373978
ax: 0.454285 | ay: -0.76709 | az: -0.202881
ax: 0.619553 | ay: -0.623459 | az: -0.0647888
ax: 0.52417 | ay: -0.610229 | az: -0.106888
ax: 0.455154 | ay: -0.556549 | az: -0.154572
ax: 0.281876 | ay: -0.518951 | az: -0.190216
ax: -0.0159912 | ay: -0.268188 | az: -0.178879
ax: -0.334763 | ay: 0.00216675 | az: -0.213913
ax: -0.581894 | ay: 0.248825 | az: -0.262009
ax: -1.03413 | ay: 0.86438 | az: -0.32106
ax: -1.06818 | ay: 0.935822 | az: -0.136353
ax: -1.11353 | ay: 1.24811 | az: 0.33754
ax: -1.15735 | ay: 1.55666 | az: 0.786209
ax: -1.18817 | ay: 2.25343 | az: 0.718735
ax: -0.701324 | ay: 2.59453 | az: 0.226105
ax: -0.507111 | ay: 2.5755 | az: 0.790573
ax: -0.531189 | ay: 1.85306 | az: 0.537811
ax: -0.135803 | ay: 1.11943 | az: 0.237076
ax: -0.723953 | ay: -1.55447 | az: 0.0725403
ax: -1.09344 | ay: 1.36533 | az: -0.682449
ax: -0.66391 | ay: 1.24901 | az: 0.864792
ax: -0.217499 | ay: 0.097641 | az: -0.253311
ax: 0.322327 | ay: 0.29808 | az: -0.0572968
ax: -0.0432129 | ay: 0.298309 | az: 0.0419159
3: [20200915133839.993]
> sum ax: -13.7681 | sum ay: 1.87881 | sum az: 0.918762
>> avg ax: -0.275363 | avg ay: 0.0375763 | avg az: 0.0183752
>>> vx: -7.56246 | vy: 0.621772 | vz: 0.343356
>>> sx: -5.83975 | sy: -0.763342 | sz: 0.0887076
>>> a: 0.278522
>>> v: 7.59574
>>> s: 5.8901

ax: -0.465027 | ay: 1.31276 | az: 0.746277
ax: -0.682327 | ay: 2.09842 | az: 0.361908
ax: -0.634949 | ay: 2.51564 | az: 0.557388
ax: -0.559753 | ay: 1.70192 | az: 0.649048
ax: -0.418701 | ay: 0.750793 | az: 0.612228
ax: -0.960266 | ay: 0.529999 | az: 0.0309448
ax: -1.04843 | ay: 0.620911 | az: -0.242722
ax: -0.269409 | ay: 0.182236 | az: 0.166107
ax: -0.20575 | ay: 0.35611 | az: 0.167404
ax: 0.212494 | ay: 0.0454712 | az: 0.056488
ax: 0.0346375 | ay: -0.118057 | az: 0.062561
ax: 0.0684967 | ay: -0.216888 | az: -0.109756
ax: -0.0387421 | ay: -0.122681 | az: -0.0645752
ax: 0.0876923 | ay: 0.0614624 | az: 0.029541
ax: 0.111526 | ay: -0.369568 | az: 0.135406
ax: 0.0863647 | ay: -0.252502 | az: 0.118683
ax: 0.0796051 | ay: -0.217209 | az: 0.0549774
ax: 0.0133972 | ay: -0.136078 | az: 0.0190582
ax: 0.0217896 | ay: -0.13179 | az: 0.0207977
ax: 0.0597076 | ay: -0.155701 | az: 0.0578613
ax: 0.0627899 | ay: -0.104874 | az: 0.0721283
ax: -0.0498657 | ay: -0.139542 | az: -0.0050354
ax: -0.0827637 | ay: -0.122635 | az: -0.0164642
ax: -0.0805817 | ay: -0.0180664 | az: -0.0325012
ax: -0.0722504 | ay: -0.0229492 | az: -0.129318
ax: -0.108032 | ay: -0.0416718 | az: -0.197144
ax: -0.179962 | ay: -0.0809631 | az: -0.235626
ax: -0.259689 | ay: -0.0970001 | az: -0.233826
ax: -0.361664 | ay: -0.174225 | az: -0.111237
ax: -0.399963 | ay: -0.30809 | az: -0.0214386
ax: -0.514954 | ay: -0.380249 | az: -0.0544434
ax: -0.689575 | ay: -0.576981 | az: -0.167297
ax: -1.0442 | ay: -0.944427 | az: -0.0399475
ax: -1.06174 | ay: -1.68304 | az: 0.108276
