>>> sx: 1.53564 | sy: -1.08514 | sz: -0.587226
>>> a: 0.328134
>>> v: 3.21571
>>> s: 1.96991

ax: 0.0179291 | ay: -0.0830841 | az: -0.104965
ax: 0.0381165 | ay: -0.104843 | az: 0.0248871
ax: 0.0507202 | ay: -0.137833 | az: 0.0344543
ax: 0.0530701 | ay: -0.183853 | az: -0.0674438
ax: 0.131226 | ay: -0.143036 | az: -0.0375061
ax: 0.311722 | ay: -0.0999298 | az: -0.0157928
ax: 0.365982 | ay: -0.235336 | az: 0.078949
ax: 0.532333 | ay: -0.445435 | az: 0.12056
ax: 0.628326 | ay: -0.493912 | az: 0.124176
ax: 0.696075 | ay: -0.601791 | az: 0.261032
ax: 0.726715 | ay: -0.783295 | az: -0.0807495
ax: 1.05942 | ay: -1.06454 | az: -0.260651
ax: 1.07938 | ay: -2.32123 | az: -0.822037
ax: 1.10432 | ay: -1.94008 | az: -0.511566
ax: 1.12849 | ay: -0.949966 | az: -0.261032
ax: 0.541397 | ay: -1.45076 | az: -0.892395
ax: 1.17607 | ay: 0.278336 | az: -0.148285
ax: 0.154251 | ay: 0.0739746 | az: -0.160751
ax: -0.336517 | ay: -1.15102 | az: -0.148392
ax: -0.826569 | ay: -0.991486 | az: 0.0234222
ax: -0.573471 | ay: -0.752609 | az: 0.0783081
ax: -0.666367 | ay: -0.578583 | az: -0.0380402
ax: -0.513214 | ay: -0.342819 | az: 0.00506592
ax: -0.460449 | ay: -0.243271 | az: 0.0592804
ax: -0.39267 | ay: -0.0918732 | az: 0.0569153
ax: -0.252365 | ay: -0.0713959 | az: 0.0756073
ax: -0.0277252 | ay: 0.0278931 | az: 0.110611
ax: 0.427597 | ay: 0.204834 | az: -0.00611877
ax: 1.04648 | ay: 0.604279 | az: 0.0426025
ax: 1.19838 | ay: 1.37502 | az: -0.168091
ax: 1.27914 | ay: 2.06004 | az: -0.312073
ax: 1.33994 | ay: 2.7402 | az: -0.715607
ax: 0.91098 | ay: 2.76694 | az: -0.795914
ax: 0.965744 | ay: 2.75562 | az: 0.112076
ax: 1.19041 | ay: 2.24699 | az: 0.149948
ax: 0.750885 | ay: -1.35069 | az: 1.13559
ax: 0.910965 | ay: 2.03442 | az: 0.395065
ax: 0.523239 | ay: 1.46107 | az: -0.806046
ax: 0.532288 | ay: 1.81638 | az: -0.340088
ax: 0.040329 | ay: 0.903152 | az: -0.292374
ax: 0.315704 | ay: 0.713928 | az: 0.0741425
