>>> sx: -0.81201 | sy: 0.851355 | sz: -0.235108
>>> a: 0.157555
>>> v: 1.54404
>>> s: 1.19977

ax: -0.0114136 | ay: 0.12825 | az: 0.00883484
ax: -0.012558 | ay: 0.140152 | az: 0.0316925
ax: -0.0114441 | ay: 0.158981 | az: 0.016571
ax: -0.0263824 | ay: 0.129547 | az: 0.00337219
ax: -0.00985718 | ay: 0.110672 | az: -0.0237579
ax: -0.0340424 | ay: 0.108994 | az: -0.0193634
ax: -0.040802 | ay: 0.123337 | az: -0.00195312
ax: -0.0438232 | ay: 0.128479 | az: 0.0103607
ax: -0.0539856 | ay: 0.120911 | az: 0.0124359
ax: -0.0883484 | ay: 0.116791 | az: 0.00947571
ax: -0.0481567 | ay: 0.178284 | az: -0.00566101
ax: -0.0733643 | ay: 0.149719 | az: -0.0167694
ax: -0.108673 | ay: 0.149643 | az: -0.0144196
ax: -0.112732 | ay: 0.164673 | az: 0.0375519
ax: -0.153488 | ay: 0.178696 | az: 0.0809326
ax: -0.186935 | ay: 0.174286 | az: 0.0548248
ax: -0.225922 | ay: 0.204849 | az: 0.00897217
ax: -0.39238 | ay: 0.262619 | az: -0.0334473
ax: -0.446564 | ay: 0.231857 | az: -0.0252075
ax: -0.708252 | ay: 0.275177 | az: 0.0723114
ax: -0.978683 | ay: 0.500244 | az: 0.10376
ax: -0.846909 | ay: 1.32071 | az: 0.129837
ax: -0.561279 | ay: 1.04967 | az: 0.174973
ax: -0.5952 | ay: 0.399429 | az: 0.0657196
ax: -0.641724 | ay: 0.691696 | az: -0.151993
ax: -0.214508 | ay: 0.576065 | az: -0.363754
ax: -0.0266876 | ay: 0.25914 | az: -0.254501
ax: -0.0391388 | ay: 0.411057 | az: -0.0212708
ax: 0.177521 | ay: 0.373993 | az: -0.148529
ax: 0.287216 | ay: 0.762558 | az: 0.205551
ax: 0.430176 | ay: 0.826752 | az: 0.220383
ax: 0.489227 | ay: 0.725739 | az: 0.168091
ax: 0.515778 | ay: 0.604111 | az: 0.131302
ax: 0.482224 | ay: 0.558456 | az: 0.141693
ax: 0.449356 | ay: 0.484741 | az: 0.135468
ax: 0.346359 | ay: 0.465576 | az: 0.0562439
ax: 0.179871 | ay: 0.517365 | az: 0.0344696
ax: -0.0388336 | ay: 0.41626 | az: -0.0183716
ax: -0.287201 | ay: 0.20134 | az: -0.0499573
ax: -0.562759 | ay: -0.00643921 | az: -0.178467
ax: -0.756653 | ay: -0.0668182 | az: -0.274094
ax: -1.01874 | ay: -0.413727 | az: -0.416992
ax: -1.03864 | ay: -0.846512 | az: -0.531235
ax: -1.02011 | ay: -0.953766 | az: -0.677368
ax: -0.794678 | ay: -1.19054 | az: -0.713638
ax: -0.58934 | ay: -1.57487 | az: -0.570511
ax: -0.108932 | ay: -1.65598 | az: -0.574661
ax: -0.157059 | ay: -1.35934 | az: -0.480667
ax: -0.0901947 | ay: -0.78331 | az: -0.294327
ax: -0.0528107 | ay: -0.779175 | az: -0.23436
time: 3
[20201124141629.040]
> sum ax: -9.85147 | sum ay: 4.75034 | sum az: -4.18045
>> avg ax: -0.197029 | avg ay: 0.0950067 | avg az: -0.083609
>>> vx: -1.93089 | vy: 0.931066 | vz: -0.819368
>>> sx: -0.771527 | sy: 1.28179 | sz: -0.044983
>>> a: 0.234174
>>> v: 2.2949
>>> s: 1.49675

ax: 0.0123596 | ay: -0.659164 | az: -0.0387268
ax: -0.0747833 | ay: 0.540024 | az: -0.0206604
ax: -0.115814 | ay: 1.46802 | az: 0.524933
ax: -0.510056 | ay: -0.479401 | az: 0.462921
ax: -0.438828 | ay: -0.416779 | az: 0.128433
ax: -0.345779 | ay: -0.306046 | az: -0.149567
ax: -0.218811 | ay: -0.191681 | az: -0.281723
ax: 0.131607 | ay: -0.00337219 | az: -0.144989
ax: 0.0119934 | ay: -0.126663 | az: -0.0365448
ax: 0.0486908 | ay: 0.00665283 | az: 0.00260925
ax: 0.0386047 | ay: 0.102219 | az: -0.0231171
ax: -0.00901794 | ay: 0.0909729 | az: 0.00846863
ax: -0.0358124 | ay: 0.106995 | az: 0.084671
ax: 0.00642395 | ay: 0.112991 | az: 0.0263519
ax: -0.00704956 | ay: 0.118866 | az: -0.0668793
ax: -0.0181274 | ay: 0.0935516 | az: -0.052063
ax: 0.0275421 | ay: 0.12825 | az: 0.0210724
ax: 0.0117645 | ay: 0.132126 | az: 0.0728912
ax: 0.0260315 | ay: 0.0803528 | az: 0.0659485
ax: 0.00376892 | ay: 0.0268097 | az: 0.000183105
ax: 0.0261841 | ay: 0.059906 | az: -0.0205994
ax: 0.0133057 | ay: 0.101959 | az: -0.00465393
ax: -0.00517273 | ay: 0.0588379 | az: 0.0153656
ax: -0.00190735 | ay: 0.0627594 | az: 0.0335236
ax: -0.00292969 | ay: 0.0686951 | az: -0.011795
ax: -0.013443 | ay: 0.113419 | az: 0.0170441
ax: -0.0100708 | ay: 0.0931396 | az: 0.00566101
ax: -0.0309906 | ay: 0.0827026 | az: -0.00448608
ax: -0.0633545 | ay: 0.0259857 | az: 0.0285492
ax: -0.0545807 | ay: 0.0629578 | az: 0.0435028
ax: -0.0437012 | ay: 0.0564575 | az: 0.0289917
ax: -0.0289154 | ay: 0.0667877 | az: 0.024765
ax: -0.0564728 | ay: 0.0897217 | az: 0.00253296
ax: -0.0686493 | ay: 0.100815 | az: 0.00750732
ax: -0.102768 | ay: 0.0872345 | az: 0.0230713
ax: -0.130127 | ay: 0.107788 | az: 0.0344391
ax: -0.180603 | ay: 0.122986 | az: 0.0615082
ax: -0.234406 | ay: 0.164536 | az: 0.0584412
ax: -0.327087 | ay: 0.149277 | az: 0.0513458
ax: -0.446579 | ay: 0.248199 | az: 0.0505371
ax: -0.468781 | ay: 0.306458 | az: 0.0192871
ax: -0.607376 | ay: 0.334351 | az: 0.133987
ax: -0.898224 | ay: 0.624451 | az: 0.0769348
ax: -0.926315 | ay: 1.1335 | az: 0.0586853
ax: -0.645447 | ay: 0.937256 | az: 0.187988
ax: -0.589828 | ay: 0.416794 | az: 0.10434
ax: -0.45462 | ay: 0.58667 | az: 0.0298157
ax: -0.178284 | ay: 0.746872 | az: -0.460373
ax: 0.142502 | ay: 0.303818 | az: -0.189529
ax: 0.0840759 | ay: 0.427383 | az: -0.0493622
time: 4
[20201124141630.031]
> sum ax: -7.75986 | sum ay: 8.56644 | sum az: 0.941238
>> avg ax: -0.155197 | avg ay: 0.171329 | avg az: 0.0188248
>>> vx: -1.52093 | vy: 1.67902 | vz: 0.184483
>>> sx: -0.49202 | sy: 0.38663 | sz: 0.146191
>>> a: 0.231935
>>> v: 2.27297
>>> s: 0.642603

ax: 0.2659 | ay: 0.166489 | az: -0.336578
ax: 0.408112 | ay: 0.682541 | az: 0.168274
ax: 0.496353 | ay: 0.764511 | az: 0.225342
ax: 0.566559 | ay: 0.760635 | az: 0.272171
ax: 0.559326 | ay: 0.656937 | az: 0.191589
ax: 0.49765 | ay: 0.541565 | az: 0.165466
ax: 0.400192 | ay: 0.413528 | az: 0.139297
ax: 0.254608 | ay: 0.332794 | az: 0.140152
ax: 0.139008 | ay: 0.444336 | az: 0.100296
ax: -0.0622711 | ay: 0.409134 | az: -0.0360413
ax: -0.307938 | ay: 0.0692902 | az: -0.0856476
ax: -0.530609 | ay: -0.0181427 | az: -0.19548
ax: -0.781982 | ay: -0.26062 | az: -0.363892
ax: -0.91452 | ay: -0.444229 | az: -0.525574
ax: -0.961441 | ay: -0.836121 | az: -0.551086
ax: -0.902115 | ay: -1.12297 | az: -0.54541
ax: -0.734833 | ay: -1.22319 | az: -0.480713
ax: -0.54599 | ay: -1.33946 | az: -0.347046
ax: -0.36348 | ay: -1.47682 | az: -0.372162
ax: -0.145752 | ay: -1.47209 | az: -0.47345
ax: -0.434372 | ay: -1.05272 | az: -0.476395
ax: -0.07341 | ay: -1.21016 | az: -0.31752
ax: -0.215546 | ay: -0.433807 | az: -0.0349426
ax: -0.25473 | ay: 1.55978 | az: 1.15631
ax: -0.123688 | ay: -0.142365 | az: 0.279694
ax: -0.621124 | ay: -0.745071 | az: -0.0271759
ax: -0.2211 | ay: -0.150864 | az: -0.076828
ax: -0.0975494 | ay: -0.168533 | az: -0.31987
ax: -0.00779724 | ay: -0.0993347 | az: -0.260956
ax: -0.0364227 | ay: -0.22583 | az: -0.0497437
ax: -0.0403748 | ay: -0.0847168 | az: -0.0177307
