steps: 0
ax: 0.603119 | ay: 0.633804 | az: -0.00157166
ax: -0.178635 | ay: -0.103088 | az: 0.118851
ax: -0.304199 | ay: -0.156326 | az: 0.0480347
ax: -0.388168 | ay: -0.178619 | az: 0.00724792
ax: -0.56015 | ay: -0.0321503 | az: 0.0565796
ax: -0.9048 | ay: 0.0113831 | az: 0.0536957
ax: -1.03882 | ay: 0.478394 | az: -0.306015
ax: -0.776901 | ay: 1.03967 | az: -0.0654755
ax: -0.747757 | ay: 0.64621 | az: 0.146774
ax: -0.514053 | ay: 0.579422 | az: -0.308838
ax: -0.374161 | ay: 0.0320282 | az: -0.375885
ax: 0.300629 | ay: 0.237473 | az: -0.511902
ax: 0.510941 | ay: -0.479019 | az: -0.337097
ax: 0.520859 | ay: -0.144897 | az: -0.160049
ax: 0.633026 | ay: 0.612793 | az: -0.084671
ax: 0.656876 | ay: 0.710129 | az: -0.0620117
ax: 0.699524 | ay: 0.543472 | az: -0.0861206
ax: 0.680588 | ay: 0.43811 | az: -0.0580902
ax: 0.656982 | ay: 0.336319 | az: -0.0211945
ax: 0.60083 | ay: 0.205643 | az: -0.0482178
ax: 0.550812 | ay: 0.133667 | az: -0.0686951
ax: 0.493118 | ay: 0.103699 | az: -0.105774
ax: 0.358078 | ay: 0.0102386 | az: -0.131531
ax: 0.139618 | ay: -0.058609 | az: -0.132797
ax: -0.0961914 | ay: -0.173569 | az: -0.0657806
ax: -0.362747 | ay: -0.287903 | az: 0.0274963
ax: -0.76091 | ay: -0.692154 | az: -0.0136566
ax: -1.07037 | ay: -1.29138 | az: -0.0261078
ax: -1.15274 | ay: -1.6355 | az: 0.0539703
ax: -1.02281 | ay: -1.77245 | az: 0.115387
ax: -0.899582 | ay: -1.73294 | az: 0.196533
ax: -0.754623 | ay: -1.84341 | az: 0.62616
ax: -0.692993 | ay: -1.59021 | az: 1.07338
ax: -0.630814 | ay: -1.53838 | az: 0.949844
ax: -0.204514 | ay: -0.199081 | az: 0.826736
ax: -0.388916 | ay: 1.55063 | az: 0.763626
ax: -0.73584 | ay: -0.948593 | az: 0.559937
ax: -0.468781 | ay: -0.832108 | az: 0.0617676
ax: -0.0505371 | ay: 0.0618134 | az: -0.0549316
ax: -0.144989 | ay: -0.935699 | az: -0.793076
ax: 0.0203705 | ay: -0.568069 | az: 0.0633392
ax: -0.294434 | ay: -0.584732 | az: 0.37175
ax: -0.218445 | ay: -0.237 | az: 0.354523
ax: -0.124161 | ay: -0.14418 | az: 0.198975
ax: -0.0797577 | ay: -0.108551 | az: 0.0219879
ax: -0.023407 | ay: -0.208755 | az: -0.106903
ax: -0.0104523 | ay: -0.369247 | az: -0.20459
ax: -0.0377808 | ay: -0.0979309 | az: 0.0895233
ax: -0.0550079 | ay: 0.00793457 | az: 0.314163
