steps: 1306
ax: -0.242233 | ay: 0.116943 | az: -0.023056
ax: -0.0700226 | ay: 0.211807 | az: 0.0943146
ax: 0.0488434 | ay: -0.337479 | az: -0.253845
ax: 0.019455 | ay: -0.501755 | az: -0.371979
ax: 0.0260773 | ay: -0.0842438 | az: 0.0356903
ax: -0.0521851 | ay: -0.0623474 | az: 0.185974
ax: -0.0427704 | ay: -0.11499 | az: 0.182907
ax: 0.0223846 | ay: -0.328781 | az: -0.0917816
ax: 0.00575256 | ay: -0.270966 | az: -0.110092
ax: -0.0278168 | ay: -0.134171 | az: 0.0167389
ax: -0.0442352 | ay: -0.14743 | az: 0.0442963
ax: -0.038269 | ay: -0.208176 | az: -0.00132751
ax: -0.0764771 | ay: -0.174149 | az: -0.0267029
ax: -0.0693359 | ay: -0.142471 | az: -0.0317078
ax: -0.0480347 | ay: -0.0992889 | az: -0.00798035
ax: -0.186264 | ay: -0.0059967 | az: 0.0808105
ax: -0.253937 | ay: -0.0416565 | az: 0.0329742
ax: -0.333664 | ay: 0.00915527 | az: 0.0946808
ax: -0.464798 | ay: 0.108276 | az: 0.139069
ax: -0.492859 | ay: 0.207474 | az: -0.155807
ax: -0.824509 | ay: 0.090332 | az: -0.308701
ax: -1.04103 | ay: 0.575317 | az: -0.557632
ax: -1.0558 | ay: 1.32964 | az: -0.597977
ax: -1.07045 | ay: 0.775162 | az: -0.123688
ax: -0.748718 | ay: 1.42838 | az: -0.5159
ax: -0.325943 | ay: 0.561935 | az: -0.655563
ax: 0.735291 | ay: 0.650131 | az: -0.235657
ax: 0.137283 | ay: -0.458786 | az: -0.123932
ax: 0.295502 | ay: -0.452789 | az: 0.220718
ax: 0.900467 | ay: 0.523834 | az: -0.113159
ax: 0.83699 | ay: 1.03578 | az: -0.0996857
ax: 0.77417 | ay: 0.923752 | az: 0.055603
ax: 0.747482 | ay: 0.762558 | az: 0.0801849
ax: 0.6763 | ay: 0.44075 | az: 0.0456085
ax: 0.633636 | ay: 0.25383 | az: -0.00218201
ax: 0.56633 | ay: 0.221069 | az: 0.00195312
ax: 0.524948 | ay: 0.172302 | az: 0.0479126
ax: 0.373978 | ay: 0.164948 | az: 0.110138
ax: 0.0859528 | ay: 0.103256 | az: 0.13588
ax: -0.193558 | ay: -0.10466 | az: 0.174332
ax: -0.610611 | ay: -0.229965 | az: 0.253067
ax: -1.10342 | ay: -0.724411 | az: 0.214554
ax: -1.16261 | ay: -1.4776 | az: -0.0224609
ax: -1.21877 | ay: -1.94688 | az: -0.157974
ax: -1.23755 | ay: -2.61453 | az: -0.177185
ax: -1.16751 | ay: -2.61813 | az: 0.917969
ax: -0.879364 | ay: -1.54243 | az: 0.249969
ax: 0.168732 | ay: 0.76857 | az: -0.573502
ax: -0.322617 | ay: 0.645065 | az: 0.780411
ax: -1.02397 | ay: -1.34476 | az: 0.260513
time: 1
[20210805070251.702]
> sum ax: -8.84976 | sum ay: -4.08859 | sum az: -0.883209
>> avg ax: -0.176995 | avg ay: -0.0817719 | avg az: -0.0176642
>>> vx: -0.867277 | vy: -0.400682 | vz: -0.0865545
>>> sx: -0.27927 | sy: 0.102214 | sz: -0.150332
>>> a: 0.19577
>>> v: 0.959274
>>> s: 0.333225

ax: -0.602509 | ay: -0.525299 | az: -0.0717316
ax: -0.232788 | ay: -0.887924 | az: -0.10347
