steps: 0
ax: -0.456726 | ay: 0.665283 | az: -0.2043
ax: 0.465988 | ay: 0.493607 | az: -0.0663757
ax: 0.439911 | ay: 0.458374 | az: -0.0812378
ax: 0.424133 | ay: 0.433548 | az: -0.158127
ax: 0.31778 | ay: 0.303497 | az: -0.192169
ax: 0.105148 | ay: 0.209152 | az: -0.182861
ax: -0.0931549 | ay: 0.113373 | az: -0.0980835
ax: -0.297531 | ay: -0.071167 | az: -0.122757
ax: -0.505234 | ay: -0.301376 | az: -0.151154
ax: -0.690735 | ay: -0.565521 | az: -0.147827
ax: -0.843964 | ay: -0.927002 | az: -0.0930634
ax: -0.821121 | ay: -1.24184 | az: -0.0786285
ax: -0.782104 | ay: -1.20026 | az: 0.0329437
ax: -0.70192 | ay: -1.15193 | az: 0.277832
ax: -0.540359 | ay: -1.08595 | az: 0.635849
ax: -0.436813 | ay: -1.53993 | az: 0.744873
ax: -0.400513 | ay: -1.13843 | az: 0.288147
ax: -0.307617 | ay: -0.940659 | az: 0.576996
ax: 0.0983582 | ay: 0.653183 | az: -0.144653
ax: -0.164688 | ay: 1.27946 | az: 0.546722
ax: -0.36586 | ay: 0.208923 | az: 0.330338
ax: -0.588333 | ay: -0.304413 | az: 0.0552521
ax: -0.215652 | ay: 0.134109 | az: 0.0236816
ax: 0.0146179 | ay: -0.224442 | az: -0.285904
ax: -0.0388031 | ay: -0.290909 | az: -0.256073
ax: 0.0676117 | ay: -0.00883484 | az: -0.0203247
ax: -0.0683594 | ay: -0.000717163 | az: 0.0136414
ax: -0.0712738 | ay: 0.0482941 | az: 0.0399475
ax: -0.0609589 | ay: 0.172592 | az: 0.0581818
ax: -0.0865631 | ay: 0.124786 | az: 0.00218201
ax: 0.0274506 | ay: 0.176239 | az: -0.10878
ax: 0.024353 | ay: 0.0993347 | az: -0.174515
ax: 0.0174255 | ay: 0.131088 | az: -0.0881348
ax: 0.0162506 | ay: 0.208344 | az: 0.0147095
ax: -0.00418091 | ay: 0.147232 | az: 0.0343018
ax: -0.00350952 | ay: 0.135513 | az: -0.0360565
ax: 0.033493 | ay: 0.108948 | az: -0.0875092
ax: -0.00050354 | ay: 0.129211 | az: -0.0783997
ax: -0.0196381 | ay: 0.182404 | az: -0.0288391
ax: -0.0365753 | ay: 0.147705 | az: -0.0184174
ax: -0.0417786 | ay: 0.112167 | az: -0.0409698
ax: -0.0282745 | ay: 0.112335 | az: -0.0570221
ax: -0.0418091 | ay: 0.134537 | az: -0.0744476
ax: -0.0418243 | ay: 0.130432 | az: -0.0701904
ax: -0.0654755 | ay: 0.121323 | az: -0.0692444
ax: -0.0543365 | ay: 0.124054 | az: -0.0420227
ax: -0.104141 | ay: 0.171021 | az: -0.0363312
ax: -0.15535 | ay: 0.16301 | az: -0.0530853
ax: -0.178497 | ay: 0.147705 | az: -0.0791168
ax: -0.219788 | ay: 0.203522 | az: -0.0803375
time: 1
[20210810072801.480]
> sum ax: -7.48145 | sum ay: -2.80907 | sum az: 0.16864
>> avg ax: -0.149629 | avg ay: -0.0561813 | avg az: 0.0033728
>>> vx: -0.733182 | vy: -0.275289 | vz: 0.0165267
>>> sx: -0.449884 | sy: -0.317338 | sz: 0.0353995
>>> a: 0.159864
>>> v: 0.783334
>>> s: 0.551681

ax: -0.227051 | ay: 0.13884 | az: -0.0574188
ax: -0.324326 | ay: 0.139069 | az: -0.139618
ax: -0.400879 | ay: 0.182541 | az: -0.144516
ax: -0.510223 | ay: 0.165436 | az: -0.116348
ax: -0.87236 | ay: 0.243637 | az: -0.139633
ax: -1.1093 | ay: 0.714584 | az: -0.476044
ax: -0.763 | ay: 1.47356 | az: -0.392731
ax: -0.821442 | ay: 1.00549 | az: -0.0962524
ax: -0.576202 | ay: 0.626526 | az: -0.256027
ax: -0.479141 | ay: 0.173386 | az: -0.503616
ax: -0.0145721 | ay: 0.248215 | az: -0.703384
ax: 0.79129 | ay: -0.2146 | az: -0.369492
ax: 0.0875702 | ay: 0.083725 | az: -0.253296
ax: 0.675781 | ay: 0.503799 | az: -0.317383
ax: 0.640121 | ay: 0.970139 | az: -0.120682
ax: 0.641953 | ay: 0.753021 | az: -0.133423
ax: 0.595901 | ay: 0.581589 | az: -0.113892
ax: 0.539398 | ay: 0.452316 | az: -0.070816
ax: 0.49144 | ay: 0.462524 | az: -0.0191193
ax: 0.454163 | ay: 0.430603 | az: -0.0534515
ax: 0.373001 | ay: 0.423431 | az: -0.0639343
ax: 0.0937347 | ay: 0.122849 | az: -0.0989075
ax: -0.0427094 | ay: 0.141159 | az: 0.185379
ax: -0.384598 | ay: -0.211639 | az: -0.0172119
ax: -0.502167 | ay: -0.435425 | az: -0.085495
ax: -0.634048 | ay: -0.664154 | az: -0.109024
ax: -0.769501 | ay: -0.769928 | az: 0.0019989
ax: -0.655334 | ay: -0.6996 | az: 0.0501099
ax: -0.663223 | ay: -0.783249 | az: -0.00863647
ax: -0.733154 | ay: -0.759735 | az: 0.231873
ax: -0.633667 | ay: -1.00146 | az: 0.30365
ax: -0.500076 | ay: -1.30147 | az: 0.288605
ax: -0.382553 | ay: -1.58997 | az: 0.34993
ax: -0.263733 | ay: -1.58429 | az: 0.372177
ax: -0.263351 | ay: -1.16971 | az: 0.299164
ax: -0.110931 | ay: -0.946854 | az: 0.291656
ax: 0.0271454 | ay: 1.42677 | az: 0.125351
ax: -0.24765 | ay: 0.719009 | az: 0.237808
ax: -0.877838 | ay: -0.650238 | az: 0.0401154
ax: -0.292267 | ay: -0.0312805 | az: 0.00382996
ax: -0.099823 | ay: -0.559189 | az: -0.239548
ax: -0.223862 | ay: -0.385498 | az: -0.0745239
ax: -0.082489 | ay: -0.135971 | az: 0.160812
ax: 0.00439453 | ay: -0.0379944 | az: -0.0821991
ax: 0.0161133 | ay: 0.116867 | az: -0.0153351
ax: -0.0205078 | ay: 0.129608 | az: 0.0199738
ax: 0.0203247 | ay: 0.178665 | az: -0.12999
ax: 0.0552826 | ay: 0.213943 | az: -0.22879
ax: 0.059906 | ay: 0.187271 | az: -0.158615
ax: 0.0748749 | ay: 0.193787 | az: 0.00250244
time: 2
[20210810072802.474]
> sum ax: -8.83958 | sum ay: -0.729889 | sum az: -2.82442
>> avg ax: -0.176792 | avg ay: -0.0145978 | avg az: -0.0564883
>>> vx: -0.866279 | vy: -0.0715291 | vz: -0.276793
>>> sx: -0.491155 | sy: 0.318098 | sz: -0.291007
>>> a: 0.18617
>>> v: 0.912234
>>> s: 0.653533

ax: 0.00186157 | ay: 0.0992126 | az: 0.0243683
ax: 0.0414886 | ay: 0.118896 | az: -0.0527954
ax: 0.085907 | ay: 0.082428 | az: -0.125824
ax: 0.0236053 | ay: 0.039566 | az: -0.0655518
ax: -0.0499115 | ay: 0.11618 | az: 0.0415802
ax: -0.0727539 | ay: 0.160858 | az: 0.0810242
ax: -0.0407867 | ay: 0.142059 | az: 0.0298615
ax: -0.0358582 | ay: 0.115692 | az: -0.00389099
ax: -0.0291595 | ay: 0.0357971 | az: -0.0602417
ax: -0.0210571 | ay: 0.0731049 | az: -0.0492096
