steps: 0
ax: -0.61702 | ay: -0.895844 | az: -0.039505
ax: -0.00230408 | ay: -0.0735016 | az: 0.0788574
ax: -0.020752 | ay: -0.104401 | az: 0.068985
ax: -0.0450592 | ay: -0.0870361 | az: 0.0659332
ax: -0.0306091 | ay: -0.0584717 | az: 0.0684357
ax: -0.0467682 | ay: -0.0947571 | az: 0.0713959
ax: -0.0305786 | ay: -0.095932 | az: 0.0815582
ax: -0.0776978 | ay: -0.0762329 | az: 0.0763855
ax: -0.0941315 | ay: -0.0505371 | az: 0.0746918
ax: -0.112747 | ay: -0.0320435 | az: 0.0873566
ax: -0.120758 | ay: -0.0747986 | az: 0.0334625
ax: -0.182022 | ay: -0.0219116 | az: 0.0443726
ax: -0.167786 | ay: 0.0035553 | az: 0.089859
ax: -0.213089 | ay: 0.0283966 | az: 0.041626
ax: -0.331711 | ay: 0.0545807 | az: 0.00982666
ax: -0.406296 | ay: 0.0871887 | az: -0.0632782
ax: -0.668335 | ay: 0.0820618 | az: -0.014328
ax: -0.863953 | ay: 0.305023 | az: -0.175766
ax: -1.07492 | ay: 0.676849 | az: -0.678223
ax: -0.805603 | ay: 0.927094 | az: -0.245956
ax: -0.820221 | ay: 0.591095 | az: -0.226334
ax: -0.569611 | ay: 0.691223 | az: -0.389053
ax: -0.268677 | ay: 0.443588 | az: -0.475037
ax: 0.522293 | ay: 0.430054 | az: -0.507935
ax: 0.193024 | ay: -0.390152 | az: -0.236557
ax: 0.469467 | ay: -0.167221 | az: -0.105942
ax: 0.610855 | ay: 0.676102 | az: -0.122284
ax: 0.650146 | ay: 0.821198 | az: -0.213013
ax: 0.60965 | ay: 0.65181 | az: -0.165375
ax: 0.611359 | ay: 0.54715 | az: -0.0286713
ax: 0.585297 | ay: 0.317688 | az: -0.0567017
ax: 0.527878 | ay: 0.24791 | az: -0.094986
ax: 0.476227 | ay: 0.295746 | az: -0.0717316
ax: 0.393478 | ay: 0.249863 | az: -0.0858765
ax: 0.170212 | ay: 0.200958 | az: -0.0144958
ax: -0.0471649 | ay: 0.0630035 | az: 0.0949402
ax: -0.275757 | ay: -0.0370178 | az: 0.191422
ax: -0.615189 | ay: -0.338638 | az: 0.164352
ax: -0.903763 | ay: -0.798721 | az: 0.0775909
ax: -1.06161 | ay: -0.975754 | az: 0.0262146
ax: -0.993362 | ay: -1.15517 | az: -0.061554
ax: -0.933487 | ay: -1.34955 | az: -0.148331
ax: -0.724884 | ay: -1.59833 | az: 0.0625153
ax: -0.447708 | ay: -1.85355 | az: 0.617264
ax: -0.639374 | ay: -1.67419 | az: 0.570679
ax: -0.251389 | ay: -1.25795 | az: 0.525955
ax: -0.217972 | ay: -1.16977 | az: 0.507401
ax: -0.248093 | ay: 1.17773 | az: 0.584335
ax: -0.301224 | ay: 0.350845 | az: -0.174667
ax: -0.567673 | ay: -0.548019 | az: 0.313766
time: 1
[20210811064006.945]
> sum ax: -9.97942 | sum ay: -5.05878 | sum az: 0.233582
>> avg ax: -0.199588 | avg ay: -0.101176 | avg az: 0.00467163
>>> vx: -0.977983 | vy: -0.49576 | vz: 0.022891
>>> sx: -0.404252 | sy: 0.0615959 | sz: -0.103787
>>> a: 0.223816
>>> v: 1.0967
>>> s: 0.421884

ax: -0.277039 | ay: -0.589111 | az: -0.234848
ax: -0.192123 | ay: -0.258148 | az: -0.0475922
ax: 0.0119781 | ay: -0.448746 | az: -0.106522
ax: 0.00108337 | ay: -0.199051 | az: 0.0181885
ax: -0.00566101 | ay: 0.0955505 | az: 0.107117
ax: 0.00170898 | ay: 0.0465851 | az: 0.0475159
ax: -0.0807343 | ay: 0.0163879 | az: 0.059082
ax: -0.062088 | ay: 0.0524445 | az: -0.0148621
ax: 0.00933838 | ay: 0.099823 | az: -0.112625
ax: 0.0453491 | ay: 0.0301208 | az: -0.242233
ax: 0.00245667 | ay: 0.0549622 | az: -0.0258942
ax: -0.036377 | ay: 0.120209 | az: 0.186844
ax: -0.0478821 | ay: 0.0768127 | az: 0.0981903
ax: -0.00654602 | ay: 0.0245056 | az: -0.0495453
ax: 0.0192566 | ay: -0.0165863 | az: -0.0850983
ax: -0.0010376 | ay: 0.0338135 | az: 0.0192108
ax: -0.0121002 | ay: 0.0671539 | az: 0.0413971
ax: -0.00814819 | ay: 0.0675507 | az: 0.00840759
ax: -0.0270538 | ay: 0.0881042 | az: -0.0309143
ax: -0.0331421 | ay: 0.0659485 | az: -0.0307312
ax: -0.0418091 | ay: 0.0218658 | az: 0.0147095
ax: -0.0533752 | ay: 0.0418701 | az: 0.03125
ax: -0.0863495 | ay: 0.0859375 | az: 0.0213776
ax: -0.104141 | ay: 0.0953064 | az: -0.00559998
ax: -0.0991058 | ay: 0.118729 | az: -0.0124969
ax: -0.190536 | ay: 0.138779 | az: 0.0397339
ax: -0.246857 | ay: 0.123337 | az: 0.0262756
ax: -0.257034 | ay: 0.0999908 | az: -0.00804138
ax: -0.313629 | ay: 0.12442 | az: -0.0441437
ax: -0.425751 | ay: 0.131531 | az: -0.108719
ax: -0.726532 | ay: 0.15564 | az: -0.143845
ax: -1.03522 | ay: 0.386551 | az: -0.29744
ax: -1.10229 | ay: 1.00734 | az: -0.84874
ax: -1.02649 | ay: 1.14496 | az: -0.223648
ax: -0.872391 | ay: 0.810364 | az: -0.0169067
ax: -0.589691 | ay: 0.311279 | az: -0.429153
ax: -0.272964 | ay: 0.303787 | az: -0.482544
ax: 0.708893 | ay: 0.279739 | az: -0.347458
ax: -0.104446 | ay: 0.0999451 | az: -0.177399
ax: 0.377274 | ay: 0.382095 | az: -0.118912
ax: 0.599182 | ay: 0.797424 | az: -0.175583
ax: 0.569366 | ay: 0.786606 | az: -0.210739
ax: 0.599075 | ay: 0.686935 | az: -0.19577
ax: 0.599609 | ay: 0.560165 | az: -0.139465
ax: 0.569138 | ay: 0.390305 | az: -0.0990143
ax: 0.521805 | ay: 0.366104 | az: -0.0857544
ax: 0.472733 | ay: 0.324097 | az: -0.168976
ax: 0.370087 | ay: 0.316452 | az: -0.151505
ax: 0.15329 | ay: 0.167389 | az: -0.129288
ax: -0.00132751 | ay: 0.13588 | az: 0.0467529
time: 2
[20210811064007.936]
> sum ax: -2.70825 | sum ay: 9.82315 | sum az: -4.83595
>> avg ax: -0.054165 | avg ay: 0.196463 | avg az: -0.0967191
>>> vx: -0.265409 | vy: 0.962669 | vz: -0.473923
>>> sx: -0.258151 | sy: 0.190268 | sz: -0.149739
>>> a: 0.22558
>>> v: 1.10534
>>> s: 0.353928

ax: -0.318802 | ay: -0.101166 | az: 0.0390625
ax: -0.660309 | ay: -0.400665 | az: 0.023819
