>> avg ax: -0.195587 | avg ay: -0.0658569 | avg az: -0.0572559
>>> vx: -0.958377 | vy: -0.322699 | vz: -0.280554
>>> sx: -0.504261 | sy: 0.235012 | sz: 0.0164458
>>> a: 0.214172
>>> v: 1.04944
>>> s: 0.556579

ax: 0.0105591 | ay: -0.0172577 | az: -0.126312
ax: -0.020752 | ay: 0.056076 | az: 0.00187683
ax: -0.058548 | ay: -0.0979309 | az: 0.104721
ax: -0.0135651 | ay: -0.176895 | az: -0.0140991
ax: 0.0107269 | ay: -0.0609283 | az: -0.0823517
ax: 0.0115662 | ay: -0.0619049 | az: -0.018692
ax: 0.00450134 | ay: -0.100937 | az: 0.0083313
ax: -0.00532532 | ay: -0.0576324 | az: 0.00596619
ax: 0.00152588 | ay: -0.0038147 | az: 0.00361633
ax: -0.00961304 | ay: -0.0335083 | az: -0.0291901
ax: -0.0257874 | ay: -0.108841 | az: 0.0085907
ax: -0.00842285 | ay: -0.0764313 | az: -0.00323486
ax: -0.0114594 | ay: -0.0404205 | az: -0.017334
ax: -0.0317688 | ay: 0.00364685 | az: -0.0189209
ax: -0.0498199 | ay: 0.00778198 | az: 0.00865173
ax: -0.0700378 | ay: 0.00749207 | az: 0.050293
ax: -0.0668945 | ay: 0.0274506 | az: 0.026001
ax: -0.128738 | ay: 0.0290527 | az: 0.124847
ax: -0.11438 | ay: 0.0515442 | az: 0.0936584
ax: -0.198517 | ay: 0.0306549 | az: 0.0167542
ax: -0.260086 | ay: 0.127243 | az: -0.0654144
ax: -0.350693 | ay: 0.126862 | az: -0.0503998
ax: -0.522659 | ay: 0.139008 | az: 0.0855255
ax: -0.833588 | ay: 0.150879 | az: 0.105133
ax: -1.09625 | ay: 0.562241 | az: 0.123306
ax: -0.731918 | ay: 0.932434 | az: 0.154999
ax: -0.745255 | ay: 0.310745 | az: 0.145187
ax: -0.618698 | ay: 0.647415 | az: 0.105179
ax: -0.352737 | ay: 0.669525 | az: -0.0398865
ax: 0.295456 | ay: 0.445892 | az: -0.0396118
ax: 0.030365 | ay: -0.0810699 | az: -0.0259247
ax: 0.0143585 | ay: -0.004776 | az: 0.244492
ax: 0.484848 | ay: 0.677719 | az: 0.3172
ax: 0.532013 | ay: 0.857239 | az: 0.389526
ax: 0.450409 | ay: 0.640015 | az: 0.39064
ax: 0.465179 | ay: 0.47023 | az: 0.340591
ax: 0.449646 | ay: 0.360428 | az: 0.204575
ax: 0.425552 | ay: 0.311035 | az: 0.155991
ax: 0.369202 | ay: 0.192444 | az: 0.177628
ax: 0.298752 | ay: 0.182037 | az: 0.139771
ax: 0.132217 | ay: 0.0866699 | az: 0.175858
ax: -0.153198 | ay: -0.175461 | az: 0.0941925
ax: -0.457977 | ay: -0.434433 | az: -0.211151
ax: -0.771667 | ay: -0.487061 | az: -0.303513
ax: -0.926376 | ay: -0.79689 | az: -0.538071
ax: -0.818741 | ay: -0.787903 | az: -0.413895
ax: -0.766647 | ay: -0.908936 | az: -0.41684
ax: -0.623077 | ay: -0.760757 | az: -0.310242
ax: -0.572479 | ay: -1.10199 | az: -0.606598
ax: -0.233414 | ay: -1.30518 | az: -0.735245
time: 3
[20210722073057.562]
> sum ax: -7.66222 | sum ay: 0.422806 | sum az: -0.263824
>> avg ax: -0.153244 | avg ay: 0.00845612 | avg az: -0.00527649
>>> vx: -0.750897 | vy: 0.041435 | vz: -0.0258548
>>> sx: -0.264857 | sy: 0.1979 | sz: 0.0802641
>>> a: 0.153568
>>> v: 0.752484
>>> s: 0.340229

ax: -0.168854 | ay: -1.70348 | az: -0.713516
ax: -0.231903 | ay: -1.03329 | az: -0.520401
ax: -0.0550232 | ay: -0.984726 | az: -0.463974
ax: -0.0773926 | ay: 0.209961 | az: -0.054657
ax: -0.114258 | ay: 0.457336 | az: 0.621017
ax: -0.282928 | ay: -0.178772 | az: 0.153763
ax: -0.606522 | ay: -0.521072 | az: 0.0845032
ax: -0.292618 | ay: -0.105331 | az: 0.0391541
ax: 0.000305176 | ay: -0.20015 | az: -0.399628
ax: -0.072113 | ay: -0.0838013 | az: -0.455338
ax: -0.0379028 | ay: -0.253235 | az: -0.0459442
